,公司,未解鎖,已解鎖,解鎖比例
0,和泰汽車股份有限公司,234,20,8.55%
1,中華汽車工業股份有限公司,140,13,9.29%
2,裕隆集團_裕隆汽車製造股份有限公司,135,16,11.85%
3,汎德永業汽車股份有限公司,98,6,6.12%
4,三陽工業股份有限公司,88,9,10.23%
5,裕隆集團_裕隆日產汽車股份有限公司,86,10,11.63%
6,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,84,10,11.90%
7,裕隆集團_格上汽車租賃股份有限公司,82,9,10.98%
8,匯豐汽車股份有限公司,71,2,2.82%
9,裕融企業股份有限公司,44,10,22.73%
10,為升電裝工業股份有限公司,43,0,0.00%
11,中華賓士汽車股份有限公司,40,7,17.50%
12,TOYOTA 製造商_國瑞汽車股份有限公司,36,1,2.78%
13,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,32,3,9.38%
14,台灣本田汽車股份有限公司,27,4,14.81%
15,裕隆集團_納智捷汽車股份有限公司,21,0,0.00%
16,鴻華先進科技股份有限公司,19,9,47.37%
17,華德動能科技股份有限公司,15,1,6.67%
18,LUXGEN納智捷汽車_中智捷汽車股份有限公司,13,0,0.00%
19,成運汽車製造股份有限公司,9,3,33.33%
20,Luxgen_北智捷汽車股份有限公司,7,0,0.00%
