,item1,item2,value,class
0,成就感,成就感,1,成長價值
1,學習成長,成就感,0.0298323186632138,成長價值
2,創新,成就感,-0.00221236406894812,成長價值
3,薪資,成就感,0.140128569794876,經濟報酬
4,福利,成就感,-0.00936407785550843,經濟報酬
5,管理制度,成就感,0.0155291099279468,經濟報酬
6,工作氛圍,成就感,0.0211792222671866,人際價值
7,同事互動,成就感,0.0045583269225621,人際價值
8,主管風格,成就感,0.0285776263050976,人際價值
9,工作地點,成就感,-0.00550852467800745,組織安全與安定
10,公司規模,成就感,-0.00475976261124345,組織安全與安定
11,工作環境,成就感,0.00434573095719104,組織安全與安定
12,產業前景,成就感,-0.00700581218960558,組織安全與安定
13,輪調,成就感,0.0750446560237517,變化性
14,外派,成就感,0.0400525326549001,變化性
15,出差,成就感,-0.0024877484519389,變化性
16,引擎,成就感,-0.000814826269407824,產品與服務
17,馬力,成就感,-0.00172904469090746,產品與服務
18,外觀,成就感,-0.00206235411248788,產品與服務
19,安全,成就感,-0.00221236406894812,產品與服務
20,配備,成就感,-0.00336439544619617,產品與服務
21,價錢,成就感,-0.00133080258159527,產品與服務
22,科技,成就感,-0.00305232425946809,產品與服務
23,品質,成就感,-0.00408283676582631,產品與服務
24,折舊,成就感,-0.000814826269407824,產品與服務
25,品牌,成就感,-0.00223716157011873,產品與服務
26,空間,成就感,0.0603536949595908,產品與服務
27,保養,成就感,-0.00313080423536167,產品與服務
28,尺寸,成就感,-0.0029675900704917,產品與服務
29,車種,成就感,-0.0019020116549697,產品與服務
30,變速箱,成就感,-0.000814826269407824,產品與服務
31,電資,成就感,-0.00583944134827822,科系專業
32,機械,成就感,-0.0029675900704917,科系專業
33,製造,成就感,0.00902048642643887,科系專業
34,品管,成就感,-0.00392806323953738,科系專業
35,多元性,成就感,0.0775615905826938,公司文化與價值
36,企業社會責任,成就感,-0.0011524406412404,公司文化與價值
37,企業永續目標,成就感,-0.0010307376497869,公司文化與價值
38,面試,成就感,0.0400622321350513,招募資訊
39,徵才,成就感,0.00964776168926142,招募資訊
40,實習,成就感,0.0370738154808089,招募資訊
41,工作,成就感,0.122056800023649,招募資訊
42,離職,成就感,0.0444226437539299,招募資訊
43,轉職,成就感,-0.00215697652633026,招募資訊
44,新鮮人,成就感,0.0297679470711322,招募資訊
45,畢業,成就感,-0.00409413460215018,招募資訊
46,出路,成就感,0.0529961536844403,招募資訊
47,能力,成就感,0.0155668652840192,招募資訊
48,招募人員,成就感,0.0307092046684971,招募人員
49,正向,成就感,0.153495836598426,情緒
50,負向,成就感,0.0420605357988622,情緒
51,成就感,學習成長,0.0298323186632138,成長價值
52,學習成長,學習成長,1,成長價值
53,創新,學習成長,-0.00705759464305754,成長價值
54,薪資,學習成長,-0.00273452010739564,經濟報酬
55,福利,學習成長,0.0241861825646497,經濟報酬
56,管理制度,學習成長,0.0228143890100486,經濟報酬
57,工作氛圍,學習成長,0.00356913958811569,人際價值
58,同事互動,學習成長,0.047750743451856,人際價值
59,主管風格,學習成長,0.0569524242869834,人際價值
60,工作地點,學習成長,-0.0113330377127326,組織安全與安定
61,公司規模,學習成長,0.0291026138928733,組織安全與安定
62,工作環境,學習成長,0.0221098587456768,組織安全與安定
63,產業前景,學習成長,0.0871612022483395,組織安全與安定
64,輪調,學習成長,0.0151730905872879,變化性
65,外派,學習成長,0.0135408798903506,變化性
66,出差,學習成長,0.0274155832986798,變化性
67,引擎,學習成長,0.0610847778065483,產品與服務
68,馬力,學習成長,0.017006964729831,產品與服務
69,外觀,學習成長,-0.00657905248990166,產品與服務
70,安全,學習成長,-0.00705759464305753,產品與服務
71,配備,學習成長,0.00473499465188886,產品與服務
72,價錢,學習成長,0.0217574311914266,產品與服務
73,科技,學習成長,0.0243428145991572,產品與服務
74,品質,學習成長,-0.000260490642488841,產品與服務
75,折舊,學習成長,-0.00259935224708718,產品與服務
76,品牌,學習成長,0.047503661968651,產品與服務
77,空間,學習成長,-0.00901322346788408,產品與服務
78,保養,學習成長,0.017200664132507,產品與服務
79,尺寸,學習成長,-0.0094668179068063,產品與服務
80,車種,學習成長,-0.00606754894257951,產品與服務
81,變速箱,學習成長,0.124768907860184,產品與服務
82,電資,學習成長,0.0235002190687042,科系專業
83,機械,學習成長,0.021458120588761,科系專業
84,製造,學習成長,0.0338579724686417,科系專業
85,品管,學習成長,-0.0125307938535321,科系專業
86,多元性,學習成長,0.106385484743913,公司文化與價值
87,企業社會責任,學習成長,-0.00367636548171167,公司文化與價值
88,企業永續目標,學習成長,-0.00328812450791267,公司文化與價值
89,面試,學習成長,0.0450506070023451,招募資訊
90,徵才,學習成長,0.0342372945768115,招募資訊
91,實習,學習成長,0.23233099354209,招募資訊
92,工作,學習成長,0.177538655029619,招募資訊
93,離職,學習成長,0.00196122822158984,招募資訊
94,轉職,學習成長,-0.00688090454509469,招募資訊
95,新鮮人,學習成長,0.085341948034922,招募資訊
96,畢業,學習成長,0.0224932090641322,招募資訊
