,vacancies,post_time,p_year_month,interview_time,content,word,成就感,學習成長,創新,薪資,福利,管理制度,工作氛圍,同事互動,主管風格,工作地點,公司規模,工作環境,產業前景,輪調,外派,出差,引擎,馬力,避震,外觀,操控,安全,堅固,配備,價錢,科技,品質,折舊,品牌,空間,保養,續航,尺寸,車種,驅動,變速箱,電資,機械,製造,車輛工程,品管,多元性,企業社會責任,企業永續目標,面試,徵才,實習,工作,離職,轉職,新鮮人,畢業,出路,能力,招募人員,正向,負向
0,職員,2023.03.24,2023-03,2023.03,首先會先做專業能力測驗，大約50分鐘，再來會做英文多益測驗40分鐘，做完後就進行視訊面試，1分鐘有HR做開場，再來就是自我介紹，介紹後主管(2位)會詢問問題，問前面公司的經歷，再來是問如何面對一個完全不知道專案，問完後換另外一位主管詢問，並且說明禮拜六日會有輪班的制度。工作地點如何選擇？希望是以家裡近為優先。建議專業能力的測驗是準備一下(是申論題)，英文測驗的話會以(多益方式進行，如果是視訊面試操作的話，會比較困難，要細心地操作),"['專業', '能力', '測驗', '分鐘', '英文', '多益', '測驗', '分鐘', '做完', '視訊', '面試', '分鐘', 'HR', '開場', '自我介紹', '介紹', '主管', '詢問', '問題', '前面', '公司', '經歷', '面對', '完全', '專案', '問完', '主管', '詢問', '說明', '禮拜六日', '輪班', '制度', '工作地點', '選擇', '希望', '優', '建議', '專業', '能力', '測驗', '準備', '申論題', '英文', '測驗', '多益', '方式', '視訊', '面試', '操作', '困難', '細心', '操作']",0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,6,3,2,218
1,客服,2023.03.24,2023-03,2023.01,覺得很浪費時間，我面試大夜班，到現場要先測試聽力打字，現場很吵，然後反應也沒用，也不知道在測什麼的，感覺是測爽的，然後果然面試官就說要從日班開始，日班薪水也是由一堆薪資結構湊到30k，也就是你要想辦法上到大夜給的38-42k，你可能要在公司待個一年以上吧，然後中間會很多考核，很多複雜的考核方式給錢這部分我就沒記很清楚。沒有問問題？基本上都是在講解工作內容。如果你想考車險，他這邊好像會培訓你考證照大概是這樣，我覺得就是普通的客服，薪水就30k差不多就這樣了，要拿到上面的高薪難,"['浪費', '時間', '面試', '大夜班', '現場', '測試', '聽力', '打字', '現場', '吵', '反應', '沒用', '感覺', '爽', '面試官', '日班', '日班', '薪水', '薪資', '結構', '湊到', 'k', '辦法', '大夜', '3842', 'k', '公司', '中間', '考核', '複雜', '考核', '方式', '錢', '記', '清楚', '問題', '講解', '工作', '內容', '車險', '好像', '培訓', '考證照', '普通', '客服', '薪水', 'k', '上面', '高薪', '難']",0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,241
2,職員,2023.03.06,2023-03,2018.01,主管是一個溫文儒雅的先生 真的感覺得出來他非常誠懇 然後問的問題沒有太多深入的題目 主要就是針對你的論文內容進行詢問 我覺得他很看人格特質 有種第一眼就決定面試是否成功的感覺 我覺得這主管真的是很老實 不會去為難別人 不會有壓力測試。論文的撰寫困難？照實回答。這家公司印象中是華創 現在也不在了吧 不過基本上裕隆集團真的很讚 到了鬼月還有放假跟旅遊補助 但也是很久以前了，不得現在還有沒有,"['主管', '溫文儒雅', '先生', '感覺', '誠懇', '問題', '深入', '題目', '論文', '內容', '詢問', '人格', '特質', '有種', '決定', '面試', '成功', '感覺', '主管', '老實', '為難', '壓力', '測試', '論文', '撰寫', '困難', '照實', '回答', '公司', '印象', '華創', '現在', '裕隆', '集團', '讚', '鬼月', '放假', '旅遊', '補助', '了不得', '現在']",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,192
3,物料管理實習生,2023.03.02,2023-03,2022.05,面試是以視訊面試進行，除了HR以外還有一個物料管理部門的主管（？）之類的長官，整體面試進行的蠻順利的，也沒有不被尊重的感覺，也有細心跟我解釋公司的一些制度還有需要實習生注意的項目。面試時間大概半個小時。自我介紹 3 分鐘？主要針對專業領域跟未來規畫進行描述，還有自己的特質（我是回答喜歡學習），並用經驗佐證。針對履歷內容問問題？(1)擔任幹部遇到的挫折及解決方式。(2)擔任公關時與廠商溝通遇過什麼難忘的經驗?。(3)詳述打工經驗和工作內容。(4)分享一下經營電商的經驗（履歷中有提到我有經營蝦皮賣自己的原創小物）。這部分因為有點私人又太細就不一一回答了。為什麼想來暑期實習? 想學到什麼?？提早體驗職場文化、讓自己的暑假有充實到、希望能在多做多問多學的環境中增強自己並補足缺失，還有因為自己的專業是工工相關，所以主要是說希望能發揮所學，並認識公司文化。最近關注的物流議題及對議題的看法是?？我回答的是有關外送平台的配送路線和顧客滿意度的議題。認為自己有什麼優缺點?？優點我回答有責任感，缺點我回答有時候會因為太有責任感變成濫好人，但最後面有說最近有在改善。有沒有投其他的實習? 優先去哪實習?？如實回答，我有提到如果其他家都有上的話才會綜合考量，但以實習內容而言對物料管理是有興趣的，所以會放在前幾順位。有什麼其他的問題?？我有問說需不需要準備什麼先備能力。可以多了解跟實習部門工作內容相關的時事議題，並有自己的想法。另外，履歷中與部門相關的經歷就算不太重要也可以放上去，HR可能就會問到。,"['面試', '視訊', '面試', 'HR', '物料', '管理', '部門', '主管', '長官', '體面', '順利', '尊重', '感覺', '細心', '解釋', '公司', '制度', '需要', '實習', '注意', '項目', '面試', '時間', '小時', '自我介紹', '分鐘', '專業', '領域', '未來', '規畫', '描述', '特質', '回答', '喜歡', '學習', '並用', '經驗', '佐證', '履歷', '內容', '問題', '擔任', '幹部', '遇到', '挫折', '解決', '方式', '擔任', '公關', '時', '廠商', '溝通', '難忘', '經驗', '詳述', '打工', '經驗', '工作', '內容', '分享', '經營', '電商', '經驗', '履歷', '提到', '經營', '蝦皮', '原創', '物', '私人', '細', '不一一', '回答', '暑期', '實習', '學到', '提早', '體驗', '職場', '文化', '暑假', '充實到', '希望', '環境', '增強', '補足', '缺失', '專業', '工工', '相關', '希望', '發揮所', '認識', '公司', '文化', '關注', '物流', '議題', '議題', '看法', '回答', '外送', '平台', '配送', '路線', '顧客', '滿意', '議題', '認為', '優', '缺點', '優點', '回答', '責任感', '缺點', '回答', '有時候', '責任感', '濫', '好人', '後面', '改善', '實習', '優', '實習', '如實', '回答', '提到', '綜合', '考量', '實習', '內容', '物料', '管理', '有興趣', '放', '順位', '問題', '需不需要', '準備', '備', '能力', '解跟', '實習', '部門', '工作', '內容', '相關', '時事', '議題', '想法', '履歷', '部門', '相關', '經歷', '重要', '放上去', 'HR', '問到']",0,2,0,0,0,5,0,1,2,0,0,1,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,2,0,0,0,0,0,4,3,12,647
4,職員,2023.02.16,2023-02,2021.06,先遠端考英文及專業測驗，大約1個半小時，而後開始視訊面試。面談大約進行一小時，面試官有3-4位，一開始先自我介紹，主管便循著履歷開始問問題，比較多開放式問答，專業的部分反而問不多，最後會留時間給面試者發問，可以事先準備幾個想問的問題。簡述碩士論文對該領域的貢獻？依實際研究成果回答。建議可以花時間看看公司官網跟永續報告書、想想為何想到裕隆上班？自身學經歷背景跟應徵職缺的連結等問題。,"['遠', '端考', '英文', '專業', '測驗', '小時', '視訊', '面試', '面談', '小時', '面試官', '34', '自我介紹', '主管', '循', '履歷', '問題', '開放式', '問答', '專業', '最後', '留', '時間', '面試', '發問', '事先', '準備', '問題', '簡述', '碩士', '論文', '領域', '貢獻', '實際', '研究', '成果', '回答', '建議', '時間', '公司', '官網', '永續', '報告書', '想想', '裕隆', '上班', '學經歷', '背景', '應徵', '職缺', '連結', '問題']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,2,2,1,189
5,品質檢驗員,2023.02.10,2023-02,2022.12,大門換證帶小黃卡。人資帶到辦公室，考量測及英文。第一次接觸品檢很多量測題目真的看不太懂。後來主管面試，大致上介紹工作環境。聊以前工作狀況之類的。不過近來先是人力，三個月後轉正。面試花費的時間大概快2個小時。主管口頭直接給off了。為什麼要來我們公司？如實回答，不想輪班工作。薪資才3萬多一點，工作算輕鬆，內部主管幾乎都是靠年資上位，主管能力不足，都是靠底下員工溝通解決，希望有能力的人替代主管,"['大門', '換證', '小黃卡', '人資', '帶到', '辦公室', '考量測', '英文', '接觸', '品檢', '量測', '題目', '懂', '主管', '面試', '大致上', '介紹', '工作環境', '聊', '工作', '狀況', '人力', '轉正', '面試', '花費', '時間', '小時', '主管', '口頭', '直接', 'off', '公司', '如實', '回答', '輪班', '工作', '薪資', '3萬多一點', '工作', '輕鬆', '內部', '主管', '年資', '上位', '主管', '能力', '不足', '底下', '員工', '溝通', '解決', '希望', '能力', '主管']",0,0,0,1,0,1,0,1,5,0,0,1,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,3,6,2,196
6,製程改善工程師,2023.01.16,2023-01,2021.06,面試開始介紹自己之前工作經驗，自身學經歷汽車有關，問汽車相關知識，會問QC七大手法及WHYWHY分析，現場溝通及改善課題想法，承接儲能相關製程與改善設備優化，量測工時分析線上瓶頸工站，與解決各單位討論如何分配作業編成及作業人員充實度。為何會想進裕隆？自身學與維修都與汽車相關，上手時間快速，有改善想法(舉例)。如果你住在三義附近很適合在那裡混日子，裕隆不會倒，新事業(儲能，維運，醫材，ESG，對外服務)，事情很多讓你做不完，報告做不完，無意義的會議很多，很常當事務局,"['面試', '介紹', '工作經驗', '學經歷', '汽車', '有關問', '汽車', '相關', '知識', 'QC', '手法', 'WHYWHY', '分析', '現場', '溝通', '改善', '課題', '想法', '承接', '儲能', '相關', '製程', '改善', '設備', '優', '量測', '工時', '分析', '線上', '瓶頸', '工站', '解決', '單位', '分配', '作業', '編成', '作業', '人員', '充實度', '裕隆', '自身學', '維修', '汽車', '相關', '上手', '時間', '快速', '改善', '想法', '舉例', '住在', '義', '附近', '適合', '混', '日子', '裕隆', '倒', '事業儲', '維運', '醫材', 'ESG', '服務', '事情', '完', '報告', '完', '無意', '義', '會議', '事務局']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,8,234
7,生產技術工程師,2023.01.10,2023-01,2020.08,首先會先了解你個人的特質，因為公司流動率非常的高，所以只要溝通沒有問題就可以直接進來，再來因為職務是生技工程師所以會開始了解你對於現場的狀態會不會排斥(簡單來說就是要快、品質要高、費用要低)，以及之後工作內容你可以幫忙公司帶入多少的效益。對於汽車你了解多少？因為本身並非汽車本科出身，所以對車子不了解，只知道四門兩蓋還有五油三水。除非你很喜歡寫報告、開會追進度，不然不要進來，尤其是跟現場有相關的。我一天8h可以開超過5場會，常常一件事情都沒做完後面已經排了10件事情在等，所以事情永遠做不完，然後還一堆會議追著你打,"['特質', '公司', '流動率', '高所以', '溝通', '問題', '直接', '職務', '生技', '工程師', '現場', '狀態', '會不會', '排斥', '簡單', '品質', '高', '費用', '低', '工作', '內容', '幫忙', '公司', '帶入', '效益', '汽車', '汽車', '出身', '車子', '四門', '蓋', '喜歡', '報告', '開會', '追', '進度', '尤其', '現場', '相關', 'h', '超過', '事情', '做完', '後面', '排', '事情', '事情', '永遠', '完', '會議', '追']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,258
8,檢驗員,2022.12.13,2022-12,2011.08,我是應徵技能員，面試是科長及領班二人面試，面試會問你為什麼想來我們公司，我回答裕隆那麼大間當然想進來啊，再問平時有什麼興趣及消遣，我回答讀書考一些有用的證照、假日去逛街、看電影、衝浪等活動，然後會問你會在這裡做長久嗎？我回答當然會啊，不然我幹嘛來應徵。為什麼想來我們公司？裕隆那麼大間當然要來啊。別來這間公司做技能員，吃力不討好，做到老鳥了，懂的多了開始做工程師的工作，在這間公司對技能員很不友善，好的福利都是職員的，我做了11年，該考的證照考到了，不如歸去，如果你是來應徵工程職的歡迎。,"['應徵', '技能', '面試', '科長', '領班', '面試', '面試', '公司', '回答', '裕隆', '平時', '興趣', '消遣', '回答', '讀書', '有用', '證照', '假日', '逛街', '電影', '衝浪', '活動', '長久', '回答', '幹嘛', '應徵', '公司', '裕隆', '公司', '技能', '吃力', '討好', '做到', '老鳥', '了懂', '工程師', '工作', '公司', '技能', '不友善', '福利', '職員', '證照', '歸去', '應徵', '工程職', '歡迎']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,3,0,5,244
9,資料庫工程師,2022.12.03,2022-12,2022.08,視訊面試，先進行職務相關筆試，題型分為選擇題及簡答題，大概一小時。英文筆試，題型同多益，大約一小時，都完成後，與主管進行視訊面試，同時有單位主管及人資。會詢問工作經歷，負責過哪些專案，主要在公司負責哪些職務。負責哪些職務？詳細回答目前負責的職務內容。可多準備要詢問主管的問題，能更了解公司。或對想應徵的職務，要如何精進，有什麼規劃讓自己更符合應徵職位要求。,"['視訊', '面試', '職務', '相關', '筆試', '題型', '選擇題', '簡答題', '小時', '英文', '筆試', '題型', '多益', '小時', '完成', '主管', '視訊', '面試', '單位', '主管', '人資', '詢問', '工作', '經歷', '負責', '專案', '公司', '負責', '職務', '負責', '職務', '詳細', '回答', '負責', '職務', '內容', '準備', '詢問', '主管', '問題', '公司', '應徵', '職務', '精進', '規劃', '符合', '應徵', '職位', '要求']",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,1,0,0,0,0,0,1,4,0,178
