,Unnamed: 0,company_name,vacancies,post_time,interview_time,rank,status,difficult,process,question,suggestion
0,0,裕隆集團_納智捷汽車股份有限公司,企劃管理師,2022.08.24,2022.07,3,未錄取,普通,針對專業提出疑問，並...,"[{'Q': '這個品牌業界傳的都不太好，為什麼願意來納智捷面試', 'A': '因為我本來就愛納智捷...'}]",
1,1,裕隆集團_納智捷汽車股份有限公司,管理師,2022.02.21,2019.02,1,無聲卡,低,整體面試過程約2小時...,"[{'Q': '對於納智捷的了解', 'A': '依照職位跟公司官網做...'}]",
2,2,裕隆集團_納智捷汽車股份有限公司,行銷專員,2022.01.13,2017.09,3,錄取,普通,第一次面試先簡單自我...,"[{'Q': '會不會開車', 'A': '有駕照，但當時還不熟...'}]",
3,3,裕隆集團_納智捷汽車股份有限公司,人力資源管理師,2021.09.12,2021.09,5,未錄取,超高,"第一關，人資面試
...","[{'Q': '結算薪資怎麼做', 'A': '照実回答'}]",
4,4,裕隆集團_納智捷汽車股份有限公司,秘書,2021.04.21,2017.09,5,錄取,普通,在台南東區的廠二樓面...,"[{'Q': '與人交談方面的問題', 'A': '我是個開朗的人，比較...'}]",
5,5,裕隆集團_納智捷汽車股份有限公司,人資,2021.04.07,2021.03,4,未錄取,普通,首先需考商務英文，很...,"[{'Q': '為什麼離職', 'A': '據實回答'}]",
6,6,裕隆集團_納智捷汽車股份有限公司,資深人資管理師,2021.03.27,2021.03,4,無聲卡,普通,先進行英語測驗，若有...,"[{'Q': '前幾份工作為何離職', 'A': '照實回答即可'}]",
7,7,裕隆集團_納智捷汽車股份有限公司,行銷,2021.02.19,2021.01,5,未錄取,普通,先考試（數理邏輯、英...,"[{'Q': '比如說你最有成就的地方，你幫公司帶來的效益', 'A': '想要預估全台灣的加油...'}]",
8,8,裕隆集團_納智捷汽車股份有限公司,業務,2020.10.15,2019.07,1,等待中,簡單,會要求填寫基本資料和...,"[{'Q': '介紹自己和說明興趣等等之類的', 'A': '照實回答就可，有面試...'}]",
9,9,裕隆集團_納智捷汽車股份有限公司,行銷,2020.08.04,2020.01,5,錄取,普通,經理人很好，會對面試...,"[{'Q': '是否有行銷經驗', 'A': '是，有學校經驗'}]",
10,10,裕隆集團_納智捷汽車股份有限公司,材質規劃師,2020.07.26,2016.09,5,錄取,高,面試地點在新店公司大...,"[{'Q': '為什麼轉職', 'A': '據實回答'}]",
11,11,裕隆集團_納智捷汽車股份有限公司,DMS-工程師,2020.05.13,2020.04,2,未錄取,普通,先由人資小姐帶進辦公...,"[{'Q': '過去的工作經驗', 'A': '如實回答'}]",
12,12,裕隆集團_納智捷汽車股份有限公司,銷售顧問,2020.04.15,2016.02,5,錄取,簡單,一般都由總經理面試，...,"[{'Q': '測試端咖啡的禮儀', 'A': '幫客戶端送茶水咖啡，...'}]",
13,13,裕隆集團_納智捷汽車股份有限公司,財務人員,2020.03.28,2019.03,2,未錄取,低,面試地點在新店的裕隆...,"[{'Q': '家庭背景', 'A': '照實回答'}]",
14,14,裕隆集團_納智捷汽車股份有限公司,技師,2020.03.18,2017.11,2,錄取,簡單,面試時無特定地點，只...,"[{'Q': '為什麼來這?', 'A': '按照真實情況說明。'}]",
15,15,裕隆集團_納智捷汽車股份有限公司,業務,2020.01.04,2019.12,4,等待中,普通,開心，主管很和善，環...,"[{'Q': '對於汽車熱情', 'A': '講出最近分析的結果'}]",
