,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,1.0,成長價值
2,創新,成就感,0.0,成長價值
3,薪資,成就感,0.0,經濟報酬
4,福利,成就感,0.0,經濟報酬
5,管理制度,成就感,0.0,經濟報酬
6,工作氛圍,成就感,0.0,人際價值
7,同事互動,成就感,0.0,人際價值
8,主管風格,成就感,0.0,人際價值
9,工作地點,成就感,0.0,組織文化與制度
10,公司規模,成就感,0.0,組織文化與制度
11,工作環境,成就感,0.0,組織文化與制度
12,產業前景,成就感,0.0,組織文化與制度
13,多元性,成就感,0.0,組織文化與制度
14,企業社會責任,成就感,0.0,組織文化與制度
15,企業永續目標,成就感,0.0,組織文化與制度
16,變化性,成就感,0.0,組織文化與制度
17,馬力,成就感,0.0,產品與服務
18,避震,成就感,0.0,產品與服務
19,外觀,成就感,0.0,產品與服務
20,操控,成就感,0.0,產品與服務
21,安全,成就感,0.0,產品與服務
22,堅固,成就感,0.0,產品與服務
23,配備,成就感,0.0,產品與服務
24,價錢,成就感,0.0,產品與服務
25,科技,成就感,0.0,產品與服務
26,品質,成就感,0.0,產品與服務
27,折舊,成就感,0.0,產品與服務
28,品牌,成就感,0.0,產品與服務
29,空間,成就感,0.0,產品與服務
30,保養,成就感,0.0,產品與服務
31,續航,成就感,0.0,產品與服務
32,尺寸,成就感,0.0,產品與服務
33,車種,成就感,0.0,產品與服務
34,驅動,成就感,0.0,產品與服務
35,變速箱,成就感,0.0,產品與服務
36,引擎,成就感,0.0,產品與服務
37,工學院,成就感,0.0,科系專業
38,理學院,成就感,0.0,科系專業
39,管理學院/商學院,成就感,0.0,科系專業
40,社會學院,成就感,0.0,科系專業
41,文學院,成就感,0.0,科系專業
42,面試,成就感,0.0,招募資訊
43,學經歷,成就感,0.0,招募資訊
44,徵才,成就感,1.0,招募資訊
45,實習,成就感,0.0,招募資訊
46,工作,成就感,5.0,招募資訊
47,離職,成就感,0.0,招募資訊
48,新鮮人,成就感,0.0,招募資訊
49,畢業,成就感,0.0,招募資訊
50,證照,成就感,0.0,招募資訊
51,招募人員,成就感,0.0,招募資訊
52,正向,成就感,1.5,情緒
53,負向,成就感,-0.18,情緒
54,成就感,學習成長,1.0,成長價值
55,學習成長,學習成長,3.0,成長價值
56,創新,學習成長,0.0,成長價值
57,薪資,學習成長,0.0,經濟報酬
58,福利,學習成長,0.0,經濟報酬
59,管理制度,學習成長,0.0,經濟報酬
60,工作氛圍,學習成長,0.0,人際價值
61,同事互動,學習成長,0.0,人際價值
62,主管風格,學習成長,0.0,人際價值
63,工作地點,學習成長,0.0,組織文化與制度
64,公司規模,學習成長,0.0,組織文化與制度
65,工作環境,學習成長,0.0,組織文化與制度
66,產業前景,學習成長,0.0,組織文化與制度
67,多元性,學習成長,0.0,組織文化與制度
68,企業社會責任,學習成長,0.0,組織文化與制度
69,企業永續目標,學習成長,0.0,組織文化與制度
70,變化性,學習成長,0.0,組織文化與制度
71,馬力,學習成長,0.0,產品與服務
72,避震,學習成長,0.0,產品與服務
73,外觀,學習成長,0.0,產品與服務
74,操控,學習成長,0.0,產品與服務
75,安全,學習成長,0.0,產品與服務
76,堅固,學習成長,0.0,產品與服務
77,配備,學習成長,0.0,產品與服務
78,價錢,學習成長,0.0,產品與服務
79,科技,學習成長,0.0,產品與服務
80,品質,學習成長,0.0,產品與服務
81,折舊,學習成長,0.0,產品與服務
82,品牌,學習成長,0.0,產品與服務
83,空間,學習成長,0.0,產品與服務
84,保養,學習成長,0.0,產品與服務
85,續航,學習成長,0.0,產品與服務
86,尺寸,學習成長,0.0,產品與服務
87,車種,學習成長,0.0,產品與服務
88,驅動,學習成長,0.0,產品與服務
89,變速箱,學習成長,0.0,產品與服務
90,引擎,學習成長,0.0,產品與服務
91,工學院,學習成長,0.0,科系專業
92,理學院,學習成長,0.0,科系專業
93,管理學院/商學院,學習成長,0.0,科系專業
94,社會學院,學習成長,0.0,科系專業
