,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.048131095111189,成長價值
2,薪資,成就感,-0.027027027027026983,經濟報酬
3,工作氛圍,成就感,-0.04516387521771444,人際價值
4,同事互動,成就感,-0.060794767011673696,人際價值
5,主管風格,成就感,0.14042937750071224,人際價值
6,公司規模,成就感,-0.027027027027026983,組織文化與制度
7,工作環境,成就感,-0.027027027027027025,組織文化與制度
8,馬力,成就感,-0.027027027027026983,產品與服務
9,安全,成就感,-0.027027027027026983,產品與服務
10,尺寸,成就感,-0.027027027027026976,產品與服務
11,工學院,成就感,-0.027027027027026987,科系專業
12,面試,成就感,-0.0977181486201633,招募資訊
13,學經歷,成就感,-0.06399221901922215,招募資訊
14,徵才,成就感,-0.06399221901922215,招募資訊
15,實習,成就感,0.3047077124190877,招募資訊
16,工作,成就感,-0.08534314687044968,招募資訊
17,招募人員,成就感,-0.07280590783689501,招募資訊
18,正向,成就感,-0.036835325791510325,情緒
19,負向,成就感,-0.0769069228224472,情緒
20,成就感,學習成長,-0.048131095111189,成長價值
21,學習成長,學習成長,1.0,成長價值
22,薪資,學習成長,-0.048131095111188966,經濟報酬
23,工作氛圍,學習成長,-0.08043011062666644,人際價值
24,同事互動,學習成長,0.0631553955620894,人際價值
25,主管風格,學習成長,-0.1630980846658687,人際價值
26,公司規模,學習成長,-0.04813109511118895,組織文化與制度
27,工作環境,學習成長,-0.048131095111188904,組織文化與制度
28,馬力,學習成長,0.5615294429638709,產品與服務
29,安全,學習成長,-0.04813109511118895,產品與服務
30,尺寸,學習成長,-0.04813109511118897,產品與服務
31,工學院,學習成長,-0.04813109511118894,科系專業
32,面試,學習成長,0.0023202855426276772,招募資訊
33,學經歷,學習成長,0.4634396776025271,招募資訊
34,徵才,學習成長,-0.11396057645963782,招募資訊
35,實習,學習成長,-0.08221801330902555,招募資訊
36,工作,學習成長,0.023027785970766962,招募資訊
37,招募人員,學習成長,-0.12965643876589988,招募資訊
38,正向,學習成長,0.11437854609990297,情緒
39,負向,學習成長,-0.27468247373511595,情緒
40,成就感,薪資,-0.02702702702702698,成長價值
41,學習成長,薪資,-0.048131095111188966,成長價值
42,薪資,薪資,1.0,經濟報酬
43,工作氛圍,薪資,-0.04516387521771446,人際價值
44,同事互動,薪資,-0.06079476701167372,人際價值
45,主管風格,薪資,-0.09158437663089947,人際價值
46,公司規模,薪資,-0.02702702702702699,組織文化與制度
47,工作環境,薪資,-0.02702702702702703,組織文化與制度
48,馬力,薪資,-0.02702702702702699,產品與服務
49,安全,薪資,-0.02702702702702699,產品與服務
50,尺寸,薪資,-0.027027027027026987,產品與服務
51,工學院,薪資,-0.027027027027026997,科系專業
52,面試,薪資,0.050813437282484934,招募資訊
53,學經歷,薪資,-0.06399221901922218,招募資訊
54,徵才,薪資,-0.06399221901922215,招募資訊
55,實習,薪資,-0.046167835215013296,招募資訊
56,工作,薪資,-0.08534314687044973,招募資訊
57,招募人員,薪資,-0.07280590783689503,招募資訊
58,正向,薪資,0.15923753678742403,情緒
59,負向,薪資,0.11439636988074312,情緒
60,成就感,工作氛圍,-0.04516387521771444,成長價值
61,學習成長,工作氛圍,-0.08043011062666644,成長價值
62,薪資,工作氛圍,-0.04516387521771446,經濟報酬
63,工作氛圍,工作氛圍,0.9999999999999999,人際價值
64,同事互動,工作氛圍,0.019048482943986526,人際價值
65,主管風格,工作氛圍,-0.05611587602421325,人際價值
66,公司規模,工作氛圍,-0.04516387521771446,組織文化與制度
67,工作環境,工作氛圍,-0.04516387521771452,組織文化與制度
68,馬力,工作氛圍,-0.04516387521771446,產品與服務
69,安全,工作氛圍,-0.04516387521771446,產品與服務
70,尺寸,工作氛圍,-0.04516387521771445,產品與服務
71,工學院,工作氛圍,-0.04516387521771447,科系專業
72,面試,工作氛圍,0.022861050802677366,招募資訊
73,學經歷,工作氛圍,-0.10693505400348588,招募資訊
74,徵才,工作氛圍,0.09624154860313715,招募資訊
75,實習,工作氛圍,-0.07714937890274605,招募資訊
76,工作,工作氛圍,0.3500520735189207,招募資訊
77,招募人員,工作氛圍,0.006759071480907979,招募資訊
78,正向,工作氛圍,0.2152799008883688,情緒
79,負向,工作氛圍,0.050028297723762244,情緒
80,成就感,同事互動,-0.06079476701167369,成長價值
81,學習成長,同事互動,0.0631553955620894,成長價值
82,薪資,同事互動,-0.06079476701167371,經濟報酬
83,工作氛圍,同事互動,0.019048482943986523,人際價值
84,同事互動,同事互動,1.0,人際價值
85,主管風格,同事互動,-0.140773828717392,人際價值
86,公司規模,同事互動,-0.06079476701167371,組織文化與制度
87,工作環境,同事互動,-0.060794767011673745,組織文化與制度
88,馬力,同事互動,0.2279803762937763,產品與服務
89,安全,同事互動,-0.06079476701167371,產品與服務
90,尺寸,同事互動,-0.060794767011673696,產品與服務
91,工學院,同事互動,-0.06079476701167374,科系專業
92,面試,同事互動,0.030773095764946228,招募資訊
93,學經歷,同事互動,-0.007197225284792201,招募資訊
94,徵才,同事互動,-0.007197225284792201,招募資訊
95,實習,同事互動,-0.10385022305721303,招募資訊
96,工作,同事互動,0.30540907569961356,招募資訊
97,招募人員,同事互動,0.009098337419369126,招募資訊
98,正向,同事互動,0.6741719127631459,情緒
99,負向,同事互動,-0.029936795487878826,情緒
100,成就感,主管風格,0.14042937750071224,成長價值
101,學習成長,主管風格,-0.1630980846658687,成長價值
102,薪資,主管風格,-0.09158437663089947,經濟報酬
103,工作氛圍,主管風格,-0.05611587602421325,人際價值
104,同事互動,主管風格,-0.14077382871739197,人際價值
105,主管風格,主管風格,1.0,人際價值
106,公司規模,主管風格,-0.0915843766308995,組織文化與制度
107,工作環境,主管風格,-0.0915843766308995,組織文化與制度
108,馬力,主管風格,-0.0915843766308995,產品與服務
109,安全,主管風格,-0.0915843766308995,產品與服務
110,尺寸,主管風格,-0.09158437663089945,產品與服務
111,工學院,主管風格,-0.09158437663089951,科系專業
112,面試,主管風格,0.5077324549063121,招募資訊
113,學經歷,主管風格,-0.21684543705982784,招募資訊
114,徵才,主管風格,-0.10697708228284837,招募資訊
115,實習,主管風格,-0.077179700631008,招募資訊
116,工作,主管風格,-0.15599038604219523,招募資訊
117,招募人員,主管風格,-0.03837737498290636,招募資訊
118,正向,主管風格,-0.17690798926194104,情緒
119,負向,主管風格,-0.13647463872787946,情緒
120,成就感,公司規模,-0.02702702702702698,成長價值
121,學習成長,公司規模,-0.04813109511118896,成長價值
122,薪資,公司規模,-0.02702702702702699,經濟報酬
123,工作氛圍,公司規模,-0.04516387521771446,人際價值
124,同事互動,公司規模,-0.06079476701167372,人際價值
125,主管風格,公司規模,-0.09158437663089948,人際價值
126,公司規模,公司規模,1.0,組織文化與制度
127,工作環境,公司規模,-0.02702702702702703,組織文化與制度
128,馬力,公司規模,-0.02702702702702699,產品與服務
129,安全,公司規模,-0.02702702702702699,產品與服務
130,尺寸,公司規模,-0.027027027027026987,產品與服務
131,工學院,公司規模,-0.027027027027026997,科系專業
132,面試,公司規模,-0.09771814862016334,招募資訊
133,學經歷,公司規模,-0.06399221901922215,招募資訊
134,徵才,公司規模,-0.06399221901922215,招募資訊
135,實習,公司規模,0.6555832600531877,招募資訊
136,工作,公司規模,-0.08534314687044975,招募資訊
137,招募人員,公司規模,-0.07280590783689503,招募資訊
138,正向,公司規模,-0.056805709943068466,情緒
139,負向,公司規模,0.041131279058244694,情緒
140,成就感,工作環境,-0.027027027027027025,成長價值
141,學習成長,工作環境,-0.0481310951111889,成長價值
142,薪資,工作環境,-0.02702702702702703,經濟報酬
143,工作氛圍,工作環境,-0.045163875217714526,人際價值
144,同事互動,工作環境,-0.060794767011673745,人際價值
145,主管風格,工作環境,-0.0915843766308995,人際價值
146,公司規模,工作環境,-0.02702702702702703,組織文化與制度
147,工作環境,工作環境,0.9999999999999999,組織文化與制度
148,馬力,工作環境,-0.02702702702702703,產品與服務
149,安全,工作環境,0.999999999999999,產品與服務
150,尺寸,工作環境,-0.027027027027027025,產品與服務
151,工學院,工作環境,-0.027027027027027018,科系專業
152,面試,工作環境,-0.09771814862016334,招募資訊
153,學經歷,工作環境,-0.06399221901922207,招募資訊
154,徵才,工作環境,0.42234864552686646,招募資訊
155,實習,工作環境,-0.04616783521501327,招募資訊
156,工作,工作環境,0.20947863322746726,招募資訊
157,招募人員,工作環境,-0.07280590783689499,招募資訊
158,正向,工作環境,-0.004156515361687926,情緒
159,負向,工作環境,-0.223437104467444,情緒
160,成就感,馬力,-0.02702702702702698,成長價值
161,學習成長,馬力,0.5615294429638709,成長價值
162,薪資,馬力,-0.02702702702702699,經濟報酬
163,工作氛圍,馬力,-0.04516387521771446,人際價值
164,同事互動,馬力,0.2279803762937763,人際價值
165,主管風格,馬力,-0.09158437663089948,人際價值
166,公司規模,馬力,-0.02702702702702699,組織文化與制度
167,工作環境,馬力,-0.02702702702702703,組織文化與制度
168,馬力,馬力,0.9999999999999998,產品與服務
169,安全,馬力,-0.02702702702702699,產品與服務
170,尺寸,馬力,-0.027027027027026987,產品與服務
171,工學院,馬力,-0.027027027027026997,科系專業
172,面試,馬力,-0.09771814862016334,招募資訊
173,學經歷,馬力,-0.06399221901922215,招募資訊
174,徵才,馬力,-0.06399221901922215,招募資訊
175,實習,馬力,-0.04616783521501329,招募資訊
176,工作,馬力,0.20947863322746735,招募資訊
177,招募人員,馬力,-0.07280590783689503,招募資訊
178,正向,馬力,0.3426019730880942,情緒
179,負向,馬力,-0.6182545383442408,情緒
180,成就感,安全,-0.02702702702702698,成長價值
181,學習成長,安全,-0.04813109511118896,成長價值
182,薪資,安全,-0.02702702702702699,經濟報酬
183,工作氛圍,安全,-0.04516387521771446,人際價值
184,同事互動,安全,-0.06079476701167372,人際價值
185,主管風格,安全,-0.09158437663089948,人際價值
186,公司規模,安全,-0.02702702702702699,組織文化與制度
187,工作環境,安全,0.999999999999999,組織文化與制度
188,馬力,安全,-0.02702702702702699,產品與服務
189,安全,安全,1.0,產品與服務
190,尺寸,安全,-0.027027027027026987,產品與服務
191,工學院,安全,-0.027027027027026997,科系專業
192,面試,安全,-0.09771814862016334,招募資訊
193,學經歷,安全,-0.06399221901922215,招募資訊
194,徵才,安全,0.4223486455268662,招募資訊
195,實習,安全,-0.04616783521501329,招募資訊
196,工作,安全,0.20947863322746735,招募資訊
197,招募人員,安全,-0.07280590783689503,招募資訊
198,正向,安全,-0.004156515361687931,情緒
199,負向,安全,-0.2234371044674438,情緒
200,成就感,尺寸,-0.027027027027026976,成長價值
201,學習成長,尺寸,-0.04813109511118897,成長價值
202,薪資,尺寸,-0.027027027027026987,經濟報酬
203,工作氛圍,尺寸,-0.04516387521771445,人際價值
204,同事互動,尺寸,-0.0607947670116737,人際價值
205,主管風格,尺寸,-0.09158437663089944,人際價值
206,公司規模,尺寸,-0.027027027027026987,組織文化與制度
207,工作環境,尺寸,-0.027027027027027025,組織文化與制度
208,馬力,尺寸,-0.027027027027026987,產品與服務
209,安全,尺寸,-0.027027027027026987,產品與服務
210,尺寸,尺寸,1.0,產品與服務
211,工學院,尺寸,-0.027027027027026994,科系專業
212,面試,尺寸,-0.09771814862016333,招募資訊
213,學經歷,尺寸,0.42234864552686624,招募資訊
214,徵才,尺寸,-0.06399221901922217,招募資訊
215,實習,尺寸,-0.0461678352150133,招募資訊
216,工作,尺寸,-0.0853431468704497,招募資訊
217,招募人員,尺寸,-0.07280590783689501,招募資訊
218,正向,尺寸,0.28995277850671364,情緒
219,負向,尺寸,-0.1257503167041128,情緒
220,成就感,工學院,-0.027027027027026987,成長價值
221,學習成長,工學院,-0.04813109511118893,成長價值
222,薪資,工學院,-0.027027027027026997,經濟報酬
223,工作氛圍,工學院,-0.045163875217714464,人際價值
224,同事互動,工學院,-0.060794767011673724,人際價值
225,主管風格,工學院,-0.09158437663089951,人際價值
226,公司規模,工學院,-0.027027027027026997,組織文化與制度
227,工作環境,工學院,-0.027027027027027018,組織文化與制度
228,馬力,工學院,-0.027027027027026997,產品與服務
229,安全,工學院,-0.027027027027026997,產品與服務
230,尺寸,工學院,-0.02702702702702699,產品與服務
231,工學院,工學院,1.0,科系專業
232,面試,工學院,-0.09771814862016336,招募資訊
233,學經歷,工學院,-0.06399221901922215,招募資訊
234,徵才,工學院,0.4223486455268662,招募資訊
235,實習,工學院,-0.04616783521501328,招募資訊
236,工作,工學院,-0.08534314687044976,招募資訊
237,招募人員,工學院,-0.07280590783689504,招募資訊
238,正向,工學院,-0.10219294665115508,情緒
239,負向,工學院,0.11439636988074316,情緒
240,成就感,面試,-0.09771814862016331,成長價值
241,學習成長,面試,0.0023202855426276777,成長價值
242,薪資,面試,0.05081343728248493,經濟報酬
243,工作氛圍,面試,0.022861050802677366,人際價值
244,同事互動,面試,0.030773095764946228,人際價值
245,主管風格,面試,0.5077324549063121,人際價值
246,公司規模,面試,-0.09771814862016334,組織文化與制度
247,工作環境,面試,-0.09771814862016333,組織文化與制度
248,馬力,面試,-0.09771814862016334,產品與服務
249,安全,面試,-0.09771814862016334,產品與服務
250,尺寸,面試,-0.09771814862016333,產品與服務
251,工學院,面試,-0.09771814862016334,科系專業
252,面試,面試,1.0,招募資訊
253,學經歷,面試,-0.09069642975016336,招募資訊
254,徵才,面試,-0.020360423005138698,招募資訊
255,實習,面試,-0.1669231091714397,招募資訊
256,工作,面試,-0.13801237339267333,招募資訊
257,招募人員,面試,0.09242472116030052,招募資訊
258,正向,面試,-0.0888078979128214,情緒
259,負向,面試,0.050996193778727904,情緒
260,成就感,學經歷,-0.06399221901922215,成長價值
261,學習成長,學經歷,0.4634396776025271,成長價值
262,薪資,學經歷,-0.06399221901922218,經濟報酬
263,工作氛圍,學經歷,-0.10693505400348588,人際價值
264,同事互動,學經歷,-0.007197225284792201,人際價值
265,主管風格,學經歷,-0.21684543705982784,人際價值
266,公司規模,學經歷,-0.06399221901922215,組織文化與制度
267,工作環境,學經歷,-0.06399221901922207,組織文化與制度
268,馬力,學經歷,-0.06399221901922215,產品與服務
269,安全,學經歷,-0.06399221901922215,產品與服務
270,尺寸,學經歷,0.4223486455268662,產品與服務
271,工學院,學經歷,-0.06399221901922215,科系專業
272,面試,學經歷,-0.09069642975016336,招募資訊
273,學經歷,學經歷,0.9999999999999999,招募資訊
274,徵才,學經歷,-0.15151515151515152,招募資訊
275,實習,學經歷,-0.10931214224073199,招募資訊
276,工作,學經歷,-0.2020680018139682,招募資訊
277,招募人員,學經歷,-0.17238342920709987,招募資訊
278,正向,學經歷,-0.04594930539293177,情緒
279,負向,學經歷,0.12244389782465333,情緒
280,成就感,徵才,-0.06399221901922215,成長價值
281,學習成長,徵才,-0.11396057645963784,成長價值
282,薪資,徵才,-0.06399221901922215,經濟報酬
283,工作氛圍,徵才,0.09624154860313715,人際價值
284,同事互動,徵才,-0.007197225284792201,人際價值
285,主管風格,徵才,-0.10697708228284838,人際價值
286,公司規模,徵才,-0.06399221901922215,組織文化與制度
287,工作環境,徵才,0.42234864552686646,組織文化與制度
288,馬力,徵才,-0.06399221901922214,產品與服務
289,安全,徵才,0.4223486455268662,產品與服務
290,尺寸,徵才,-0.06399221901922215,產品與服務
291,工學院,徵才,0.4223486455268662,科系專業
292,面試,徵才,-0.020360423005138698,招募資訊
293,學經歷,徵才,-0.15151515151515152,招募資訊
294,徵才,徵才,1.0,招募資訊
295,實習,徵才,-0.10931214224073199,招募資訊
296,工作,徵才,0.21676385649134752,招募資訊
297,招募人員,徵才,0.5554577163339887,招募資訊
298,正向,徵才,0.03486355470729093,情緒
299,負向,徵才,-0.18209345202589286,情緒
300,成就感,實習,0.3047077124190877,成長價值
301,學習成長,實習,-0.08221801330902553,成長價值
302,薪資,實習,-0.046167835215013296,經濟報酬
303,工作氛圍,實習,-0.07714937890274605,人際價值
304,同事互動,實習,-0.10385022305721303,人際價值
