,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.007630474101306012,成長價值
2,薪資,成就感,-0.008693680296150696,經濟報酬
3,福利,成就感,-0.008312995570858316,經濟報酬
4,管理制度,成就感,-0.011584479574182526,經濟報酬
5,工作氛圍,成就感,-0.006100964455683299,人際價值
6,同事互動,成就感,-0.009664655553706608,人際價值
7,主管風格,成就感,0.07195185751754116,人際價值
8,工作地點,成就感,-0.007092471306010255,組織文化與制度
9,公司規模,成就感,-0.0049689786049633275,組織文化與制度
10,工作環境,成就感,-0.007500375028127363,組織文化與制度
11,產業前景,成就感,-0.007916090846973083,組織文化與制度
12,多元性,成就感,-0.004968978604963333,組織文化與制度
13,變化性,成就感,-0.0065980682176065356,組織文化與制度
14,工學院,成就感,-0.0024752475247524818,科系專業
15,面試,成就感,0.04023229051748386,招募資訊
16,學經歷,成就感,-0.015057557760247647,招募資訊
17,徵才,成就感,-0.01196800442107741,招募資訊
18,實習,成就感,-0.004297906054508028,招募資訊
19,工作,成就感,-0.01672981308647549,招募資訊
20,離職,成就感,-0.006100964455683299,招募資訊
21,新鮮人,成就感,-0.003504869016467379,招募資訊
22,畢業,成就感,-0.004297906054508028,招募資訊
23,證照,成就感,-0.004968978604963332,招募資訊
24,招募人員,成就感,0.07634499450830834,招募資訊
25,正向,成就感,0.06411300808126592,情緒
26,負向,成就感,-0.0329572395863496,情緒
27,成就感,學習成長,-0.007630474101306012,成長價值
28,學習成長,學習成長,1.0,成長價值
29,薪資,學習成長,0.09654130010790211,經濟報酬
30,福利,學習成長,-0.025626567352713153,經濟報酬
31,管理制度,學習成長,0.061683687983642516,經濟報酬
32,工作氛圍,學習成長,-0.01880751351392029,人際價值
33,同事互動,學習成長,-0.02979334517584306,人際價值
34,主管風格,學習成長,0.011735467597298542,人際價值
35,工作地點,學習成長,-0.021864043120365946,組織文化與制度
36,公司規模,學習成長,-0.015317927672266987,組織文化與制度
37,工作環境,學習成長,-0.023121492630492107,組織文化與制度
38,產業前景,學習成長,-0.0244030245813311,組織文化與制度
39,多元性,學習成長,-0.015317927672266996,組織文化與制度
40,變化性,學習成長,-0.020339941015851085,組織文化與制度
41,工學院,學習成長,-0.0076304741013060095,科系專業
42,面試,學習成長,-0.060848259108692244,招募資訊
43,學經歷,學習成長,0.026306586766852266,招募資訊
44,徵才,學習成長,-0.036893905302856175,招募資訊
45,實習,學習成長,-0.013249204578862972,招募資訊
46,工作,學習成長,0.10666272933911823,招募資訊
47,離職,學習成長,-0.018807513513920272,招募資訊
48,新鮮人,學習成長,-0.01080450015248416,招募資訊
49,畢業,學習成長,-0.01324920457886295,招募資訊
50,證照,學習成長,-0.015317927672266989,招募資訊
51,招募人員,學習成長,-0.059748194487027825,招募資訊
52,正向,學習成長,0.11759693625915513,情緒
53,負向,學習成長,-0.04027567552563637,情緒
54,成就感,薪資,-0.008693680296150696,成長價值
55,學習成長,薪資,0.09654130010790211,成長價值
56,薪資,薪資,0.9999999999999999,經濟報酬
57,福利,薪資,0.46350701719494675,經濟報酬
58,管理制度,薪資,0.01017188794333833,經濟報酬
59,工作氛圍,薪資,-0.021428093128259457,人際價值
60,同事互動,薪資,-0.033944655924762396,人際價值
61,主管風格,薪資,0.01960351609537967,人際價值
62,工作地點,薪資,-0.02491050992980654,組織文化與制度
63,公司規模,薪資,-0.017452279401545475,組織文化與制度
64,工作環境,薪資,-0.026343168488691688,組織文化與制度
65,產業前景,薪資,-0.027803265059623012,組織文化與制度
66,多元性,薪資,-0.017452279401545475,組織文化與制度
67,變化性,薪資,-0.023174044245049832,組織文化與制度
68,工學院,薪資,-0.008693680296150695,科系專業
69,面試,薪資,-0.051773963714836155,招募資訊
70,學經歷,薪資,0.004078962579866503,招募資訊
71,徵才,薪資,-0.042034585704785125,招募資訊
72,實習,薪資,-0.015095306957036404,招募資訊
73,工作,薪資,0.0445284813645299,招募資訊
74,離職,薪資,-0.02142809312825942,招募資訊
75,新鮮人,薪資,-0.012309965126456794,招募資訊
76,畢業,薪資,-0.01509530695703642,招募資訊
77,證照,薪資,-0.01745227940154547,招募資訊
78,招募人員,薪資,-0.012037355270667065,招募資訊
79,正向,薪資,0.008585014569266757,情緒
80,負向,薪資,0.00432891348482683,情緒
81,成就感,福利,-0.008312995570858316,成長價值
82,學習成長,福利,-0.025626567352713153,成長價值
83,薪資,福利,0.4635070171949467,經濟報酬
84,福利,福利,1.0,經濟報酬
85,管理制度,福利,0.06720109631385263,經濟報酬
86,工作氛圍,福利,-0.020489785361215943,人際價值
87,同事互動,福利,-0.032458264479981035,人際價值
88,主管風格,福利,0.07000055844941805,人際價值
89,工作地點,福利,-0.02381971175153438,組織文化與制度
90,公司規模,福利,-0.01668806724243892,組織文化與制度
91,工作環境,福利,0.07785887519652665,組織文化與制度
92,產業前景,福利,-0.026585796972357256,組織文化與制度
93,多元性,福利,-0.016688067242438927,組織文化與制度
94,變化性,福利,-0.022159283595150257,組織文化與制度
95,工學院,福利,-0.008312995570858312,科系專業
96,面試,福利,0.034413601780349294,招募資訊
97,學經歷,福利,-0.010955215666382816,招募資訊
98,徵才,福利,-0.0401939469687494,招募資訊
99,實習,福利,-0.014434303494016447,招募資訊
100,工作,福利,0.03000856228805615,招募資訊
101,離職,福利,-0.020489785361215908,招募資訊
102,新鮮人,福利,-0.011770928086574041,招募資訊
103,畢業,福利,-0.01443430349401644,招募資訊
104,證照,福利,-0.016688067242438934,招募資訊
105,招募人員,福利,0.08104085815417769,招募資訊
106,正向,福利,0.10433249468048879,情緒
107,負向,福利,0.05633235807853868,情緒
108,成就感,管理制度,-0.011584479574182526,成長價值
109,學習成長,管理制度,0.06168368798364251,成長價值
110,薪資,管理制度,0.010171887943338329,經濟報酬
111,福利,管理制度,0.06720109631385261,經濟報酬
112,管理制度,管理制度,1.0,經濟報酬
113,工作氛圍,管理制度,-0.028553305240349398,人際價值
114,同事互動,管理制度,0.1809273678431323,人際價值
115,主管風格,管理制度,-0.020572786324762095,人際價值
116,工作地點,管理制度,-0.03319368594588035,組織文化與制度
117,公司規模,管理制度,0.1511605198097408,組織文化與制度
118,工作環境,管理制度,0.02340181886004543,組織文化與制度
119,產業前景,管理制度,0.018524166130274928,組織文化與制度
120,多元性,管理制度,0.2383685120076676,組織文化與制度
121,變化性,管理制度,0.1014622504171629,組織文化與制度
122,工學院,管理制度,-0.011584479574182526,科系專業
123,面試,管理制度,-0.051837567199307495,招募資訊
124,學經歷,管理制度,-0.04798047591864332,招募資訊
125,徵才,管理制度,0.049010336825552885,招募資訊
126,實習,管理制度,-0.02011475797968221,招募資訊
127,工作,管理制度,0.01957442397599695,招募資訊
128,離職,管理制度,-0.028553305240349366,招募資訊
129,新鮮人,管理制度,-0.016403241746706366,招募資訊
130,畢業,管理制度,-0.020114757979682315,招募資訊
131,證照,管理制度,-0.02325546458611404,招募資訊
132,招募人員,管理制度,-0.024336528043195707,招募資訊
133,正向,管理制度,0.1425271682676544,情緒
134,負向,管理制度,-0.012010815535171328,情緒
135,成就感,工作氛圍,-0.006100964455683299,成長價值
136,學習成長,工作氛圍,-0.018807513513920293,成長價值
137,薪資,工作氛圍,-0.021428093128259454,經濟報酬
138,福利,工作氛圍,-0.020489785361215943,經濟報酬
139,管理制度,工作氛圍,-0.028553305240349394,經濟報酬
140,工作氛圍,工作氛圍,0.9999999999999999,人際價值
141,同事互動,工作氛圍,0.15483872874517288,人際價值
142,主管風格,工作氛圍,0.02338004473566242,人際價值
143,工作地點,工作氛圍,-0.0174814497977326,組織文化與制度
144,公司規模,工作氛圍,-0.012247486987372535,組織文化與制度
145,工作環境,工作氛圍,-0.018486846666163445,組織文化與制度
146,產業前景,工作氛圍,-0.019511498709678464,組織文化與制度
147,多元性,工作氛圍,-0.012247486987372536,組織文化與制度
148,變化性,工作氛圍,-0.016262850187403564,組織文化與制度
149,工學院,工作氛圍,-0.006100964455683297,科系專業
150,面試,工作氛圍,0.07206462287140387,招募資訊
151,學經歷,工作氛圍,-0.037113712372606265,招募資訊
152,徵才,工作氛圍,0.05346623662382287,招募資訊
153,實習,工作氛圍,0.22775883782103518,招募資訊
154,工作,工作氛圍,0.016751909677866984,招募資訊
155,離職,工作氛圍,-0.015037593984962443,招募資訊
156,新鮮人,工作氛圍,0.2829195485650989,招募資訊
157,畢業,工作氛圍,-0.010593434317257485,招募資訊
158,證照,工作氛圍,-0.012247486987372545,招募資訊
159,招募人員,工作氛圍,0.07020126736916683,招募資訊
160,正向,工作氛圍,0.09402492147788857,情緒
161,負向,工作氛圍,0.09854454163436481,情緒
162,成就感,同事互動,-0.009664655553706606,成長價值
163,學習成長,同事互動,-0.02979334517584306,成長價值
164,薪資,同事互動,-0.0339446559247624,經濟報酬
165,福利,同事互動,-0.032458264479981035,經濟報酬
166,管理制度,同事互動,0.18092736784313232,經濟報酬
167,工作氛圍,同事互動,0.15483872874517288,人際價值
168,同事互動,同事互動,1.0,人際價值
169,主管風格,同事互動,-0.003613344404115613,人際價值
170,工作地點,同事互動,-0.027692702047643288,組織文化與制度
171,公司規模,同事互動,-0.019401480534966074,組織文化與制度
172,工作環境,同事互動,0.043928055949306884,組織文化與制度
173,產業前景,同事互動,-0.030908541712609105,組織文化與制度
174,多元性,同事互動,0.0897318474742183,組織文化與制度
175,變化性,同事互動,-0.025762294883782504,組織文化與制度
176,工學院,同事互動,-0.009664655553706603,科系專業
177,面試,同事互動,0.14277819796544217,招募資訊
178,學經歷,同事互動,0.025643558226943374,招募資訊
179,徵才,同事互動,-0.0029205826699724253,招募資訊
180,實習,同事互動,-0.016781263774080082,招募資訊
181,工作,同事互動,-0.06532190390730618,招募資訊
182,離職,同事互動,-0.023821342883872783,招募資訊
183,新鮮人,同事互動,0.1402695498245691,招募資訊
184,畢業,同事互動,-0.016781263774080027,招募資訊
185,證照,同事互動,-0.01940148053496607,招募資訊
186,招募人員,同事互動,0.13197200928440006,招募資訊
187,正向,同事互動,0.2278008245289561,情緒
188,負向,同事互動,0.07304298649514444,情緒
189,成就感,主管風格,0.07195185751754116,成長價值
190,學習成長,主管風格,0.011735467597298542,成長價值
191,薪資,主管風格,0.019603516095379667,經濟報酬
192,福利,主管風格,0.07000055844941805,經濟報酬
193,管理制度,主管風格,-0.020572786324762095,經濟報酬
194,工作氛圍,主管風格,0.02338004473566242,人際價值
195,同事互動,主管風格,-0.003613344404115613,人際價值
196,主管風格,主管風格,1.0,人際價值
197,工作地點,主管風格,-0.06231440137923062,組織文化與制度
198,公司規模,主管風格,-0.0436574099315852,組織文化與制度
199,工作環境,主管風格,0.060289879623755246,組織文化與制度
200,產業前景,主管風格,0.08027928468296783,組織文化與制度
201,多元性,主管風格,0.05039179763379785,組織文化與制度
202,變化性,主管風格,0.013391380051982675,組織文化與制度
203,工學院,主管風格,-0.021747506773790587,科系專業
204,面試,主管風格,0.23016280025001845,招募資訊
205,學經歷,主管風格,0.28004264074002516,招募資訊
206,徵才,主管風格,-0.010766770736010078,招募資訊
207,實習,主管風格,0.07070214215370238,招募資訊
208,工作,主管風格,0.011336841679831289,招募資訊
209,離職,主管風格,-0.01511149232914764,招募資訊
210,新鮮人,主管風格,-0.03079375372145663,招募資訊
211,畢業,主管風格,-0.03776137137754561,招募資訊
212,證照,主管風格,-0.04365740993158522,招募資訊
213,招募人員,主管風格,0.1876078548477893,招募資訊
214,正向,主管風格,0.2041050657279359,情緒
215,負向,主管風格,0.13993311639122682,情緒
216,成就感,工作地點,-0.007092471306010255,成長價值
217,學習成長,工作地點,-0.021864043120365946,成長價值
218,薪資,工作地點,-0.02491050992980654,經濟報酬
219,福利,工作地點,-0.023819711751534377,經濟報酬
220,管理制度,工作地點,-0.03319368594588035,經濟報酬
