,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,0.0822139697756027,成長價值
2,薪資,成就感,-0.013239394466982175,經濟報酬
3,福利,成就感,-0.008323226815297732,經濟報酬
4,管理制度,成就感,-0.012089425557317231,經濟報酬
5,工作氛圍,成就感,-0.006429085315937879,人際價值
6,同事互動,成就感,0.10733136411540384,人際價值
7,主管風格,成就感,0.126025280382206,人際價值
8,工作地點,成就感,-0.004764716054785304,組織文化與制度
9,公司規模,成就感,0.1583208659022011,組織文化與制度
10,工作環境,成就感,0.2975782054999054,組織文化與制度
11,產業前景,成就感,-0.004264712246223296,組織文化與制度
12,多元性,成就感,-0.0032989768325475425,組織文化與制度
13,變化性,成就感,-0.00872288963926874,組織文化與制度
14,工學院,成就感,-0.0019021034057321853,科系專業
15,管理學院/商學院,成就感,-0.0019021034057321812,科系專業
16,面試,成就感,0.15252333975006455,招募資訊
17,學經歷,成就感,0.13893269673042388,招募資訊
18,徵才,成就感,-0.01003061518607868,招募資訊
19,實習,成就感,-0.005052908454723186,招募資訊
20,工作,成就感,-0.019321765735322228,招募資訊
21,離職,成就感,-0.00642908531593787,招募資訊
22,新鮮人,成就感,-0.0019021034057321827,招募資訊
23,畢業,成就感,0.4693213336674893,招募資訊
24,證照,成就感,-0.005183768504868733,招募資訊
25,招募人員,成就感,-0.016886330722481222,招募資訊
26,正向,成就感,0.1438354349628956,情緒
27,負向,成就感,0.08372166924953178,情緒
28,成就感,學習成長,0.0822139697756027,成長價值
29,學習成長,學習成長,1.0,成長價值
30,薪資,學習成長,0.11433688975215953,經濟報酬
31,福利,學習成長,0.010877964668057793,經濟報酬
32,管理制度,學習成長,0.1029562811177938,經濟報酬
33,工作氛圍,學習成長,0.009659676939468077,人際價值
34,同事互動,學習成長,0.0075068947260238175,人際價值
35,主管風格,學習成長,0.07612147548680129,人際價值
36,工作地點,學習成長,-0.017998726835864988,組織文化與制度
37,公司規模,學習成長,0.011863097222872229,組織文化與制度
38,工作環境,學習成長,0.028359949593060926,組織文化與制度
39,產業前景,學習成長,-0.016109961196166225,組織文化與制度
40,多元性,學習成長,-0.012461893251170085,組織文化與制度
41,變化性,學習成長,-0.014240143403236417,組織文化與制度
42,工學院,學習成長,-0.007185200381239632,科系專業
43,管理學院/商學院,學習成長,-0.007185200381239632,科系專業
44,面試,學習成長,0.09035513270852863,招募資訊
45,學經歷,學習成長,0.10223346270806956,招募資訊
46,徵才,學習成長,0.09236632330157327,招募資訊
47,實習,學習成長,-0.019087374348751966,招募資訊
48,工作,學習成長,0.012270633768780438,招募資訊
49,離職,學習成長,0.009659676939468074,招募資訊
50,新鮮人,學習成長,-0.007185200381239632,招募資訊
51,畢業,學習成長,-0.0168157691020696,招募資訊
52,證照,學習成長,0.05948803261928604,招募資訊
53,招募人員,學習成長,0.0013285557420732825,招募資訊
54,正向,學習成長,0.2517480791241855,情緒
55,負向,學習成長,0.09910414490884455,情緒
56,成就感,薪資,-0.013239394466982175,成長價值
57,學習成長,薪資,0.11433688975215953,成長價值
58,薪資,薪資,1.0,經濟報酬
59,福利,薪資,0.36762876764842145,經濟報酬
60,管理制度,薪資,0.08121371694763926,經濟報酬
61,工作氛圍,薪資,0.02621285762902629,人際價值
62,同事互動,薪資,-0.00959226185565805,人際價值
63,主管風格,薪資,-0.0028431784420220197,人際價值
64,工作地點,薪資,0.017839368197447778,組織文化與制度
65,公司規模,薪資,0.04459352231882553,組織文化與制度
66,工作環境,薪資,-0.036238161402058225,組織文化與制度
67,產業前景,薪資,-0.020975710166464184,組織文化與制度
68,多元性,薪資,-0.0162258032641422,組織文化與制度
69,變化性,薪資,-0.04290296609094432,組織文化與制度
70,工學院,薪資,-0.009355372048985225,科系專業
71,管理學院/商學院,薪資,-0.009355372048985233,科系專業
72,面試,薪資,0.013232232835878528,招募資訊
73,學經歷,薪資,-0.02063803130491372,招募資訊
74,徵才,薪資,-0.028199493774265567,招募資訊
75,實習,薪資,-0.02485240202027945,招募資訊
76,工作,薪資,0.007185234457853089,招募資訊
77,離職,薪資,0.0069348922453889485,招募資訊
78,新鮮人,薪資,-0.009355372048985233,招募資訊
79,畢業,薪資,0.0028948913831685595,招募資訊
80,證照,薪資,0.01940832443012251,招募資訊
81,招募人員,薪資,0.005698443717208336,招募資訊
82,正向,薪資,0.13696017402783794,情緒
83,負向,薪資,0.02376039708829553,情緒
84,成就感,福利,-0.008323226815297733,成長價值
85,學習成長,福利,0.010877964668057793,成長價值
86,薪資,福利,0.3676287676484214,經濟報酬
87,福利,福利,1.0,經濟報酬
88,管理制度,福利,-0.021986660693053005,經濟報酬
89,工作氛圍,福利,-0.019879238163746194,人際價值
90,同事互動,福利,-0.029069521004249557,人際價值
91,主管風格,福利,-0.05158247309975293,人際價值
92,工作地點,福利,0.03043582063514955,組織文化與制度
93,公司規模,福利,-0.01489611744733205,組織文化與制度
94,工作環境,福利,0.04706382343585736,組織文化與制度
95,產業前景,福利,-0.01318682616208982,組織文化與制度
96,多元性,福利,-0.010200696199864698,組織文化與制度
97,變化性,福利,-0.026971861795832972,組織文化與制度
98,工學院,福利,-0.005881453543770014,科系專業
99,管理學院/商學院,福利,-0.005881453543770001,科系專業
100,面試,福利,-0.06738821938533639,招募資訊
101,學經歷,福利,-0.043149449306658635,招募資訊
102,徵才,福利,-0.03101545218549604,招募資訊
103,實習,福利,-0.015623990918589226,招募資訊
