,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.5555555555555556,成長價值
2,薪資,成就感,-0.03703703703703699,經濟報酬
3,福利,成就感,-0.03703703703703699,經濟報酬
4,工作氛圍,成就感,-0.05719985192121503,人際價值
5,公司規模,成就感,-0.03703703703703701,組織文化與制度
6,面試,成就感,-0.053376051268362375,招募資訊
7,徵才,成就感,0.5555555555555556,招募資訊
8,實習,成就感,-0.06666666666666664,招募資訊
9,工作,成就感,0.8509629433967633,招募資訊
10,能力,成就感,-0.06666666666666664,招募資訊
11,招募人員,成就感,-0.053376051268362375,招募資訊
12,正向,成就感,0.30429030972509213,情緒
13,負向,成就感,0.1985966277698706,情緒
14,成就感,學習成長,0.5555555555555556,成長價值
15,學習成長,學習成長,0.9999999999999998,成長價值
16,薪資,學習成長,-0.06666666666666658,經濟報酬
17,福利,學習成長,-0.06666666666666658,經濟報酬
18,工作氛圍,學習成長,-0.10295973345818708,人際價值
19,公司規模,學習成長,-0.0666666666666666,組織文化與制度
20,面試,學習成長,-0.09607689228305222,招募資訊
21,徵才,學習成長,0.6266666666666664,招募資訊
22,實習,學習成長,-0.12,招募資訊
23,工作,學習成長,0.6240394918242931,招募資訊
24,能力,學習成長,-0.11999999999999998,招募資訊
25,招募人員,學習成長,-0.09607689228305222,招募資訊
26,正向,學習成長,0.036514837167011045,情緒
27,負向,學習成長,0.006271472455890688,情緒
28,成就感,薪資,-0.03703703703703699,成長價值
29,學習成長,薪資,-0.06666666666666657,成長價值
30,薪資,薪資,0.9999999999999999,經濟報酬
31,福利,薪資,0.9999999999999999,經濟報酬
32,工作氛圍,薪資,-0.05719985192121504,人際價值
33,公司規模,薪資,-0.03703703703703697,組織文化與制度
34,面試,薪資,-0.053376051268362326,招募資訊
35,徵才,薪資,-0.06666666666666657,招募資訊
36,實習,薪資,-0.06666666666666667,招募資訊
37,工作,薪資,-0.09455143815519586,招募資訊
38,能力,薪資,-0.06666666666666667,招募資訊
39,招募人員,薪資,-0.053376051268362326,招募資訊
40,正向,薪資,0.3042903097250922,情緒
41,負向,薪資,-0.09407208683835969,情緒
42,成就感,福利,-0.03703703703703699,成長價值
43,學習成長,福利,-0.06666666666666657,成長價值
44,薪資,福利,0.9999999999999999,經濟報酬
45,福利,福利,0.9999999999999999,經濟報酬
46,工作氛圍,福利,-0.05719985192121504,人際價值
47,公司規模,福利,-0.03703703703703697,組織文化與制度
48,面試,福利,-0.053376051268362326,招募資訊
49,徵才,福利,-0.06666666666666657,招募資訊
50,實習,福利,-0.06666666666666667,招募資訊
51,工作,福利,-0.09455143815519586,招募資訊
52,能力,福利,-0.06666666666666667,招募資訊
53,招募人員,福利,-0.053376051268362326,招募資訊
54,正向,福利,0.3042903097250922,情緒
55,負向,福利,-0.09407208683835969,情緒
56,成就感,工作氛圍,-0.05719985192121503,成長價值
57,學習成長,工作氛圍,-0.1029597334581871,成長價值
58,薪資,工作氛圍,-0.057199851921215045,經濟報酬
59,福利,工作氛圍,-0.057199851921215045,經濟報酬
60,工作氛圍,工作氛圍,0.9999999999999998,人際價值
61,公司規模,工作氛圍,-0.05719985192121503,組織文化與制度
62,面試,工作氛圍,-0.08243376017461687,招募資訊
63,徵才,工作氛圍,-0.1029597334581871,招募資訊
64,實習,工作氛圍,0.47361477390766055,招募資訊
65,工作,工作氛圍,-0.08761491783492506,招募資訊
66,能力,工作氛圍,-0.1029597334581871,招募資訊
67,招募人員,工作氛圍,-0.08243376017461687,招募資訊
68,正向,工作氛圍,-0.18797789509922816,情緒
69,負向,工作氛圍,0.8491075091702537,情緒
70,成就感,公司規模,-0.03703703703703701,成長價值
71,學習成長,公司規模,-0.0666666666666666,成長價值
72,薪資,公司規模,-0.03703703703703697,經濟報酬
73,福利,公司規模,-0.03703703703703697,經濟報酬
74,工作氛圍,公司規模,-0.05719985192121503,人際價值
75,公司規模,公司規模,1.0,組織文化與制度
76,面試,公司規模,-0.05337605126836234,招募資訊
77,徵才,公司規模,-0.0666666666666666,招募資訊
78,實習,公司規模,-0.06666666666666668,招募資訊
79,工作,公司規模,0.09455143815519589,招募資訊
