,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.024032803130483435,成長價值
2,薪資,成就感,-0.025207922582584186,經濟報酬
3,福利,成就感,-0.025433543007485567,經濟報酬
4,管理制度,成就感,-0.018781205660633783,經濟報酬
5,工作氛圍,成就感,-0.013155617299397704,人際價值
6,同事互動,成就感,-0.017710464251759345,人際價值
7,主管風格,成就感,-0.04649495242849481,人際價值
8,公司規模,成就感,-0.02109873681424299,組織文化與制度
9,工作環境,成就感,-0.01766973373601551,組織文化與制度
10,產業前景,成就感,-0.016188097705954363,組織文化與制度
11,變化性,成就感,-0.020132811296304665,組織文化與制度
12,工學院,成就感,-0.014041841874841735,科系專業
13,面試,成就感,-0.05797905247371343,招募資訊
14,學經歷,成就感,-0.029427800551238267,招募資訊
15,徵才,成就感,-0.025900594339123888,招募資訊
16,實習,成就感,-0.016188097705954373,招募資訊
17,工作,成就感,0.10743971315195752,招募資訊
18,離職,成就感,-0.012468866701345432,招募資訊
19,新鮮人,成就感,-0.00925925925925928,招募資訊
20,招募人員,成就感,-0.047599623164794776,招募資訊
21,正向,成就感,0.2018372149033305,情緒
22,負向,成就感,0.08953671176716045,情緒
23,成就感,學習成長,-0.024032803130483435,成長價值
24,學習成長,學習成長,1.0,成長價值
25,薪資,學習成長,0.18927455259039216,經濟報酬
26,福利,學習成長,-0.06601384785703447,經濟報酬
27,管理制度,學習成長,-0.048747421965074006,經濟報酬
28,工作氛圍,學習成長,-0.0341459669465718,人際價值
29,同事互動,學習成長,-0.04596826687689558,人際價值
30,主管風格,學習成長,-0.06195606319365111,人際價值
31,公司規模,學習成長,0.243693895389016,組織文化與制度
32,工作環境,學習成長,-0.04586254908253766,組織文化與制度
33,產業前景,學習成長,-0.04201689944421707,組織文化與制度
34,變化性,學習成長,-0.05225557215750413,組織文化與制度
35,工學院,學習成長,-0.036446200707684416,科系專業
36,面試,學習成長,0.12289780536451822,招募資訊
37,學經歷,學習成長,0.1684877515120424,招募資訊
38,徵才,學習成長,0.441638126205063,招募資訊
39,實習,學習成長,-0.042016899444216986,招募資訊
40,工作,學習成長,0.4308454474078531,招募資訊
41,離職,學習成長,-0.03236347641891677,招募資訊
42,新鮮人,學習成長,-0.02403280313048335,招募資訊
43,招募人員,學習成長,0.10089659926373583,招募資訊
44,正向,學習成長,0.22581406517323174,情緒
45,負向,學習成長,0.42876228031579977,情緒
46,成就感,薪資,-0.025207922582584186,成長價值
47,學習成長,薪資,0.18927455259039216,成長價值
48,薪資,薪資,0.9999999999999999,經濟報酬
49,福利,薪資,0.5188630729577693,經濟報酬
50,管理制度,薪資,0.14791467642056486,經濟報酬
51,工作氛圍,薪資,0.24303432339425865,人際價值
52,同事互動,薪資,-0.048215953270077425,人際價值
53,主管風格,薪資,-0.1265804454202294,人際價值
54,公司規模,薪資,0.12144536431532607,組織文化與制度
55,工作環境,薪資,0.13916108450260525,組織文化與制度
56,產業前景,薪資,-0.044071377882948855,組織文化與制度
57,變化性,薪資,0.3719296525633734,組織文化與制度
58,工學院,薪資,-0.03822829159297312,科系專業
59,面試,薪資,-0.03495148106238336,招募資訊
60,學經歷,薪資,-0.006732427021151947,招募資訊
61,徵才,薪資,0.05148584252469157,招募資訊
62,實習,薪資,-0.04407137788294884,招募資訊
63,工作,薪資,0.17104277113280011,招募資訊
64,離職,薪資,0.14224963850746333,招募資訊
65,新鮮人,薪資,-0.02520792258258416,招募資訊
66,招募人員,薪資,-0.1295878624954199,招募資訊
67,正向,薪資,0.3802456112846105,情緒
68,負向,薪資,0.44972724612484954,情緒
69,成就感,福利,-0.025433543007485567,成長價值
70,學習成長,福利,-0.06601384785703447,成長價值
71,薪資,福利,0.5188630729577693,經濟報酬
72,福利,福利,1.0,經濟報酬
73,管理制度,福利,0.07621049239438914,經濟報酬
74,工作氛圍,福利,0.14290203785838368,人際價值
75,同事互動,福利,-0.04864750425680273,人際價值
76,主管風格,福利,-0.12771338819987882,人際價值
77,公司規模,福利,0.056900770093520896,組織文化與制度
78,工作環境,福利,0.19193633425375267,組織文化與制度
79,產業前景,福利,-0.04446583335508696,組織文化與制度
80,變化性,福利,0.28718950819728745,組織文化與制度
81,工學院,福利,-0.038570449236634455,科系專業
82,面試,福利,-0.02774953036336848,招募資訊
83,學經歷,福利,-0.0808329489410477,招募資訊
84,徵才,福利,-0.07114433904470227,招募資訊
85,實習,福利,-0.04446583335508694,招募資訊
86,工作,福利,0.022178552601607483,招募資訊
87,離職,福利,0.19200626063379891,招募資訊
88,新鮮人,福利,-0.0254335430074854,招募資訊
89,招募人員,福利,-0.1307477227934064,招募資訊
90,正向,福利,0.1680402669818476,情緒
91,負向,福利,0.3026171967031836,情緒
92,成就感,管理制度,-0.018781205660633783,成長價值
93,學習成長,管理制度,-0.048747421965074006,成長價值
94,薪資,管理制度,0.14791467642056486,經濟報酬
95,福利,管理制度,0.07621049239438914,經濟報酬
96,管理制度,管理制度,1.0,經濟報酬
97,工作氛圍,管理制度,0.3368913358052308,人際價值
98,同事互動,管理制度,-0.035923378117420184,人際價值
99,主管風格,管理制度,-0.09430897648402077,人際價值
100,公司規模,管理制度,0.19044241916735655,組織文化與制度
101,工作環境,管理制度,-0.03584076155259233,組織文化與制度
102,產業前景,管理制度,-0.03283545516515605,組織文化與制度
103,變化性,管理制度,0.37646420117864055,組織文化與制度
104,工學院,管理制度,-0.0284820537713941,科系專業
105,面試,管理制度,0.09604243605124244,招募資訊
106,學經歷,管理制度,-0.059690474023635254,招募資訊
107,徵才,管理制度,-0.05253599401369891,招募資訊
108,實習,管理制度,-0.032835455165156006,招募資訊
109,工作,管理制度,0.13874718370530414,招募資訊
110,離職,管理制度,-0.02529147778628355,招募資訊
111,新鮮人,管理制度,-0.018781205660633717,招募資訊
112,招募人員,管理制度,0.07884888712075315,招募資訊
113,正向,管理制度,0.06613394214831121,情緒
114,負向,管理制度,0.06652126008806881,情緒
115,成就感,工作氛圍,-0.013155617299397704,成長價值
116,學習成長,工作氛圍,-0.03414596694657181,成長價值
117,薪資,工作氛圍,0.24303432339425868,經濟報酬
118,福利,工作氛圍,0.14290203785838368,經濟報酬
119,管理制度,工作氛圍,0.3368913358052308,經濟報酬
120,工作氛圍,工作氛圍,1.0,人際價值
121,同事互動,工作氛圍,-0.025163145708207386,人際價值
122,主管風格,工作氛圍,-0.06606033845432133,人際價值
123,公司規模,工作氛圍,0.29677453699529377,組織文化與制度
124,工作環境,工作氛圍,-0.025105275519833756,組織文化與制度
125,產業前景,工作氛圍,-0.023000157168277587,組織文化與制度
126,變化性,工作氛圍,0.5560064325374293,組織文化與制度
127,工學院,工作氛圍,-0.01995074257148003,科系專業
128,面試,工作氛圍,-0.08237702437839382,招募資訊
129,學經歷,工作氛圍,-0.04181121525763022,招募資訊
130,徵才,工作氛圍,-0.03679973715086556,招募資訊
131,實習,工作氛圍,-0.023000157168277618,招募資訊
132,工作,工作氛圍,0.15265106089029518,招募資訊
133,離職,工作氛圍,-0.017715848955851127,招募資訊
134,新鮮人,工作氛圍,-0.013155617299397659,招募資訊
135,招募人員,工作氛圍,-0.06762986200277103,招募資訊
136,正向,工作氛圍,0.18372294316174317,情緒
137,負向,工作氛圍,0.0734687566426177,情緒
138,成就感,同事互動,-0.01771046425175934,成長價值
139,學習成長,同事互動,-0.04596826687689557,成長價值
140,薪資,同事互動,-0.048215953270077425,經濟報酬
141,福利,同事互動,-0.04864750425680273,經濟報酬
142,管理制度,同事互動,-0.035923378117420184,經濟報酬
143,工作氛圍,同事互動,-0.025163145708207386,人際價值
144,同事互動,同事互動,1.0,人際價值
145,主管風格,同事互動,0.049547993948247104,人際價值
146,公司規模,同事互動,-0.040356189803440565,組織文化與制度
147,工作環境,同事互動,-0.03379743226833933,組織文化與制度
148,產業前景,同事互動,-0.030963462378331686,組織文化與制度
149,變化性,同事互動,-0.03850863495306689,組織文化與制度
150,工學院,同事互動,-0.026858254163750216,科系專業
151,面試,同事互動,-0.030312196836228027,招募資訊
152,學經歷,同事互動,-0.05628744104442651,招募資訊
153,徵才,同事互動,0.19045703561911406,招募資訊
154,實習,同事互動,-0.03096346237833168,招募資訊
155,工作,同事互動,-0.03342851687197994,招募資訊
156,離職,同事互動,-0.023849577141206148,招募資訊
157,新鮮人,同事互動,-0.017710464251759404,招募資訊
158,招募人員,同事互動,-0.09104523384139072,招募資訊
159,正向,同事互動,0.10860592503722853,情緒
160,負向,同事互動,-0.06027274689232696,情緒
161,成就感,主管風格,-0.046494952428494815,成長價值
162,學習成長,主管風格,-0.06195606319365111,成長價值
163,薪資,主管風格,-0.12658044542022936,經濟報酬
164,福利,主管風格,-0.12771338819987882,經濟報酬
165,管理制度,主管風格,-0.09430897648402076,經濟報酬
166,工作氛圍,主管風格,-0.06606033845432133,人際價值
167,同事互動,主管風格,0.0495479939482471,人際價值
168,主管風格,主管風格,1.0,人際價值
169,公司規模,主管風格,0.059027254685541014,組織文化與制度
170,工作環境,主管風格,-0.0887277703838617,組織文化與制度
171,產業前景,主管風格,0.12967339832741143,組織文化與制度
172,變化性,主管風格,-0.05190196591580926,組織文化與制度
173,工學院,主管風格,-0.07051047515775434,科系專業
174,面試,主管風格,0.4455469465640907,招募資訊
175,學經歷,主管風格,0.15677318895565906,招募資訊
176,徵才,主管風格,-0.07380313154503869,招募資訊
177,實習,主管風格,-0.08128780193658638,招募資訊
178,工作,主管風格,-0.10456094937785464,招募資訊
179,離職,主管風格,-0.06261185132455961,招募資訊
180,新鮮人,主管風格,-0.046494952428494406,招募資訊
181,招募人員,主管風格,0.2572303579783592,招募資訊
182,正向,主管風格,0.016308545930439247,情緒
183,負向,主管風格,-0.09310747740264186,情緒
184,成就感,公司規模,-0.021098736814242985,成長價值
185,學習成長,公司規模,0.243693895389016,成長價值
186,薪資,公司規模,0.12144536431532608,經濟報酬
187,福利,公司規模,0.05690077009352089,經濟報酬
188,管理制度,公司規模,0.19044241916735655,經濟報酬
189,工作氛圍,公司規模,0.29677453699529377,人際價值
190,同事互動,公司規模,-0.040356189803440565,人際價值
191,主管風格,公司規模,0.059027254685541014,人際價值
192,公司規模,公司規模,1.0,組織文化與制度
193,工作環境,公司規模,-0.040263378660785644,組織文化與制度
194,產業前景,公司規模,-0.03688722860628779,組織文化與制度
195,變化性,公司規模,0.32915960963676444,組織文化與制度
196,工學院,公司規模,-0.03199663361928632,科系專業
197,面試,公司規模,0.29990049393912854,招募資訊
198,學經歷,公司規模,0.2769020716454709,招募資訊
199,徵才,公司規模,-0.05901874091571399,招募資訊
200,實習,公司規模,-0.03688722860628781,招募資訊
201,工作,公司規模,0.031336827003983374,招募資訊
202,離職,公司規模,-0.028412352385585097,招募資訊
203,新鮮人,公司規模,-0.021098736814243062,招募資訊
204,招募人員,公司規模,0.20680379249816955,招募資訊
205,正向,公司規模,0.1954908919751046,情緒
206,負向,公司規模,0.23850252563579133,情緒
207,成就感,工作環境,-0.01766973373601551,成長價值
208,學習成長,工作環境,-0.04586254908253767,成長價值
209,薪資,工作環境,0.13916108450260525,經濟報酬
210,福利,工作環境,0.19193633425375264,經濟報酬
211,管理制度,工作環境,-0.03584076155259234,經濟報酬
212,工作氛圍,工作環境,-0.02510527551983376,人際價值
213,同事互動,工作環境,-0.03379743226833933,人際價值
214,主管風格,工作環境,-0.08872777038386169,人際價值
215,公司規模,工作環境,-0.040263378660785644,組織文化與制度
216,工作環境,工作環境,0.9999999999999999,組織文化與制度
217,產業前景,工作環境,-0.03089225262493627,組織文化與制度
218,變化性,工作環境,-0.038420072816019786,組織文化與制度
219,工學院,工作環境,0.046223937601181,科系專業
220,面試,工作環境,-0.010142296752822164,招募資訊
221,學經歷,工作環境,-0.05615799121911081,招募資訊
222,徵才,工作環境,-0.04942691340230171,招募資訊
223,實習,工作環境,-0.030892252624936247,招募資訊
224,工作,工作環境,-0.05569996918018365,招募資訊
225,離職,工作環境,-0.023794727897085383,招募資訊
226,新鮮人,工作環境,-0.017669733736015436,招募資訊
227,招募人員,工作環境,-0.09083584806371267,招募資訊
228,正向,工作環境,0.13142416236739402,情緒
229,負向,工作環境,0.27914687770809915,情緒
230,成就感,產業前景,-0.016188097705954363,成長價值
231,學習成長,產業前景,-0.042016899444217076,成長價值
232,薪資,產業前景,-0.04407137788294886,經濟報酬
233,福利,產業前景,-0.04446583335508696,經濟報酬
234,管理制度,產業前景,-0.03283545516515605,經濟報酬
235,工作氛圍,產業前景,-0.023000157168277587,人際價值
236,同事互動,產業前景,-0.030963462378331686,人際價值
237,主管風格,產業前景,0.12967339832741143,人際價值
238,公司規模,產業前景,-0.03688722860628779,組織文化與制度
239,工作環境,產業前景,-0.03089225262493627,組織文化與制度
240,產業前景,產業前景,1.0,組織文化與制度
241,變化性,產業前景,-0.03519848696689309,組織文化與制度
242,工學院,產業前景,-0.024549556490081996,科系專業
243,面試,產業前景,0.20554695402914575,招募資訊
244,學經歷,產業前景,0.16847042499387366,招募資訊
245,徵才,產業前景,-0.045282385994835125,招募資訊
246,實習,產業前景,-0.02830188679245286,招募資訊
247,工作,產業前景,0.005843861768652131,招募資訊
248,離職,產業前景,-0.02179950110394131,招募資訊
249,新鮮人,產業前景,-0.016188097705954408,招募資訊
250,招募人員,產業前景,0.017568479592729523,招募資訊
251,正向,產業前景,-0.013442854857131719,情緒
252,負向,產業前景,0.024269509479460646,情緒
253,成就感,變化性,-0.020132811296304662,成長價值
254,學習成長,變化性,-0.05225557215750413,成長價值
255,薪資,變化性,0.3719296525633734,經濟報酬
256,福利,變化性,0.28718950819728745,經濟報酬
257,管理制度,變化性,0.3764642011786406,經濟報酬
258,工作氛圍,變化性,0.5560064325374293,人際價值
259,同事互動,變化性,-0.03850863495306689,人際價值
260,主管風格,變化性,-0.05190196591580926,人際價值
261,公司規模,變化性,0.32915960963676444,組織文化與制度
262,工作環境,變化性,-0.038420072816019786,組織文化與制度
263,產業前景,變化性,-0.03519848696689309,組織文化與制度
264,變化性,變化性,1.0,組織文化與制度
265,工學院,變化性,-0.03053178929362352,科系專業
266,面試,變化性,-0.06881123396678751,招募資訊
267,學經歷,變化性,-0.06398615037924398,招募資訊
268,徵才,變化性,-0.0563167920555053,招募資訊
269,實習,變化性,-0.035198486966893115,招募資訊
270,工作,變化性,0.06385363365262763,招募資訊
271,離職,變化性,-0.027111600760712024,招募資訊
272,新鮮人,變化性,-0.020132811296304582,招募資訊
273,招募人員,變化性,-0.056492623914621544,招募資訊
274,正向,變化性,0.12346048998788434,情緒
275,負向,變化性,0.09187102953446177,情緒
276,成就感,工學院,-0.014041841874841735,成長價值
277,學習成長,工學院,-0.036446200707684416,成長價值
278,薪資,工學院,-0.03822829159297311,經濟報酬
279,福利,工學院,-0.038570449236634455,經濟報酬
280,管理制度,工學院,-0.028482053771394098,經濟報酬
281,工作氛圍,工學院,-0.019950742571480027,人際價值
282,同事互動,工學院,-0.026858254163750216,人際價值
283,主管風格,工學院,-0.07051047515775434,人際價值
284,公司規模,工學院,-0.03199663361928633,組織文化與制度
285,工作環境,工學院,0.046223937601181,組織文化與制度
286,產業前景,工學院,-0.024549556490081996,組織文化與制度
287,變化性,工學院,-0.03053178929362352,組織文化與制度
288,工學院,工學院,1.0,科系專業
289,面試,工學院,-0.08792633018401608,招募資訊
290,學經歷,工學院,-0.04462781638300612,招募資訊
291,徵才,工學院,-0.039278741418835035,招募資訊
292,實習,工學院,-0.024549556490082006,招募資訊
293,工作,工學院,-0.026503988904762264,招募資訊
294,離職,工學院,-0.018909272294507323,招募資訊
295,新鮮人,工學院,-0.014041841874841747,招募資訊
296,招募人員,工學院,0.0851791604943114,招募資訊
297,正向,工學院,0.07144341382707778,情緒
298,負向,工學院,0.04399826447941952,情緒
299,成就感,面試,-0.05797905247371344,成長價值
300,學習成長,面試,0.1228978053645182,成長價值
301,薪資,面試,-0.034951481062383355,經濟報酬
302,福利,面試,-0.02774953036336848,經濟報酬
303,管理制度,面試,0.09604243605124244,經濟報酬
304,工作氛圍,面試,-0.08237702437839384,人際價值
305,同事互動,面試,-0.030312196836228027,人際價值
306,主管風格,面試,0.44554694656409066,人際價值
307,公司規模,面試,0.29990049393912854,組織文化與制度
308,工作環境,面試,-0.010142296752822164,組織文化與制度
309,產業前景,面試,0.20554695402914572,組織文化與制度
310,變化性,面試,-0.06881123396678751,組織文化與制度
311,工學院,面試,-0.08792633018401608,科系專業
312,面試,面試,1.0,招募資訊
313,學經歷,面試,0.4261676131000334,招募資訊
314,徵才,面試,-0.031235191900399376,招募資訊
315,實習,面試,-0.039983106126217534,招募資訊
316,工作,面試,0.037226014533190244,招募資訊
317,離職,面試,-0.07807677229062485,招募資訊
318,新鮮人,面試,-0.05797905247371356,招募資訊
319,招募人員,面試,0.4239023691572175,招募資訊
320,正向,面試,0.17892991891827623,情緒
321,負向,面試,0.1658786650549788,情緒
322,成就感,學經歷,-0.02942780055123827,成長價值
323,學習成長,學經歷,0.1684877515120424,成長價值
324,薪資,學經歷,-0.006732427021151947,經濟報酬
325,福利,學經歷,-0.0808329489410477,經濟報酬
326,管理制度,學經歷,-0.05969047402363526,經濟報酬
327,工作氛圍,學經歷,-0.04181121525763022,人際價值
328,同事互動,學經歷,-0.05628744104442652,人際價值
329,主管風格,學經歷,0.15677318895565903,人際價值
330,公司規模,學經歷,0.2769020716454709,組織文化與制度
331,工作環境,學經歷,-0.05615799121911081,組織文化與制度
332,產業前景,學經歷,0.16847042499387369,組織文化與制度
333,變化性,學經歷,-0.06398615037924398,組織文化與制度
334,工學院,學經歷,-0.044627816383006114,科系專業
335,面試,學經歷,0.4261676131000334,招募資訊
336,學經歷,學經歷,1.0,招募資訊
337,徵才,學經歷,0.0349714158240478,招募資訊
338,實習,學經歷,0.1684704249938738,招募資訊
339,工作,學經歷,0.13712169586091827,招募資訊
340,離職,學經歷,-0.03962858281781453,招募資訊
341,新鮮人,學經歷,-0.0294278005512385,招募資訊
342,招募人員,學經歷,0.23671064520265594,招募資訊
343,正向,學經歷,0.11718300968202969,情緒
344,負向,學經歷,0.08655056405403044,情緒
345,成就感,徵才,-0.025900594339123888,成長價值
346,學習成長,徵才,0.441638126205063,成長價值
347,薪資,徵才,0.051485842524691565,經濟報酬
348,福利,徵才,-0.07114433904470227,經濟報酬
349,管理制度,徵才,-0.05253599401369891,經濟報酬
350,工作氛圍,徵才,-0.03679973715086556,人際價值
351,同事互動,徵才,0.19045703561911406,人際價值
352,主管風格,徵才,-0.07380313154503869,人際價值
353,公司規模,徵才,-0.05901874091571399,組織文化與制度
354,工作環境,徵才,-0.04942691340230171,組織文化與制度
355,產業前景,徵才,-0.045282385994835125,組織文化與制度
356,變化性,徵才,-0.0563167920555053,組織文化與制度
357,工學院,徵才,-0.039278741418835035,科系專業
358,面試,徵才,-0.03123519190039938,招募資訊
359,學經歷,徵才,0.034971415824047794,招募資訊
360,徵才,徵才,1.0,招募資訊
361,實習,徵才,-0.04528238599483507,招募資訊
362,工作,徵才,0.34906846435014194,招募資訊
363,離職,徵才,-0.03487871429641703,招募資訊
364,新鮮人,徵才,-0.025900594339123877,招募資訊
365,招募人員,徵才,-0.07939608935045178,招募資訊
366,正向,徵才,0.11374564368114805,情緒
367,負向,徵才,0.06234480190072039,情緒
368,成就感,實習,-0.016188097705954373,成長價值
369,學習成長,實習,-0.04201689944421698,成長價值
370,薪資,實習,-0.04407137788294885,經濟報酬
371,福利,實習,-0.044465833355086935,經濟報酬
372,管理制度,實習,-0.03283545516515601,經濟報酬
373,工作氛圍,實習,-0.023000157168277618,人際價值
374,同事互動,實習,-0.030963462378331683,人際價值
375,主管風格,實習,-0.08128780193658638,人際價值
376,公司規模,實習,-0.03688722860628781,組織文化與制度
377,工作環境,實習,-0.030892252624936244,組織文化與制度
378,產業前景,實習,-0.02830188679245286,組織文化與制度
379,變化性,實習,-0.035198486966893115,組織文化與制度
380,工學院,實習,-0.024549556490082003,科系專業
381,面試,實習,-0.039983106126217534,招募資訊
382,學經歷,實習,0.1684704249938738,招募資訊
383,徵才,實習,-0.04528238599483508,招募資訊
384,實習,實習,1.0,招募資訊
385,工作,實習,0.005843861768652134,招募資訊
386,離職,實習,-0.0217995011039413,招募資訊
387,新鮮人,實習,-0.016188097705954405,招募資訊
388,招募人員,實習,0.017568479592729634,招募資訊
389,正向,實習,-0.1543343144174545,情緒
390,負向,實習,-0.06390970829591286,情緒
391,成就感,工作,0.10743971315195754,成長價值
392,學習成長,工作,0.43084544740785313,成長價值
393,薪資,工作,0.17104277113280011,經濟報酬
394,福利,工作,0.022178552601607483,經濟報酬
395,管理制度,工作,0.13874718370530417,經濟報酬
396,工作氛圍,工作,0.15265106089029518,人際價值
397,同事互動,工作,-0.03342851687197994,人際價值
398,主管風格,工作,-0.10456094937785465,人際價值
399,公司規模,工作,0.03133682700398337,組織文化與制度
400,工作環境,工作,-0.05569996918018364,組織文化與制度
401,產業前景,工作,0.005843861768652131,組織文化與制度
402,變化性,工作,0.06385363365262763,組織文化與制度
403,工學院,工作,-0.026503988904762264,科系專業
404,面試,工作,0.037226014533190244,招募資訊
405,學經歷,工作,0.13712169586091827,招募資訊
406,徵才,工作,0.349068464350142,招募資訊
407,實習,工作,0.005843861768652134,招募資訊
408,工作,工作,0.9999999999999998,招募資訊
409,離職,工作,0.14468235786603514,招募資訊
410,新鮮人,工作,-0.04870600329555421,招募資訊
411,招募人員,工作,-0.009573576215985945,招募資訊
412,正向,工作,0.2687570488490382,情緒
413,負向,工作,0.31882249818425284,情緒
414,成就感,離職,-0.012468866701345432,成長價值
415,學習成長,離職,-0.03236347641891677,成長價值
416,薪資,離職,0.14224963850746333,經濟報酬
417,福利,離職,0.19200626063379891,經濟報酬
418,管理制度,離職,-0.025291477786283552,經濟報酬
419,工作氛圍,離職,-0.017715848955851127,人際價值
420,同事互動,離職,-0.023849577141206148,人際價值
421,主管風格,離職,-0.06261185132455961,人際價值
422,公司規模,離職,-0.028412352385585093,組織文化與制度
423,工作環境,離職,-0.02379472789708538,組織文化與制度
424,產業前景,離職,-0.02179950110394131,組織文化與制度
425,變化性,離職,-0.027111600760712024,組織文化與制度
426,工學院,離職,-0.018909272294507323,科系專業
427,面試,離職,-0.07807677229062486,招募資訊
428,學經歷,離職,-0.039628582817814534,招募資訊
429,徵才,離職,-0.03487871429641703,招募資訊
430,實習,離職,-0.0217995011039413,招募資訊
431,工作,離職,0.14468235786603514,招募資訊
432,離職,離職,0.9999999999999999,招募資訊
433,新鮮人,離職,-0.012468866701345411,招募資訊
434,招募人員,離職,-0.0640994424778189,招募資訊
435,正向,離職,-0.03205864830129795,情緒
436,負向,離職,0.22245343960902655,情緒
437,成就感,新鮮人,-0.00925925925925928,成長價值
438,學習成長,新鮮人,-0.02403280313048335,成長價值
439,薪資,新鮮人,-0.02520792258258416,經濟報酬
440,福利,新鮮人,-0.0254335430074854,經濟報酬
441,管理制度,新鮮人,-0.018781205660633713,經濟報酬
