,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.13926599148800706,成長價值
2,薪資,成就感,-0.027068302314492795,經濟報酬
3,福利,成就感,-0.017699115044247767,經濟報酬
4,管理制度,成就感,0.1514937658870305,經濟報酬
5,工作氛圍,成就感,-0.012460152291403992,人際價值
6,主管風格,成就感,0.22582591912484054,人際價值
7,公司規模,成就感,0.7039986044643277,組織文化與制度
8,工作環境,成就感,-0.01889012961469122,組織文化與制度
9,產業前景,成就感,-0.02177345720562559,組織文化與制度
10,變化性,成就感,-0.015802625211883897,組織文化與制度
11,工學院,成就感,-0.012460152291403955,科系專業
12,面試,成就感,0.25064546366504986,招募資訊
13,學經歷,成就感,-0.03947981372384583,招募資訊
14,徵才,成就感,-0.028363801389869932,招募資訊
15,工作,成就感,-0.06030170953308657,招募資訊
16,離職,成就感,-0.0312131897351878,招募資訊
17,畢業,成就感,-0.026847317197738294,招募資訊
18,招募人員,成就感,0.08664650265566183,招募資訊
19,正向,成就感,0.48120640118998026,情緒
20,負向,成就感,0.29220031469403174,情緒
21,成就感,學習成長,0.13926599148800706,成長價值
22,學習成長,學習成長,0.9999999999999999,成長價值
23,薪資,學習成長,-0.03442225595546851,經濟報酬
24,福利,學習成長,-0.02250763498796082,經濟報酬
25,管理制度,學習成長,0.48416439407264766,經濟報酬
26,工作氛圍,學習成長,-0.01584534362131685,人際價值
27,主管風格,學習成長,0.06035484644286178,人際價值
28,公司規模,學習成長,-0.01584534362131683,組織文化與制度
29,工作環境,學習成長,-0.024022226036714767,組織文化與制度
30,產業前景,學習成長,-0.027688900037376646,組織文化與制度
31,變化性,學習成長,-0.020095904186815627,組織文化與制度
32,工學院,學習成長,-0.015845343621316826,科系專業
33,面試,學習成長,0.11555250780819934,招募資訊
34,學經歷,學習成長,0.015404035051921337,招募資訊
35,徵才,學習成長,-0.0360697180033128,招募資訊
36,工作,學習成長,0.002054050741168497,招募資訊
37,離職,學習成長,0.055405136469260687,招募資訊
38,畢業,學習成長,-0.034141233297937335,招募資訊
39,招募人員,學習成長,0.018364457298961814,招募資訊
40,正向,學習成長,0.07800161210801299,情緒
41,負向,學習成長,0.09563875450252889,情緒
42,成就感,薪資,-0.027068302314492795,成長價值
43,學習成長,薪資,-0.03442225595546851,成長價值
44,薪資,薪資,1.0,經濟報酬
45,福利,薪資,0.232336261532731,經濟報酬
46,管理制度,薪資,0.09145593416021104,經濟報酬
47,工作氛圍,薪資,-0.019056047054621522,人際價值
48,主管風格,薪資,-0.03652940500915396,人際價值
49,公司規模,薪資,-0.01905604705462146,組織文化與制度
50,工作環境,薪資,-0.02888979126312865,組織文化與制度
51,產業前景,薪資,-0.03329943449715553,組織文化與制度
52,變化性,薪資,-0.02416788836778141,組織文化與制度
53,工學院,薪資,-0.019056047054621467,科系專業
54,面試,薪資,-0.10539365315476314,招募資訊
55,學經歷,薪資,-0.06037881162562637,招募資訊
56,徵才,薪資,0.4554735908175804,招募資訊
57,工作,薪資,0.3812431584725394,招募資訊
58,離職,薪資,0.4097355034675711,招募資訊
59,畢業,薪資,0.35242470000968307,招募資訊
60,招募人員,薪資,-0.08834241043553247,招募資訊
61,正向,薪資,-0.03461920904537763,情緒
62,負向,薪資,0.2335397319665057,情緒
63,成就感,福利,-0.017699115044247763,成長價值
64,學習成長,福利,-0.02250763498796082,成長價值
65,薪資,福利,0.23233626153273101,經濟報酬
66,福利,福利,1.0,經濟報酬
67,管理制度,福利,-0.03189342439726968,經濟報酬
68,工作氛圍,福利,-0.012460152291404007,人際價值
69,主管風格,福利,-0.05955848416479309,人際價值
70,公司規模,福利,-0.012460152291404014,組織文化與制度
71,工作環境,福利,-0.018890129614691283,組織文化與制度
72,產業前景,福利,-0.0217734572056256,組織文化與制度
73,變化性,福利,-0.015802625211883976,組織文化與制度
74,工學院,福利,-0.012460152291404012,科系專業
75,面試,福利,-0.04760967048183136,招募資訊
76,學經歷,福利,-0.03947981372384587,招募資訊
77,徵才,福利,-0.028363801389870005,招募資訊
78,工作,福利,0.1873660260492337,招募資訊
79,離職,福利,-0.031213189735187784,招募資訊
80,畢業,福利,0.1446772093433675,招募資訊
81,招募人員,福利,-0.009627389183962403,招募資訊
82,正向,福利,0.2432806261959462,情緒
83,負向,福利,0.12687172335423536,情緒
84,成就感,管理制度,0.1514937658870305,成長價值
85,學習成長,管理制度,0.4841643940726476,成長價值
86,薪資,管理制度,0.09145593416021106,經濟報酬
87,福利,管理制度,-0.03189342439726968,經濟報酬
88,管理制度,管理制度,1.0,經濟報酬
89,工作氛圍,管理制度,-0.02245292626726633,人際價值
90,主管風格,管理制度,0.04695385916979121,人際價值
91,公司規模,管理制度,0.23575572580629725,組織文化與制度
92,工作環境,管理制度,-0.034039607020724214,組織文化與制度
