,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,0.21810471576042736,經濟報酬
2,福利,學習成長,0.1354822394015911,經濟報酬
3,管理制度,學習成長,0.11450600899726297,經濟報酬
4,工作氛圍,學習成長,0.11604960032062427,人際價值
5,同事互動,學習成長,0.1835604119815555,人際價值
6,主管風格,學習成長,0.11453152951140078,人際價值
7,公司規模,學習成長,-0.015808643982796303,組織文化與制度
8,工作環境,學習成長,0.1354822394015908,組織文化與制度
9,產業前景,學習成長,-0.009205164497476255,組織文化與制度
10,多元性,學習成長,-0.011770525672905416,組織文化與制度
11,變化性,學習成長,-0.025086085592190287,組織文化與制度
12,面試,學習成長,-0.047036342737092354,招募資訊
13,學經歷,學習成長,-0.0010942223138308983,招募資訊
14,徵才,學習成長,-0.035693334892005414,招募資訊
15,實習,學習成長,0.00886428999392597,招募資訊
16,工作,學習成長,0.13906780248222936,招募資訊
17,畢業,學習成長,-0.02044158690791935,招募資訊
18,招募人員,學習成長,-0.0733362790320529,招募資訊
19,正向,學習成長,0.21144628922710446,情緒
20,負向,學習成長,-0.08908752884660873,情緒
21,學習成長,薪資,0.2181047157604274,成長價值
22,薪資,薪資,1.0,經濟報酬
23,福利,薪資,0.7534695884756681,經濟報酬
24,管理制度,薪資,0.2272934053646879,經濟報酬
25,工作氛圍,薪資,-0.011337850991342768,人際價值
26,同事互動,薪資,0.38693295110973763,人際價值
27,主管風格,薪資,0.22545038287022023,人際價值
28,公司規模,薪資,-0.006773639048990262,組織文化與制度
29,工作環境,薪資,0.3716711545303341,組織文化與制度
30,產業前景,薪資,-0.021437889842214574,組織文化與制度
31,多元性,薪資,-0.005043398561691932,組織文化與制度
32,變化性,薪資,-0.010748808635230951,組織文化與制度
33,面試,薪資,0.007946920684839844,招募資訊
34,學經歷,薪資,-0.03166109747784546,招募資訊
35,徵才,薪資,-0.015293770121984199,招募資訊
36,實習,薪資,0.21547034094014372,招募資訊
37,工作,薪資,0.26396687749834014,招募資訊
38,畢業,薪資,-0.00875874815407908,招募資訊
39,招募人員,薪資,-0.031422902805563376,招募資訊
40,正向,薪資,0.29440259232492894,情緒
41,負向,薪資,-0.003849709415454909,情緒
42,學習成長,福利,0.13548223940159107,成長價值
43,薪資,福利,0.7534695884756681,經濟報酬
