,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.01161558296754267,成長價值
2,創新,成就感,-0.0031321042305458235,成長價值
3,薪資,成就感,-0.0182454740177875,經濟報酬
4,福利,成就感,-0.01580247106263953,經濟報酬
5,管理制度,成就感,-0.015379912944328566,經濟報酬
6,工作氛圍,成就感,-0.010130337957594857,人際價值
7,同事互動,成就感,-0.010343302645673355,人際價值
8,主管風格,成就感,-0.03202712803890818,人際價值
9,工作地點,成就感,-0.007307429033597981,組織文化與制度
10,公司規模,成就感,-0.006631262123886735,組織文化與制度
11,工作環境,成就感,-0.011075394812653136,組織文化與制度
12,產業前景,成就感,-0.010658485605336134,組織文化與制度
13,多元性,成就感,-0.0031321042305458235,組織文化與制度
14,變化性,成就感,-0.011987780776007711,組織文化與制度
15,工學院,成就感,-0.007962568360031449,科系專業
16,面試,成就感,-0.039593853541261784,招募資訊
17,學經歷,成就感,0.05439827206501757,招募資訊
18,徵才,成就感,-0.016619817895227408,招募資訊
19,實習,成就感,-0.0031321042305458217,招募資訊
20,工作,成就感,0.26136159598940645,招募資訊
21,離職,成就感,-0.014463669199689137,招募資訊
22,新鮮人,成就感,-0.006281238510987331,招募資訊
23,畢業,成就感,-0.005434782608695678,招募資訊
24,證照,成就感,-0.0066652843806469875,招募資訊
25,招募人員,成就感,-0.027245205342341018,招募資訊
26,正向,成就感,0.011755333328627002,情緒
27,負向,成就感,-0.02516848623840979,情緒
28,成就感,學習成長,-0.01161558296754267,成長價值
29,學習成長,學習成長,1.0,成長價值
30,創新,學習成長,-0.006694143845732929,成長價值
31,薪資,學習成長,-0.0072616168697434745,經濟報酬
32,福利,學習成長,0.01947767936727243,經濟報酬
33,管理制度,學習成長,0.26565732010773796,經濟報酬
34,工作氛圍,學習成長,0.1604160033101084,人際價值
35,同事互動,學習成長,0.015072546932193263,人際價值
36,主管風格,學習成長,-0.018032422930211855,人際價值
37,工作地點,學習成長,-0.015617928872330458,組織文化與制度
38,公司規模,學習成長,-0.014172779469833361,組織文化與制度
39,工作環境,學習成長,0.1042910841556961,組織文化與制度
40,產業前景,學習成長,0.00020709120354281903,組織文化與制度
41,多元性,學習成長,-0.006694143845732952,組織文化與制度
42,變化性,學習成長,-0.025621091444879136,組織文化與制度
43,工學院,學習成長,-0.01701813670940421,科系專業
44,面試,學習成長,-0.05890218207905353,招募資訊
45,學經歷,學習成長,-0.018343309135719823,招募資訊
46,徵才,學習成長,-0.035520992754813206,招募資訊
47,實習,學習成長,-0.006694143845732915,招募資訊
48,工作,學習成長,0.05829387801977435,招募資訊
49,離職,學習成長,0.001580764434911205,招募資訊
50,新鮮人,學習成長,0.07124236488244319,招募資訊
51,畢業,學習成長,-0.011615582967542672,招募資訊
52,證照,學習成長,-0.014245494125523396,招募資訊
53,招募人員,學習成長,-0.028250871367798844,招募資訊
54,正向,學習成長,0.07512005530395406,情緒
55,負向,學習成長,0.020438369298299622,情緒
56,成就感,創新,-0.0031321042305458235,成長價值
57,學習成長,創新,-0.006694143845732929,成長價值
58,創新,創新,1.0,成長價值
59,薪資,創新,-0.010514997650134401,經濟報酬
60,福利,創新,-0.009107077510180276,經濟報酬
61,管理制度,創新,-0.00886355423329783,經濟報酬
62,工作氛圍,創新,-0.005838186484786871,人際價值
63,同事互動,創新,-0.00596091956327658,人際價值
64,主管風格,創新,-0.018457463793013055,人際價值
65,工作地點,創新,-0.004211323807860373,組織文化與制度
66,公司規模,創新,-0.003821643963983424,組織文化與制度
67,工作環境,創新,-0.006382829534372383,組織文化與制度
68,產業前景,創新,-0.006142561765446015,組織文化與制度
69,多元性,創新,-0.001805054151624562,組織文化與制度
70,變化性,創新,-0.0069086441145436535,組織文化與制度
71,工學院,創新,-0.004588885304549529,科系專業
72,面試,創新,-0.022818222017156328,招募資訊
73,學經歷,創新,-0.010677212972337983,招募資訊
74,徵才,創新,-0.009578120357059851,招募資訊
75,實習,創新,-0.0018050541516245603,招募資訊
76,工作,創新,-0.014260313745052303,招募資訊
77,離職,創新,-0.008335516386079319,招募資訊
78,新鮮人,創新,-0.003619922843252869,招募資訊
79,畢業,創新,-0.003132104230545822,招募資訊
80,證照,創新,-0.0038412512347804195,招募資訊
81,招募人員,創新,-0.01570160741632977,招募資訊
82,正向,創新,0.045043884559794446,情緒
83,負向,創新,0.013017109618487118,情緒
84,成就感,薪資,-0.0182454740177875,成長價值
85,學習成長,薪資,-0.0072616168697434745,成長價值
86,創新,薪資,-0.010514997650134401,成長價值
87,薪資,薪資,1.0,經濟報酬
88,福利,薪資,0.4663668706553754,經濟報酬
89,管理制度,薪資,0.17022214271791605,經濟報酬
90,工作氛圍,薪資,-0.03400923851139332,人際價值
91,同事互動,薪資,-0.03472419658107317,人際價值
92,主管風格,薪資,0.01191155160598996,人際價值
93,工作地點,薪資,-0.024532261208758156,組織文化與制度
94,公司規模,薪資,-0.02226225582471843,組織文化與制度
95,工作環境,薪資,0.20055979396631102,組織文化與制度
96,產業前景,薪資,0.04109195283662005,組織文化與制度
97,多元性,薪資,-0.010514997650134422,組織文化與制度
98,變化性,薪資,-0.008918243443451332,組織文化與制度
99,工學院,薪資,0.03309122483149895,科系專業
100,面試,薪資,-0.013457633215656893,招募資訊
101,學經歷,薪資,-0.038505594758558144,招募資訊
102,徵才,薪資,0.1331892767510496,招募資訊
103,實習,薪資,-0.010514997650134387,招募資訊
104,工作,薪資,0.14156357717141674,招募資訊
105,離職,薪資,0.0782197740523692,招募資訊
106,新鮮人,薪資,-0.021087168025521148,招募資訊
107,畢業,薪資,-0.018245474017787533,招募資訊
108,證照,薪資,-0.022376474229839672,招募資訊
109,招募人員,薪資,0.09233982895334503,招募資訊
110,正向,薪資,0.12755789170522588,情緒
111,負向,薪資,0.11849541948123639,情緒
112,成就感,福利,-0.015802471062639534,成長價值
113,學習成長,福利,0.019477679367272432,成長價值
114,創新,福利,-0.009107077510180276,成長價值
115,薪資,福利,0.46636687065537547,經濟報酬
116,福利,福利,1.0,經濟報酬
117,管理制度,福利,0.14142534215979888,經濟報酬
118,工作氛圍,福利,-0.029455524527055826,人際價值
119,同事互動,福利,-0.030074752298069076,人際價值
120,主管風格,福利,0.10729207531656854,人際價值
121,工作地點,福利,0.060643849724979305,組織文化與制度
122,公司規模,福利,-0.019281420319155522,組織文化與制度
123,工作環境,福利,0.1273760412059323,組織文化與制度
124,產業前景,福利,-0.030991195504378496,組織文化與制度
125,多元性,福利,-0.0091070775101803,組織文化與制度
126,變化性,福利,0.043996640785509744,組織文化與制度
127,工學院,福利,-0.023152399121238138,科系專業
128,面試,福利,0.01317698683165801,招募資訊
129,學經歷,福利,-0.05386996619700829,招募資訊
130,徵才,福利,-0.0030202932005900995,招募資訊
131,實習,福利,-0.009107077510180264,招募資訊
132,工作,福利,0.0710344589972117,招募資訊
133,離職,福利,0.04911934084666431,招募資訊
134,新鮮人,福利,-0.018263672524564185,招募資訊
135,畢業,福利,-0.015802471062639486,招募資訊
136,證照,福利,-0.01938034529309634,招募資訊
137,招募人員,福利,0.060980941313821965,招募資訊
138,正向,福利,0.22273553204615534,情緒
139,負向,福利,0.07869331722273608,情緒
140,成就感,管理制度,-0.015379912944328564,成長價值
141,學習成長,管理制度,0.2656573201077379,成長價值
142,創新,管理制度,-0.008863554233297832,成長價值
143,薪資,管理制度,0.17022214271791605,經濟報酬
144,福利,管理制度,0.14142534215979885,經濟報酬
145,管理制度,管理制度,1.0,經濟報酬
146,工作氛圍,管理制度,-0.02866788372273622,人際價值
147,同事互動,管理制度,-0.029270553341502942,人際價值
148,主管風格,管理制度,0.070919214129314,人際價值
149,工作地點,管理制度,-0.02067932251858157,組織文化與制度
150,公司規模,管理制度,-0.018765835088457805,組織文化與制度
151,工作環境,管理制度,0.11775751314858567,組織文化與制度
152,產業前景,管理制度,-0.030162490854034392,組織文化與制度
153,多元性,管理制度,-0.00886355423329784,組織文化與制度
154,變化性,管理制度,0.09705290741823708,組織文化與制度
155,工學院,管理制度,-0.022533303907060924,科系專業
156,面試,管理制度,-0.06209822860622804,招募資訊
157,學經歷,管理制度,-0.05242948315739694,招募資訊
158,徵才,管理制度,0.0094064977675543,招募資訊
159,實習,管理制度,-0.008863554233297826,招募資訊
160,工作,管理制度,0.04332733366609192,招募資訊
161,離職,管理制度,0.034791175800157004,招募資訊
162,新鮮人,管理制度,-0.01777530187260501,招募資訊
163,畢業,管理制度,-0.015379912944328552,招募資訊
164,證照,管理制度,-0.01886211480833188,招募資訊
165,招募人員,管理制度,0.010227725470069648,招募資訊
166,正向,管理制度,0.029508115921917627,情緒
167,負向,管理制度,0.023376213143256077,情緒
168,成就感,工作氛圍,-0.010130337957594857,成長價值
169,學習成長,工作氛圍,0.1604160033101084,成長價值
