,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,主管風格,薪資,-0.01851851851851853,人際價值
2,面試,薪資,-0.06761155190997017,招募資訊
3,學經歷,薪資,-0.048640832634414134,招募資訊
4,徵才,薪資,-0.01851851851851854,招募資訊
5,實習,薪資,-0.01851851851851852,招募資訊
6,工作,薪資,-0.018518518518518514,招募資訊
7,證照,薪資,-0.018518518518518535,招募資訊
8,招募人員,薪資,-0.02643505285727149,招募資訊
9,正向,薪資,-0.07279693486590036,情緒
10,負向,薪資,-0.08119658119658114,情緒
11,薪資,主管風格,-0.01851851851851853,經濟報酬
12,主管風格,主管風格,0.9999999999999998,人際價值
13,面試,主管風格,0.1980052591649125,招募資訊
14,學經歷,主管風格,-0.048640832634414134,招募資訊
15,徵才,主管風格,-0.018518518518518545,招募資訊
16,實習,主管風格,-0.018518518518518514,招募資訊
17,工作,主管風格,-0.018518518518518517,招募資訊
18,證照,主管風格,-0.01851851851851855,招募資訊
19,招募人員,主管風格,-0.026435052857271497,招募資訊
20,正向,主管風格,0.454022988505747,情緒
21,負向,主管風格,0.15384615384615383,情緒
22,薪資,面試,-0.06761155190997017,經濟報酬
23,主管風格,面試,0.1980052591649125,人際價值
24,面試,面試,1.0,招募資訊
25,學經歷,面試,-0.02255096352415451,招募資訊
26,徵才,面試,-0.06761155190997017,招募資訊
27,實習,面試,-0.06761155190997017,招募資訊
28,工作,面試,0.19800525916491277,招募資訊
29,證照,面試,-0.06761155190997016,招募資訊
30,招募人員,面試,-0.09651500721911963,招募資訊
31,正向,面試,0.31124628206831134,情緒
32,負向,面試,0.13262265951571076,情緒
33,薪資,學經歷,-0.048640832634414134,經濟報酬
34,主管風格,學經歷,-0.048640832634414134,人際價值
35,面試,學經歷,-0.02255096352415451,招募資訊
36,學經歷,學經歷,1.0,招募資訊
37,徵才,學經歷,-0.048640832634414134,招募資訊
38,實習,學經歷,0.24860870013144992,招募資訊
39,工作,學經歷,0.5458582328973142,招募資訊
40,證照,學經歷,-0.048640832634414134,招募資訊
41,招募人員,學經歷,0.14272635097007993,招募資訊
42,正向,學經歷,0.17779062962923783,情緒
43,負向,學經歷,-0.14467529706646248,情緒
44,薪資,徵才,-0.01851851851851854,經濟報酬
45,主管風格,徵才,-0.018518518518518542,人際價值
46,面試,徵才,-0.06761155190997017,招募資訊
47,學經歷,徵才,-0.048640832634414134,招募資訊
48,徵才,徵才,1.0,招募資訊
49,實習,徵才,-0.01851851851851852,招募資訊
50,工作,徵才,-0.01851851851851852,招募資訊
51,證照,徵才,-0.018518518518518545,招募資訊
52,招募人員,徵才,-0.026435052857271504,招募資訊
53,正向,徵才,0.1379310344827586,情緒
54,負向,徵才,-0.08119658119658114,情緒
55,薪資,實習,-0.01851851851851852,經濟報酬
56,主管風格,實習,-0.018518518518518514,人際價值
57,面試,實習,-0.06761155190997017,招募資訊
58,學經歷,實習,0.24860870013144992,招募資訊
59,徵才,實習,-0.01851851851851852,招募資訊
60,實習,實習,1.0,招募資訊
61,工作,實習,-0.01851851851851851,招募資訊
62,證照,實習,-0.018518518518518517,招募資訊
63,招募人員,實習,-0.026435052857271466,招募資訊
64,正向,實習,0.03256704980842913,情緒
65,負向,實習,-0.08119658119658119,情緒
66,薪資,工作,-0.01851851851851851,經濟報酬
67,主管風格,工作,-0.01851851851851852,人際價值
68,面試,工作,0.19800525916491274,招募資訊
69,學經歷,工作,0.5458582328973143,招募資訊
70,徵才,工作,-0.01851851851851852,招募資訊
71,實習,工作,-0.01851851851851851,招募資訊
72,工作,工作,1.0,招募資訊
73,證照,工作,-0.01851851851851852,招募資訊
74,招募人員,工作,-0.026435052857271466,招募資訊
75,正向,工作,0.2432950191570882,情緒
76,負向,工作,-0.08119658119658121,情緒
77,薪資,證照,-0.018518518518518535,經濟報酬
78,主管風格,證照,-0.01851851851851855,人際價值
79,面試,證照,-0.06761155190997016,招募資訊
80,學經歷,證照,-0.048640832634414134,招募資訊
81,徵才,證照,-0.01851851851851855,招募資訊
82,實習,證照,-0.018518518518518517,招募資訊
83,工作,證照,-0.018518518518518517,招募資訊
84,證照,證照,0.9999999999999998,招募資訊
85,招募人員,證照,-0.026435052857271497,招募資訊
86,正向,證照,-0.07279693486590033,情緒
87,負向,證照,-0.08119658119658112,情緒
88,薪資,招募人員,-0.026435052857271494,經濟報酬
89,主管風格,招募人員,-0.026435052857271497,人際價值
90,面試,招募人員,-0.09651500721911963,招募資訊
91,學經歷,招募人員,0.14272635097007993,招募資訊
92,徵才,招募人員,-0.026435052857271508,招募資訊
93,實習,招募人員,-0.026435052857271466,招募資訊
94,工作,招募人員,-0.026435052857271466,招募資訊
95,證照,招募人員,-0.026435052857271497,招募資訊
96,招募人員,招募人員,0.9999999999999999,招募資訊
97,正向,招募人員,0.3473019013317385,情緒
98,負向,招募人員,0.05185337291234024,情緒
99,薪資,正向,-0.07279693486590036,經濟報酬
100,主管風格,正向,0.454022988505747,人際價值
101,面試,正向,0.3112462820683114,招募資訊
102,學經歷,正向,0.17779062962923783,招募資訊
103,徵才,正向,0.1379310344827586,招募資訊
104,實習,正向,0.03256704980842914,招募資訊
105,工作,正向,0.24329501915708818,招募資訊
106,證照,正向,-0.07279693486590033,招募資訊
107,招募人員,正向,0.34730190133173855,招募資訊
108,正向,正向,1.0,情緒
109,負向,正向,0.41025641025641046,情緒
110,薪資,負向,-0.08119658119658114,經濟報酬
111,主管風格,負向,0.15384615384615385,人際價值
112,面試,負向,0.13262265951571078,招募資訊
113,學經歷,負向,-0.1446752970664625,招募資訊
114,徵才,負向,-0.08119658119658114,招募資訊
115,實習,負向,-0.08119658119658119,招募資訊
116,工作,負向,-0.08119658119658121,招募資訊
117,證照,負向,-0.08119658119658112,招募資訊
118,招募人員,負向,0.05185337291234024,招募資訊
