,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.010195724860270438,成長價值
2,薪資,成就感,-0.014634842840742287,經濟報酬
3,福利,成就感,-0.020520647104184733,經濟報酬
4,管理制度,成就感,-0.012539739488364229,經濟報酬
5,工作氛圍,成就感,-0.010825528985483347,人際價值
6,同事互動,成就感,-0.008353953598243997,人際價值
7,主管風格,成就感,-0.017197979012252687,人際價值
8,工作地點,成就感,-0.015134798105502372,組織文化與制度
9,工作環境,成就感,-0.012539739488364206,組織文化與制度
10,產業前景,成就感,-0.006211180124223609,組織文化與制度
11,變化性,成就感,-0.010825528985483373,組織文化與制度
12,面試,成就感,-0.038348758721265266,招募資訊
13,學經歷,成就感,0.1216767180639903,招募資訊
14,徵才,成就感,-0.02127134399314179,招募資訊
15,實習,成就感,-0.00881134221062802,招募資訊
16,工作,成就感,0.13343777477217567,招募資訊
17,離職,成就感,-0.006211180124223611,招募資訊
18,畢業,成就感,-0.007871271115252642,招募資訊
19,證照,成就感,-0.006211180124223609,招募資訊
20,招募人員,成就感,-0.019998285934662345,招募資訊
21,正向,成就感,-0.029448977012565374,情緒
22,負向,成就感,0.018798427700009966,情緒
23,成就感,學習成長,-0.01019572486027044,成長價值
24,學習成長,學習成長,0.9999999999999999,成長價值
25,薪資,學習成長,0.08408143025582532,經濟報酬
26,福利,學習成長,-0.03368488236446446,經濟報酬
27,管理制度,學習成長,-0.0205841291164956,經濟報酬
28,工作氛圍,學習成長,-0.01777023251546212,人際價值
29,同事互動,學習成長,0.17141390742111315,人際價值
30,主管風格,學習成長,-0.028230683808023096,人際價值
31,工作地點,學習成長,-0.024843948205210534,組織文化與制度
32,工作環境,學習成長,-0.020584129116495556,組織文化與制度
33,產業前景,學習成長,-0.01019572486027042,組織文化與制度
34,變化性,學習成長,-0.01777023251546213,組織文化與制度
35,面試,學習成長,-0.009276832705728195,招募資訊
36,學經歷,學習成長,0.0780913935673813,招募資訊
37,徵才,學習成長,-0.03491716009272057,招募資訊
38,實習,學習成長,-0.014463921353509292,招募資訊
39,工作,學習成長,-0.0418752308085184,招募資訊
40,離職,學習成長,0.4027311319806817,招募資訊
41,畢業,學習成長,-0.012920783649265402,招募資訊
42,證照,學習成長,-0.010195724860270415,招募資訊
43,招募人員,學習成長,-0.03282742039176019,招募資訊
44,正向,學習成長,0.09150230502938728,情緒
45,負向,學習成長,0.11606755373039936,情緒
46,成就感,薪資,-0.014634842840742285,成長價值
47,學習成長,薪資,0.08408143025582532,成長價值
48,薪資,薪資,1.0,經濟報酬
49,福利,薪資,0.5318604247326975,經濟報酬
50,管理制度,薪資,0.10341189524696015,經濟報酬
51,工作氛圍,薪資,-0.025507216374642334,人際價值
52,同事互動,薪資,-0.01968366647947393,人際價值
53,主管風格,薪資,-0.040522044923655354,人際價值
54,工作地點,薪資,0.31446304838045774,組織文化與制度
55,工作環境,薪資,0.1698909707628626,組織文化與制度
56,產業前景,薪資,-0.014634842840742332,組織文化與制度
57,變化性,薪資,0.12753608187321142,組織文化與制度
58,面試,薪資,-0.02187607889639101,招募資訊
59,學經歷,薪資,-0.06251263179182219,招募資訊
60,徵才,薪資,-0.050119746992510726,招募資訊
61,實習,薪資,-0.02076136996343491,招募資訊
62,工作,薪資,0.1063436722791522,招募資訊
63,離職,薪資,0.24879232829261957,招募資訊
