,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.4151531612413612,成長價值
2,薪資,成就感,-0.03191255177274242,經濟報酬
3,福利,成就感,-0.02656245766755794,經濟報酬
4,管理制度,成就感,-0.02499511861754599,經濟報酬
5,工作氛圍,成就感,0.29238371729535867,人際價值
6,同事互動,成就感,-0.038235179272629954,人際價值
7,主管風格,成就感,0.07637799701383388,人際價值
8,工作地點,成就感,-0.012355805468739935,組織文化與制度
9,公司規模,成就感,-0.012355805468739956,組織文化與制度
10,工作環境,成就感,-0.020304568527918815,組織文化與制度
11,產業前景,成就感,-0.041086976606499,組織文化與制度
12,多元性,成就感,-0.017539811221781713,組織文化與制度
13,管理學院/商學院,成就感,-0.012355805468739937,科系專業
14,面試,成就感,-0.043764714857198884,招募資訊
15,學經歷,成就感,-0.05443405818056607,招募資訊
16,徵才,成就感,-0.030850877617114733,招募資訊
17,實習,成就感,-0.02156362954050114,招募資訊
18,工作,成就感,0.3509271463135851,招募資訊
19,離職,成就感,-0.02156362954050111,招募資訊
20,畢業,成就感,-0.012355805468739937,招募資訊
21,招募人員,成就感,-0.04284689143448386,招募資訊
22,正向,成就感,0.43559051224662937,情緒
23,負向,成就感,0.07048608732368392,情緒
24,成就感,學習成長,0.4151531612413612,成長價值
25,學習成長,學習成長,1.0,成長價值
26,薪資,學習成長,0.17987655616845613,經濟報酬
27,福利,學習成長,0.21528438813796782,經濟報酬
28,管理制度,學習成長,-0.044199569608786404,經濟報酬
29,工作氛圍,學習成長,0.09798558702087713,人際價值
30,同事互動,學習成長,0.05822173754796426,人際價值
31,主管風格,學習成長,-0.034609472287655214,人際價值
32,工作地點,學習成長,-0.021849117511482,組織文化與制度
33,公司規模,學習成長,-0.021849117511482066,組織文化與制度
34,工作環境,學習成長,0.11444762823410512,組織文化與制度
35,產業前景,學習成長,-0.07265525362455058,組織文化與制度
36,多元性,學習成長,-0.031016140346615716,組織文化與制度
37,管理學院/商學院,學習成長,-0.021849117511482007,科系專業
38,面試,學習成長,-0.107891285143932,招募資訊
39,學經歷,學習成長,0.04394353744020424,招募資訊
40,徵才,學習成長,-0.05455447255899798,招募資訊
41,實習,學習成長,0.17476970127393304,招募資訊
42,工作,學習成長,0.08751407073576996,招募資訊
43,離職,學習成長,-0.038131571187039935,招募資訊
44,畢業,學習成長,-0.021849117511482007,招募資訊
45,招募人員,學習成長,-0.07576736039768855,招募資訊
46,正向,學習成長,0.2912333486419418,情緒
47,負向,學習成長,0.15603744801016745,情緒
48,成就感,薪資,-0.03191255177274242,成長價值
49,學習成長,薪資,0.17987655616845613,成長價值
50,薪資,薪資,1.0,經濟報酬
51,福利,薪資,0.6575315263998956,經濟報酬
52,管理制度,薪資,-0.03928465733470249,經濟報酬
53,工作氛圍,薪資,-0.03705947523370804,人際價值
54,同事互動,薪資,0.05174758553640043,人際價值
55,主管風格,薪資,-0.030760961506854586,人際價值
56,工作地點,薪資,-0.019419535124468548,組織文化與制度
57,公司規模,薪資,-0.019419535124468562,組織文化與制度
58,工作環境,薪資,-0.03191255177274248,組織文化與制度
59,產業前景,薪資,0.025561381112757003,組織文化與制度
60,多元性,薪資,-0.027567201584687416,組織文化與制度
61,管理學院/商學院,薪資,-0.019419535124468555,科系專業
62,面試,薪資,-0.014566172535202957,招募資訊
63,學經歷,薪資,-0.08555363771947348,招募資訊
64,徵才,薪資,-0.04848811378764262,招募資訊
65,實習,薪資,-0.03389140937288437,招募資訊
66,工作,薪資,-0.08013971463391334,招募資訊
67,離職,薪資,-0.03389140937288428,招募資訊
68,畢業,薪資,-0.019419535124468555,招募資訊
69,招募人員,薪資,-0.010943102109761037,招募資訊
70,正向,薪資,0.10273456003336771,情緒
71,負向,薪資,-0.028736814523387798,情緒
72,成就感,福利,-0.02656245766755794,成長價值
73,學習成長,福利,0.21528438813796782,成長價值
74,薪資,福利,0.6575315263998955,經濟報酬
75,福利,福利,1.0,經濟報酬
76,管理制度,福利,-0.03269864017357705,經濟報酬
77,工作氛圍,福利,-0.030846506700165623,人際價值
78,同事互動,福利,-0.050019301293905506,人際價值
79,主管風格,福利,-0.06744449821702406,人際價值
80,工作地點,福利,-0.016163877565815332,組織文化與制度
81,公司規模,福利,-0.016163877565815297,組織文化與制度
82,工作環境,福利,-0.026562457667557965,組織文化與制度
83,產業前景,福利,0.046284744208373696,組織文化與制度
84,多元性,福利,-0.02294559928397004,組織文化與制度
85,管理學院/商學院,福利,-0.01616387756581532,科系專業
86,面試,福利,-0.07229600254922765,招募資訊
87,學經歷,福利,-0.07121069153016252,招募資訊
88,徵才,福利,-0.04035915018754729,招募資訊
89,實習,福利,-0.028209562593801744,招募資訊
90,工作,福利,-0.06670440498185726,招募資訊
91,離職,福利,-0.028209562593801734,招募資訊
92,畢業,福利,-0.01616387756581532,招募資訊
93,招募人員,福利,-0.05605234794081016,招募資訊
94,正向,福利,0.1288252057477082,情緒
95,負向,福利,-0.10908046901913136,情緒
96,成就感,管理制度,-0.02499511861754599,成長價值
97,學習成長,管理制度,-0.044199569608786404,成長價值
98,薪資,管理制度,-0.03928465733470249,經濟報酬
99,福利,管理制度,-0.03269864017357706,經濟報酬
