,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.015291316637189281,經濟報酬
2,福利,學習成長,-0.013627532534292915,經濟報酬
3,管理制度,學習成長,0.0815161901962848,經濟報酬
4,工作氛圍,學習成長,-0.01575749870663409,人際價值
5,同事互動,學習成長,-0.022408963585434153,人際價值
6,主管風格,學習成長,0.10868476252347764,人際價值
7,工作地點,學習成長,-0.012842249610321155,組織文化與制度
8,公司規模,學習成長,-0.011111496933675242,組織文化與制度
9,工作環境,學習成長,-0.011111496933675283,組織文化與制度
10,產業前景,學習成長,-0.016724937665097535,組織文化與制度
11,多元性,學習成長,-0.007846214805444134,組織文化與制度
12,變化性,學習成長,-0.007846214805444117,組織文化與制度
13,工學院,學習成長,-0.011111496933675255,科系專業
14,面試,學習成長,0.035881110913205616,招募資訊
15,學經歷,學習成長,0.044466668031295516,招募資訊
16,徵才,學習成長,0.05581063395096518,招募資訊
17,工作,學習成長,0.0035737725985538573,招募資訊
18,離職,學習成長,-0.011111496933675294,招募資訊
19,新鮮人,學習成長,-0.011111496933675304,招募資訊
20,畢業,學習成長,0.1639764709159106,招募資訊
21,招募人員,學習成長,0.07612254953461263,招募資訊
22,正向,學習成長,0.26022232729220957,情緒
23,負向,學習成長,0.07078097355048092,情緒
24,學習成長,薪資,-0.015291316637189281,成長價值
25,薪資,薪資,1.0,經濟報酬
26,福利,薪資,0.3139549092598502,經濟報酬
27,管理制度,薪資,-0.015613925806999883,經濟報酬
28,工作氛圍,薪資,-0.010752523257695941,人際價值
29,同事互動,薪資,-0.015291316637189292,人際價值
30,主管風格,薪資,0.026025458858954298,人際價值
31,工作地點,薪資,-0.008763230141213838,組織文化與制度
32,公司規模,薪資,-0.007582207774947129,組織文化與制度
33,工作環境,薪資,-0.0075822077749470905,組織文化與制度
34,產業前景,薪資,-0.011412679421751257,組織文化與制度
35,多元性,薪資,-0.005354060866582646,組織文化與制度
36,變化性,薪資,-0.005354060866582614,組織文化與制度
37,工學院,薪資,-0.00758220777494711,科系專業
38,面試,薪資,-0.04551664163017483,招募資訊
39,學經歷,薪資,-0.021653179850828087,招募資訊
40,徵才,薪資,-0.020568455894787042,招募資訊
41,工作,薪資,0.11205791165605554,招募資訊
42,離職,薪資,-0.007582207774947158,招募資訊
43,新鮮人,薪資,-0.00758220777494715,招募資訊
44,畢業,薪資,-0.01075252325769584,招募資訊
45,招募人員,薪資,0.06337245884953023,招募資訊
46,正向,薪資,-0.03851891745146019,情緒
47,負向,薪資,-0.06692433621742469,情緒
48,學習成長,福利,-0.013627532534292915,成長價值
49,薪資,福利,0.3139549092598502,經濟報酬
50,福利,福利,1.0,經濟報酬
51,管理制度,福利,0.1553846127956942,經濟報酬
52,工作氛圍,福利,-0.009582586247911662,人際價值
53,同事互動,福利,-0.013627532534292922,人際價值
54,主管風格,福利,-0.03400703434475851,人際價值
55,工作地點,福利,-0.007809739781625471,組織文化與制度
56,公司規模,福利,0.4043069674283837,組織文化與制度
57,工作環境,福利,-0.006757219511337857,組織文化與制度
58,產業前景,福利,-0.01017091358536922,組織文化與制度
59,多元性,福利,-0.004771507933626242,組織文化與制度
60,變化性,福利,-0.004771507933626203,組織文化與制度
61,工學院,福利,-0.006757219511337851,科系專業
62,面試,福利,-0.04056416653870117,招募資訊
63,學經歷,福利,-0.01929718806361046,招募資訊
64,徵才,福利,-0.018330488376957815,招募資訊
65,工作,福利,0.047762935059801066,招募資訊
66,離職,福利,-0.006757219511337867,招募資訊
67,新鮮人,福利,-0.006757219511337889,招募資訊
68,畢業,福利,-0.009582586247911655,招募資訊
69,招募人員,福利,-0.0250017498581823,招募資訊
70,正向,福利,0.004674997040556398,情緒
71,負向,福利,0.008815098237127965,情緒
72,學習成長,管理制度,0.0815161901962848,成長價值
73,薪資,管理制度,-0.015613925806999883,經濟報酬
74,福利,管理制度,0.15538461279569418,經濟報酬
75,管理制度,管理制度,1.0,經濟報酬
76,工作氛圍,管理制度,-0.016089943171466874,人際價值
77,同事互動,管理制度,-0.02288173759895703,人際價值
78,主管風格,管理制度,0.01013074838633063,人際價值
79,工作地點,管理制度,-0.013113189489704056,組織文化與制度
80,公司規模,管理制度,0.19571715775370851,組織文化與制度
81,工作環境,管理制度,-0.011345922188620815,組織文化與制度
82,產業前景,管理制度,-0.01707779271239605,組織文化與制度
83,多元性,管理制度,-0.008011750638923903,組織文化與制度
84,變化性,管理制度,0.28441714768180093,組織文化與制度
85,工學院,管理制度,-0.011345922188620825,科系專業
86,面試,管理制度,-0.06811054109195837,招募資訊
87,學經歷,管理制度,-0.032401551238870216,招募資訊
88,徵才,管理制度,0.03943480410411507,招募資訊
89,工作,管理制度,0.03120669868004022,招募資訊
90,離職,管理制度,-0.011345922188620832,招募資訊
91,新鮮人,管理制度,-0.011345922188620827,招募資訊
92,畢業,管理制度,-0.01608994317146683,招募資訊
93,招募人員,管理制度,0.005903434032549085,招募資訊
94,正向,管理制度,0.14537646224268103,情緒
95,負向,管理制度,0.0895161809168859,情緒
96,學習成長,工作氛圍,-0.015757498706634093,成長價值
97,薪資,工作氛圍,-0.010752523257695943,經濟報酬
98,福利,工作氛圍,-0.00958258624791166,經濟報酬
99,管理制度,工作氛圍,-0.016089943171466874,經濟報酬
100,工作氛圍,工作氛圍,1.0,人際價值
101,同事互動,工作氛圍,-0.015757498706634093,人際價值
102,主管風格,工作氛圍,-0.03932229098375054,人際價值
103,工作地點,工作氛圍,-0.009030392273761482,組織文化與制度
104,公司規模,工作氛圍,-0.007813364410791595,組織文化與制度
105,工作環境,工作氛圍,-0.007813364410791631,組織文化與制度
106,產業前景,工作氛圍,-0.011760614569324103,組織文化與制度
107,多元性,工作氛圍,-0.00551728861432588,組織文化與制度
108,變化性,工作氛圍,-0.005517288614325875,組織文化與制度
109,工學院,工作氛圍,-0.00781336441079162,科系專業
110,面試,工作氛圍,-0.0469042946814319,招募資訊
111,學經歷,工作氛圍,-0.02231331425471399,招募資訊
112,徵才,工作氛圍,-0.02119552062451715,招募資訊
113,工作,工作氛圍,-0.02911613359276444,招募資訊
114,離職,工作氛圍,-0.007813364410791626,招募資訊
115,新鮮人,工作氛圍,-0.00781336441079162,招募資訊
116,畢業,工作氛圍,-0.011080332409972301,招募資訊
117,招募人員,工作氛圍,-0.028909491873345836,招募資訊
118,正向,工作氛圍,-0.01432508695407458,情緒
119,負向,工作氛圍,0.020087577817451113,情緒
120,學習成長,同事互動,-0.02240896358543415,成長價值
121,薪資,同事互動,-0.01529131663718929,經濟報酬
122,福利,同事互動,-0.013627532534292924,經濟報酬
123,管理制度,同事互動,-0.02288173759895703,經濟報酬
124,工作氛圍,同事互動,-0.015757498706634093,人際價值
125,同事互動,同事互動,1.0,人際價值
126,主管風格,同事互動,0.06753337422361326,人際價值
127,工作地點,同事互動,-0.012842249610321156,組織文化與制度
128,公司規模,同事互動,-0.011111496933675247,組織文化與制度
129,工作環境,同事互動,0.2423695268657936,組織文化與制度
130,產業前景,同事互動,-0.016724937665097545,組織文化與制度
131,多元性,同事互動,-0.007846214805444136,組織文化與制度
132,變化性,同事互動,-0.00784621480544412,組織文化與制度
133,工學院,同事互動,-0.011111496933675259,科系專業
134,面試,同事互動,-0.06670326624073684,招募資訊
135,學經歷,同事互動,-0.03173208235097121,招募資訊
136,徵才,同事互動,-0.030142452091660693,招募資訊
137,工作,同事互動,0.13851449657843426,招募資訊
138,離職,同事互動,-0.011111496933675299,招募資訊
139,新鮮人,同事互動,-0.011111496933675302,招募資訊
140,畢業,同事互動,-0.01575749870663414,招募資訊
141,招募人員,同事互動,-0.04111260059253357,招募資訊
142,正向,同事互動,0.09186578467184393,情緒
143,負向,同事互動,0.028566830828380393,情緒
144,學習成長,主管風格,0.10868476252347764,成長價值
145,薪資,主管風格,0.026025458858954298,經濟報酬
146,福利,主管風格,-0.034007034344758505,經濟報酬
147,管理制度,主管風格,0.01013074838633063,經濟報酬
148,工作氛圍,主管風格,-0.03932229098375055,人際價值
149,同事互動,主管風格,0.06753337422361326,人際價值
150,主管風格,主管風格,1.0,人際價值
151,工作地點,主管風格,-0.032047388069935186,組織文化與制度
152,公司規模,主管風格,-0.027728354850321442,組織文化與制度
153,工作環境,主管風格,-0.027728354850321456,組織文化與制度
154,產業前景,主管風格,0.12206804686819119,組織文化與制度
155,多元性,主管風格,-0.019579956657130564,組織文化與制度
156,變化性,主管風格,-0.019579956657130585,組織文化與制度
157,工學院,主管風格,-0.027728354850321466,科系專業
158,面試,主管風格,0.2739671136709883,招募資訊
159,學經歷,主管風格,0.09256328414510727,招募資訊
160,徵才,主管風格,0.1738691353471149,招募資訊
161,工作,主管風格,0.17185688290950885,招募資訊
162,離職,主管風格,-0.02772835485032146,招募資訊
