,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.023672369106623015,成長價值
2,薪資,成就感,-0.021298744054440124,經濟報酬
3,福利,成就感,-0.02816331607286215,經濟報酬
4,管理制度,成就感,-0.022947489721733823,經濟報酬
5,工作氛圍,成就感,-0.011627906976744195,人際價值
6,主管風格,成就感,-0.04465755589632793,人際價值
7,工作地點,成就感,-0.020378478648480667,組織文化與制度
8,工作環境,成就感,-0.0191750059457508,組織文化與制度
9,產業前景,成就感,-0.01654079233947122,組織文化與制度
10,變化性,成就感,-0.0156735447985111,組織文化與制度
11,工學院,成就感,-0.011627906976744201,科系專業
12,面試,成就感,-0.06129886701286518,招募資訊
13,學經歷,成就感,-0.03556047289920372,招募資訊
14,徵才,成就感,0.18423061000237728,招募資訊
15,實習,成就感,-0.0116279069767442,招募資訊
16,工作,成就感,-0.05651973052541918,招募資訊
17,離職,成就感,-0.026627405395459807,招募資訊
18,證照,成就感,-0.011627906976744201,招募資訊
19,招募人員,成就感,-0.04237195417527015,招募資訊
20,正向,成就感,0.06737701620611077,情緒
21,負向,成就感,-0.08095601875789898,情緒
22,成就感,學習成長,-0.023672369106623018,成長價值
23,學習成長,學習成長,1.0,成長價值
24,薪資,學習成長,0.22609397755268965,經濟報酬
25,福利,學習成長,-0.05733554754752211,經濟報酬
26,管理制度,學習成長,0.24359601734143896,經濟報酬
27,工作氛圍,學習成長,-0.023672369106623008,人際價值
28,主管風格,學習成長,0.3584940303882561,人際價值
29,工作地點,學習成長,0.1089033505409093,組織文化與制度
30,工作環境,學習成長,0.38548970725030096,組織文化與制度
31,產業前景,學習成長,0.3325321105333879,組織文化與制度
32,變化性,學習成長,-0.03190857464044091,組織文化與制度
33,工學院,學習成長,0.49120165896242995,科系專業
34,面試,學習成長,0.0967787791424299,招募資訊
35,學經歷,學習成長,-0.0723948550465372,招募資訊
36,徵才,學習成長,-0.07813771876280318,招募資訊
37,實習,學習成長,-0.023672369106623015,招募資訊
38,工作,學習成長,0.13520044599940334,招募資訊
39,離職,學習成長,-0.05420870412307871,招募資訊
40,證照,學習成長,-0.023672369106623018,招募資訊
41,招募人員,學習成長,0.14826252092181136,招募資訊
42,正向,學習成長,0.5558902715208804,情緒
43,負向,學習成長,0.19973002097451928,情緒
44,成就感,薪資,-0.02129874405444012,成長價值
45,學習成長,薪資,0.22609397755268965,成長價值
46,薪資,薪資,1.0,經濟報酬
47,福利,薪資,0.20487218111792285,經濟報酬
48,管理制度,薪資,-0.04203273308365902,經濟報酬
49,工作氛圍,薪資,-0.02129874405444013,人際價值
50,主管風格,薪資,-0.08179888736941607,人際價值
51,工作地點,薪資,-0.037327096081945975,組織文化與制度
52,工作環境,薪資,-0.03512270477375861,組織文化與制度
53,產業前景,薪資,-0.03029763681465957,組織文化與制度
54,變化性,薪資,-0.02870910644167884,組織文化與制度
55,工學院,薪資,-0.021298744054440114,科系專業
56,面試,薪資,-0.11228064362273961,招募資訊
57,學經歷,薪資,-0.06513583332320948,招募資訊
58,徵才,薪資,-0.07030286091902606,招募資訊
59,實習,薪資,-0.021298744054440134,招募資訊
