,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.04222003309207491,經濟報酬
2,福利,學習成長,-0.09456150270769176,經濟報酬
3,管理制度,學習成長,-0.060606060606060594,經濟報酬
4,工作氛圍,學習成長,-0.04222003309207491,人際價值
5,主管風格,學習成長,-0.12707606131310362,人際價值
6,工作環境,學習成長,-0.04222003309207491,組織文化與制度
7,產業前景,學習成長,-0.04222003309207491,組織文化與制度
8,多元性,學習成長,-0.04222003309207491,組織文化與制度
9,變化性,學習成長,-0.04222003309207491,組織文化與制度
10,工學院,學習成長,0.6966305460192359,科系專業
11,面試,學習成長,-0.17288532921151106,招募資訊
12,學經歷,學習成長,-0.09456150270769174,招募資訊
13,徵才,學習成長,0.6966305460192361,招募資訊
14,工作,學習成長,-0.0706996321640269,招募資訊
15,畢業,學習成長,-0.057322515260151245,招募資訊
16,證照,學習成長,-0.06060606060606061,招募資訊
17,招募人員,學習成長,-0.06487491201346024,招募資訊
18,正向,學習成長,-0.013616924761710895,情緒
19,負向,學習成長,-0.004805915300679939,情緒
20,學習成長,薪資,-0.04222003309207491,成長價值
21,薪資,薪資,0.9999999999999999,經濟報酬
22,福利,薪資,0.3183930844410172,經濟報酬
23,管理制度,薪資,-0.042220033092074866,經濟報酬
24,工作氛圍,薪資,-0.029411764705882325,人際價值
25,主管風格,薪資,-0.08852506597852126,人際價值
26,工作環境,薪資,0.9999999999999999,組織文化與制度
27,產業前景,薪資,-0.029411764705882325,組織文化與制度
28,多元性,薪資,-0.029411764705882325,組織文化與制度
29,變化性,薪資,-0.029411764705882325,組織文化與制度
30,工學院,薪資,-0.02941176470588236,科系專業
31,面試,薪資,-0.12043720128733033,招募資訊
32,學經歷,薪資,-0.06587443126365877,招募資訊
33,徵才,薪資,-0.029411764705882325,招募資訊
34,工作,薪資,-0.049251523357785224,招募資訊
35,畢業,薪資,-0.03993261510487515,招募資訊
36,證照,薪資,-0.04222003309207491,招募資訊
37,招募人員,薪資,-0.045193845378886696,招募資訊
38,正向,薪資,0.03794386292741398,情緒
39,負向,薪資,-0.12052610640125554,情緒
40,學習成長,福利,-0.09456150270769174,成長價值
41,薪資,福利,0.3183930844410172,經濟報酬
42,福利,福利,0.9999999999999999,經濟報酬
43,管理制度,福利,0.4570472630871765,經濟報酬
44,工作氛圍,福利,0.3183930844410171,人際價值
45,主管風格,福利,0.05874734954460465,人際價值
46,工作環境,福利,0.3183930844410172,組織文化與制度
47,產業前景,福利,-0.06587443126365877,組織文化與制度
48,多元性,福利,-0.06587443126365877,組織文化與制度
49,變化性,福利,0.3183930844410171,組織文化與制度
50,工學院,福利,-0.06587443126365877,科系專業
51,面試,福利,-0.17718668441063604,招募資訊
52,學經歷,福利,-0.14754098360655726,招募資訊
53,徵才,福利,-0.06587443126365877,招募資訊
54,工作,福利,-0.11031014706213878,招募資訊
55,畢業,福利,-0.0894383025027443,招募資訊
56,證照,福利,-0.09456150270769177,招募資訊
57,招募人員,福利,0.2530551031809106,招募資訊
58,正向,福利,0.5099041996190828,情緒
59,負向,福利,-0.05123975307397531,情緒
60,學習成長,管理制度,-0.060606060606060594,成長價值
61,薪資,管理制度,-0.04222003309207486,經濟報酬
62,福利,管理制度,0.4570472630871766,經濟報酬
63,管理制度,管理制度,0.9999999999999999,經濟報酬
64,工作氛圍,管理制度,0.696630546019236,人際價值
65,主管風格,管理制度,0.3671086215711881,人際價值
66,工作環境,管理制度,-0.04222003309207486,組織文化與制度
67,產業前景,管理制度,-0.04222003309207487,組織文化與制度
68,多元性,管理制度,-0.04222003309207487,組織文化與制度
69,變化性,管理制度,0.696630546019236,組織文化與制度
70,工學院,管理制度,-0.0422200330920749,科系專業
71,面試,管理制度,0.0050848626238679554,招募資訊
72,學經歷,管理制度,-0.09456150270769174,招募資訊
73,徵才,管理制度,-0.04222003309207486,招募資訊
74,工作,管理制度,-0.0706996321640269,招募資訊
75,畢業,管理制度,-0.057322515260151245,招募資訊
76,證照,管理制度,-0.06060606060606059,招募資訊
77,招募人員,管理制度,0.6163116641278721,招募資訊
78,正向,管理制度,0.5991446895152778,情緒
79,負向,管理制度,0.16340112022311817,情緒
80,學習成長,工作氛圍,-0.04222003309207491,成長價值
81,薪資,工作氛圍,-0.029411764705882325,經濟報酬
82,福利,工作氛圍,0.3183930844410171,經濟報酬
83,管理制度,工作氛圍,0.696630546019236,經濟報酬
84,工作氛圍,工作氛圍,1.0,人際價值
85,主管風格,工作氛圍,-0.08852506597852126,人際價值
86,工作環境,工作氛圍,-0.029411764705882325,組織文化與制度
87,產業前景,工作氛圍,-0.029411764705882307,組織文化與制度
88,多元性,工作氛圍,-0.029411764705882307,組織文化與制度
89,變化性,工作氛圍,1.0,組織文化與制度
90,工學院,工作氛圍,-0.02941176470588236,科系專業
91,面試,工作氛圍,0.12752174253952608,招募資訊
92,學經歷,工作氛圍,-0.06587443126365877,招募資訊
93,徵才,工作氛圍,-0.029411764705882314,招募資訊
94,工作,工作氛圍,-0.049251523357785224,招募資訊
95,畢業,工作氛圍,-0.03993261510487515,招募資訊
96,證照,工作氛圍,-0.04222003309207491,招募資訊
97,招募人員,工作氛圍,0.9038769075777334,招募資訊
98,正向,工作氛圍,0.5122421495200883,情緒
99,負向,工作氛圍,0.34818652960362706,情緒
100,學習成長,主管風格,-0.12707606131310362,成長價值
101,薪資,主管風格,-0.08852506597852126,經濟報酬
102,福利,主管風格,0.05874734954460466,經濟報酬
103,管理制度,主管風格,0.3671086215711881,經濟報酬
104,工作氛圍,主管風格,-0.08852506597852126,人際價值
105,主管風格,主管風格,1.0,人際價值
106,工作環境,主管風格,-0.08852506597852126,組織文化與制度
107,產業前景,主管風格,-0.08852506597852126,組織文化與制度
108,多元性,主管風格,-0.08852506597852126,組織文化與制度
109,變化性,主管風格,-0.08852506597852126,組織文化與制度
110,工學院,主管風格,-0.08852506597852128,科系專業
