,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.016005549638933563,成長價值
2,創新,成就感,-0.0030648016137692783,成長價值
3,薪資,成就感,0.04176490580930628,經濟報酬
4,福利,成就感,-0.011292921363829936,經濟報酬
5,管理制度,成就感,0.01417482954683233,經濟報酬
6,工作氛圍,成就感,-0.01624973051862787,人際價值
7,同事互動,成就感,0.020666669827793374,人際價值
8,主管風格,成就感,-0.007288066677460367,人際價值
9,工作地點,成就感,-0.0074433026857685216,組織文化與制度
10,公司規模,成就感,-0.004735074634820186,組織文化與制度
11,工作環境,成就感,0.009892231860526506,組織文化與制度
12,產業前景,成就感,-0.009840947142497584,組織文化與制度
13,多元性,成就感,-0.0038783336513174946,組織文化與制度
14,企業社會責任,成就感,-0.0015315954810130128,組織文化與制度
15,企業永續目標,成就感,-0.0015315954810130122,組織文化與制度
16,變化性,成就感,-0.007135984108083965,組織文化與制度
17,工學院,成就感,-0.015989336010725975,科系專業
18,理學院,成就感,-0.009956423708286031,科系專業
19,管理學院/商學院,成就感,-0.004836643618681504,科系專業
20,社會學院,成就感,-0.005088647174931346,科系專業
21,文學院,成就感,-0.004100742600571771,科系專業
22,面試,成就感,0.027319735342576333,招募資訊
23,徵才,成就感,0.04653174169240894,招募資訊
24,實習,成就感,0.03745669912809527,招募資訊
25,工作,成就感,0.05880442708494642,招募資訊
26,離職,成就感,-0.007043365866437374,招募資訊
27,轉職,成就感,-0.0026537308555262037,招募資訊
28,新鮮人,成就感,-0.006728002641786523,招募資訊
29,畢業,成就感,-0.00614253944290043,招募資訊
30,出路,成就感,0.08797714432912945,招募資訊
31,能力,成就感,0.0009739123508059111,招募資訊
32,招募人員,成就感,0.00980762880968316,招募資訊
33,正向,成就感,0.039774125465524904,情緒
34,負向,成就感,0.055200438250525126,情緒
35,成就感,學習成長,0.016005549638933563,成長價值
36,學習成長,學習成長,1.0,成長價值
37,創新,學習成長,-0.007900237838993684,成長價值
38,薪資,學習成長,-0.023292805463546947,經濟報酬
39,福利,學習成長,-0.015445018153422889,經濟報酬
40,管理制度,學習成長,0.028592822927264904,經濟報酬
41,工作氛圍,學習成長,0.017101978167213334,人際價值
42,同事互動,學習成長,0.07772611428166729,人際價值
43,主管風格,學習成長,0.09943924945713255,人際價值
44,工作地點,學習成長,-0.012299257106762529,組織文化與制度
45,公司規模,學習成長,-0.012205754405897355,組織文化與制度
46,工作環境,學習成長,0.06564973560550828,組織文化與制度
47,產業前景,學習成長,0.11483409454617426,組織文化與制度
48,多元性,學習成長,0.012881143723642668,組織文化與制度
49,企業社會責任,學習成長,-0.003948043005057499,組織文化與制度
50,企業永續目標,學習成長,-0.003948043005057489,組織文化與制度
51,變化性,學習成長,0.07589918097413383,組織文化與制度
52,工學院,學習成長,0.09303313410324986,科系專業
53,理學院,學習成長,0.009139955162213595,科系專業
54,管理學院/商學院,學習成長,0.005090310480808326,科系專業
55,社會學院,學習成長,-0.013117169731334949,科系專業
56,文學院,學習成長,-0.010570616288982823,科系專業
57,面試,學習成長,0.05074848565281717,招募資訊
58,徵才,學習成長,0.06586819936632692,招募資訊
59,實習,學習成長,0.0853947860198683,招募資訊
