,item1,item2,value,class
0,成就感,成就感,0.9999999999999998,成長價值
1,學習成長,成就感,-0.015910725812032078,成長價值
2,薪資,成就感,-0.02124866356056109,經濟報酬
3,福利,成就感,-0.014878053071579762,經濟報酬
4,管理制度,成就感,-0.017709943612616665,經濟報酬
5,工作氛圍,成就感,-0.013757802147199547,人際價值
6,同事互動,成就感,0.1882377784115227,人際價值
7,主管風格,成就感,-0.034227783796540255,人際價值
8,工作地點,成就感,-0.0063795853269537324,組織文化與制度
9,公司規模,成就感,-0.008085096769579277,組織文化與制度
10,工作環境,成就感,-0.01430083986866238,組織文化與制度
11,產業前景,成就感,-0.007825855808712314,組織文化與制度
12,多元性,成就感,-0.0031821888560862534,組織文化與制度
13,變化性,成就感,-0.004503870558332271,組織文化與制度
14,工學院,成就感,-0.01010005075038383,科系專業
15,理學院,成就感,-0.0031821888560862534,科系專業
16,面試,成就感,-0.04209940449816741,招募資訊
17,學經歷,成就感,0.036943945743865295,招募資訊
18,徵才,成就感,-0.021431387408537263,招募資訊
19,實習,成就感,-0.0060260823721078405,招募資訊
20,工作,成就感,0.004042326927510229,招募資訊
21,離職,成就感,-0.0106388999095143,招募資訊
22,新鮮人,成就感,-0.00924012387792284,招募資訊
23,畢業,成就感,-0.006026082372107836,招募資訊
24,證照,成就感,-0.018190384667560264,招募資訊
25,招募人員,成就感,-0.03422778379654025,招募資訊
26,正向,成就感,0.1999282320678011,情緒
27,負向,成就感,-0.03657437464081476,情緒
28,成就感,學習成長,-0.015910725812032078,成長價值
29,學習成長,學習成長,1.0,成長價值
30,薪資,學習成長,0.14569496547357225,經濟報酬
31,福利,學習成長,0.08265802844761022,經濟報酬
32,管理制度,學習成長,0.09502890695638506,經濟報酬
33,工作氛圍,學習成長,-0.0024724855833949413,人際價值
34,同事互動,學習成長,0.2367385776288637,人際價值
35,主管風格,學習成長,0.11266833223593027,人際價值
36,工作地點,學習成長,-0.01591072581203205,組織文化與制度
37,公司規模,學習成長,-0.020164282045263833,組織文化與制度
38,工作環境,學習成長,0.03525427273007148,組織文化與制度
39,產業前景,學習成長,0.10122432354909326,組織文化與制度
40,多元性,學習成長,-0.007936398962700136,組織文化與制度
41,變化性,學習成長,-0.011232681416415287,組織文化與制度
42,工學院,學習成長,0.07220398382072425,科系專業
43,理學院,學習成長,-0.007936398962700136,科系專業
44,面試,學習成長,0.009254309687611343,招募資訊
45,學經歷,學習成長,0.017248757625521177,招募資訊
46,徵才,學習成長,0.1945423325292486,招募資訊
47,實習,學習成長,0.040755348300596884,招募資訊
48,工作,學習成長,0.28941760454863835,招募資訊
49,離職,學習成長,-0.026533483091253234,招募資訊
50,新鮮人,學習成長,0.019723746255695868,招募資訊
51,畢業,學習成長,-0.015029087225816544,招募資訊
52,證照,學習成長,0.031174603990367207,招募資訊
53,招募人員,學習成長,0.07097725020052667,招募資訊
54,正向,學習成長,0.15184398470937097,情緒
55,負向,學習成長,0.005969277418383441,情緒
56,成就感,薪資,-0.02124866356056109,成長價值
57,學習成長,薪資,0.14569496547357225,成長價值
58,薪資,薪資,1.0,經濟報酬
59,福利,薪資,0.2525616391024419,經濟報酬
60,管理制度,薪資,0.13254369973358288,經濟報酬
61,工作氛圍,薪資,0.0417965836369519,人際價值
62,同事互動,薪資,0.07324733369041533,人際價值
63,主管風格,薪資,-0.013614046960233338,人際價值
64,工作地點,薪資,0.18190143805631845,組織文化與制度
65,公司規模,薪資,0.10180075675230613,組織文化與制度
66,工作環境,薪資,0.11500806922346413,組織文化與制度
67,產業前景,薪資,-0.026065797168699868,組織文化與制度
68,多元性,薪資,-0.01059900556599822,組織文化與制度
69,變化性,薪資,0.17622584033715116,組織文化與制度
