,item1,item2,value,class
0,成就感,成就感,0.9999999999999998,成長價值
1,學習成長,成就感,0.03947694353048822,成長價值
2,創新,成就感,-0.002141370952952195,成長價值
3,薪資,成就感,0.093155273792622,經濟報酬
4,福利,成就感,-0.012900651468156693,經濟報酬
5,管理制度,成就感,0.013658143782244243,經濟報酬
6,工作氛圍,成就感,-0.0018017642538154612,人際價值
7,同事互動,成就感,0.01650087141046361,人際價值
8,主管風格,成就感,0.02101039738797855,人際價值
9,工作地點,成就感,-0.007313873123503235,組織文化與制度
10,公司規模,成就感,-0.006418110494142984,組織文化與制度
11,工作環境,成就感,-0.00256989731245791,組織文化與制度
12,產業前景,成就感,-0.008814105812391504,組織文化與制度
13,多元性,成就感,0.0638366210077548,組織文化與制度
14,企業社會責任,成就感,-0.0009573216782182036,組織文化與制度
15,企業永續目標,成就感,-0.0009573216782182002,組織文化與制度
16,變化性,成就感,0.03089731221892283,組織文化與制度
17,工學院,成就感,0.0034146012924695206,科系專業
18,管理學院/商學院,成就感,-0.00135397340717214,科系專業
19,面試,成就感,-0.0028874711191537775,招募資訊
20,學經歷,成就感,0.07686921321740715,招募資訊
21,徵才,成就感,0.022207560137487106,招募資訊
22,實習,成就感,0.006661529687437493,招募資訊
23,工作,成就感,0.11814083302055736,招募資訊
24,離職,成就感,0.02594073920417672,招募資訊
25,新鮮人,成就感,-0.004498344252807857,招募資訊
26,畢業,成就感,-0.004904483628942093,招募資訊
27,證照,成就感,-0.0072960708545527645,招募資訊
28,招募人員,成就感,0.013839461609650563,招募資訊
29,正向,成就感,0.11814682483782883,情緒
30,負向,成就感,0.0691169511355233,情緒
31,成就感,學習成長,0.03947694353048822,成長價值
32,學習成長,學習成長,1.0,成長價值
33,創新,學習成長,-0.006231654260360637,成長價值
34,薪資,學習成長,0.008808208090167172,經濟報酬
35,福利,學習成長,0.0018386347655363607,經濟報酬
36,管理制度,學習成長,0.030977133865559427,經濟報酬
37,工作氛圍,學習成長,-0.002965911572699383,人際價值
38,同事互動,學習成長,0.0619004566646277,人際價值
39,主管風格,學習成長,0.04896130026925367,人際價值
40,工作地點,學習成長,-0.0016646825159568773,組織文化與制度
41,公司規模,學習成長,0.005369295375991631,組織文化與制度
42,工作環境,學習成長,0.030877018968125287,組織文化與制度
43,產業前景,學習成長,0.06638465776952222,組織文化與制度
44,多元性,學習成長,-0.003015466722826427,組織文化與制度
45,企業社會責任,學習成長,-0.0027859244594587713,組織文化與制度
46,企業永續目標,學習成長,-0.0027859244594587683,組織文化與制度
47,變化性,學習成長,0.028159265654496633,組織文化與制度
48,工學院,學習成長,0.03474776564329899,科系專業
49,管理學院/商學院,學習成長,-0.0039402300379515936,科系專業
50,面試,學習成長,0.005506928239614377,招募資訊
51,學經歷,學習成長,0.06780399763501087,招募資訊
52,徵才,學習成長,0.05471495115219156,招募資訊
53,實習,學習成長,0.06029038103707389,招募資訊
54,工作,學習成長,0.10593021589310168,招募資訊
55,離職,學習成長,0.0188659147862202,招募資訊
56,新鮮人,學習成長,0.03042318850741823,招募資訊
57,畢業,學習成長,0.013684617921225967,招募資訊
58,證照,學習成長,-0.00890945940961557,招募資訊
59,招募人員,學習成長,0.021340274435237745,招募資訊
60,正向,學習成長,0.14368134454389161,情緒
61,負向,學習成長,0.10051730230673067,情緒
62,成就感,創新,-0.0021413709529521955,成長價值
63,學習成長,創新,-0.006231654260360637,成長價值
64,創新,創新,0.9999999999999999,成長價值
65,薪資,創新,-0.005064823771132042,經濟報酬
66,福利,創新,-0.005169454547843194,經濟報酬
67,管理制度,創新,0.005905813684515944,經濟報酬
68,工作氛圍,創新,-0.005269121901954101,人際價值
69,同事互動,創新,0.01888317136471402,人際價值
70,主管風格,創新,-0.012407157121496282,人際價值
71,工作地點,創新,-0.0029307616575773095,組織文化與制度
72,公司規模,創新,-0.0025718182189793095,組織文化與制度
73,工作環境,創新,-0.004993973760703971,組織文化與制度
74,產業前景,創新,0.03496934757406323,組織文化與制度
75,多元性,創新,-0.0017428229372694008,組織文化與制度
76,企業社會責任,創新,-0.0003836109296828447,組織文化與制度
77,企業永續目標,創新,-0.0003836109296828483,組織文化與制度
78,變化性,創新,-0.0027311669341286136,組織文化與制度
79,工學院,創新,-0.0038712361987049138,科系專業
80,管理學院/商學院,創新,-0.0005425543046908477,科系專業
81,面試,創新,-0.0076832734594625895,招募資訊
82,學經歷,創新,0.00775860651200269,招募資訊
83,徵才,創新,0.01268473029185601,招募資訊
84,實習,創新,-0.0032998522333383042,招募資訊
85,工作,創新,-0.010206587687264235,招募資訊
86,離職,創新,-0.0034617597246251303,招募資訊
87,新鮮人,創新,-0.0018025435547065814,招募資訊
88,畢業,創新,-0.001965288750187443,招募資訊
89,證照,創新,-0.0029236280627805565,招募資訊
90,招募人員,創新,0.0037618645767393743,招募資訊
91,正向,創新,0.02766583734567852,情緒
92,負向,創新,0.02753050243200303,情緒
93,成就感,薪資,0.09315527379262199,成長價值
94,學習成長,薪資,0.008808208090167174,成長價值
95,創新,薪資,-0.005064823771132042,成長價值
96,薪資,薪資,1.0,經濟報酬
97,福利,薪資,0.358864067780069,經濟報酬
98,管理制度,薪資,0.06975986914429115,經濟報酬
99,工作氛圍,薪資,0.018256437938254884,人際價值
100,同事互動,薪資,-0.016982610357529543,人際價值
101,主管風格,薪資,0.027997579928389246,人際價值
102,工作地點,薪資,0.0060513077895960575,組織文化與制度
103,公司規模,薪資,0.02973000022485528,組織文化與制度
104,工作環境,薪資,0.04428846539539527,組織文化與制度
105,產業前景,薪資,-0.011217871191070247,組織文化與制度
106,多元性,薪資,0.11681951818450564,組織文化與制度
107,企業社會責任,薪資,-0.0022642810138873786,組織文化與制度
108,企業永續目標,薪資,-0.0022642810138873764,組織文化與制度
109,變化性,薪資,0.07468544500393763,組織文化與制度
110,工學院,薪資,0.017773575890352316,科系專業
111,管理學院/商學院,薪資,-0.00320245153632622,科系專業
112,面試,薪資,0.02819373164903274,招募資訊
113,學經歷,薪資,0.01188940862869357,招募資訊
114,徵才,薪資,0.05359111090474198,招募資訊
115,實習,薪資,-0.0009649883670524997,招募資訊
116,工作,薪資,0.16210280431845936,招募資訊
117,離職,薪資,0.09237307208259914,招募資訊
118,新鮮人,薪資,0.013262608343949359,招募資訊
