,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.026650089544451267,成長價值
2,薪資,成就感,0.3468092217104468,經濟報酬
3,福利,成就感,-0.03302891295379082,經濟報酬
4,管理制度,成就感,-0.02159167585437656,經濟報酬
5,工作氛圍,成就感,-0.02159167585437655,人際價值
6,同事互動,成就感,-0.020452221470506283,人際價值
7,主管風格,成就感,0.11167656571008175,人際價值
8,工作地點,成就感,-0.026650089544451278,組織文化與制度
9,工作環境,成就感,-0.02159167585437654,組織文化與制度
10,工學院,成就感,-0.015151515151515187,科系專業
11,管理學院/商學院,成就感,-0.02665008954445126,科系專業
12,面試,成就感,-0.06894502533266925,招募資訊
13,徵才,成就感,-0.03405867181741915,招募資訊
14,實習,成就感,-0.02665008954445126,招募資訊
15,工作,成就感,0.19576052988617404,招募資訊
16,出路,成就感,-0.01515151515151519,招募資訊
17,能力,成就感,-0.05250622548388913,招募資訊
18,招募人員,成就感,0.07040016494607453,招募資訊
19,正向,成就感,0.4444624815964756,情緒
20,負向,成就感,-0.05680809604871951,情緒
21,成就感,學習成長,-0.026650089544451267,成長價值
22,學習成長,學習成長,0.9999999999999999,成長價值
23,薪資,學習成長,-0.0711672254633714,經濟報酬
24,福利,學習成長,-0.05809475019311121,經濟報酬
25,管理制度,學習成長,-0.037977726265637356,經濟報酬
26,工作氛圍,學習成長,-0.037977726265637377,人際價值
27,同事互動,學習成長,0.49963240577427953,人際價值
28,主管風格,學習成長,0.19642857142857123,人際價值
29,工作地點,學習成長,-0.04687499999999993,組織文化與制度
30,工作環境,學習成長,-0.037977726265637404,組織文化與制度
31,工學院,學習成長,-0.02665008954445125,科系專業
32,管理學院/商學院,學習成長,-0.04687499999999987,科系專業
33,面試,學習成長,0.014147911460452751,招募資訊
34,徵才,學習成長,0.23740525586757205,招募資訊
35,實習,學習成長,-0.046874999999999896,招募資訊
36,工作,學習成長,0.06469124206912348,招募資訊
37,出路,學習成長,-0.026650089544451246,招募資訊
38,能力,學習成長,0.12475825077225387,招募資訊
39,招募人員,學習成長,0.042489748200379686,招募資訊
40,正向,學習成長,-0.08334160011906186,情緒
41,負向,學習成長,0.12323478490902053,情緒
42,成就感,薪資,0.3468092217104468,成長價值
43,學習成長,薪資,-0.07116722546337138,成長價值
44,薪資,薪資,1.0,經濟報酬
45,福利,薪資,0.7560122852994557,經濟報酬
46,管理制度,薪資,-0.05765908069830054,經濟報酬
47,工作氛圍,薪資,0.35625074860021244,人際價值
48,同事互動,薪資,-0.05461624638035696,人際價值
49,主管風格,薪資,-0.02614306241511607,人際價值
50,工作地點,薪資,-0.07116722546337145,組織文化與制度
51,工作環境,薪資,-0.05765908069830046,組織文化與制度
52,工學院,薪資,-0.04046107586621892,科系專業
53,管理學院/商學院,薪資,-0.07116722546337133,科系專業
54,面試,薪資,-0.18411293343851123,招募資訊
55,徵才,薪資,0.15086371949535035,招募資訊
56,實習,薪資,0.2694187821113349,招募資訊
57,工作,薪資,-0.023083129383892457,招募資訊
58,出路,薪資,-0.04046107586621894,招募資訊
59,能力,薪資,-0.14021425260166043,招募資訊
60,招募人員,薪資,0.08215072887276767,招募資訊
61,正向,薪資,0.3937260265582057,情緒
62,負向,薪資,0.06609877264254183,情緒
63,成就感,福利,-0.03302891295379082,成長價值
64,學習成長,福利,-0.058094750193111215,成長價值
65,薪資,福利,0.7560122852994556,經濟報酬
66,福利,福利,1.0,經濟報酬
67,管理制度,福利,-0.047067872433164126,經濟報酬
68,工作氛圍,福利,0.4785233697371695,人際價值
69,同事互動,福利,-0.04458396641562625,人際價值
70,主管風格,福利,-0.06547186132874429,人際價值
71,工作地點,福利,-0.058094750193111236,組織文化與制度
72,工作環境,福利,-0.04706787243316408,組織文化與制度
73,工學院,福利,-0.033028912953790845,科系專業
74,管理學院/商學院,福利,-0.05809475019311116,科系專業
75,面試,福利,-0.1502938298604361,招募資訊
76,徵才,福利,0.2021107895846745,招募資訊
77,實習,福利,0.3743883901333829,招募資訊
78,工作,福利,-0.09310690802013699,招募資訊
79,出路,福利,-0.033028912953790845,招募資訊
80,能力,福利,-0.11445875436860631,招募資訊
81,招募人員,福利,0.05265986789267752,招募資訊
82,正向,福利,0.28659282917660317,情緒
83,負向,福利,0.1527316062803488,情緒
84,成就感,管理制度,-0.021591675854376557,成長價值
85,學習成長,管理制度,-0.037977726265637356,成長價值
86,薪資,管理制度,-0.05765908069830054,經濟報酬
87,福利,管理制度,-0.04706787243316413,經濟報酬
88,管理制度,管理制度,1.0,經濟報酬
89,工作氛圍,管理制度,-0.030769230769230806,人際價值
90,同事互動,管理制度,-0.029145450608544066,人際價值
91,主管風格,管理制度,-0.08318930515330106,人際價值
92,工作地點,管理制度,-0.037977726265637377,組織文化與制度
93,工作環境,管理制度,-0.030769230769230806,組織文化與制度
94,工學院,管理制度,-0.02159167585437657,科系專業
95,管理學院/商學院,管理制度,-0.03797772626563747,科系專業
96,面試,管理制度,-0.01596564940064494,招募資訊
97,徵才,管理制度,-0.048535330926211984,招募資訊
98,實習,管理制度,-0.037977726265637377,招募資訊
99,工作,管理制度,0.1090513859846876,招募資訊
100,出路,管理制度,-0.021591675854376574,招募資訊
101,能力,管理制度,-0.07482402846500584,招募資訊
102,招募人員,管理制度,-0.09737309781256423,招募資訊
103,正向,管理制度,-0.035663374375909475,情緒
104,負向,管理制度,-0.08095441172202371,情緒
105,成就感,工作氛圍,-0.021591675854376546,成長價值
106,學習成長,工作氛圍,-0.037977726265637377,成長價值
107,薪資,工作氛圍,0.3562507486002124,經濟報酬
108,福利,工作氛圍,0.4785233697371695,經濟報酬
109,管理制度,工作氛圍,-0.030769230769230806,經濟報酬
110,工作氛圍,工作氛圍,0.9999999999999999,人際價值
111,同事互動,工作氛圍,-0.029145450608544017,人際價值
112,主管風格,工作氛圍,-0.0831893051533011,人際價值
113,工作地點,工作氛圍,-0.037977726265637425,組織文化與制度
114,工作環境,工作氛圍,-0.030769230769230785,組織文化與制度
115,工學院,工作氛圍,-0.021591675854376564,科系專業
116,管理學院/商學院,工作氛圍,-0.03797772626563739,科系專業
117,面試,工作氛圍,-0.015965649400644943,招募資訊
118,徵才,工作氛圍,0.13212395641024344,招募資訊
119,實習,工作氛圍,0.3861068837006478,招募資訊
120,工作,工作氛圍,-0.06086588985191873,招募資訊
121,出路,工作氛圍,-0.02159167585437657,招募資訊
122,能力,工作氛圍,-0.07482402846500585,招募資訊
123,招募人員,工作氛圍,0.0014753499668570555,招募資訊
124,正向,工作氛圍,0.1554923122789651,情緒
125,負向,工作氛圍,0.5970387864499245,情緒
126,成就感,同事互動,-0.02045222147050628,成長價值
127,學習成長,同事互動,0.49963240577427953,成長價值
128,薪資,同事互動,-0.05461624638035696,經濟報酬
129,福利,同事互動,-0.04458396641562625,經濟報酬
130,管理制度,同事互動,-0.029145450608544062,經濟報酬
131,工作氛圍,同事互動,-0.029145450608544017,人際價值
132,同事互動,同事互動,1.0,人際價值
133,主管風格,同事互動,-0.07879916799640085,人際價值
134,工作地點,同事互動,-0.03597353321574815,組織文化與制度
135,工作環境,同事互動,-0.02914545060854398,組織文化與制度
136,工學院,同事互動,-0.0204522214705063,科系專業
137,管理學院/商學院,同事互動,-0.03597353321574811,科系專業
138,面試,同事互動,-0.09306520920796568,招募資訊
139,徵才,同事互動,-0.04597398293407578,招募資訊
140,實習,同事互動,-0.03597353321574812,招募資訊
141,工作,同事互動,-0.057653823058785955,招募資訊
142,出路,同事互動,-0.02045222147050632,招募資訊
143,能力,同事互動,0.4289823866853817,招募資訊
144,招募人員,同事互動,-0.09223444141915348,招募資訊
145,正向,同事互動,0.11710856311519813,情緒
146,負向,同事互動,0.09457473340288498,情緒
147,成就感,主管風格,0.11167656571008175,成長價值
148,學習成長,主管風格,0.19642857142857123,成長價值
149,薪資,主管風格,-0.026143062415116075,經濟報酬
150,福利,主管風格,-0.06547186132874429,經濟報酬
151,管理制度,主管風格,-0.08318930515330106,經濟報酬
152,工作氛圍,主管風格,-0.08318930515330109,人際價值
153,同事互動,主管風格,-0.07879916799640085,人際價值
154,主管風格,主管風格,1.0,人際價值
155,工作地點,主管風格,-0.10267857142857145,組織文化與制度
156,工作環境,主管風格,0.03797772626563749,組織文化與制度
157,工學院,主管風格,-0.058376386621179055,科系專業
158,管理學院/商學院,主管風格,-0.0029761904761904513,科系專業
159,面試,主管風格,0.5855502947305755,招募資訊
160,徵才,主管風格,0.5058728816617426,招募資訊
