,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.20773437672210576,成長價值
2,薪資,成就感,-0.02745683387722292,經濟報酬
3,福利,成就感,-0.020199844820899284,經濟報酬
4,管理制度,成就感,0.039653637191834845,經濟報酬
5,工作氛圍,成就感,-0.017310159693433844,人際價值
6,同事互動,成就感,-0.016685995463942088,人際價值
7,主管風格,成就感,-0.04823339694686174,人際價值
8,工作地點,成就感,-0.009043176481874273,組織文化與制度
9,公司規模,成就感,-0.015510169708707462,組織文化與制度
10,工作環境,成就感,-0.013932280931612194,組織文化與制度
11,產業前景,成就感,-0.01086789612711013,組織文化與制度
12,多元性,成就感,-0.0076661783466584746,組織文化與制度
13,變化性,成就感,-0.007271019284560537,組織文化與制度
14,工學院,成就感,-0.005414271663164034,科系專業
15,面試,成就感,-0.06081861697589548,招募資訊
16,學經歷,成就感,0.10061449478694785,招募資訊
17,徵才,成就感,-0.025193936295489314,招募資訊
18,實習,成就感,-0.007666178346658484,招募資訊
19,工作,成就感,0.05870766835062927,招募資訊
20,離職,成就感,-0.01965209316502462,招募資訊
21,新鮮人,成就感,-0.005414271663164038,招募資訊
22,畢業,成就感,-0.012165450121654525,招募資訊
23,招募人員,成就感,0.11822428967784576,招募資訊
24,正向,成就感,0.1731724588212582,情緒
25,負向,成就感,0.11590434093179851,情緒
26,成就感,學習成長,0.20773437672210576,成長價值
27,學習成長,學習成長,0.9999999999999998,成長價值
28,薪資,學習成長,0.12647938501847,經濟報酬
29,福利,學習成長,-0.009207804165493534,經濟報酬
30,管理制度,學習成長,0.09536611585987591,經濟報酬
31,工作氛圍,學習成長,0.016882870929579893,人際價值
32,同事互動,學習成長,0.10908118085605256,人際價值
33,主管風格,學習成長,-0.027379401850377072,人際價值
34,工作地點,學習成長,-0.020299890019553794,組織文化與制度
35,公司規模,學習成長,0.1013944676396239,組織文化與制度
36,工作環境,學習成長,0.000770315910445767,組織文化與制度
37,產業前景,學習成長,-0.024395973756175696,組織文化與制度
38,多元性,學習成長,0.10622008147426341,組織文化與制度
39,變化性,學習成長,0.06172265805320826,組織文化與制度
40,工學院,學習成長,0.1621906030614756,科系專業
41,面試,學習成長,-0.0037502227755687755,招募資訊
42,學經歷,學習成長,0.031054081899552048,招募資訊
43,徵才,學習成長,0.05019101354095416,招募資訊
44,實習,學習成長,-0.01720884001538342,招募資訊
45,工作,學習成長,0.1769752593620607,招募資訊
46,離職,學習成長,0.03498737268039841,招募資訊
47,新鮮人,學習成長,0.16219060306147565,招募資訊
48,畢業,學習成長,-0.027308689596287763,招募資訊
49,招募人員,學習成長,0.013457750776335419,招募資訊
50,正向,學習成長,0.13143322197299132,情緒
51,負向,學習成長,0.023160937494131624,情緒
52,成就感,薪資,-0.02745683387722292,成長價值
53,學習成長,薪資,0.12647938501847,成長價值
54,薪資,薪資,1.0,經濟報酬
55,福利,薪資,0.201005886279373,經濟報酬
56,管理制度,薪資,0.1407291430658821,經濟報酬
57,工作氛圍,薪資,-0.00448868624797519,人際價值
58,同事互動,薪資,-0.03765948657452924,人際價值
59,主管風格,薪資,-0.03860299623843951,人際價值
60,工作地點,薪資,-0.020410012938465942,組織文化與制度
61,公司規模,薪資,0.13399669124425498,組織文化與制度
62,工作環境,薪資,0.02819490364172137,組織文化與制度
63,產業前景,薪資,0.029747108003124623,組織文化與制度
64,多元性,薪資,-0.017302194594731472,組織文化與制度
65,變化性,薪資,-0.01641033966009237,組織文化與制度
66,工學院,薪資,-0.01221974987649963,科系專業
67,面試,薪資,-0.020575677433223808,招募資訊
68,學經歷,薪資,0.08715107321896313,招募資訊
69,徵才,薪資,0.03584885066428225,招募資訊
70,實習,薪資,-0.017302194594731413,招募資訊
71,工作,薪資,-0.06373990212373906,招募資訊
72,離職,薪資,0.0292546511624423,招募資訊
73,新鮮人,薪資,-0.012219749876499639,招募資訊
74,畢業,薪資,-0.027456833877222926,招募資訊
75,招募人員,薪資,0.04879389092819449,招募資訊
76,正向,薪資,0.11838581386910416,情緒
77,負向,薪資,-0.04860049584500944,情緒
78,成就感,福利,-0.020199844820899288,成長價值
79,學習成長,福利,-0.009207804165493534,成長價值
80,薪資,福利,0.20100588627937302,經濟報酬
81,福利,福利,1.0,經濟報酬
82,管理制度,福利,0.11883585580930583,經濟報酬
83,工作氛圍,福利,0.10411085563373355,人際價值
84,同事互動,福利,0.030504455351704804,人際價值
85,主管風格,福利,0.016314231668908212,人際價值
86,工作地點,福利,-0.01501553660531739,組織文化與制度
87,公司規模,福利,0.1365716351772606,組織文化與制度
88,工作環境,福利,0.053243859220611006,組織文化與制度
89,產業前景,福利,-0.018045350817436145,組織文化與制度
90,多元性,福利,-0.012729131386285189,組織文化與制度
91,變化性,福利,-0.012072998513754445,組織文化與制度
92,工學院,福利,-0.008990004177439483,科系專業
93,面試,福利,0.017686618904906696,招募資訊
94,學經歷,福利,-0.022322066933590918,招募資訊
95,徵才,福利,-0.041832698215632826,招募資訊
96,實習,福利,-0.012729131386285227,招募資訊
97,工作,福利,0.11543094158459043,招募資訊
98,離職,福利,0.061636089474557294,招募資訊
99,新鮮人,福利,-0.008990004177439488,招募資訊
100,畢業,福利,-0.020199844820899305,招募資訊
101,招募人員,福利,0.15182463003999466,招募資訊
102,正向,福利,0.1566945775505237,情緒
103,負向,福利,0.0918491572884681,情緒
104,成就感,管理制度,0.039653637191834845,成長價值
105,學習成長,管理制度,0.09536611585987592,成長價值
106,薪資,管理制度,0.14072914306588208,經濟報酬
107,福利,管理制度,0.11883585580930583,經濟報酬
108,管理制度,管理制度,1.0,經濟報酬
109,工作氛圍,管理制度,0.027228994082866838,人際價值
110,同事互動,管理制度,-0.0070107274682830924,人際價值
111,主管風格,管理制度,0.04367170972655067,人際價值
112,工作地點,管理制度,0.09048257662385072,組織文化與制度
113,公司規模,管理制度,0.1361646641771796,組織文化與制度
114,工作環境,管理制度,0.0017751933459883061,組織文化與制度
115,產業前景,管理制度,-0.037891581117626666,組織文化與制度
116,多元性,管理制度,-0.026728597263640297,組織文化與制度
117,變化性,管理制度,0.015524939851365578,組織文化與制度
118,工學院,管理制度,0.0724357198282909,科系專業
119,面試,管理制度,0.008163185907270012,招募資訊
120,學經歷,管理制度,-0.07073800773904612,招募資訊
121,徵才,管理制度,0.0016127330205046046,招募資訊
122,實習,管理制度,-0.026728597263640186,招募資訊
123,工作,管理制度,0.06267890022941053,招募資訊
124,離職,管理制度,-0.02708859804149584,招募資訊
125,新鮮人,管理制度,-0.018877187591615205,招募資訊
126,畢業,管理制度,-0.0013809724395167037,招募資訊
127,招募人員,管理制度,-0.0015663329512978473,招募資訊
128,正向,管理制度,0.17219314886141732,情緒
129,負向,管理制度,0.12011997101627317,情緒
130,成就感,工作氛圍,-0.017310159693433844,成長價值
131,學習成長,工作氛圍,0.016882870929579897,成長價值
132,薪資,工作氛圍,-0.004488686247975191,經濟報酬
133,福利,工作氛圍,0.10411085563373355,經濟報酬
134,管理制度,工作氛圍,0.02722899408286684,經濟報酬
135,工作氛圍,工作氛圍,1.0,人際價值
136,同事互動,工作氛圍,-0.023742421631454413,人際價值
137,主管風格,工作氛圍,0.08006957637549728,人際價值
138,工作地點,工作氛圍,-0.012867491746853602,組織文化與制度
139,公司規模,工作氛圍,0.06139290488796035,組織文化與制度
140,工作環境,工作氛圍,0.09798806323442717,組織文化與制度
141,產業前景,工作氛圍,-0.015463876437836425,組織文化與制度
142,多元性,工作氛圍,-0.010908167810642007,組織文化與制度
143,變化性,工作氛圍,-0.01034589790687189,組織文化與制度
144,工學院,工作氛圍,-0.007703940764688837,科系專業
145,面試,工作氛圍,0.0761734487943483,招募資訊
146,學經歷,工作氛圍,0.0018122009407318042,招募資訊
147,徵才,工作氛圍,0.042640644182250366,招募資訊
148,實習,工作氛圍,-0.010908167810642041,招募資訊
149,工作,工作氛圍,0.11814690675968126,招募資訊
150,離職,工作氛圍,0.04474058815350154,招募資訊
151,新鮮人,工作氛圍,-0.007703940764688841,招募資訊
152,畢業,工作氛圍,-0.017310159693433837,招募資訊
153,招募人員,工作氛圍,0.02528808895422653,招募資訊
154,正向,工作氛圍,0.0017642452106404894,情緒
155,負向,工作氛圍,0.16491972188685183,情緒
156,成就感,同事互動,-0.016685995463942085,成長價值
157,學習成長,同事互動,0.10908118085605256,成長價值
158,薪資,同事互動,-0.03765948657452924,經濟報酬
159,福利,同事互動,0.030504455351704804,經濟報酬
160,管理制度,同事互動,-0.007010727468283093,經濟報酬
161,工作氛圍,同事互動,-0.023742421631454413,人際價值
162,同事互動,同事互動,1.0,人際價值
163,主管風格,同事互動,0.0380900417756222,人際價值
164,工作地點,同事互動,-0.01240351982435814,組織文化與制度
165,公司規模,同事互動,-0.021273575479446957,組織文化與制度
166,工作環境,同事互動,0.03251073081771271,組織文化與制度
167,產業前景,同事互動,-0.014906284902419343,組織文化與制度
168,多元性,同事互動,0.18831130724731557,組織文化與制度
169,變化性,同事互動,-0.0099728488125939,組織文化與制度
170,工學院,同事互動,-0.007426154520275029,科系專業
171,面試,同事互動,-0.06559484616862493,招募資訊
172,學經歷,同事互動,-0.04367142939801106,招募資訊
173,徵才,同事互動,-0.00016533838054758716,招募資訊
174,實習,同事互動,-0.010514844567108996,招募資訊
175,工作,同事互動,0.0987213390046755,招募資訊
176,離職,同事互動,-0.026954591414984398,招募資訊
177,新鮮人,同事互動,-0.007426154520275036,招募資訊
178,畢業,同事互動,-0.01668599546394209,招募資訊
179,招募人員,同事互動,-0.008189652263546796,招募資訊
180,正向,同事互動,0.12497058331324894,情緒
181,負向,同事互動,0.04390949016508252,情緒
182,成就感,主管風格,-0.04823339694686173,成長價值
183,學習成長,主管風格,-0.027379401850377072,成長價值
184,薪資,主管風格,-0.03860299623843951,經濟報酬
185,福利,主管風格,0.016314231668908212,經濟報酬
186,管理制度,主管風格,0.04367170972655067,經濟報酬
187,工作氛圍,主管風格,0.08006957637549729,人際價值
188,同事互動,主管風格,0.0380900417756222,人際價值
189,主管風格,主管風格,1.0,人際價值
190,工作地點,主管風格,0.026293118528500983,組織文化與制度
191,公司規模,主管風格,0.011180816683793402,組織文化與制度
192,工作環境,主管風格,-0.021043238721668887,組織文化與制度
193,產業前景,主管風格,0.0035907395029517175,組織文化與制度
194,多元性,主管風格,0.03546054245061649,組織文化與制度
195,變化性,主管風格,0.012812457715303283,組織文化與制度
196,工學院,主管風格,-0.021466424316079473,科系專業
197,面試,主管風格,0.3846317190923746,招募資訊
198,學經歷,主管風格,0.02419578545208266,招募資訊
199,徵才,主管風格,0.09375503924519074,招募資訊
200,實習,主管風格,-0.030394750671956787,招募資訊
201,工作,主管風格,0.017774089691474534,招募資訊
202,離職,主管風格,-0.0779163287002513,招募資訊
203,新鮮人,主管風格,-0.021466424316079483,招募資訊
204,畢業,主管風格,0.03537115776103206,招募資訊
205,招募人員,主管風格,0.36252841108229306,招募資訊
206,正向,主管風格,0.16113327287896295,情緒
207,負向,主管風格,0.32181499279704695,情緒
208,成就感,工作地點,-0.009043176481874273,成長價值
209,學習成長,工作地點,-0.020299890019553794,成長價值
210,薪資,工作地點,-0.02041001293846594,經濟報酬
211,福利,工作地點,-0.01501553660531739,經濟報酬
212,管理制度,工作地點,0.09048257662385072,經濟報酬
213,工作氛圍,工作地點,-0.012867491746853602,人際價值
214,同事互動,工作地點,-0.01240351982435814,人際價值
215,主管風格,工作地點,0.026293118528500983,人際價值
216,工作地點,工作地點,1.0,組織文化與制度
217,公司規模,工作地點,0.16287997838481902,組織文化與制度
218,工作環境,工作地點,-0.010356548586340827,組織文化與制度
219,產業前景,工作地點,-0.00807864087899189,組織文化與制度
220,多元性,工作地點,-0.005698646826635248,組織文化與制度
221,變化性,工作地點,-0.005404905690776819,組織文化與制度
222,工學院,工作地點,-0.004024694004840024,科系專業
223,面試,工作地點,-0.0027074594623074607,招募資訊
224,學經歷,工作地點,-0.023668257858235342,招募資訊
225,徵才,工作地點,-0.01872789004228166,招募資訊
226,實習,工作地點,-0.005698646826635256,招募資訊
227,工作,工作地點,-0.028687841901080993,招募資訊
228,離職,工作地點,-0.014608365901169275,招募資訊
229,新鮮人,工作地點,-0.0040246940048400195,招募資訊
230,畢業,工作地點,-0.009043176481874294,招募資訊
231,招募人員,工作地點,-0.03159153991791149,招募資訊
232,正向,工作地點,0.0435236490455657,情緒
233,負向,工作地點,0.10174741594331106,情緒
234,成就感,公司規模,-0.015510169708707462,成長價值
235,學習成長,公司規模,0.1013944676396239,成長價值
236,薪資,公司規模,0.13399669124425498,經濟報酬
237,福利,公司規模,0.13657163517726062,經濟報酬
238,管理制度,公司規模,0.13616466417717957,經濟報酬
239,工作氛圍,公司規模,0.06139290488796035,人際價值
240,同事互動,公司規模,-0.021273575479446957,人際價值
241,主管風格,公司規模,0.011180816683793404,人際價值
242,工作地點,公司規模,0.16287997838481902,組織文化與制度
243,公司規模,公司規模,0.9999999999999999,組織文化與制度
244,工作環境,公司規模,0.0302197704312275,組織文化與制度
245,產業前景,公司規模,-0.013855871473924428,組織文化與制度
246,多元性,公司規模,-0.009773886373693913,組織文化與制度
247,變化性,公司規模,-0.00927008387943488,組織文化與制度
248,工學院,公司規模,-0.006902849586735969,科系專業
249,面試,公司規模,0.005296763678288173,招募資訊
250,學經歷,公司規模,-0.002214218121413898,招募資訊
251,徵才,公司規模,0.031813280416519145,招募資訊
252,實習,公司規模,-0.009773886373693872,招募資訊
253,工作,公司規模,-0.021009634413701166,招募資訊
254,離職,公司規模,-0.025055160069934926,招募資訊
255,新鮮人,公司規模,0.25415037114800615,招募資訊
256,畢業,公司規模,0.2191163975211947,招募資訊
257,招募人員,公司規模,-0.007612545307075265,招募資訊
258,正向,公司規模,0.17428618673516086,情緒
