,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.010629639853919138,成長價值
2,薪資,成就感,-0.014609586512390504,經濟報酬
3,福利,成就感,-0.0187301828291413,經濟報酬
4,管理制度,成就感,-0.019980861525387476,經濟報酬
5,工作氛圍,成就感,-0.015040125029079062,人際價值
6,同事互動,成就感,-0.012619866434564458,人際價值
7,主管風格,成就感,0.11198015840563742,人際價值
8,工作地點,成就感,-0.011787276557780581,組織文化與制度
9,公司規模,成就感,-0.00472192164649885,組織文化與制度
10,工作環境,成就感,-0.00949141963084479,組織文化與制度
11,產業前景,成就感,-0.013514207627557966,組織文化與制度
12,多元性,成就感,-0.0066889632107023375,組織文化與制度
13,變化性,成就感,-0.004721921646498858,組織文化與制度
14,管理學院/商學院,成就感,-0.004721921646498847,科系專業
15,面試,成就感,0.0666710561728029,招募資訊
16,學經歷,成就感,-0.026445223892493923,招募資訊
17,徵才,成就感,-0.01946348659203357,招募資訊
18,實習,成就感,-0.012951517358143552,招募資訊
19,工作,成就感,0.058467598264402426,招募資訊
20,離職,成就感,-0.010629639853919166,招募資訊
21,新鮮人,成就感,-0.0066889632107023315,招募資訊
22,畢業,成就感,-0.009491419630844794,招募資訊
23,招募人員,成就感,0.05057654649313191,招募資訊
24,正向,成就感,0.04773458545054775,情緒
25,負向,成就感,-0.05572508512079845,情緒
26,成就感,學習成長,-0.010629639853919138,成長價值
27,學習成長,學習成長,0.9999999999999998,成長價值
28,薪資,學習成長,0.10384129249332846,經濟報酬
29,福利,學習成長,-0.02976471713183891,經濟報酬
30,管理制度,學習成長,0.10983912511917393,經濟報酬
31,工作氛圍,學習成長,0.06602577023377894,人際價值
32,同事互動,學習成長,-0.020054622962995355,人際價值
33,主管風格,學習成長,-0.001340217932521991,人際價值
34,工作地點,學習成長,-0.018731528447828796,組織文化與制度
35,公司規模,學習成長,-0.007503752814845824,組織文化與制度
36,工作環境,學習成長,0.21191770492130618,組織文化與制度
37,產業前景,學習成長,-0.02147584841880827,組織文化與制度
38,多元性,學習成長,-0.010629639853919159,組織文化與制度
39,變化性,學習成長,-0.007503752814845801,組織文化與制度
