,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.03758230140014137,成長價值
2,薪資,學習成長,-0.043694543123017154,經濟報酬
3,福利,學習成長,0.09052398169243134,經濟報酬
4,管理制度,學習成長,-0.05851760474365858,經濟報酬
5,同事互動,學習成長,-0.03758230140014148,人際價值
6,主管風格,學習成長,0.07242760856906635,人際價值
7,工作地點,學習成長,-0.02282177322938189,組織文化與制度
8,公司規模,學習成長,-0.03243745600673013,組織文化與制度
9,工作環境,學習成長,0.13283141109397278,組織文化與制度
10,產業前景,學習成長,-0.022821773229381892,組織文化與制度
11,工學院,學習成長,-0.052083333333332954,科系專業
12,面試,學習成長,0.025827064155895228,招募資訊
13,徵才,學習成長,0.13573764254008247,招募資訊
14,實習,學習成長,0.1680526740186336,招募資訊
15,工作,學習成長,0.3152691445540661,招募資訊
16,出路,學習成長,-0.03992978531249613,招募資訊
17,能力,學習成長,-0.05506020270226248,招募資訊
18,招募人員,學習成長,0.01754104933204867,招募資訊
19,正向,學習成長,-0.009450361955794424,情緒
20,負向,學習成長,0.03754887269114202,情緒
21,學習成長,創新,-0.03758230140014137,成長價值
22,創新,創新,1.0,成長價值
23,薪資,創新,-0.0315291165924618,經濟報酬
24,福利,創新,-0.042832991230814695,經濟報酬
25,管理制度,創新,-0.04222514416685811,經濟報酬
26,同事互動,創新,-0.02711864406779656,人際價值
27,主管風格,創新,0.15843895209685518,人際價值
28,工作地點,創新,-0.016467739391852327,組織文化與制度
29,公司規模,創新,-0.02340622556733614,組織文化與制度
30,工作環境,創新,-0.031529116592461784,組織文化與制度
31,產業前景,創新,0.39934268025241965,組織文化與制度
32,工學院,創新,-0.0375823014001414,科系專業
33,面試,創新,-0.09900533195753976,招募資訊
34,徵才,創新,-0.041385462030038775,招募資訊
35,實習,創新,-0.06430639086905612,招募資訊
36,工作,創新,0.08566055594436021,招募資訊
37,出路,創新,0.21369301944750138,招募資訊
38,能力,創新,-0.03973035135569904,招募資訊
39,招募人員,創新,0.09551553730498168,招募資訊
40,正向,創新,0.10797057081438204,情緒
41,負向,創新,0.26985270466557454,情緒
42,學習成長,薪資,-0.04369454312301716,成長價值
43,創新,薪資,-0.0315291165924618,成長價值
44,薪資,薪資,0.9999999999999998,經濟報酬
45,福利,薪資,0.45317258404995153,經濟報酬
46,管理制度,薪資,0.171278208263089,經濟報酬
47,同事互動,薪資,-0.031529116592461826,人際價值
48,主管風格,薪資,-0.009777804738836588,人際價值
49,工作地點,薪資,-0.019145989526687113,組織文化與制度
50,公司規模,薪資,-0.027212924549511405,組織文化與制度
51,工作環境,薪資,-0.0366568914956011,組織文化與制度
52,產業前景,薪資,-0.019145989526687113,組織文化與制度
53,工學院,薪資,-0.04369454312301726,科系專業
54,面試,薪資,0.11285017685007018,招募資訊
55,徵才,薪資,-0.04811623524818844,招募資訊
56,實習,薪資,-0.07476493626606424,招募資訊
57,工作,薪資,0.06661239493554277,招募資訊
58,出路,薪資,-0.033498503543610114,招募資訊
59,能力,薪資,-0.046191943705653084,招募資訊
60,招募人員,薪資,0.12481182097766348,招募資訊
61,正向,薪資,0.12553049139369793,情緒
62,負向,薪資,0.13413359720493886,情緒
63,學習成長,福利,0.09052398169243134,成長價值
64,創新,福利,-0.04283299123081469,成長價值
65,薪資,福利,0.4531725840499515,經濟報酬
66,福利,福利,1.0,經濟報酬
67,管理制度,福利,0.02686254003663343,經濟報酬
68,同事互動,福利,-0.04283299123081463,人際價值
69,主管風格,福利,0.13046157717754325,人際價值
70,工作地點,福利,-0.026010243550494198,組織文化與制度
71,公司規模,福利,-0.03696935038366165,組織文化與制度
72,工作環境,福利,-0.049799185060434306,組織文化與制度
73,產業前景,福利,-0.0260102435504942,組織文化與制度
74,工學院,福利,-0.059359987995037305,科系專業
75,面試,福利,-0.04024372322882609,招募資訊
76,徵才,福利,0.07217601060467467,招募資訊
77,實習,福利,-0.10156979343412358,招募資訊
78,工作,福利,0.24730696875932004,招募資訊
79,出路,福利,-0.04550844627444847,招募資訊
80,能力,福利,-0.06275276105108438,招募資訊
81,招募人員,福利,0.244343493450207,招募資訊
82,正向,福利,0.39716914754926025,情緒
83,負向,福利,0.0776520220241045,情緒
84,學習成長,管理制度,-0.05851760474365858,成長價值
