,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,0.6915302788451952,經濟報酬
2,管理制度,薪資,-0.03849952517545093,經濟報酬
3,工作氛圍,薪資,-0.03849952517545095,人際價值
4,同事互動,薪資,-0.05210763042811927,人際價值
5,主管風格,薪資,-0.0748802872341441,人際價值
6,工作地點,薪資,-0.0384995251754509,組織文化與制度
7,公司規模,薪資,-0.03849952517545093,組織文化與制度
8,工作環境,薪資,0.10984848484848478,組織文化與制度
9,產業前景,薪資,-0.03849952517545089,組織文化與制度
10,面試,薪資,0.10725086220555016,招募資訊
11,學經歷,薪資,-0.099889073731804,招募資訊
12,徵才,薪資,-0.055048188256317895,招募資訊
13,實習,薪資,-0.03849952517545099,招募資訊
14,工作,薪資,0.688433390496902,招募資訊
15,離職,薪資,-0.038499525175450945,招募資訊
16,正向,薪資,0.3989211267439882,情緒
17,負向,薪資,-0.13372786224111585,情緒
18,薪資,福利,0.6915302788451952,經濟報酬
19,福利,福利,1.0,經濟報酬
20,管理制度,福利,0.3278426732661906,經濟報酬
21,工作氛圍,福利,-0.0479769765755402,人際價值
22,同事互動,福利,-0.06493499732954831,人際價值
23,主管風格,福利,-0.09331361283626988,人際價值
24,工作地點,福利,-0.04797697657554015,組織文化與制度
25,公司規模,福利,0.3278426732661906,組織文化與制度
26,工作環境,福利,0.35874608322344664,組織文化與制度
27,產業前景,福利,-0.047976976575540134,組織文化與制度
28,面試,福利,0.1336528718287472,招募資訊
29,學經歷,福利,-0.12447882743340963,招募資訊
30,徵才,福利,-0.06859943405700344,招募資訊
31,實習,福利,-0.04797697657554026,招募資訊
32,工作,福利,0.5453352502465182,招募資訊
33,離職,福利,-0.0479769765755402,招募資訊
34,正向,福利,0.348869862110968,情緒
35,負向,福利,-0.1272887191393678,情緒
36,薪資,管理制度,-0.03849952517545093,經濟報酬
37,福利,管理制度,0.3278426732661906,經濟報酬
38,管理制度,管理制度,1.0,經濟報酬
39,工作氛圍,管理制度,-0.021739130434782625,人際價值
40,同事互動,管理制度,-0.029423079099340284,人際價值
41,主管風格,管理制度,-0.04228188071823359,人際價值
42,工作地點,管理制度,-0.0217391304347826,組織文化與制度
43,公司規模,管理制度,1.0,組織文化與制度
44,工作環境,管理制度,0.5646597025732801,組織文化與制度
45,產業前景,管理制度,-0.021739130434782598,組織文化與制度
46,面試,管理制度,-0.074979344704598,招募資訊
47,學經歷,管理制度,-0.05640333466372089,招募資訊
48,徵才,管理制度,-0.03108349360801045,招募資訊
49,實習,管理制度,-0.02173913043478264,招募資訊
50,工作,管理制度,-0.03616098544367399,招募資訊
51,離職,管理制度,-0.021739130434782625,招募資訊
52,正向,管理制度,0.25212516747933783,情緒
53,負向,管理制度,0.013660233452652513,情緒
54,薪資,工作氛圍,-0.03849952517545096,經濟報酬
55,福利,工作氛圍,-0.04797697657554021,經濟報酬
56,管理制度,工作氛圍,-0.021739130434782625,經濟報酬
57,工作氛圍,工作氛圍,0.9999999999999998,人際價值
58,同事互動,工作氛圍,-0.029423079099340277,人際價值
59,主管風格,工作氛圍,-0.04228188071823355,人際價值
60,工作地點,工作氛圍,-0.021739130434782598,組織文化與制度
61,公司規模,工作氛圍,-0.021739130434782625,組織文化與制度
62,工作環境,工作氛圍,-0.03849952517545091,組織文化與制度
63,產業前景,工作氛圍,-0.02173913043478259,組織文化與制度
64,面試,工作氛圍,0.19609982461202574,招募資訊
65,學經歷,工作氛圍,-0.05640333466372084,招募資訊
66,徵才,工作氛圍,-0.031083493608010476,招募資訊
67,實習,工作氛圍,-0.02173913043478266,招募資訊
68,工作,工作氛圍,-0.036160985443674,招募資訊
69,離職,工作氛圍,-0.021739130434782636,招募資訊
70,正向,工作氛圍,0.010290823162421947,情緒
71,負向,工作氛圍,0.3346757195899865,情緒
72,薪資,同事互動,-0.05210763042811927,經濟報酬
73,福利,同事互動,-0.06493499732954833,經濟報酬
74,管理制度,同事互動,-0.02942307909934028,經濟報酬
75,工作氛圍,同事互動,-0.029423079099340277,人際價值
76,同事互動,同事互動,0.9999999999999998,人際價值
77,主管風格,同事互動,0.6600169543770886,人際價值
78,工作地點,同事互動,-0.02942307909934025,組織文化與制度
79,公司規模,同事互動,-0.02942307909934028,組織文化與制度
80,工作環境,同事互動,-0.05210763042811927,組織文化與制度
81,產業前景,同事互動,-0.02942307909934025,組織文化與制度
82,面試,同事互動,0.08196596159992478,招募資訊
83,學經歷,同事互動,-0.07633974975475206,招募資訊
84,徵才,同事互動,-0.04207031619116705,招募資訊
85,實習,同事互動,-0.029423079099340256,招募資訊
86,工作,同事互動,-0.04894250661088833,招募資訊
87,離職,同事互動,-0.029423079099340287,招募資訊
88,正向,同事互動,0.30487357475438875,情緒
89,負向,同事互動,0.163315983909961,情緒
90,薪資,主管風格,-0.0748802872341441,經濟報酬
91,福利,主管風格,-0.09331361283626988,經濟報酬
92,管理制度,主管風格,-0.04228188071823359,經濟報酬
93,工作氛圍,主管風格,-0.04228188071823355,人際價值
94,同事互動,主管風格,0.6600169543770886,人際價值
95,主管風格,主管風格,1.0,人際價值
96,工作地點,主管風格,0.35516779803316245,組織文化與制度
97,公司規模,主管風格,-0.04228188071823359,組織文化與制度
98,工作環境,主管風格,0.15974461276617413,組織文化與制度
99,產業前景,主管風格,-0.04228188071823363,組織文化與制度
100,面試,主管風格,0.17051162940188377,招募資訊
101,學經歷,主管風格,0.06216480504863764,招募資訊
102,徵才,主管風格,-0.06045635417583425,招募資訊
103,實習,主管風格,-0.042281880718233515,招募資訊
104,工作,主管風格,-0.07033190576642734,招募資訊
105,離職,主管風格,-0.042281880718233564,招募資訊
106,正向,主管風格,0.20815918700214764,情緒
107,負向,主管風格,0.27631444490728835,情緒
108,薪資,工作地點,-0.0384995251754509,經濟報酬
109,福利,工作地點,-0.04797697657554014,經濟報酬
110,管理制度,工作地點,-0.0217391304347826,經濟報酬
111,工作氛圍,工作地點,-0.0217391304347826,人際價值
