,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.19792697392793854,經濟報酬
2,福利,學習成長,0.33575915825563546,經濟報酬
3,管理制度,學習成長,0.07484396891098499,經濟報酬
4,工作氛圍,學習成長,-0.024986162065972088,人際價值
5,同事互動,學習成長,-0.033525029190842576,人際價值
6,主管風格,學習成長,0.05042490671292824,人際價值
7,工作地點,學習成長,-0.012423994340948657,組織文化與制度
8,公司規模,學習成長,-0.012423994340948673,組織文化與制度
9,工作環境,學習成長,0.06674130091464345,組織文化與制度
10,產業前景,學習成長,0.09633677448978897,組織文化與制度
11,多元性,學習成長,-0.01760256875426257,組織文化與制度
12,變化性,學習成長,-0.012423994340948664,組織文化與制度
13,管理學院/商學院,學習成長,-0.01760256875426259,科系專業
14,面試,學習成長,0.024306029862602743,招募資訊
15,學經歷,學習成長,-0.0569746935624617,招募資訊
16,徵才,學習成長,-0.05060714268870505,招募資訊
17,工作,學習成長,0.021327921614055195,招募資訊
18,離職,學習成長,-0.017602568754262613,招募資訊
19,畢業,學習成長,-0.017602568754262558,招募資訊
20,招募人員,學習成長,0.11443604491706166,招募資訊
21,正向,學習成長,0.11707527481379565,情緒
22,負向,學習成長,0.05542202611370939,情緒
23,學習成長,薪資,0.19792697392793854,成長價值
24,薪資,薪資,1.0,經濟報酬
25,福利,薪資,0.29199106838486494,經濟報酬
26,管理制度,薪資,0.022774927305576537,經濟報酬
27,工作氛圍,薪資,-0.02263238580473745,人際價值
28,同事互動,薪資,-0.030366864377124672,人際價值
29,主管風格,薪資,-0.021042393820398943,人際價值
30,工作地點,薪資,-0.011253614397353267,組織文化與制度
31,公司規模,薪資,-0.011253614397353234,組織文化與制度
32,工作環境,薪資,0.06937511540116136,組織文化與制度
33,產業前景,薪資,0.03547371408797605,組織文化與制度
34,多元性,薪資,-0.01594435056288379,組織文化與制度
35,變化性,薪資,-0.011253614397353215,組織文化與制度
36,管理學院/商學院,薪資,-0.01594435056288377,科系專業
37,面試,薪資,0.004554753314844261,招募資訊
38,學經歷,薪資,-0.020979568813558728,招募資訊
39,徵才,薪資,-0.04583978823086242,招募資訊
40,工作,薪資,-0.056566450773185846,招募資訊
41,離職,薪資,-0.015944350562883788,招募資訊
42,畢業,薪資,-0.015944350562883777,招募資訊
43,招募人員,薪資,0.07563794808801978,招募資訊
44,正向,薪資,0.09628410095566133,情緒
45,負向,薪資,0.018685229893992985,情緒
46,學習成長,福利,0.33575915825563546,成長價值
47,薪資,福利,0.2919910683848649,經濟報酬
48,福利,福利,1.0,經濟報酬
49,管理制度,福利,0.08585035246793084,經濟報酬
50,工作氛圍,福利,-0.012853831454661638,人際價值
51,同事互動,福利,-0.017246549253699287,人際價值
52,主管風格,福利,0.06949370744302547,人際價值
53,工作地點,福利,-0.006391374907061443,組織文化與制度
54,公司規模,福利,0.2844161833642331,組織文化與制度
55,工作環境,福利,0.07655612457571583,組織文化與制度
56,產業前景,福利,-0.015801515437999233,組織文化與制度
57,多元性,福利,-0.00905543041540268,組織文化與制度
58,變化性,福利,-0.0063913749070614295,組織文化與制度
59,管理學院/商學院,福利,-0.009055430415402674,科系專業
60,面試,福利,0.3030581677069296,招募資訊
61,學經歷,福利,-0.029309947894327996,招募資訊
62,徵才,福利,0.03631091048113781,招募資訊
63,工作,福利,-0.032126335707601254,招募資訊
64,離職,福利,-0.009055430415402684,招募資訊
65,畢業,福利,-0.009055430415402679,招募資訊
66,招募人員,福利,0.3013457405442119,招募資訊
67,正向,福利,0.14955446957745186,情緒
68,負向,福利,0.03873926075340415,情緒
69,學習成長,管理制度,0.07484396891098499,成長價值
70,薪資,管理制度,0.022774927305576537,經濟報酬
71,福利,管理制度,0.08585035246793084,經濟報酬
72,管理制度,管理制度,1.0,經濟報酬
73,工作氛圍,管理制度,-0.02118731445016468,人際價值
74,同事互動,管理制度,-0.028427948779883694,人際價值
75,主管風格,管理制度,0.07506387310135644,人際價值
76,工作地點,管理制度,-0.010535074339697451,組織文化與制度
77,公司規模,管理制度,-0.010535074339697479,組織文化與制度
78,工作環境,管理制度,-0.026920428660342825,組織文化與制度
79,產業前景,管理制度,-0.026046060861689938,組織文化與制度
80,多元性,管理制度,-0.014926308343893904,組織文化與制度
81,變化性,管理制度,0.3489743375024786,組織文化與制度
82,管理學院/商學院,管理制度,-0.014926308343893895,科系專業
83,面試,管理制度,-0.028859550718011644,招募資訊
84,學經歷,管理制度,-0.04831237166485901,招募資訊
85,徵才,管理制度,-0.0429129308750535,招募資訊
86,工作,管理制度,-0.00411472323969816,招募資訊
87,離職,管理制度,-0.0149263083438939,招募資訊
88,畢業,管理制度,-0.014926308343893904,招募資訊
89,招募人員,管理制度,0.050200046580579485,招募資訊
90,正向,管理制度,0.06500417045149452,情緒
91,負向,管理制度,-0.005689205252726699,情緒
92,學習成長,工作氛圍,-0.024986162065972085,成長價值
93,薪資,工作氛圍,-0.02263238580473745,經濟報酬
94,福利,工作氛圍,-0.012853831454661638,經濟報酬
95,管理制度,工作氛圍,-0.02118731445016468,經濟報酬
96,工作氛圍,工作氛圍,1.0,人際價值
97,同事互動,工作氛圍,0.10383891205393565,人際價值
98,主管風格,工作氛圍,0.052682062382513516,人際價值
99,工作地點,工作氛圍,-0.007393829023702936,組織文化與制度
100,公司規模,工作氛圍,-0.007393829023702917,組織文化與制度
101,工作環境,工作氛圍,-0.01889355882467196,組織文化與制度
102,產業前景,工作氛圍,-0.01827990145514486,組織文化與制度
103,多元性,工作氛圍,-0.010475727867810258,組織文化與制度
104,變化性,工作氛圍,-0.0073938290237029105,組織文化與制度
105,管理學院/商學院,工作氛圍,-0.010475727867810258,科系專業
106,面試,工作氛圍,0.0959807480226204,招募資訊
107,學經歷,工作氛圍,-0.03390706171607465,招募資訊
108,徵才,工作氛圍,-0.030117573314175416,招募資訊
109,工作,工作氛圍,-0.03716518539972458,招募資訊
110,離職,工作氛圍,-0.01047572786781026,招募資訊
111,畢業,工作氛圍,-0.01047572786781026,招募資訊
112,招募人員,工作氛圍,0.03523188820795582,招募資訊
113,正向,工作氛圍,0.0554210519648413,情緒
114,負向,工作氛圍,0.14243164813745438,情緒
115,學習成長,同事互動,-0.03352502919084258,成長價值
116,薪資,同事互動,-0.030366864377124672,經濟報酬
117,福利,同事互動,-0.017246549253699287,經濟報酬
118,管理制度,同事互動,-0.02842794877988369,經濟報酬
119,工作氛圍,同事互動,0.10383891205393565,人際價值
120,同事互動,同事互動,1.0,人際價值
121,主管風格,同事互動,-0.04085886300812419,人際價值
122,工作地點,同事互動,-0.009920624592014324,組織文化與制度
123,公司規模,同事互動,-0.009920624592014335,組織文化與制度
124,工作環境,同事互動,0.05329327855330328,組織文化與制度
125,產業前景,同事互動,0.07692541930486438,組織文化與制度
126,多元性,同事互動,0.16036325425163897,組織文化與制度
127,變化性,同事互動,-0.009920624592014326,組織文化與制度
128,管理學院/商學院,同事互動,-0.014055743400542015,科系專業
129,面試,同事互動,-0.07781202846796595,招募資訊
130,學經歷,同事互動,-0.045494591398459905,招募資訊
131,徵才,同事互動,0.012374375090577575,招募資訊
132,工作,同事互動,-0.016417850809168615,招募資訊
133,離職,同事互動,-0.014055743400542027,招募資訊
134,畢業,同事互動,-0.014055743400541987,招募資訊
135,招募人員,同事互動,-0.04976017809595112,招募資訊
136,正向,同事互動,0.2369179585804578,情緒
137,負向,同事互動,0.028378885429855352,情緒
138,學習成長,主管風格,0.050424906712928236,成長價值
139,薪資,主管風格,-0.021042393820398943,經濟報酬
140,福利,主管風格,0.06949370744302547,經濟報酬
141,管理制度,主管風格,0.07506387310135644,經濟報酬
142,工作氛圍,主管風格,0.052682062382513516,人際價值
143,同事互動,主管風格,-0.04085886300812419,人際價值
144,主管風格,主管風格,1.0,人際價值
145,工作地點,主管風格,-0.015141829702841569,組織文化與制度
146,公司規模,主管風格,-0.01514182970284161,組織文化與制度
147,工作環境,主管風格,-0.03869213763081172,組織文化與制度
148,產業前景,主管風格,-0.03743542810243537,組織文化與制度
149,多元性,主管風格,-0.02145325336563651,組織文化與制度
150,變化性,主管風格,-0.015141829702841591,組織文化與制度
151,管理學院/商學院,主管風格,0.09568151001073873,科系專業
152,面試,主管風格,0.27001087475524227,招募資訊
153,學經歷,主管風格,0.062434093287731265,招募資訊
154,徵才,主管風格,0.04466771772289855,招募資訊
155,工作,主管風格,-0.07611061959819766,招募資訊
156,離職,主管風格,-0.021453253365636447,招募資訊
157,畢業,主管風格,-0.021453253365636523,招募資訊
158,招募人員,主管風格,0.2320997206144892,招募資訊
159,正向,主管風格,0.24193054131529032,情緒
160,負向,主管風格,0.15574807246398897,情緒
161,學習成長,工作地點,-0.012423994340948657,成長價值
162,薪資,工作地點,-0.011253614397353267,經濟報酬
163,福利,工作地點,-0.006391374907061443,經濟報酬
164,管理制度,工作地點,-0.010535074339697451,經濟報酬
165,工作氛圍,工作地點,-0.007393829023702936,人際價值
166,同事互動,工作地點,-0.009920624592014324,人際價值
167,主管風格,工作地點,-0.015141829702841569,人際價值
168,工作地點,工作地點,1.0,組織文化與制度
169,公司規模,工作地點,-0.0036764705882352824,組織文化與制度
170,工作環境,工作地點,-0.00939453875702588,組織文化與制度
171,產業前景,工作地點,-0.009089406833757514,組織文化與制度
172,多元性,工作地點,-0.005208898565668085,組織文化與制度
173,變化性,工作地點,-0.003676470588235276,組織文化與制度
174,管理學院/商學院,工作地點,-0.005208898565668095,科系專業
175,面試,工作地點,0.031211778845030957,招募資訊
176,學經歷,工作地點,-0.016859777894917747,招募資訊
177,徵才,工作地點,-0.014975511622411479,招募資訊
178,工作,工作地點,-0.018479831030765448,招募資訊
179,離職,工作地點,-0.005208898565668081,招募資訊
180,畢業,工作地點,-0.005208898565668086,招募資訊
181,招募人員,工作地點,-0.018440555787422416,招募資訊
182,正向,工作地點,0.027557286875935512,情緒
183,負向,工作地點,-0.04243393522190821,情緒
184,學習成長,公司規模,-0.012423994340948673,成長價值
185,薪資,公司規模,-0.011253614397353234,經濟報酬
186,福利,公司規模,0.284416183364233,經濟報酬
187,管理制度,公司規模,-0.01053507433969748,經濟報酬
188,工作氛圍,公司規模,-0.007393829023702917,人際價值
189,同事互動,公司規模,-0.009920624592014335,人際價值
190,主管風格,公司規模,-0.015141829702841612,人際價值
191,工作地點,公司規模,-0.0036764705882352824,組織文化與制度
192,公司規模,公司規模,1.0,組織文化與制度
193,工作環境,公司規模,0.31119409632648215,組織文化與制度
194,產業前景,公司規模,-0.009089406833757478,組織文化與制度
195,多元性,公司規模,-0.005208898565668104,組織文化與制度
196,變化性,公司規模,-0.003676470588235295,組織文化與制度
197,管理學院/商學院,公司規模,-0.0052088985656681,科系專業
198,面試,公司規模,0.22937028174487814,招募資訊
199,學經歷,公司規模,-0.016859777894917726,招募資訊
200,徵才,公司規模,0.2001989448469743,招募資訊
201,工作,公司規模,-0.01847983103076546,招募資訊
202,離職,公司規模,-0.005208898565668102,招募資訊
203,畢業,公司規模,-0.005208898565668104,招募資訊
204,招募人員,公司規模,-0.01844055578742236,招募資訊
205,正向,公司規模,0.06653728333775084,情緒
206,負向,公司規模,-0.04243393522190822,情緒
207,學習成長,工作環境,0.06674130091464346,成長價值
208,薪資,工作環境,0.06937511540116136,經濟報酬
209,福利,工作環境,0.07655612457571583,經濟報酬
210,管理制度,工作環境,-0.026920428660342825,經濟報酬
211,工作氛圍,工作環境,-0.018893558824671964,人際價值
212,同事互動,工作環境,0.053293278553303285,人際價值
213,主管風格,工作環境,-0.03869213763081172,人際價值
214,工作地點,工作環境,-0.00939453875702588,組織文化與制度
215,公司規模,工作環境,0.31119409632648215,組織文化與制度
216,工作環境,工作環境,1.0,組織文化與制度
217,產業前景,工作環境,-0.023226293459646063,組織文化與制度
218,多元性,工作環境,-0.013310374252191249,組織文化與制度
219,變化性,工作環境,-0.009394538757025863,組織文化與制度
220,管理學院/商學院,工作環境,-0.013310374252191242,科系專業
221,面試,工作環境,-0.0046369716489313385,招募資訊
222,學經歷,工作環境,-0.04308203562827354,招募資訊
223,徵才,工作環境,0.030462659586697343,招募資訊
224,工作,工作環境,-0.0036692600074134693,招募資訊
225,離職,工作環境,-0.013310374252191243,招募資訊
226,畢業,工作環境,-0.013310374252191249,招募資訊
227,招募人員,工作環境,-0.04712142036452219,招募資訊
228,正向,工作環境,0.04551599793906265,情緒
229,負向,工作環境,-0.06708854598068796,情緒
230,學習成長,產業前景,0.09633677448978897,成長價值
231,薪資,產業前景,0.035473714087976047,經濟報酬
232,福利,產業前景,-0.015801515437999233,經濟報酬
233,管理制度,產業前景,-0.02604606086168994,經濟報酬
234,工作氛圍,產業前景,-0.018279901455144857,人際價值
235,同事互動,產業前景,0.07692541930486438,人際價值
236,主管風格,產業前景,-0.03743542810243537,人際價值
237,工作地點,產業前景,-0.009089406833757512,組織文化與制度
238,公司規模,產業前景,-0.00908940683375748,組織文化與制度
239,工作環境,產業前景,-0.02322629345964606,組織文化與制度
240,產業前景,產業前景,1.0,組織文化與制度
241,多元性,產業前景,0.2800977422643913,組織文化與制度
242,變化性,產業前景,-0.00908940683375748,組織文化與制度
243,管理學院/商學院,產業前景,-0.012878057115604243,科系專業
244,面試,產業前景,0.04994818742814784,招募資訊
245,學經歷,產業前景,-0.04168274347252599,招募資訊
246,徵才,產業前景,0.14030237106528665,招募資訊
247,工作,產業前景,0.010495899029250072,招募資訊
248,離職,產業前景,-0.012878057115604202,招募資訊
249,畢業,產業前景,-0.012878057115604238,招募資訊
250,招募人員,產業前景,0.013677279045466601,招募資訊
251,正向,產業前景,0.14843953833862122,情緒
252,負向,產業前景,0.08175963278852913,情緒
253,學習成長,多元性,-0.017602568754262568,成長價值
254,薪資,多元性,-0.01594435056288379,經濟報酬
255,福利,多元性,-0.00905543041540268,經濟報酬
256,管理制度,多元性,-0.014926308343893902,經濟報酬
257,工作氛圍,多元性,-0.010475727867810258,人際價值
258,同事互動,多元性,0.16036325425163897,人際價值
259,主管風格,多元性,-0.02145325336563651,人際價值
260,工作地點,多元性,-0.005208898565668085,組織文化與制度
261,公司規模,多元性,-0.005208898565668104,組織文化與制度
262,工作環境,多元性,-0.013310374252191249,組織文化與制度
263,產業前景,多元性,0.2800977422643913,組織文化與制度
264,多元性,多元性,1.0,組織文化與制度
265,變化性,多元性,-0.005208898565668115,組織文化與制度
266,管理學院/商學院,多元性,-0.007380073800738004,科系專業
267,面試,多元性,-0.002571016586961099,招募資訊
268,學經歷,多元性,-0.02388727742725501,招募資訊
269,徵才,多元性,0.13121417028861,招募資訊
270,工作,多元性,-0.026182601775184465,招募資訊
