,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.07221581446741188,經濟報酬
2,福利,學習成長,-0.04331480818242099,經濟報酬
3,管理制度,學習成長,-0.08998425413316945,經濟報酬
4,工作氛圍,學習成長,-0.043314808182421005,人際價值
5,同事互動,學習成長,0.8062257748298548,人際價值
6,工作地點,學習成長,-0.043314808182420984,組織文化與制度
7,工作環境,學習成長,0.28205128205128166,組織文化與制度
8,面試,學習成長,0.026324906324632903,招募資訊
9,學經歷,學習成長,-0.10703564115707015,招募資訊
10,徵才,學習成長,-0.07221581446741188,招募資訊
11,工作,學習成長,-0.162199268308965,招募資訊
12,離職,學習成長,-0.043314808182421,招募資訊
13,招募人員,學習成長,-0.07692307692307683,招募資訊
14,正向,學習成長,0.09918019259899655,情緒
15,負向,學習成長,-0.08359043390827617,情緒
16,學習成長,薪資,-0.07221581446741188,成長價值
17,薪資,薪資,1.0,經濟報酬
18,福利,薪資,-0.040664183968112264,經濟報酬
19,管理制度,薪資,-0.08447772061910237,經濟報酬
20,工作氛圍,薪資,0.38630974769706644,人際價值
21,同事互動,薪資,-0.05822225097395824,人際價值
22,工作地點,薪資,-0.04066418396811228,組織文化與制度
23,工作環境,薪資,-0.07221581446741196,組織文化與制度
24,面試,薪資,0.11121286123418342,招募資訊
25,學經歷,薪資,-0.10048565804159301,招募資訊
26,徵才,薪資,0.11016949152542416,招募資訊
27,工作,薪資,0.2239317345152239,招募資訊
28,離職,薪資,-0.04066418396811224,招募資訊
29,招募人員,薪資,-0.07221581446741183,招募資訊
30,正向,薪資,0.06052209737497755,情緒
31,負向,薪資,0.17787704398238488,情緒
32,學習成長,福利,-0.04331480818242099,成長價值
33,薪資,福利,-0.040664183968112264,經濟報酬
34,福利,福利,1.0,經濟報酬
35,管理制度,福利,-0.05066945919381401,經濟報酬
36,工作氛圍,福利,-0.02439024390243903,人際價值
37,同事互動,福利,-0.034921514788478915,人際價值
38,工作地點,福利,-0.024390243902439032,組織文化與制度
39,工作環境,福利,-0.043314808182421005,組織文化與制度
40,面試,福利,-0.08894014489399042,招募資訊
41,學經歷,福利,-0.06027096745021227,招募資訊
42,徵才,福利,-0.04066418396811228,招募資訊
43,工作,福利,0.35996022935816735,招募資訊
44,離職,福利,-0.02439024390243903,招募資訊
45,招募人員,福利,-0.04331480818242096,招募資訊
46,正向,福利,0.09494095949605644,情緒
47,負向,福利,0.04079326067967819,情緒
48,學習成長,管理制度,-0.08998425413316945,成長價值
49,薪資,管理制度,-0.08447772061910237,經濟報酬
50,福利,管理制度,-0.05066945919381401,經濟報酬
51,管理制度,管理制度,0.9999999999999998,經濟報酬
52,工作氛圍,管理制度,-0.050669459193813986,人際價值
53,同事互動,管理制度,-0.07254762501100119,人際價值
54,工作地點,管理制度,-0.050669459193814013,組織文化與制度
55,工作環境,管理制度,-0.08998425413316954,組織文化與制度
56,面試,管理制度,0.13857638305373715,招募資訊
57,學經歷,管理制度,-0.12520979035739907,招募資訊
58,徵才,管理制度,-0.08447772061910246,招募資訊
59,工作,管理制度,0.16183700963992562,招募資訊
60,離職,管理制度,-0.050669459193813986,招募資訊
61,招募人員,管理制度,0.22496063533292363,招募資訊
62,正向,管理制度,0.25814566484415374,情緒
63,負向,管理制度,0.2216430465849113,情緒
64,學習成長,工作氛圍,-0.043314808182421005,成長價值
65,薪資,工作氛圍,0.38630974769706644,經濟報酬
66,福利,工作氛圍,-0.02439024390243903,經濟報酬
67,管理制度,工作氛圍,-0.050669459193813986,經濟報酬
68,工作氛圍,工作氛圍,1.0,人際價值
69,同事互動,工作氛圍,-0.034921514788478894,人際價值
70,工作地點,工作氛圍,-0.02439024390243903,組織文化與制度
71,工作環境,工作氛圍,-0.04331480818242101,組織文化與制度
72,面試,工作氛圍,-0.08894014489399041,招募資訊
73,學經歷,工作氛圍,-0.06027096745021219,招募資訊
74,徵才,工作氛圍,-0.04066418396811227,招募資訊
75,工作,工作氛圍,0.1343135184172266,招募資訊
76,離職,工作氛圍,-0.02439024390243903,招募資訊
77,招募人員,工作氛圍,-0.04331480818242097,招募資訊
78,正向,工作氛圍,0.5640609946530407,情緒
79,負向,工作氛圍,0.6997613178129406,情緒
80,學習成長,同事互動,0.8062257748298548,成長價值
81,薪資,同事互動,-0.05822225097395824,經濟報酬
82,福利,同事互動,-0.034921514788478915,經濟報酬
83,管理制度,同事互動,-0.07254762501100119,經濟報酬
84,工作氛圍,同事互動,-0.034921514788478894,人際價值
85,同事互動,同事互動,1.0,人際價值
86,工作地點,同事互動,-0.03492151478847893,組織文化與制度
87,工作環境,同事互動,0.3721042037676254,組織文化與制度
88,面試,同事互動,-0.12734290799340256,招募資訊
89,學經歷,同事互動,-0.08629489272626922,招募資訊
90,徵才,同事互動,-0.058222250973958285,招募資訊
91,工作,同事互動,-0.13076923076923078,招募資訊
92,離職,同事互動,-0.034921514788478894,招募資訊
93,招募人員,同事互動,-0.06201736729460418,招募資訊
94,正向,同事互動,0.05197505795683513,情緒
95,負向,同事互動,-0.13029267386905646,情緒
96,學習成長,工作地點,-0.04331480818242098,成長價值
97,薪資,工作地點,-0.040664183968112284,經濟報酬
98,福利,工作地點,-0.024390243902439032,經濟報酬
99,管理制度,工作地點,-0.050669459193814013,經濟報酬
100,工作氛圍,工作地點,-0.02439024390243903,人際價值
101,同事互動,工作地點,-0.03492151478847893,人際價值
102,工作地點,工作地點,0.9999999999999998,組織文化與制度
103,工作環境,工作地點,-0.04331480818242099,組織文化與制度
104,面試,工作地點,0.533640869363943,招募資訊
105,學經歷,工作地點,0.6629806419523341,招募資訊
106,徵才,工作地點,-0.04066418396811223,招募資訊
107,工作,工作地點,-0.0913331925237142,招募資訊
108,離職,工作地點,-0.02439024390243903,招募資訊
109,招募人員,工作地點,-0.04331480818242094,招募資訊
110,正向,工作地點,-0.022339049293189736,情緒
111,負向,工作地點,0.04079326067967819,情緒
112,學習成長,工作環境,0.28205128205128166,成長價值
113,薪資,工作環境,-0.07221581446741196,經濟報酬
114,福利,工作環境,-0.043314808182421005,經濟報酬
115,管理制度,工作環境,-0.08998425413316953,經濟報酬
116,工作氛圍,工作環境,-0.043314808182421005,人際價值
117,同事互動,工作環境,0.3721042037676254,人際價值
118,工作地點,工作環境,-0.04331480818242099,組織文化與制度
119,工作環境,工作環境,1.0,組織文化與制度
120,面試,工作環境,-0.15794943794779692,招募資訊
121,學經歷,工作環境,-0.10703564115707014,招募資訊
122,徵才,工作環境,-0.0722158144674119,招募資訊
123,工作,工作環境,0.10495246772933027,招募資訊
124,離職,工作環境,0.5630925063714731,招募資訊
125,招募人員,工作環境,-0.07692307692307689,招募資訊
126,正向,工作環境,0.1686063274182941,情緒
127,負向,工作環境,0.07244504272050603,情緒
128,學習成長,面試,0.026324906324632903,成長價值
129,薪資,面試,0.11121286123418343,經濟報酬
130,福利,面試,-0.08894014489399042,經濟報酬
131,管理制度,面試,0.13857638305373715,經濟報酬
132,工作氛圍,面試,-0.08894014489399041,人際價值
133,同事互動,面試,-0.12734290799340256,人際價值
134,工作地點,面試,0.5336408693639431,組織文化與制度
135,工作環境,面試,-0.15794943794779692,組織文化與制度
136,面試,面試,1.0,招募資訊
137,學經歷,面試,0.43956170338967365,招募資訊
138,徵才,面試,0.11121286123418361,招募資訊
139,工作,面試,0.009795608307184843,招募資訊
140,離職,面試,-0.08894014489399041,招募資訊
141,招募人員,面試,0.39487359486949203,招募資訊
142,正向,面試,0.09673418880279352,情緒
143,負向,面試,0.10870521090817654,情緒
144,學習成長,學經歷,-0.10703564115707015,成長價值
145,薪資,學經歷,-0.10048565804159301,經濟報酬
146,福利,學經歷,-0.06027096745021228,經濟報酬
147,管理制度,學經歷,-0.1252097903573991,經濟報酬
148,工作氛圍,學經歷,-0.06027096745021219,人際價值
149,同事互動,學經歷,-0.08629489272626922,人際價值
150,工作地點,學經歷,0.662980641952334,組織文化與制度
151,工作環境,學經歷,-0.10703564115707012,組織文化與制度
152,面試,學經歷,0.43956170338967365,招募資訊
153,學經歷,學經歷,1.0,招募資訊
154,徵才,學經歷,0.20097131608318572,招募資訊
155,工作,學經歷,-0.2256943348225501,招募資訊
156,離職,學經歷,-0.06027096745021219,招募資訊
157,招募人員,學經歷,0.3211069234712099,招募資訊
158,正向,學經歷,-0.013800560156389901,情緒
159,負向,學經歷,0.00775420159624071,情緒
160,學習成長,徵才,-0.07221581446741189,成長價值
161,薪資,徵才,0.11016949152542417,經濟報酬
162,福利,徵才,-0.04066418396811228,經濟報酬
163,管理制度,徵才,-0.08447772061910246,經濟報酬
164,工作氛圍,徵才,-0.04066418396811227,人際價值
165,同事互動,徵才,-0.05822225097395828,人際價值
