,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.16666666666666669,經濟報酬
2,福利,學習成長,-0.16666666666666663,經濟報酬
3,管理制度,學習成長,-0.16666666666666669,經濟報酬
4,工作環境,學習成長,-0.16666666666666669,組織文化與制度
5,變化性,學習成長,-0.16666666666666663,組織文化與制度
6,工學院,學習成長,-0.16666666666666669,科系專業
7,面試,學習成長,-0.16666666666666669,招募資訊
8,工作,學習成長,-0.40824829046386313,招募資訊
9,離職,學習成長,-0.16666666666666669,招募資訊
10,正向,學習成長,-0.06189844605901727,情緒
11,負向,學習成長,-0.29417420270727607,情緒
12,學習成長,薪資,-0.16666666666666669,成長價值
13,薪資,薪資,0.9999999999999998,經濟報酬
14,福利,薪資,-0.11111111111111112,經濟報酬
15,管理制度,薪資,-0.11111111111111113,經濟報酬
16,工作環境,薪資,-0.11111111111111113,組織文化與制度
17,變化性,薪資,0.9999999999999997,組織文化與制度
18,工學院,薪資,0.9999999999999998,科系專業
19,面試,薪資,0.9999999999999998,招募資訊
20,工作,薪資,0.40824829046386313,招募資訊
21,離職,薪資,-0.11111111111111113,招募資訊
22,正向,薪資,0.47455475311913253,情緒
23,負向,薪資,0.7844645405527362,情緒
24,學習成長,福利,-0.16666666666666663,成長價值
25,薪資,福利,-0.11111111111111112,經濟報酬
26,福利,福利,1.0,經濟報酬
27,管理制度,福利,-0.11111111111111104,經濟報酬
28,工作環境,福利,0.9999999999999997,組織文化與制度
29,變化性,福利,-0.11111111111111112,組織文化與制度
30,工學院,福利,-0.11111111111111112,科系專業
31,面試,福利,-0.11111111111111112,招募資訊
32,工作,福利,0.40824829046386324,招募資訊
33,離職,福利,-0.11111111111111106,招募資訊
34,正向,福利,0.06189844605901728,情緒
35,負向,福利,-0.19611613513818407,情緒
36,學習成長,管理制度,-0.16666666666666669,成長價值
37,薪資,管理制度,-0.11111111111111113,經濟報酬
38,福利,管理制度,-0.11111111111111105,經濟報酬
39,管理制度,管理制度,1.0,經濟報酬
40,工作環境,管理制度,-0.11111111111111109,組織文化與制度
41,變化性,管理制度,-0.11111111111111109,組織文化與制度
42,工學院,管理制度,-0.11111111111111113,科系專業
43,面試,管理制度,-0.11111111111111113,招募資訊
44,工作,管理制度,0.40824829046386313,招募資訊
45,離職,管理制度,-0.11111111111111109,招募資訊
46,正向,管理制度,-0.350757861001098,情緒
47,負向,管理制度,-0.19611613513818404,情緒
48,學習成長,工作環境,-0.16666666666666669,成長價值
49,薪資,工作環境,-0.11111111111111113,經濟報酬
50,福利,工作環境,0.9999999999999997,經濟報酬
51,管理制度,工作環境,-0.11111111111111109,經濟報酬
52,工作環境,工作環境,1.0,組織文化與制度
53,變化性,工作環境,-0.11111111111111109,組織文化與制度
54,工學院,工作環境,-0.11111111111111113,科系專業
55,面試,工作環境,-0.11111111111111113,招募資訊
56,工作,工作環境,0.4082482904638631,招募資訊
57,離職,工作環境,-0.11111111111111109,招募資訊
58,正向,工作環境,0.061898446059017315,情緒
59,負向,工作環境,-0.19611613513818404,情緒
60,學習成長,變化性,-0.16666666666666663,成長價值
61,薪資,變化性,0.9999999999999997,經濟報酬
62,福利,變化性,-0.11111111111111112,經濟報酬
63,管理制度,變化性,-0.1111111111111111,經濟報酬
64,工作環境,變化性,-0.1111111111111111,組織文化與制度
65,變化性,變化性,1.0,組織文化與制度
66,工學院,變化性,0.9999999999999997,科系專業
67,面試,變化性,0.9999999999999997,招募資訊
68,工作,變化性,0.4082482904638631,招募資訊
69,離職,變化性,-0.1111111111111111,招募資訊
70,正向,變化性,0.4745547531191326,情緒
71,負向,變化性,0.784464540552736,情緒
72,學習成長,工學院,-0.16666666666666669,成長價值
73,薪資,工學院,0.9999999999999998,經濟報酬
74,福利,工學院,-0.11111111111111112,經濟報酬
75,管理制度,工學院,-0.11111111111111113,經濟報酬
76,工作環境,工學院,-0.11111111111111113,組織文化與制度
77,變化性,工學院,0.9999999999999997,組織文化與制度
78,工學院,工學院,0.9999999999999998,科系專業
79,面試,工學院,0.9999999999999998,招募資訊
80,工作,工學院,0.40824829046386313,招募資訊
81,離職,工學院,-0.11111111111111113,招募資訊
82,正向,工學院,0.47455475311913253,情緒
83,負向,工學院,0.7844645405527362,情緒
84,學習成長,面試,-0.16666666666666669,成長價值
85,薪資,面試,0.9999999999999998,經濟報酬
86,福利,面試,-0.11111111111111112,經濟報酬
87,管理制度,面試,-0.11111111111111113,經濟報酬
88,工作環境,面試,-0.11111111111111113,組織文化與制度
89,變化性,面試,0.9999999999999997,組織文化與制度
90,工學院,面試,0.9999999999999998,科系專業
91,面試,面試,0.9999999999999998,招募資訊
92,工作,面試,0.40824829046386313,招募資訊
93,離職,面試,-0.11111111111111113,招募資訊
94,正向,面試,0.47455475311913253,情緒
95,負向,面試,0.7844645405527362,情緒
96,學習成長,工作,-0.40824829046386313,成長價值
97,薪資,工作,0.40824829046386313,經濟報酬
98,福利,工作,0.40824829046386324,經濟報酬
99,管理制度,工作,0.40824829046386313,經濟報酬
100,工作環境,工作,0.4082482904638631,組織文化與制度
101,變化性,工作,0.4082482904638631,組織文化與制度
102,工學院,工作,0.40824829046386313,科系專業
103,面試,工作,0.40824829046386313,招募資訊
104,工作,工作,1.0,招募資訊
105,離職,工作,0.40824829046386313,招募資訊
106,正向,工作,-0.10107973914385379,情緒
107,負向,工作,0.3202563076101743,情緒
108,學習成長,離職,-0.16666666666666669,成長價值
109,薪資,離職,-0.11111111111111113,經濟報酬
110,福利,離職,-0.11111111111111106,經濟報酬
111,管理制度,離職,-0.11111111111111109,經濟報酬
112,工作環境,離職,-0.11111111111111109,組織文化與制度
113,變化性,離職,-0.11111111111111109,組織文化與制度
114,工學院,離職,-0.11111111111111113,科系專業
115,面試,離職,-0.11111111111111113,招募資訊
116,工作,離職,0.40824829046386313,招募資訊
117,離職,離職,1.0,招募資訊
118,正向,離職,-0.350757861001098,情緒
119,負向,離職,0.13074409009212276,情緒
120,學習成長,正向,-0.06189844605901727,成長價值
121,薪資,正向,0.4745547531191325,經濟報酬
122,福利,正向,0.06189844605901728,經濟報酬
123,管理制度,正向,-0.350757861001098,經濟報酬
124,工作環境,正向,0.061898446059017315,組織文化與制度
125,變化性,正向,0.4745547531191326,組織文化與制度
126,工學院,正向,0.4745547531191325,科系專業
127,面試,正向,0.4745547531191325,招募資訊
128,工作,正向,-0.10107973914385379,招募資訊
129,離職,正向,-0.350757861001098,招募資訊
130,正向,正向,1.0,情緒
131,負向,正向,0.5948249165955376,情緒
132,學習成長,負向,-0.294174202707276,成長價值
133,薪資,負向,0.7844645405527362,經濟報酬
134,福利,負向,-0.19611613513818407,經濟報酬
135,管理制度,負向,-0.19611613513818404,經濟報酬
136,工作環境,負向,-0.19611613513818404,組織文化與制度
137,變化性,負向,0.784464540552736,組織文化與制度
138,工學院,負向,0.7844645405527362,科系專業
139,面試,負向,0.7844645405527362,招募資訊
140,工作,負向,0.3202563076101743,招募資訊
141,離職,負向,0.13074409009212276,招募資訊
142,正向,負向,0.5948249165955377,情緒
143,負向,負向,0.9999999999999998,情緒
