,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.06914111844697475,經濟報酬
2,管理制度,學習成長,-0.03753594027406051,經濟報酬
3,工作氛圍,學習成長,-0.03753594027406052,人際價值
4,同事互動,學習成長,0.18185220149886452,人際價值
5,主管風格,學習成長,-0.08407039639501361,人際價值
6,工作環境,學習成長,-0.037535940274060486,組織文化與制度
7,產業前景,學習成長,0.947782491920028,組織文化與制度
8,面試,學習成長,-0.12074575180525347,招募資訊
9,學經歷,學習成長,-0.08935341032175408,招募資訊
10,徵才,學習成長,-0.0509628806891638,招募資訊
11,實習,學習成長,-0.03753594027406052,招募資訊
12,工作,學習成長,0.5193666974951956,招募資訊
13,新鮮人,學習成長,0.7148272825740325,招募資訊
14,畢業,學習成長,0.290903537123969,招募資訊
15,招募人員,學習成長,0.25011915997664236,招募資訊
16,正向,學習成長,0.31741113367062634,情緒
17,負向,學習成長,0.5659634216901429,情緒
18,學習成長,薪資,0.06914111844697475,成長價值
19,薪資,薪資,1.0,經濟報酬
20,管理制度,薪資,0.16571606275392747,經濟報酬
21,工作氛圍,薪資,-0.05736325249174416,人際價值
22,同事互動,薪資,0.2378822802142121,人際價值
23,主管風格,薪資,0.2046134862194267,人際價值
24,工作環境,薪資,-0.05736325249174413,組織文化與制度
25,產業前景,薪資,-0.05736325249174418,組織文化與制度
26,面試,薪資,-0.13326901122853504,招募資訊
27,學經歷,薪資,-0.1365518540327411,招募資訊
28,徵才,薪資,-0.07788259921916404,招募資訊
29,實習,薪資,-0.057363252491744156,招募資訊
30,工作,薪資,-0.10241389052455573,招募資訊
31,新鮮人,薪資,0.16310360342799626,招募資訊
32,畢業,薪資,0.38879537799959935,招募資訊
33,招募人員,薪資,-0.03984918960929015,招募資訊
34,正向,薪資,0.1271420868665237,情緒
35,負向,薪資,0.08408922997726499,情緒
36,學習成長,管理制度,-0.03753594027406051,成長價值
37,薪資,管理制度,0.16571606275392745,經濟報酬
38,管理制度,管理制度,0.9999999999999999,經濟報酬
39,工作氛圍,管理制度,-0.029411764705882356,人際價值
40,同事互動,管理制度,-0.04222003309207488,人際價值
41,主管風格,管理制度,-0.06587443126365877,人際價值
42,工作環境,管理制度,-0.029411764705882335,組織文化與制度
43,產業前景,管理制度,-0.02941176470588234,組織文化與制度
44,面試,管理制度,-0.09461187372426547,招募資訊
45,學經歷,管理制度,-0.07001400420140053,招募資訊
46,徵才,管理制度,-0.03993261510487517,招募資訊
47,實習,管理制度,-0.02941176470588236,招募資訊
48,工作,管理制度,-0.05251050315105033,招募資訊
49,新鮮人,管理制度,-0.05251050315105033,招募資訊
50,畢業,管理制度,-0.029411764705882356,招募資訊
51,招募人員,管理制度,0.2806685269685986,招募資訊
52,正向,管理制度,-0.1530532564935131,情緒
53,負向,管理制度,-0.11086696423047833,情緒
54,學習成長,工作氛圍,-0.037535940274060514,成長價值
55,薪資,工作氛圍,-0.05736325249174418,經濟報酬
56,管理制度,工作氛圍,-0.029411764705882356,經濟報酬
57,工作氛圍,工作氛圍,1.0,人際價值
58,同事互動,工作氛圍,-0.042220033092074886,人際價值
59,主管風格,工作氛圍,-0.06587443126365879,人際價值
60,工作環境,工作氛圍,-0.02941176470588234,組織文化與制度
61,產業前景,工作氛圍,-0.02941176470588236,組織文化與制度
62,面試,工作氛圍,0.37844749489706214,招募資訊
63,學經歷,工作氛圍,-0.07001400420140051,招募資訊
64,徵才,工作氛圍,-0.039932615104875176,招募資訊
65,實習,工作氛圍,-0.029411764705882366,招募資訊
66,工作,工作氛圍,-0.052510503151050346,招募資訊
67,新鮮人,工作氛圍,-0.05251050315105034,招募資訊
68,畢業,工作氛圍,-0.029411764705882366,招募資訊
69,招募人員,工作氛圍,-0.0580693504072963,招募資訊
70,正向,工作氛圍,0.2040710086580176,情緒
71,負向,工作氛圍,0.16630044634571764,情緒
72,學習成長,同事互動,0.18185220149886452,成長價值
73,薪資,同事互動,0.23788228021421212,經濟報酬
74,管理制度,同事互動,-0.04222003309207488,經濟報酬
75,工作氛圍,同事互動,-0.042220033092074886,人際價值
76,同事互動,同事互動,0.9999999999999999,人際價值
