,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.0007027825275086535,經濟報酬
2,福利,學習成長,0.008178145333750598,經濟報酬
3,管理制度,學習成長,0.06044942890312914,經濟報酬
4,工作氛圍,學習成長,0.021676540307525072,人際價值
5,同事互動,學習成長,-0.037590305621102355,人際價值
6,主管風格,學習成長,-0.05566810009862723,人際價值
7,工作地點,學習成長,0.01604113206128155,組織文化與制度
8,公司規模,學習成長,-0.008212782371287313,組織文化與制度
9,工作環境,學習成長,0.014601796824335706,組織文化與制度
10,多元性,學習成長,-0.011625965091774234,組織文化與制度
11,變化性,學習成長,-0.020887101517418554,組織文化與制度
12,面試,學習成長,0.09251488085479354,招募資訊
13,學經歷,學習成長,0.005880681979017635,招募資訊
14,徵才,學習成長,0.027770755358807797,招募資訊
15,實習,學習成長,-0.011625965091774267,招募資訊
16,工作,學習成長,0.032024456805547455,招募資訊
17,離職,學習成長,0.044982645648388206,招募資訊
18,新鮮人,學習成長,-0.011625965091774233,招募資訊
19,畢業,學習成長,-0.011625965091774266,招募資訊
20,招募人員,學習成長,-0.03252018207489297,招募資訊
21,正向,學習成長,0.07325924244474548,情緒
22,負向,學習成長,0.10671508620984327,情緒
23,學習成長,薪資,-0.0007027825275086536,成長價值
24,薪資,薪資,1.0,經濟報酬
25,福利,薪資,0.18542380829687918,經濟報酬
26,管理制度,薪資,0.027123233885846015,經濟報酬
27,工作氛圍,薪資,0.052355129271042855,人際價值
28,同事互動,薪資,0.05274966730519923,人際價值
29,主管風格,薪資,0.1053707254376836,人際價值
30,工作地點,薪資,0.05922439672352554,組織文化與制度
31,公司規模,薪資,-0.010253700897520833,組織文化與制度
32,工作環境,薪資,-0.0019529703626178963,組織文化與制度
33,多元性,薪資,-0.01451507702345051,組織文化與制度
34,變化性,薪資,0.09577610860392423,組織文化與制度
35,面試,薪資,0.1721152918949224,招募資訊
36,學經歷,薪資,0.042986167036335246,招募資訊
37,徵才,薪資,0.0993153119901005,招募資訊
38,實習,薪資,-0.014515077023450512,招募資訊
39,工作,薪資,0.06217132627499133,招募資訊
40,離職,薪資,-0.027998664419287615,招募資訊
41,新鮮人,薪資,-0.014515077023450517,招募資訊
42,畢業,薪資,-0.014515077023450508,招募資訊
43,招募人員,薪資,0.050464115210328314,招募資訊
44,正向,薪資,0.21487193584884323,情緒
45,負向,薪資,0.09199919433305687,情緒
46,學習成長,福利,0.008178145333750598,成長價值
47,薪資,福利,0.18542380829687918,經濟報酬
48,福利,福利,1.0,經濟報酬
49,管理制度,福利,0.13754827803547465,經濟報酬
50,工作氛圍,福利,0.09778957940805978,人際價值
51,同事互動,福利,0.06614630928314878,人際價值
52,主管風格,福利,0.15218020672255086,人際價值
53,工作地點,福利,-0.018655832431924823,組織文化與制度
54,公司規模,福利,-0.015261035177151473,組織文化與制度
55,工作環境,福利,0.05497335499374621,組織文化與制度
56,多元性,福利,0.03623075100123465,組織文化與制度
57,變化性,福利,0.06509183265572774,組織文化與制度
58,面試,福利,0.10608730558536905,招募資訊
59,學經歷,福利,0.024604646027320792,招募資訊
60,徵才,福利,0.10259089734075799,招募資訊
61,實習,福利,-0.021603429168438056,招募資訊
62,工作,福利,0.15070327781196347,招募資訊
63,離職,福利,-0.04167164684112417,招募資訊
64,新鮮人,福利,-0.02160342916843803,招募資訊
65,畢業,福利,-0.02160342916843806,招募資訊
66,招募人員,福利,0.030164228605814403,招募資訊
67,正向,福利,0.4531445253714338,情緒
68,負向,福利,0.2175576178521681,情緒
69,學習成長,管理制度,0.06044942890312915,成長價值
70,薪資,管理制度,0.027123233885846015,經濟報酬
71,福利,管理制度,0.13754827803547467,經濟報酬
72,管理制度,管理制度,1.0,經濟報酬
73,工作氛圍,管理制度,-0.05879879420491135,人際價值
74,同事互動,管理制度,9.147644847378246e-05,人際價值
75,主管風格,管理制度,0.042985347143331805,人際價值
76,工作地點,管理制度,-0.05083096244527862,組織文化與制度
77,公司規模,管理制度,-0.01538914452197608,組織文化與制度
78,工作環境,管理制度,-0.017440704563217672,組織文化與制度
79,多元性,管理制度,-0.021784779982757612,組織文化與制度
80,變化性,管理制度,0.06863186519948891,組織文化與制度
81,面試,管理制度,-0.0011216551458866368,招募資訊
82,學經歷,管理制度,0.05725509988251792,招募資訊
83,徵才,管理制度,0.045366879451706144,招募資訊
84,實習,管理制度,-0.02178477998275753,招募資訊
85,工作,管理制度,0.03907516084812767,招募資訊
86,離職,管理制度,-0.042021461078009845,招募資訊
87,新鮮人,管理制度,-0.021784779982757574,招募資訊
88,畢業,管理制度,-0.021784779982757532,招募資訊
89,招募人員,管理制度,0.04645098341178581,招募資訊
90,正向,管理制度,0.10333784917378558,情緒
91,負向,管理制度,0.09586993287078223,情緒
92,學習成長,工作氛圍,0.021676540307525072,成長價值
93,薪資,工作氛圍,0.05235512927104286,經濟報酬
94,福利,工作氛圍,0.09778957940805977,經濟報酬
95,管理制度,工作氛圍,-0.05879879420491135,經濟報酬
96,工作氛圍,工作氛圍,1.0,人際價值
97,同事互動,工作氛圍,0.015688971343712565,人際價值
98,主管風格,工作氛圍,0.1782307230550421,人際價值
99,工作地點,工作氛圍,0.1613527521097973,組織文化與制度
100,公司規模,工作氛圍,-0.007447946986234579,組織文化與制度
101,工作環境,工作氛圍,-0.0060269414150001515,組織文化與制度
102,多元性,工作氛圍,-0.010543268742889649,組織文化與制度
103,變化性,工作氛圍,0.1331855103921759,組織文化與制度
104,面試,工作氛圍,0.0975522029302661,招募資訊
105,學經歷,工作氛圍,0.18110655254203495,招募資訊
106,徵才,工作氛圍,-0.001044121974538572,招募資訊
107,實習,工作氛圍,-0.010543268742889637,招募資訊
108,工作,工作氛圍,0.13319873421667125,招募資訊
109,離職,工作氛圍,-0.020337297758572695,招募資訊
110,新鮮人,工作氛圍,-0.010543268742889628,招募資訊
111,畢業,工作氛圍,0.1588079854397748,招募資訊
112,招募人員,工作氛圍,0.008405123333492439,招募資訊
113,正向,工作氛圍,0.17195332160321034,情緒
114,負向,工作氛圍,0.20284070841529986,情緒
115,學習成長,同事互動,-0.037590305621102355,成長價值
116,薪資,同事互動,0.05274966730519923,經濟報酬
117,福利,同事互動,0.06614630928314877,經濟報酬
118,管理制度,同事互動,9.147644847378245e-05,經濟報酬
119,工作氛圍,同事互動,0.015688971343712565,人際價值
120,同事互動,同事互動,1.0,人際價值
121,主管風格,同事互動,-0.0061321988083534226,人際價值
122,工作地點,同事互動,0.1325367817091526,組織文化與制度
123,公司規模,同事互動,-0.008922122399101218,組織文化與制度
124,工作環境,同事互動,-0.01642069858370313,組織文化與制度
125,多元性,同事互動,0.13491245903899587,組織文化與制度
126,變化性,同事互動,0.04357727529731448,組織文化與制度
127,面試,同事互動,-0.004448635988703578,招募資訊
128,學經歷,同事互動,-0.03625736743847006,招募資訊
129,徵才,同事互動,0.019622712697646694,招募資訊
