,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.5400617248673217,經濟報酬
2,福利,學習成長,-0.062499999999999986,經濟報酬
3,管理制度,學習成長,-0.15600943018834562,經濟報酬
4,同事互動,學習成長,-0.062499999999999986,人際價值
5,主管風格,學習成長,0.5400617248673218,人際價值
6,工作環境,學習成長,-0.11048543456039804,組織文化與制度
7,面試,學習成長,-0.06249999999999999,招募資訊
8,學經歷,學習成長,-0.06249999999999999,招募資訊
9,徵才,學習成長,-0.13867504905630731,招募資訊
10,工作,學習成長,-0.0912870929175277,招募資訊
11,離職,學習成長,-0.06249999999999999,招募資訊
12,畢業,學習成長,-0.06249999999999999,招募資訊
13,招募人員,學習成長,-0.06249999999999998,招募資訊
14,正向,學習成長,-0.07953559537197223,情緒
15,負向,學習成長,-0.18656947316437297,情緒
16,學習成長,薪資,0.5400617248673218,成長價值
17,薪資,薪資,1.0,經濟報酬
18,福利,薪資,0.5400617248673217,經濟報酬
19,管理制度,薪資,0.2567762955065478,經濟報酬
20,同事互動,薪資,-0.11572751247156894,人際價值
21,主管風格,薪資,0.19047619047619052,人際價值
22,工作環境,薪資,0.4909902530309827,組織文化與制度
23,面試,薪資,-0.11572751247156894,招募資訊
24,學經歷,薪資,-0.11572751247156894,招募資訊
25,徵才,薪資,0.47075654176200415,招募資訊
26,工作,薪資,0.3098898934004559,招募資訊
27,離職,薪資,-0.11572751247156891,招募資訊
28,畢業,薪資,-0.11572751247156894,招募資訊
29,招募人員,薪資,0.5400617248673218,招募資訊
30,正向,薪資,0.6038123533105385,情緒
31,負向,薪資,0.43758207959086537,情緒
32,學習成長,福利,-0.062499999999999986,成長價值
33,薪資,福利,0.5400617248673217,經濟報酬
34,福利,福利,0.9999999999999999,經濟報酬
35,管理制度,福利,0.7280440075456129,經濟報酬
36,同事互動,福利,-0.0625,人際價值
37,主管風格,福利,-0.11572751247156894,人際價值
38,工作環境,福利,0.2651650429449553,組織文化與制度
39,面試,福利,-0.06249999999999998,招募資訊
40,學經歷,福利,-0.0625,招募資訊
41,徵才,福利,0.4506939094329986,招募資訊
42,工作,福利,-0.09128709291752769,招募資訊
43,離職,福利,-0.06249999999999998,招募資訊
44,畢業,福利,-0.0625,招募資訊
45,招募人員,福利,-0.06249999999999998,招募資訊
46,正向,福利,0.7317274774221443,情緒
47,負向,福利,0.6592121385141178,情緒
48,學習成長,管理制度,-0.15600943018834562,成長價值
49,薪資,管理制度,0.25677629550654774,經濟報酬
50,福利,管理制度,0.7280440075456129,經濟報酬
51,管理制度,管理制度,0.9999999999999999,經濟報酬
52,同事互動,管理制度,-0.15600943018834562,人際價值
53,主管風格,管理制度,0.07489308618940978,人際價值
54,工作環境,管理制度,0.03677177533840955,組織文化與制度
55,面試,管理制度,-0.15600943018834565,招募資訊
56,學經歷,管理制度,-0.15600943018834568,招募資訊
57,徵才,管理制度,0.30769230769230765,招募資訊
58,工作,管理制度,-0.22786635759382498,招募資訊
59,離職,管理制度,-0.15600943018834565,招募資訊
60,畢業,管理制度,-0.15600943018834568,招募資訊
61,招募人員,管理制度,-0.1560094301883456,招募資訊
62,正向,管理制度,0.5514801294965427,情緒
63,負向,管理制度,0.41396049349566116,情緒
64,學習成長,同事互動,-0.062499999999999986,成長價值
65,薪資,同事互動,-0.11572751247156893,經濟報酬
66,福利,同事互動,-0.0625,經濟報酬
67,管理制度,同事互動,-0.15600943018834562,經濟報酬
68,同事互動,同事互動,0.9999999999999999,人際價值
69,主管風格,同事互動,-0.11572751247156894,人際價值
70,工作環境,同事互動,-0.11048543456039804,組織文化與制度
71,面試,同事互動,-0.06249999999999998,招募資訊
72,學經歷,同事互動,-0.06249999999999999,招募資訊
73,徵才,同事互動,-0.13867504905630726,招募資訊
74,工作,同事互動,-0.09128709291752769,招募資訊
75,離職,同事互動,-0.06249999999999998,招募資訊
76,畢業,同事互動,-0.06249999999999999,招募資訊
77,招募人員,同事互動,-0.06249999999999998,招募資訊
78,正向,同事互動,-0.07953559537197222,情緒
79,負向,同事互動,0.024875929755249725,情緒
80,學習成長,主管風格,0.5400617248673218,成長價值
81,薪資,主管風格,0.19047619047619052,經濟報酬
82,福利,主管風格,-0.11572751247156896,經濟報酬
83,管理制度,主管風格,0.07489308618940976,經濟報酬
84,同事互動,主管風格,-0.11572751247156896,人際價值
85,主管風格,主管風格,1.0,人際價值
86,工作環境,主管風格,-0.20457927209624288,組織文化與制度
87,面試,主管風格,0.5400617248673218,招募資訊
88,學經歷,主管風格,-0.11572751247156896,招募資訊
89,徵才,主管風格,-0.2567762955065478,招募資訊
90,工作,主管風格,-0.16903085094570333,招募資訊
91,離職,主管風格,-0.11572751247156894,招募資訊
92,畢業,主管風格,-0.11572751247156896,招募資訊
93,招募人員,主管風格,-0.11572751247156891,招募資訊
94,正向,主管風格,0.10308991397984806,情緒
95,負向,主管風格,-0.0844456644824477,情緒
96,學習成長,工作環境,-0.11048543456039803,成長價值
97,薪資,工作環境,0.4909902530309827,經濟報酬
98,福利,工作環境,0.2651650429449553,經濟報酬
99,管理制度,工作環境,0.03677177533840954,經濟報酬
100,同事互動,工作環境,-0.11048543456039803,人際價值
101,主管風格,工作環境,-0.20457927209624288,人際價值
102,工作環境,工作環境,1.0,組織文化與制度
103,面試,工作環境,-0.11048543456039805,招募資訊
104,學經歷,工作環境,0.6408155204503087,招募資訊
105,徵才,工作環境,0.3799750118302315,招募資訊
106,工作,工作環境,0.9359709753334593,招募資訊
