,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.125,經濟報酬
2,同事互動,學習成長,-0.12500000000000006,人際價值
3,主管風格,學習成長,-0.28676966733820225,人際價值
4,工作地點,學習成長,-0.12500000000000003,組織文化與制度
5,面試,學習成長,-0.22406453988256797,招募資訊
6,徵才,學習成長,0.16439898730535732,招募資訊
7,實習,學習成長,-0.18898223650461363,招募資訊
8,工作,學習成長,-0.16439898730535735,招募資訊
9,離職,學習成長,-0.12500000000000003,招募資訊
10,轉職,學習成長,-0.12500000000000006,招募資訊
11,出路,學習成長,-0.12500000000000003,招募資訊
12,招募人員,學習成長,-0.26687249808205815,招募資訊
13,正向,學習成長,0.31622776601683794,情緒
14,負向,學習成長,-0.12500000000000006,情緒
15,學習成長,薪資,-0.125,成長價值
16,薪資,薪資,1.0,經濟報酬
17,同事互動,薪資,-0.125,人際價值
18,主管風格,薪資,0.22941573387056174,人際價值
19,工作地點,薪資,-0.12499999999999999,組織文化與制度
20,面試,薪資,0.6401843996644797,招募資訊
21,徵才,薪資,0.9041944301794651,招募資訊
22,實習,薪資,0.6614378277661478,招募資訊
23,工作,薪資,0.9452941770058044,招募資訊
24,離職,薪資,1.0,招募資訊
25,轉職,薪資,-0.125,招募資訊
26,出路,薪資,-0.12499999999999999,招募資訊
27,招募人員,薪資,0.4193710684146628,招募資訊
28,正向,薪資,0.31622776601683794,情緒
29,負向,薪資,-0.125,情緒
30,學習成長,同事互動,-0.12500000000000006,成長價值
31,薪資,同事互動,-0.125,經濟報酬
32,同事互動,同事互動,0.9999999999999998,人際價值
33,主管風格,同事互動,0.745601135079326,人際價值
34,工作地點,同事互動,-0.12500000000000003,組織文化與制度
35,面試,同事互動,0.064018439966448,招募資訊
36,徵才,同事互動,-0.2054987341316966,招募資訊
37,實習,同事互動,-0.18898223650461363,招募資訊
38,工作,同事互動,-0.16439898730535735,招募資訊
39,離職,同事互動,-0.12500000000000003,招募資訊
40,轉職,同事互動,-0.12500000000000006,招募資訊
41,出路,同事互動,-0.12500000000000003,招募資訊
42,招募人員,同事互動,0.07624928516630233,招募資訊
43,正向,同事互動,0.31622776601683794,情緒
44,負向,同事互動,0.9999999999999998,情緒
45,學習成長,主管風格,-0.2867696673382022,成長價值
46,薪資,主管風格,0.22941573387056174,經濟報酬
47,同事互動,主管風格,0.745601135079326,人際價值
48,主管風格,主管風格,1.0,人際價值
49,工作地點,主管風格,-0.2867696673382022,組織文化與制度
50,面試,主管風格,0.5434129832875931,招募資訊
51,徵才,主管風格,0.03771571432023574,招募資訊
52,實習,主管風格,0.3468439878096479,招募資訊
53,工作,主管風格,0.13200500012082497,招募資訊
54,離職,主管風格,0.22941573387056174,招募資訊
55,轉職,主管風格,-0.2867696673382022,招募資訊
56,出路,主管風格,-0.2867696673382022,招募資訊
57,招募人員,主管風格,0.6472330714007204,招募資訊
58,正向,主管風格,0.3990119375605064,情緒
59,負向,主管風格,0.745601135079326,情緒
60,學習成長,工作地點,-0.12500000000000003,成長價值
61,薪資,工作地點,-0.12499999999999997,經濟報酬
62,同事互動,工作地點,-0.12500000000000003,人際價值
63,主管風格,工作地點,-0.28676966733820225,人際價值
64,工作地點,工作地點,1.0,組織文化與制度
65,面試,工作地點,-0.22406453988256791,招募資訊
66,徵才,工作地點,0.16439898730535724,招募資訊
67,實習,工作地點,-0.1889822365046136,招募資訊
68,工作,工作地點,-0.1643989873053573,招募資訊
69,離職,工作地點,-0.125,招募資訊
70,轉職,工作地點,-0.12500000000000003,招募資訊
71,出路,工作地點,1.0,招募資訊
72,招募人員,工作地點,-0.26687249808205815,招募資訊
73,正向,工作地點,-0.3952847075210474,情緒
74,負向,工作地點,-0.12500000000000003,情緒
75,學習成長,面試,-0.22406453988256794,成長價值
76,薪資,面試,0.6401843996644797,經濟報酬
77,同事互動,面試,0.064018439966448,人際價值
78,主管風格,面試,0.5434129832875931,人際價值
79,工作地點,面試,-0.22406453988256794,組織文化與制度
80,面試,面試,0.9999999999999998,招募資訊
81,徵才,面試,0.4841300681702316,招募資訊
82,實習,面試,0.31455704702228776,招募資訊
83,工作,面試,0.5578020350657016,招募資訊
84,離職,面試,0.6401843996644797,招募資訊
85,轉職,面試,-0.22406453988256794,招募資訊
86,出路,面試,-0.22406453988256794,招募資訊
87,招募人員,面試,0.4002715433620868,招募資訊
88,正向,面試,0.020244408254472872,情緒
89,負向,面試,0.064018439966448,情緒
90,學習成長,徵才,0.16439898730535732,成長價值
91,薪資,徵才,0.9041944301794652,經濟報酬
92,同事互動,徵才,-0.20549873413169661,人際價值
93,主管風格,徵才,0.03771571432023574,人際價值
94,工作地點,徵才,0.16439898730535726,組織文化與制度
95,面試,徵才,0.4841300681702315,招募資訊
96,徵才,徵才,1.0,招募資訊
97,實習,徵才,0.5281643011010201,招募資訊
98,工作,徵才,0.8243243243243243,招募資訊
99,離職,徵才,0.9041944301794651,招募資訊
100,轉職,徵才,-0.20549873413169661,招募資訊
101,出路,徵才,0.16439898730535726,招募資訊
102,招募人員,徵才,0.23817080001785254,招募資訊
103,正向,徵才,0.28593138470051993,情緒
104,負向,徵才,-0.20549873413169661,情緒
105,學習成長,實習,-0.18898223650461363,成長價值
106,薪資,實習,0.6614378277661477,經濟報酬
107,同事互動,實習,-0.18898223650461363,人際價值
108,主管風格,實習,0.346843987809648,人際價值
109,工作地點,實習,-0.1889822365046136,組織文化與制度
110,面試,實習,0.31455704702228776,招募資訊
111,徵才,實習,0.52816430110102,招募資訊
112,實習,實習,1.0,招募資訊
113,工作,實習,0.59030127770114,招募資訊
114,離職,實習,0.6614378277661477,招募資訊
115,轉職,實習,-0.18898223650461363,招募資訊
116,出路,實習,-0.1889822365046136,招募資訊
117,招募人員,實習,0.8934051474415642,招募資訊
118,正向,實習,0.4780914437337574,情緒
119,負向,實習,-0.18898223650461363,情緒
120,學習成長,工作,-0.16439898730535732,成長價值
121,薪資,工作,0.9452941770058044,經濟報酬
122,同事互動,工作,-0.16439898730535732,人際價值
123,主管風格,工作,0.13200500012082497,人際價值
124,工作地點,工作,-0.1643989873053573,組織文化與制度
125,面試,工作,0.5578020350657015,招募資訊
126,徵才,工作,0.8243243243243243,招募資訊
127,實習,工作,0.5903012777011399,招募資訊
128,工作,工作,1.0,招募資訊
129,離職,工作,0.9452941770058043,招募資訊
130,轉職,工作,-0.16439898730535732,招募資訊
131,出路,工作,-0.1643989873053573,招募資訊
132,招募人員,工作,0.3259179368665352,招募資訊
133,正向,工作,0.41590019592802907,情緒
134,負向,工作,-0.16439898730535732,情緒
135,學習成長,離職,-0.12500000000000003,成長價值
136,薪資,離職,1.0,經濟報酬
137,同事互動,離職,-0.12500000000000003,人際價值
138,主管風格,離職,0.22941573387056177,人際價值
139,工作地點,離職,-0.125,組織文化與制度
140,面試,離職,0.6401843996644797,招募資訊
141,徵才,離職,0.9041944301794651,招募資訊
142,實習,離職,0.6614378277661477,招募資訊
143,工作,離職,0.9452941770058043,招募資訊
144,離職,離職,1.0,招募資訊
145,轉職,離職,-0.12500000000000003,招募資訊
146,出路,離職,-0.125,招募資訊
147,招募人員,離職,0.4193710684146628,招募資訊
148,正向,離職,0.3162277660168379,情緒
149,負向,離職,-0.12500000000000003,情緒
150,學習成長,轉職,-0.12500000000000006,成長價值
151,薪資,轉職,-0.125,經濟報酬
152,同事互動,轉職,-0.12500000000000006,人際價值
153,主管風格,轉職,-0.2867696673382022,人際價值
154,工作地點,轉職,-0.12500000000000003,組織文化與制度
155,面試,轉職,-0.22406453988256797,招募資訊
156,徵才,轉職,-0.2054987341316966,招募資訊
157,實習,轉職,-0.18898223650461363,招募資訊
158,工作,轉職,-0.16439898730535735,招募資訊
159,離職,轉職,-0.12500000000000003,招募資訊
160,轉職,轉職,1.0,招募資訊
161,出路,轉職,-0.12500000000000003,招募資訊
162,招募人員,轉職,-0.2668724980820581,招募資訊
163,正向,轉職,-0.3952847075210474,情緒
164,負向,轉職,-0.12500000000000006,情緒
165,學習成長,出路,-0.12500000000000003,成長價值
166,薪資,出路,-0.12499999999999997,經濟報酬
167,同事互動,出路,-0.12500000000000003,人際價值
168,主管風格,出路,-0.28676966733820225,人際價值
169,工作地點,出路,1.0,組織文化與制度
170,面試,出路,-0.22406453988256791,招募資訊
171,徵才,出路,0.16439898730535724,招募資訊
172,實習,出路,-0.1889822365046136,招募資訊
173,工作,出路,-0.1643989873053573,招募資訊
174,離職,出路,-0.125,招募資訊
175,轉職,出路,-0.12500000000000003,招募資訊
176,出路,出路,1.0,招募資訊
177,招募人員,出路,-0.26687249808205815,招募資訊
178,正向,出路,-0.3952847075210474,情緒
179,負向,出路,-0.12500000000000003,情緒
180,學習成長,招募人員,-0.26687249808205815,成長價值
181,薪資,招募人員,0.4193710684146629,經濟報酬
182,同事互動,招募人員,0.07624928516630233,人際價值
183,主管風格,招募人員,0.6472330714007204,人際價值
184,工作地點,招募人員,-0.26687249808205815,組織文化與制度
185,面試,招募人員,0.40027154336208687,招募資訊
186,徵才,招募人員,0.23817080001785254,招募資訊
187,實習,招募人員,0.8934051474415641,招募資訊
188,工作,招募人員,0.32591793686653514,招募資訊
189,離職,招募人員,0.4193710684146628,招募資訊
190,轉職,招募人員,-0.2668724980820581,招募資訊
191,出路,招募人員,-0.26687249808205815,招募資訊
192,招募人員,招募人員,0.9999999999999998,招募資訊
193,正向,招募人員,0.4581306810618913,情緒
194,負向,招募人員,0.07624928516630233,情緒
195,學習成長,正向,0.31622776601683794,成長價值
196,薪資,正向,0.3162277660168379,經濟報酬
197,同事互動,正向,0.31622776601683794,人際價值
198,主管風格,正向,0.39901193756050646,人際價值
199,工作地點,正向,-0.3952847075210474,組織文化與制度
200,面試,正向,0.020244408254472872,招募資訊
201,徵才,正向,0.28593138470052,招募資訊
202,實習,正向,0.47809144373375734,招募資訊
203,工作,正向,0.41590019592802907,招募資訊
204,離職,正向,0.3162277660168379,招募資訊
205,轉職,正向,-0.3952847075210474,招募資訊
206,出路,正向,-0.3952847075210474,招募資訊
207,招募人員,正向,0.4581306810618913,招募資訊
208,正向,正向,1.0,情緒
209,負向,正向,0.31622776601683794,情緒
210,學習成長,負向,-0.12500000000000006,成長價值
211,薪資,負向,-0.125,經濟報酬
212,同事互動,負向,0.9999999999999998,人際價值
213,主管風格,負向,0.745601135079326,人際價值
214,工作地點,負向,-0.12500000000000003,組織文化與制度
215,面試,負向,0.064018439966448,招募資訊
216,徵才,負向,-0.2054987341316966,招募資訊
217,實習,負向,-0.18898223650461363,招募資訊
218,工作,負向,-0.16439898730535735,招募資訊
219,離職,負向,-0.12500000000000003,招募資訊
220,轉職,負向,-0.12500000000000006,招募資訊
221,出路,負向,-0.12500000000000003,招募資訊
222,招募人員,負向,0.07624928516630233,招募資訊
223,正向,負向,0.31622776601683794,情緒
224,負向,負向,0.9999999999999998,情緒
