,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,-0.18344984642633572,經濟報酬
2,福利,學習成長,-0.13453455879926246,經濟報酬
3,管理制度,學習成長,-0.0769230769230769,經濟報酬
4,主管風格,學習成長,-0.11322770341445955,人際價值
5,面試,學習成長,-0.19088542889273344,招募資訊
6,學經歷,學習成長,-0.1448413648755803,招募資訊
7,工作,學習成長,-0.13453455879926246,招募資訊
8,離職,學習成長,-0.07692307692307693,招募資訊
9,正向,學習成長,-0.11190335723100833,情緒
10,負向,學習成長,-0.16079121317894515,情緒
11,學習成長,薪資,-0.18344984642633574,成長價值
12,薪資,薪資,0.9999999999999999,經濟報酬
13,福利,薪資,0.7219000664097162,經濟報酬
14,管理制度,薪資,-0.18344984642633574,經濟報酬
15,主管風格,薪資,0.13501543121683038,人際價值
16,面試,薪資,0.2276163670000815,招募資訊
17,學經歷,薪資,-0.11514154661795957,招募資訊
18,工作,薪資,-0.160422236979937,招募資訊
19,離職,薪資,-0.18344984642633572,招募資訊
20,正向,薪資,0.2668724980820582,情緒
21,負向,薪資,-0.04260695597077356,情緒
22,學習成長,福利,-0.13453455879926246,成長價值
23,薪資,福利,0.7219000664097162,經濟報酬
24,福利,福利,1.0,經濟報酬
25,管理制度,福利,-0.13453455879926252,經濟報酬
26,主管風格,福利,0.14852213144650117,人際價值
27,面試,福利,0.44513190725972573,招募資訊
28,學經歷,福利,0.04222003309207491,招募資訊
29,工作,福利,-0.029411764705882384,招募資訊
30,離職,福利,-0.13453455879926246,招募資訊
31,正向,福利,0.6849965300919634,情緒
32,負向,福利,0.15623093000542113,情緒
33,學習成長,管理制度,-0.0769230769230769,成長價值
34,薪資,管理制度,-0.18344984642633572,經濟報酬
35,福利,管理制度,-0.13453455879926252,經濟報酬
36,管理制度,管理制度,0.9999999999999998,經濟報酬
37,主管風格,管理制度,-0.11322770341445955,人際價值
38,面試,管理制度,-0.19088542889273338,招募資訊
39,學經歷,管理制度,-0.14484136487558033,招募資訊
40,工作,管理制度,-0.13453455879926252,招募資訊
41,離職,管理制度,-0.07692307692307693,招募資訊
42,正向,管理制度,-0.33571007169302497,情緒
43,負向,管理制度,0.08932845176608065,情緒
44,學習成長,主管風格,-0.11322770341445955,成長價值
45,薪資,主管風格,0.13501543121683038,經濟報酬
46,福利,主管風格,0.14852213144650117,經濟報酬
47,管理制度,主管風格,-0.11322770341445955,經濟報酬
48,主管風格,主管風格,0.9999999999999999,人際價值
49,面試,主管風格,0.046829290579084706,招募資訊
50,學經歷,主管風格,-0.2132007163556105,招募資訊
51,工作,主管風格,-0.19802950859533483,招募資訊
52,離職,主管風格,-0.11322770341445955,招募資訊
53,正向,主管風格,-0.16471728186725407,情緒
54,負向,主管風格,-0.05259516830382171,情緒
55,學習成長,面試,-0.19088542889273344,成長價值
56,薪資,面試,0.2276163670000815,經濟報酬
57,福利,面試,0.4451319072597258,經濟報酬
58,管理制度,面試,-0.19088542889273338,經濟報酬
59,主管風格,面試,0.046829290579084706,人際價值
60,面試,面試,1.0,招募資訊
61,學經歷,面試,-0.07987230638308722,招募資訊
62,工作,面試,-0.13910372101866428,招募資訊
