,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.012528643787518487,經濟報酬
2,福利,學習成長,0.10421435285853556,經濟報酬
3,管理制度,學習成長,0.19739611898121226,經濟報酬
4,工作氛圍,學習成長,-0.039330333801629015,人際價值
5,同事互動,學習成長,-0.03416238053384173,人際價值
6,主管風格,學習成長,-0.027917072185321093,人際價值
7,工作地點,學習成長,-0.015655381333628718,組織文化與制度
8,公司規模,學習成長,-0.019201535879610272,組織文化與制度
9,工作環境,學習成長,0.02248355772498266,組織文化與制度
10,產業前景,學習成長,0.02770404175982855,組織文化與制度
11,多元性,學習成長,-0.011054109650261427,組織文化與制度
12,變化性,學習成長,-0.019201535879610314,組織文化與制度
13,工學院,學習成長,0.04449323272260001,科系專業
14,理學院,學習成長,-0.01105410965026135,科系專業
15,社會學院,學習成長,0.2326958952771178,科系專業
16,文學院,學習成長,-0.014847720530204188,科系專業
17,面試,學習成長,0.07620070286497184,招募資訊
18,徵才,學習成長,0.06800170702904497,招募資訊
19,實習,學習成長,0.1555127431488688,招募資訊
20,工作,學習成長,0.09301103090219139,招募資訊
21,離職,學習成長,-0.027273567883831215,招募資訊
22,新鮮人,學習成長,0.13289352217015452,招募資訊
23,出路,學習成長,-0.031585022760361806,招募資訊
24,能力,學習成長,0.0392118711116224,招募資訊
25,招募人員,學習成長,0.03156691158634162,招募資訊
26,正向,學習成長,0.01540246408236758,情緒
27,負向,學習成長,0.1661654108710052,情緒
28,學習成長,薪資,0.012528643787518485,成長價值
29,薪資,薪資,1.0,經濟報酬
30,福利,薪資,0.3094985656337664,經濟報酬
31,管理制度,薪資,-0.006713864638075124,經濟報酬
32,工作氛圍,薪資,-0.03599066860896523,人際價值
33,同事互動,薪資,0.02222021430309083,人際價值
34,主管風格,薪資,0.04639924707724553,人際價值
35,工作地點,薪資,0.19399835720039862,組織文化與制度
36,公司規模,薪資,0.23794159573534315,組織文化與制度
37,工作環境,薪資,0.09917416068760095,組織文化與制度
