,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,-0.029434009878337115,經濟報酬
2,福利,學習成長,0.7521106778332195,經濟報酬
3,管理制度,學習成長,-0.021863682495151616,經濟報酬
4,工作氛圍,學習成長,0.0676551609516184,人際價值
5,同事互動,學習成長,0.4530834892574068,人際價值
6,主管風格,學習成長,0.12272261738618018,人際價值
7,工作環境,學習成長,-0.031052905809143664,組織文化與制度
8,產業前景,學習成長,0.07012256573375228,組織文化與制度
9,多元性,學習成長,-0.02186368249515174,組織文化與制度
10,面試,學習成長,0.18987689896112137,招募資訊
11,學經歷,學習成長,0.023643602289392877,招募資訊
12,徵才,學習成長,-0.059388693787923164,招募資訊
13,實習,學習成長,0.2676993427445992,招募資訊
14,工作,學習成長,0.30625253017162013,招募資訊
15,離職,學習成長,0.1521592384648036,招募資訊
16,招募人員,學習成長,0.00581377539706397,招募資訊
17,正向,學習成長,0.5817460940701007,情緒
18,負向,學習成長,0.11762866131550224,情緒
19,學習成長,薪資,-0.029434009878337115,成長價值
20,薪資,薪資,0.9999999999999999,經濟報酬
21,福利,薪資,-0.011506420936119506,經濟報酬
22,管理制度,薪資,-0.01150642093611948,經濟報酬
23,工作氛圍,薪資,-0.026180562237334615,人際價值
24,同事互動,薪資,-0.022078594676428753,人際價值
25,主管風格,薪資,-0.05088631043444881,人際價值
26,工作環境,薪資,-0.01634252626971283,組織文化與制度
27,產業前景,薪資,-0.01892518495893779,組織文化與制度
28,多元性,薪資,-0.0115064209361195,組織文化與制度
29,面試,薪資,-0.05699340269888864,招募資訊
30,學經歷,薪資,-0.051395649706722245,招募資訊
31,徵才,薪資,-0.03125508750512126,招募資訊
32,實習,薪資,-0.03787226773279255,招募資訊
33,工作,薪資,-0.0357635971531665,招募資訊
34,離職,薪資,-0.01634252626971284,招募資訊
35,招募人員,薪資,-0.04207052131866358,招募資訊
36,正向,薪資,-0.079596276107248,情緒
37,負向,薪資,-0.025057037979290524,情緒
38,學習成長,福利,0.7521106778332194,成長價值
39,薪資,福利,-0.011506420936119505,經濟報酬
40,福利,福利,1.0,經濟報酬
41,管理制度,福利,-0.008547008547008567,經濟報酬
42,工作氛圍,福利,-0.01944701053874832,人際價值
43,同事互動,福利,0.6286687789973111,人際價值
44,主管風格,福利,-0.037798524199971005,人際價值
45,工作環境,福利,-0.012139284012153828,組織文化與制度
46,產業前景,福利,-0.014057691657186107,組織文化與制度
47,多元性,福利,-0.008547008547008537,組織文化與制度
48,面試,福利,0.2906995991054167,招募資訊
49,學經歷,福利,-0.038176863141125575,招募資訊
50,徵才,福利,-0.023216385140683315,招募資訊
51,實習,福利,0.30382181012510046,招募資訊
52,工作,福利,0.1824152070709028,招募資訊
53,離職,福利,-0.012139284012153853,招募資訊
54,招募人員,福利,-0.031250126106458165,招募資訊
55,正向,福利,0.6053210763374719,情緒
56,負向,福利,0.04598370717557414,情緒
57,學習成長,管理制度,-0.021863682495151616,成長價值
58,薪資,管理制度,-0.011506420936119479,經濟報酬
59,福利,管理制度,-0.008547008547008567,經濟報酬
60,管理制度,管理制度,1.0,經濟報酬
61,工作氛圍,管理制度,-0.01944701053874819,人際價值
62,同事互動,管理制度,0.3061343619465173,人際價值
63,主管風格,管理制度,0.13374862409220487,人際價值
64,工作環境,管理制度,-0.012139284012153828,組織文化與制度
65,產業前景,管理制度,-0.014057691657186157,組織文化與制度
66,多元性,管理制度,-0.008547008547008563,組織文化與制度
67,面試,管理制度,-0.04233489307360444,招募資訊
68,學經歷,管理制度,-0.03817686314112533,招募資訊
69,徵才,管理制度,-0.023216385140683304,招募資訊
70,實習,管理制度,-0.028131649085657375,招募資訊
71,工作,管理制度,-0.026565321418092692,招募資訊
72,離職,管理制度,-0.012139284012153837,招募資訊
73,招募人員,管理制度,-0.03125012610645803,招募資訊
74,正向,管理制度,0.2315705047849159,情緒
75,負向,管理制度,0.23977218741549264,情緒
76,學習成長,工作氛圍,0.0676551609516184,成長價值
77,薪資,工作氛圍,-0.026180562237334615,經濟報酬
78,福利,工作氛圍,-0.019447010538748317,經濟報酬
79,管理制度,工作氛圍,-0.01944701053874819,經濟報酬
80,工作氛圍,工作氛圍,1.0,人際價值
81,同事互動,工作氛圍,-0.03731504920052598,人際價值
82,主管風格,工作氛圍,-0.08600299092051779,人際價值
83,工作環境,工作氛圍,0.29830157001051044,組織文化與制度
84,產業前景,工作氛圍,-0.03198546910350935,組織文化與制度
85,多元性,工作氛圍,-0.0194470105387483,組織文化與制度
86,面試,工作氛圍,-0.09632459207582206,招募資訊
87,學經歷,工作氛圍,-0.08686382560149183,招募資訊
88,徵才,工作氛圍,-0.05282424652079309,招募資訊
89,實習,工作氛圍,0.08705080889949138,招募資訊
90,工作,工作氛圍,-0.06044408201319709,招募資訊
91,離職,工作氛圍,-0.027620515741713925,招募資訊
92,招募人員,工作氛圍,-0.07110341921235143,招募資訊
93,正向,工作氛圍,0.05445088875084404,情緒
94,負向,工作氛圍,0.016441344802508886,情緒
95,學習成長,同事互動,0.45308348925740677,成長價值
96,薪資,同事互動,-0.022078594676428753,經濟報酬
97,福利,同事互動,0.6286687789973111,經濟報酬
98,管理制度,同事互動,0.3061343619465173,經濟報酬
99,工作氛圍,同事互動,-0.037315049200525974,人際價值
100,同事互動,同事互動,1.0,人際價值
101,主管風格,同事互動,-0.0176670895725874,人際價值
102,工作環境,同事互動,-0.02329293642691867,組織文化與制度
103,產業前景,同事互動,-0.026973989384565446,組織文化與制度
104,多元性,同事互動,-0.016400055104277757,組織文化與制度
105,面試,同事互動,0.2382818995954493,招募資訊
106,學經歷,同事互動,0.07839464348901747,招募資訊
107,徵才,同事互動,-0.044547749488633,招募資訊
108,實習,同事互動,0.15833895626542782,招募資訊
109,工作,同事互動,0.082690685125694,招募資訊
110,離職,同事互動,-0.023292936426918636,招募資訊
111,招募人員,同事互動,-0.006359706123368242,招募資訊
112,正向,同事互動,0.5904261084838616,情緒
113,負向,同事互動,0.11922071590113259,情緒
114,學習成長,主管風格,0.12272261738618019,成長價值
115,薪資,主管風格,-0.05088631043444881,經濟報酬
116,福利,主管風格,-0.037798524199971005,經濟報酬
117,管理制度,主管風格,0.1337486240922049,經濟報酬
118,工作氛圍,主管風格,-0.08600299092051777,人際價值
119,同事互動,主管風格,-0.0176670895725874,人際價值
120,主管風格,主管風格,1.0,人際價值
121,工作環境,主管風格,0.068138782544802,組織文化與制度
122,產業前景,主管風格,0.07890695974753267,組織文化與制度
123,多元性,主管風格,-0.03779852419997101,組織文化與制度
124,面試,主管風格,0.29427613273559544,招募資訊
125,學經歷,主管風格,0.27478311740439204,招募資訊
126,徵才,主管風格,0.09703141485368517,招募資訊
127,實習,主管風格,-0.12441017379366939,招募資訊
128,工作,主管風格,0.20243259681155848,招募資訊
129,離職,主管風格,0.068138782544802,招募資訊
130,招募人員,主管風格,0.146899402755414,招募資訊
131,正向,主管風格,0.23297940818551666,情緒
132,負向,主管風格,0.23632173693230474,情緒
133,學習成長,工作環境,-0.031052905809143664,成長價值
134,薪資,工作環境,-0.016342526269712835,經濟報酬
135,福利,工作環境,-0.012139284012153828,經濟報酬
136,管理制度,工作環境,-0.012139284012153827,經濟報酬
137,工作氛圍,工作環境,0.2983015700105104,人際價值
138,同事互動,工作環境,-0.02329293642691867,人際價值
139,主管風格,工作環境,0.06813878254480199,人際價值
140,工作環境,工作環境,1.0,組織文化與制度
141,產業前景,工作環境,-0.019966086455078566,組織文化與制度
142,多元性,工作環境,-0.012139284012153825,組織文化與制度
143,面試,工作環境,-0.06012808900542389,招募資訊
144,學經歷,工作環境,-0.054222454770500014,招募資訊
145,徵才,工作環境,-0.03297414427612144,招募資訊
146,實習,工作環境,-0.039955275123782025,招募資訊
147,工作,工作環境,-0.03773062584350052,招募資訊
148,離職,工作環境,-0.017241379310344813,招募資訊
149,招募人員,工作環境,-0.04438443627796433,招募資訊
150,正向,工作環境,0.03398953283558178,情緒
151,負向,工作環境,-0.0034987760312310953,情緒
152,學習成長,產業前景,0.07012256573375227,成長價值
153,薪資,產業前景,-0.01892518495893779,經濟報酬
154,福利,產業前景,-0.014057691657186107,經濟報酬
155,管理制度,產業前景,-0.014057691657186159,經濟報酬
156,工作氛圍,產業前景,-0.03198546910350935,人際價值
157,同事互動,產業前景,-0.026973989384565446,人際價值
158,主管風格,產業前景,0.07890695974753266,人際價值
159,工作環境,產業前景,-0.01996608645507857,組織文化與制度
160,產業前景,產業前景,0.9999999999999999,組織文化與制度
161,多元性,產業前景,-0.014057691657186117,組織文化與制度
162,面試,產業前景,-0.06963031216073533,招募資訊
163,學經歷,產業前景,-0.06279139274575471,招募資訊
164,徵才,產業前景,-0.03818514769315799,招募資訊
165,實習,產業前景,-0.04626952769255732,招募資訊
166,工作,產業前景,-0.043693310380541944,招募資訊
167,離職,產業前景,-0.01996608645507857,招募資訊
168,招募人員,產業前景,-0.051398642535174156,招募資訊
169,正向,產業前景,0.10766391495802903,情緒
170,負向,產業前景,0.0756316988772415,情緒
171,學習成長,多元性,-0.021863682495151745,成長價值
172,薪資,多元性,-0.0115064209361195,經濟報酬
173,福利,多元性,-0.008547008547008537,經濟報酬
174,管理制度,多元性,-0.008547008547008563,經濟報酬
175,工作氛圍,多元性,-0.019447010538748304,人際價值
176,同事互動,多元性,-0.016400055104277757,人際價值
177,主管風格,多元性,-0.03779852419997101,人際價值
178,工作環境,多元性,-0.012139284012153825,組織文化與制度
179,產業前景,多元性,-0.014057691657186119,組織文化與制度
180,多元性,多元性,1.0,組織文化與制度
181,面試,多元性,-0.0423348930736045,招募資訊
182,學經歷,多元性,-0.03817686314112552,招募資訊
183,徵才,多元性,-0.023216385140683325,招募資訊
184,實習,多元性,-0.028131649085657528,招募資訊
185,工作,多元性,-0.026565321418092657,招募資訊
186,離職,多元性,-0.012139284012153844,招募資訊
187,招募人員,多元性,-0.03125012610645814,招募資訊
188,正向,多元性,0.023931298366830257,情緒
189,負向,多元性,-0.05091053294438554,情緒
190,學習成長,面試,0.1898768989611214,成長價值
191,薪資,面試,-0.05699340269888864,經濟報酬
192,福利,面試,0.2906995991054167,經濟報酬
193,管理制度,面試,-0.042334893073604433,經濟報酬
194,工作氛圍,面試,-0.09632459207582206,人際價值
195,同事互動,面試,0.23828189959544926,人際價值
196,主管風格,面試,0.29427613273559544,人際價值
197,工作環境,面試,-0.06012808900542389,組織文化與制度
198,產業前景,面試,-0.06963031216073533,組織文化與制度
199,多元性,面試,-0.0423348930736045,組織文化與制度
200,面試,面試,1.0,招募資訊
201,學經歷,面試,0.2806597133965099,招募資訊
202,徵才,面試,0.014237475243446703,招募資訊
203,實習,面試,0.025081414497896345,招募資訊
204,工作,面試,-0.06257497192023737,招募資訊
205,離職,面試,-0.06012808900542384,招募資訊
206,招募人員,面試,0.5093918457197916,招募資訊
207,正向,面試,0.2899485682554129,情緒
208,負向,面試,0.3077548354405546,情緒
209,學習成長,學經歷,0.023643602289392877,成長價值
210,薪資,學經歷,-0.05139564970672225,經濟報酬
211,福利,學經歷,-0.03817686314112557,經濟報酬
212,管理制度,學經歷,-0.038176863141125325,經濟報酬
213,工作氛圍,學經歷,-0.08686382560149182,人際價值
214,同事互動,學經歷,0.07839464348901748,人際價值
215,主管風格,學經歷,0.2747831174043921,人際價值
216,工作環境,學經歷,-0.054222454770500014,組織文化與制度
217,產業前景,學經歷,-0.06279139274575471,組織文化與制度
218,多元性,學經歷,-0.03817686314112552,組織文化與制度
219,面試,學經歷,0.2806597133965099,招募資訊
220,學經歷,學經歷,1.0,招募資訊
221,徵才,學經歷,-0.011695541131946633,招募資訊
222,實習,學經歷,-0.04761679820136418,招募資訊
223,工作,學經歷,0.07785704640097611,招募資訊
224,離職,學經歷,0.1141525363589473,招募資訊
225,招募人員,學經歷,0.01803247567818862,招募資訊
226,正向,學經歷,0.04831730445568679,情緒
227,負向,學經歷,0.11427998177585345,情緒
228,學習成長,徵才,-0.059388693787923164,成長價值
229,薪資,徵才,-0.03125508750512126,經濟報酬
230,福利,徵才,-0.023216385140683315,經濟報酬
231,管理制度,徵才,-0.023216385140683304,經濟報酬
232,工作氛圍,徵才,-0.05282424652079309,人際價值
233,同事互動,徵才,-0.04454774948863299,人際價值
234,主管風格,徵才,0.09703141485368517,人際價值
235,工作環境,徵才,-0.03297414427612144,組織文化與制度
236,產業前景,徵才,-0.03818514769315799,組織文化與制度
237,多元性,徵才,-0.023216385140683322,組織文化與制度
238,面試,徵才,0.014237475243446705,招募資訊
239,學經歷,徵才,-0.011695541131946631,招募資訊
240,徵才,徵才,1.0,招募資訊
241,實習,徵才,0.05239849945945746,招募資訊
242,工作,徵才,0.008934074909949815,招募資訊
243,離職,徵才,-0.0329741442761214,招募資訊
244,招募人員,徵才,0.11024058534512583,招募資訊
245,正向,徵才,0.016660943854870925,情緒
246,負向,徵才,0.08730697440804067,情緒
247,學習成長,實習,0.2676993427445993,成長價值
248,薪資,實習,-0.03787226773279256,經濟報酬
249,福利,實習,0.3038218101251005,經濟報酬
250,管理制度,實習,-0.028131649085657375,經濟報酬
251,工作氛圍,實習,0.08705080889949136,人際價值
252,同事互動,實習,0.15833895626542782,人際價值
253,主管風格,實習,-0.12441017379366939,人際價值
254,工作環境,實習,-0.03995527512378203,組織文化與制度
255,產業前景,實習,-0.046269527692557315,組織文化與制度
256,多元性,實習,-0.02813164908565753,組織文化與制度
257,面試,實習,0.025081414497896342,招募資訊
258,學經歷,實習,-0.04761679820136418,招募資訊
259,徵才,實習,0.05239849945945746,招募資訊
260,實習,實習,1.0,招募資訊
261,工作,實習,0.050130648202757776,招募資訊
262,離職,實習,-0.03995527512378198,招募資訊
263,招募人員,實習,-0.04768813280787902,招募資訊
264,正向,實習,0.3111318062059356,情緒
265,負向,實習,-0.10378348054542313,情緒
266,學習成長,工作,0.30625253017162013,成長價值
267,薪資,工作,-0.0357635971531665,經濟報酬
268,福利,工作,0.1824152070709028,經濟報酬
269,管理制度,工作,-0.026565321418092692,經濟報酬
