,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.34504712740844895,成長價值
2,薪資,成就感,-0.020755261744460622,經濟報酬
3,福利,成就感,-0.022873934442582917,經濟報酬
4,管理制度,成就感,-0.014771582824590186,經濟報酬
5,工作氛圍,成就感,0.1387786567557645,人際價值
6,同事互動,成就感,-0.01648858560533493,人際價值
7,主管風格,成就感,0.06139685639422956,人際價值
8,工作地點,成就感,-0.010509544105495382,組織文化與制度
9,公司規模,成就感,-0.009820986719172737,組織文化與制度
10,工作環境,成就感,-0.017989345160247406,組織文化與制度
11,產業前景,成就感,-0.006920415224913504,組織文化與制度
12,多元性,成就感,-0.006920415224913505,組織文化與制度
13,變化性,成就感,-0.008166784482456831,組織文化與制度
14,面試,成就感,-0.0010451284818581332,招募資訊
15,學經歷,成就感,-0.028650880887112883,招募資訊
16,徵才,成就感,-0.022418484200488937,招募資訊
17,實習,成就感,-0.02090552166842238,招募資訊
18,工作,成就感,0.18214924878879432,招募資訊
19,離職,成就感,-0.010999376353040657,招募資訊
20,新鮮人,成就感,-0.004885028226690586,招募資訊
21,畢業,成就感,-0.00849044513514155,招募資訊
22,招募人員,成就感,-0.033844987041238936,招募資訊
23,正向,成就感,0.05896660582123606,情緒
24,負向,成就感,0.019594528597744392,情緒
25,成就感,學習成長,0.3450471274084489,成長價值
26,學習成長,學習成長,1.0,成長價值
27,薪資,學習成長,0.008094440047342466,經濟報酬
28,福利,學習成長,-0.057641516994366385,經濟報酬
29,管理制度,學習成長,-0.03722387351221075,經濟報酬
30,工作氛圍,學習成長,0.004936721833415163,人際價值
31,同事互動,學習成長,-0.04155066063377511,人際價值
32,主管風格,學習成長,-0.011910189057860244,人際價值
33,工作地點,學習成長,-0.02648368459219685,組織文化與制度
34,公司規模,學習成長,-0.024748543994284493,組織文化與制度
35,工作環境,學習成長,-0.04533252236840963,組織文化與制度
36,產業前景,學習成長,-0.01743920499537288,組織文化與制度
37,多元性,學習成長,-0.017439204995372923,組織文化與制度
38,變化性,學習成長,0.06497403805400585,組織文化與制度
39,面試,學習成長,0.013007190447996898,招募資訊
40,學經歷,學習成長,0.011173688893910629,招募資訊
41,徵才,學習成長,0.07397997392442403,招募資訊
42,實習,學習成長,-0.0029077277687921087,招募資訊
43,工作,學習成長,0.010339283135027253,招募資訊
44,離職,學習成長,-0.027718044771559376,招募資訊
45,新鮮人,學習成長,-0.01231010075042211,招募資訊
46,畢業,學習成長,-0.02139562560937965,招募資訊
47,招募人員,學習成長,-0.0852881868927572,招募資訊
48,正向,學習成長,-0.017291604721264394,情緒
49,負向,學習成長,0.021638415062596308,情緒
50,成就感,薪資,-0.020755261744460626,成長價值
51,學習成長,薪資,0.008094440047342466,成長價值
52,薪資,薪資,1.0,經濟報酬
53,福利,薪資,0.5044154430303652,經濟報酬
54,管理制度,薪資,0.03833824829900061,經濟報酬
55,工作氛圍,薪資,0.01727378537539871,人際價值
56,同事互動,薪資,0.0232272194621261,人際價值
57,主管風格,薪資,0.060743106751585896,人際價值
58,工作地點,薪資,-0.031519544945691674,組織文化與制度
59,公司規模,薪資,0.03006810292057714,組織文化與制度
60,工作環境,薪資,0.046689646578826745,組織文化與制度
61,產業前景,薪資,-0.02075526174446063,組織文化與制度
62,多元性,薪資,-0.02075526174446075,組織文化與制度
