,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.017955296759544537,成長價值
2,創新,成就感,-0.004493107804019221,成長價值
3,薪資,成就感,-0.011099013840935824,經濟報酬
4,福利,成就感,-0.010114779674387637,經濟報酬
5,管理制度,成就感,-0.01011477967438765,經濟報酬
6,工作氛圍,成就感,-0.012133623213548553,人際價值
7,同事互動,成就感,-0.014427245900370464,人際價值
8,主管風格,成就感,-0.027335780888250897,人際價值
9,工作地點,成就感,-0.007744070587256647,組織文化與制度
10,公司規模,成就感,-0.007808450035558116,組織文化與制度
11,工作環境,成就感,-0.01011477967438764,組織文化與制度
12,產業前景,成就感,-0.006364866497344086,組織文化與制度
13,多元性,成就感,-0.007808450035558119,組織文化與制度
14,變化性,成就感,-0.007808450035558118,組織文化與制度
15,面試,成就感,-0.04428956655264948,招募資訊
16,學經歷,成就感,-0.030894344945076074,招募資訊
17,徵才,成就感,0.09937288641649811,招募資訊
18,實習,成就感,-0.02054785843886417,招募資訊
19,工作,成就感,-0.027016182504362933,招募資訊
20,離職,成就感,-0.004493107804019213,招募資訊
21,新鮮人,成就感,-0.00636486649734409,招募資訊
22,畢業,成就感,-0.0090316390597563,招募資訊
23,證照,成就感,-0.0044931078040192154,招募資訊
24,招募人員,成就感,-0.030894344945076074,招募資訊
25,正向,成就感,0.05227158348621424,情緒
26,負向,成就感,0.03541341341367815,情緒
27,成就感,學習成長,-0.017955296759544537,成長價值
28,學習成長,學習成長,1.0,成長價值
29,創新,學習成長,-0.013365172248304538,成長價值
30,薪資,學習成長,-0.033015061788130184,經濟報酬
31,福利,學習成長,-0.030087364581128737,經濟報酬
32,管理制度,學習成長,0.18229403246213333,經濟報酬
33,工作氛圍,學習成長,-0.036092604789059325,人際價值
34,同事互動,學習成長,0.03281750698795072,人際價值
35,主管風格,學習成長,-0.05423865196417001,人際價值
36,工作地點,學習成長,-0.02303546716798781,組織文化與制度
37,公司規模,學習成長,-0.02322696989913311,組織文化與制度
38,工作環境,學習成長,-0.030087364581128852,組織文化與制度
39,產業前景,學習成長,-0.018932894732321192,組織文化與制度
40,多元性,學習成長,-0.023226969899133112,組織文化與制度
41,變化性,學習成長,-0.023226969899133112,組織文化與制度
42,面試,學習成長,-0.07251074603373671,招募資訊
43,學經歷,學習成長,0.060139222758889194,招募資訊
44,徵才,學習成長,0.002304418204836801,招募資訊
45,實習,學習成長,0.043260596465105515,招募資訊
46,工作,學習成長,0.13781568217569498,招募資訊
47,離職,學習成長,-0.013365172248304557,招募資訊
48,新鮮人,學習成長,-0.018932894732321223,招募資訊
49,畢業,學習成長,-0.026865460830959934,招募資訊
50,證照,學習成長,-0.013365172248304547,招募資訊
51,招募人員,學習成長,0.009460102456454402,招募資訊
52,正向,學習成長,0.02196442241658418,情緒
53,負向,學習成長,0.043375513521554145,情緒
54,成就感,創新,-0.004493107804019221,成長價值
55,學習成長,創新,-0.013365172248304538,成長價值
56,創新,創新,0.9999999999999999,成長價值
57,薪資,創新,-0.008261641885232044,經濟報酬
58,福利,創新,-0.007529019119663442,經濟報酬
59,管理制度,創新,-0.007529019119663419,經濟報酬
60,工作氛圍,創新,-0.009031761848152138,人際價值
61,同事互動,創新,-0.010739038686431003,人際價值
62,主管風格,創新,-0.020347612462555262,人際價值
63,工作地點,創新,-0.0057643623877559344,組織文化與制度
64,公司規模,創新,-0.005812283757551326,組織文化與制度
65,工作環境,創新,-0.007529019119663418,組織文化與制度
66,產業前景,創新,-0.004737740523795426,組織文化與制度
67,多元性,創新,-0.005812283757551325,組織文化與制度
68,變化性,創新,-0.005812283757551328,組織文化與制度
69,面試,創新,-0.03296730172194193,招募資訊
70,學經歷,創新,-0.02299645877309099,招募資訊
71,徵才,創新,-0.01515028164576394,招募資訊
72,實習,創新,-0.015294966774816255,招募資訊
73,工作,創新,-0.02010971678708157,招募資訊
74,離職,創新,-0.0033444816053511814,招募資訊
75,新鮮人,創新,-0.004737740523795432,招募資訊
76,畢業,創新,-0.006722774529136808,招募資訊
77,證照,創新,-0.0033444816053511835,招募資訊
78,招募人員,創新,-0.02299645877309098,招募資訊
79,正向,創新,0.038908781422034744,情緒
80,負向,創新,-0.03566388714539898,情緒
81,成就感,薪資,-0.011099013840935822,成長價值
82,學習成長,薪資,-0.033015061788130184,成長價值
83,創新,薪資,-0.008261641885232044,成長價值
84,薪資,薪資,1.0,經濟報酬
85,福利,薪資,0.4463619805056812,經濟報酬
86,管理制度,薪資,0.07439366341761382,經濟報酬
87,工作氛圍,薪資,0.08924214965063228,人際價值
88,同事互動,薪資,-0.026527905453864603,人際價值
89,主管風格,薪資,0.11570042993272155,人際價值
90,工作地點,薪資,-0.014239306225557748,組織文化與制度
91,公司規模,薪資,-0.014357683075131616,組織文化與制度
92,工作環境,薪資,0.07439366341761385,組織文化與制度
93,產業前景,薪資,-0.01170331315027204,組織文化與制度
94,多元性,薪資,-0.01435768307513162,組織文化與制度
95,變化性,薪資,-0.014357683075131626,組織文化與制度
96,面試,薪資,0.009336708708990634,招募資訊
97,學經歷,薪資,0.009763628118152083,招募資訊
98,徵才,薪資,-0.03742469422389391,招募資訊
99,實習,薪資,-0.037782099903875974,招募資訊
100,工作,薪資,0.01401107915420059,招募資訊
101,離職,薪資,-0.008261641885232025,招募資訊
102,新鮮人,薪資,-0.011703313150272029,招募資訊
103,畢業,薪資,0.08718572905786466,招募資訊
104,證照,薪資,0.19827940524556814,招募資訊
105,招募人員,薪資,-0.0568065635965221,招募資訊
106,正向,薪資,0.11365266687297045,情緒
107,負向,薪資,0.007660698859596174,情緒
108,成就感,福利,-0.010114779674387639,成長價值
109,學習成長,福利,-0.03008736458112874,成長價值
110,創新,福利,-0.007529019119663441,成長價值
111,薪資,福利,0.44636198050568127,經濟報酬
112,福利,福利,0.9999999999999998,經濟報酬
113,管理制度,福利,-0.016949152542372843,經濟報酬
114,工作氛圍,福利,0.22365301182461758,人際價值
115,同事互動,福利,-0.024175473851486145,人際價值
116,主管風格,福利,0.05790578839602842,人際價值
117,工作地點,福利,-0.01297659839439478,組織文化與制度
118,公司規模,福利,-0.013084477866314304,組織文化與制度
119,工作環境,福利,-0.016949152542372847,組織文化與制度
120,產業前景,福利,-0.010665491157310301,組織文化與制度
121,多元性,福利,-0.013084477866314302,組織文化與制度
122,變化性,福利,-0.01308447786631431,組織文化與制度
123,面試,福利,-0.04585271680887339,招募資訊
124,學經歷,福利,-0.0032355682848974384,招募資訊
125,徵才,福利,-0.034105961293593334,招募資訊
126,實習,福利,-0.03443167308737998,招募資訊
127,工作,福利,0.09402340059437178,招募資訊
128,離職,福利,-0.007529019119663422,招募資訊
129,新鮮人,福利,-0.010665491157310298,招募資訊
130,畢業,福利,-0.015134153492150087,招募資訊
131,證照,福利,-0.007529019119663431,招募資訊
132,招募人員,福利,-0.0517690925583587,招募資訊
133,正向,福利,0.17709912671463543,情緒
134,負向,福利,0.045378880905669314,情緒
135,成就感,管理制度,-0.01011477967438765,成長價值
136,學習成長,管理制度,0.18229403246213333,成長價值
137,創新,管理制度,-0.007529019119663418,成長價值
138,薪資,管理制度,0.07439366341761382,經濟報酬
139,福利,管理制度,-0.016949152542372847,經濟報酬
140,管理制度,管理制度,0.9999999999999998,經濟報酬
141,工作氛圍,管理制度,-0.02033209198405608,人際價值
142,同事互動,管理制度,-0.02417547385148616,人際價值
143,主管風格,管理制度,0.2134735781167022,人際價值
144,工作地點,管理制度,-0.012976598394394764,組織文化與制度
145,公司規模,管理制度,-0.013084477866314328,組織文化與制度
146,工作環境,管理制度,0.18644067796610198,組織文化與制度
147,產業前景,管理制度,-0.010665491157310265,組織文化與制度
148,多元性,管理制度,-0.013084477866314332,組織文化與制度
149,變化性,管理制度,0.2486050794599718,組織文化與制度
150,面試,管理制度,0.09595980940413758,招募資訊
151,學經歷,管理制度,-0.051769092558358716,招募資訊
152,徵才,管理制度,-0.03410596129359349,招募資訊
153,實習,管理制度,-0.034431673087379974,招募資訊
154,工作,管理制度,0.024376437191133377,招募資訊
155,離職,管理制度,-0.007529019119663408,招募資訊
156,新鮮人,管理制度,-0.010665491157310284,招募資訊
157,畢業,管理制度,-0.01513415349215005,招募資訊
158,證照,管理制度,-0.007529019119663411,招募資訊
159,招募人員,管理制度,-0.0032355682848974805,招募資訊
160,正向,管理制度,0.06201666170151494,情緒
161,負向,管理制度,0.024434782026129632,情緒
162,成就感,工作氛圍,-0.012133623213548552,成長價值
163,學習成長,工作氛圍,-0.036092604789059325,成長價值
164,創新,工作氛圍,-0.009031761848152138,成長價值
165,薪資,工作氛圍,0.08924214965063226,經濟報酬
166,福利,工作氛圍,0.2236530118246176,經濟報酬
167,管理制度,工作氛圍,-0.020332091984056076,經濟報酬
168,工作氛圍,工作氛圍,1.0,人際價值
169,同事互動,工作氛圍,0.1450036976414354,人際價值
170,主管風格,工作氛圍,0.13166943581891805,人際價值
171,工作地點,工作氛圍,-0.015566642139504403,組織文化與制度
172,公司規模,工作氛圍,-0.015696053644933698,組織文化與制度
173,工作環境,工作氛圍,0.3456455637289538,組織文化與制度
174,產業前景,工作氛圍,-0.012794253088668633,組織文化與制度
175,多元性,工作氛圍,-0.0156960536449337,組織文化與制度
176,變化性,工作氛圍,-0.0156960536449337,組織文化與制度
177,面試,工作氛圍,0.08108928175910647,招募資訊
178,學經歷,工作氛圍,0.1125596269735708,招募資訊
179,徵才,工作氛圍,0.13958650855866878,招募資訊
180,實習,工作氛圍,-0.04130400871827611,招募資訊
181,工作,工作氛圍,0.07101583358619032,招募資訊
182,離職,工作氛圍,-0.009031761848152116,招募資訊
183,新鮮人,工作氛圍,-0.01279425308866863,招募資訊
184,畢業,工作氛圍,-0.01815483105328996,招募資訊
185,證照,工作氛圍,-0.009031761848152128,招募資訊
186,招募人員,工作氛圍,0.19989037203927226,招募資訊
187,正向,工作氛圍,0.20477738342262508,情緒
188,負向,工作氛圍,0.12980941731647636,情緒
189,成就感,同事互動,-0.014427245900370462,成長價值
190,學習成長,同事互動,0.03281750698795071,成長價值
191,創新,同事互動,-0.010739038686431002,成長價值
192,薪資,同事互動,-0.026527905453864603,經濟報酬
193,福利,同事互動,-0.024175473851486145,經濟報酬
194,管理制度,同事互動,-0.024175473851486155,經濟報酬
195,工作氛圍,同事互動,0.1450036976414354,人際價值
196,同事互動,同事互動,0.9999999999999999,人際價值
197,主管風格,同事互動,0.008629233546850575,人際價值
198,工作地點,同事互動,-0.018509209494730804,組織文化與制度
199,公司規模,同事互動,-0.018663083698528496,組織文化與制度
200,工作環境,同事互動,0.12087736925743087,組織文化與制度
201,產業前景,同事互動,-0.015212754852621902,組織文化與制度
202,多元性,同事互動,-0.018663083698528496,組織文化與制度
203,變化性,同事互動,-0.01866308369852849,組織文化與制度
204,面試,同事互動,0.015507728237191095,招募資訊
205,學經歷,同事互動,-0.004615062391507891,招募資訊
206,徵才,同事互動,-0.048647138750551135,招募資訊
207,實習,同事互動,-0.0015842489913169755,招募資訊
208,工作,同事互動,-0.014901172831925094,招募資訊
209,離職,同事互動,-0.010739038686430976,招募資訊
210,新鮮人,同事互動,-0.015212754852621904,招募資訊
211,畢業,同事互動,-0.0215866445888173,招募資訊
212,證照,同事互動,-0.01073903868643099,招募資訊
213,招募人員,同事互動,-0.00461506239150793,招募資訊
214,正向,同事互動,0.12493502977100204,情緒
215,負向,同事互動,0.019915784915673234,情緒
216,成就感,主管風格,-0.0273357808882509,成長價值
217,學習成長,主管風格,-0.05423865196417001,成長價值
218,創新,主管風格,-0.020347612462555262,成長價值
219,薪資,主管風格,0.11570042993272156,經濟報酬
220,福利,主管風格,0.05790578839602842,經濟報酬
221,管理制度,主管風格,0.21347357811670223,經濟報酬
222,工作氛圍,主管風格,0.13166943581891805,人際價值
223,同事互動,主管風格,0.008629233546850577,人際價值
224,主管風格,主管風格,0.9999999999999998,人際價值
225,工作地點,主管風格,-0.01702369392624577,組織文化與制度
226,公司規模,主管風格,0.03135836730298361,組織文化與制度
227,工作環境,主管風格,0.1616176482098112,組織文化與制度
228,產業前景,主管風格,-0.028824110729773412,組織文化與制度
229,多元性,主管風格,-0.0353615631288964,組織文化與制度
230,變化性,主管風格,0.03135836730298361,組織文化與制度
231,面試,主管風格,0.39239209520363766,招募資訊
232,學經歷,主管風格,0.1446936096591374,招募資訊
233,徵才,主管風格,0.045933221173059355,招募資訊
234,實習,主管風格,-0.008099004826783409,招募資訊
235,工作,主管風格,0.019710350946333936,招募資訊
236,離職,主管風格,-0.020347612462555238,招募資訊
237,新鮮人,主管風格,0.05275356114694399,招募資訊
238,畢業,主管風格,-0.040900930826811774,招募資訊
239,證照,主管風格,-0.02034761246255525,招募資訊
240,招募人員,主管風格,0.25605984286314853,招募資訊
241,正向,主管風格,0.3214821005441951,情緒
242,負向,主管風格,0.17283386700367534,情緒
243,成就感,工作地點,-0.007744070587256647,成長價值
244,學習成長,工作地點,-0.02303546716798781,成長價值
245,創新,工作地點,-0.005764362387755934,成長價值
246,薪資,工作地點,-0.014239306225557748,經濟報酬
247,福利,工作地點,-0.012976598394394781,經濟報酬
248,管理制度,工作地點,-0.012976598394394764,經濟報酬
249,工作氛圍,工作地點,-0.015566642139504403,人際價值
250,同事互動,工作地點,-0.018509209494730804,人際價值
251,主管風格,工作地點,-0.01702369392624577,人際價值
252,工作地點,工作地點,0.9999999999999999,組織文化與制度
253,公司規模,工作地點,-0.010017728853819022,組織文化與制度
254,工作環境,工作地點,0.05780484739321328,組織文化與制度
255,產業前景,工作地點,-0.008165705930215705,組織文化與制度
256,多元性,工作地點,-0.010017728853819022,組織文化與制度
257,變化性,工作地點,-0.010017728853819026,組織文化與制度
258,面試,工作地點,0.06162420175911243,招募資訊
259,學經歷,工作地點,-0.03963541667895245,招募資訊
260,徵才,工作地點,-0.0051665815426324225,招募資訊
261,實習,工作地點,-0.026361553628419358,招募資訊
262,工作,工作地點,0.11076653772204924,招募資訊
263,離職,工作地點,-0.005764362387755931,招募資訊
264,新鮮人,工作地點,-0.00816570593021567,招募資訊
265,畢業,工作地點,-0.011587000082498786,招募資訊
266,證照,工作地點,-0.005764362387755943,招募資訊
267,招募人員,工作地點,-0.02274532434417155,招募資訊
268,正向,工作地點,0.018111367809693645,情緒
269,負向,工作地點,0.011419010642140789,情緒
270,成就感,公司規模,-0.007808450035558117,成長價值
271,學習成長,公司規模,-0.02322696989913311,成長價值
272,創新,公司規模,-0.005812283757551327,成長價值
273,薪資,公司規模,-0.014357683075131614,經濟報酬
274,福利,公司規模,-0.013084477866314304,經濟報酬
275,管理制度,公司規模,-0.013084477866314328,經濟報酬
276,工作氛圍,公司規模,-0.015696053644933698,人際價值
277,同事互動,公司規模,-0.018663083698528496,人際價值
278,主管風格,公司規模,0.03135836730298361,人際價值
279,工作地點,公司規模,-0.01001772885381902,組織文化與制度
280,公司規模,公司規模,1.0,組織文化與制度
281,工作環境,公司規模,-0.013084477866314313,組織文化與制度
282,產業前景,公司規模,-0.008233590595890673,組織文化與制度
283,多元性,公司規模,0.32659932659932667,組織文化與制度
284,變化性,公司規模,0.6632996632996634,組織文化與制度
285,面試,公司規模,0.01569170745611819,招募資訊
286,學經歷,公司規模,-0.039964921198602316,招募資訊
287,徵才,公司規模,-0.02632926304366842,招募資訊
288,實習,公司規模,-0.0265807074003077,招募資訊
289,工作,公司規模,0.05466246083048884,招募資訊
290,離職,公司規模,-0.005812283757551316,招募資訊
291,新鮮人,公司規模,-0.008233590595890676,招募資訊
292,畢業,公司規模,-0.011683327287213052,招募資訊
293,證照,公司規模,-0.00581228375755132,招募資訊
294,招募人員,公司規模,0.08492545754702993,招募資訊
