,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.012195121951219518,經濟報酬
2,福利,學習成長,-0.012195121951219516,經濟報酬
3,管理制度,學習成長,-0.01219512195121951,經濟報酬
4,工作氛圍,學習成長,-0.023416699476087398,人際價值
5,同事互動,學習成長,-0.02484903477352133,人際價值
6,主管風格,學習成長,-0.024849034773521322,人際價值
7,工作地點,學習成長,-0.01735264020984515,組織文化與制度
8,公司規模,學習成長,-0.012195121951219518,組織文化與制度
9,工作環境,學習成長,-0.01735264020984514,組織文化與制度
10,工學院,學習成長,-0.012195121951219516,科系專業
11,管理學院/商學院,學習成長,-0.012195121951219481,科系專業
12,面試,學習成長,0.20862445165680188,招募資訊
13,學經歷,學習成長,-0.012195121951219518,招募資訊
14,徵才,學習成長,-0.021384973069207523,招募資訊
15,工作,學習成長,-0.0308264374028555,招募資訊
16,離職,學習成長,-0.01219512195121952,招募資訊
17,畢業,學習成長,-0.017352640209845144,招募資訊
18,招募人員,學習成長,-0.023416699476087398,招募資訊
19,正向,學習成長,0.25429333942142324,情緒
20,負向,學習成長,0.24445375298632818,情緒
21,學習成長,薪資,-0.01219512195121952,成長價值
22,薪資,薪資,0.9999999999999998,經濟報酬
23,福利,薪資,-0.012195121951219516,經濟報酬
24,管理制度,薪資,-0.012195121951219535,經濟報酬
25,工作氛圍,薪資,-0.023416699476087516,人際價值
26,同事互動,薪資,-0.024849034773521326,人際價值
27,主管風格,薪資,-0.02484903477352133,人際價值
28,工作地點,薪資,0.702781928498729,組織文化與制度
29,公司規模,薪資,-0.012195121951219516,組織文化與制度
30,工作環境,薪資,-0.017352640209845126,組織文化與制度
31,工學院,薪資,-0.012195121951219516,科系專業
32,管理學院/商學院,薪資,-0.01219512195121952,科系專業
33,面試,薪資,-0.06842882014343091,招募資訊
34,學經歷,薪資,-0.012195121951219516,招募資訊
35,徵才,薪資,0.5702659485122017,招募資訊
36,工作,薪資,-0.03082643740285554,招募資訊
37,離職,薪資,-0.012195121951219516,招募資訊
38,畢業,薪資,-0.017352640209845126,招募資訊
39,招募人員,薪資,-0.023416699476087516,招募資訊
40,正向,薪資,0.1866447907932883,情緒
41,負向,薪資,0.038467341840488306,情緒
42,學習成長,福利,-0.012195121951219516,成長價值
43,薪資,福利,-0.012195121951219516,經濟報酬
44,福利,福利,1.0,經濟報酬
45,管理制度,福利,1.0,經濟報酬
46,工作氛圍,福利,-0.02341669947608748,人際價值
47,同事互動,福利,-0.02484903477352129,人際價值
48,主管風格,福利,-0.024849034773521295,人際價值
49,工作地點,福利,-0.017352640209845123,組織文化與制度
50,公司規模,福利,-0.012195121951219518,組織文化與制度
51,工作環境,福利,-0.01735264020984511,組織文化與制度
52,工學院,福利,-0.012195121951219518,科系專業
53,管理學院/商學院,福利,-0.012195121951219511,科系專業
54,面試,福利,-0.0684288201434309,招募資訊
55,學經歷,福利,-0.012195121951219504,招募資訊
56,徵才,福利,-0.02138497306920752,招募資訊
57,工作,福利,-0.030826437402855497,招募資訊
58,離職,福利,-0.012195121951219516,招募資訊
59,畢業,福利,-0.017352640209845113,招募資訊
60,招募人員,福利,-0.023416699476087474,招募資訊
61,正向,福利,-0.01630085509111687,情緒
62,負向,福利,-0.06452586373243185,情緒
63,學習成長,管理制度,-0.012195121951219511,成長價值
64,薪資,管理制度,-0.012195121951219535,經濟報酬
65,福利,管理制度,1.0,經濟報酬
66,管理制度,管理制度,1.0,經濟報酬
67,工作氛圍,管理制度,-0.023416699476087502,人際價值
68,同事互動,管理制度,-0.02484903477352131,人際價值
69,主管風格,管理制度,-0.024849034773521312,人際價值
70,工作地點,管理制度,-0.01735264020984512,組織文化與制度
71,公司規模,管理制度,-0.012195121951219507,組織文化與制度
72,工作環境,管理制度,-0.017352640209845116,組織文化與制度
73,工學院,管理制度,-0.012195121951219507,科系專業
74,管理學院/商學院,管理制度,-0.012195121951219511,科系專業
75,面試,管理制度,-0.06842882014343091,招募資訊
76,學經歷,管理制度,-0.012195121951219507,招募資訊
77,徵才,管理制度,-0.021384973069207537,招募資訊
78,工作,管理制度,-0.030826437402855508,招募資訊
79,離職,管理制度,-0.012195121951219511,招募資訊
80,畢業,管理制度,-0.017352640209845116,招募資訊
81,招募人員,管理制度,-0.02341669947608748,招募資訊
82,正向,管理制度,-0.016300855091116884,情緒
83,負向,管理制度,-0.06452586373243187,情緒
84,學習成長,工作氛圍,-0.023416699476087398,成長價值
85,薪資,工作氛圍,-0.02341669947608752,經濟報酬
86,福利,工作氛圍,-0.02341669947608748,經濟報酬
87,管理制度,工作氛圍,-0.0234166994760875,經濟報酬
88,工作氛圍,工作氛圍,1.0,人際價值
89,同事互動,工作氛圍,-0.04771435512411647,人際價值
90,主管風格,工作氛圍,0.15030021864096654,人際價值
91,工作地點,工作氛圍,-0.033320007994670366,組織文化與制度
92,公司規模,工作氛圍,-0.023416699476087474,組織文化與制度
93,工作環境,工作氛圍,-0.03332000799467039,組織文化與制度
94,工學院,工作氛圍,-0.02341669947608748,科系專業
95,管理學院/商學院,工作氛圍,-0.02341669947608741,科系專業
96,面試,工作氛圍,0.0814007575335397,招募資訊
97,學經歷,工作氛圍,-0.023416699476087443,招募資訊
98,徵才,工作氛圍,-0.04106276998860028,招募資訊
99,工作,工作氛圍,0.10457249886151392,招募資訊
100,離職,工作氛圍,-0.023416699476087474,招募資訊
101,畢業,工作氛圍,-0.03332000799467039,招募資訊
102,招募人員,工作氛圍,0.4028776978417268,招募資訊
103,正向,工作氛圍,0.2804516058579077,情緒
104,負向,工作氛圍,0.3111810878380849,情緒
105,學習成長,同事互動,-0.024849034773521333,成長價值
106,薪資,同事互動,-0.024849034773521326,經濟報酬
107,福利,同事互動,-0.02484903477352129,經濟報酬
108,管理制度,同事互動,-0.02484903477352131,經濟報酬
109,工作氛圍,同事互動,-0.047714355124116474,人際價值
110,同事互動,同事互動,1.0,人際價值
111,主管風格,同事互動,0.21202531645569628,人際價值
112,工作地點,同事互動,-0.035358101518921325,組織文化與制度
113,公司規模,同事互動,-0.02484903477352129,組織文化與制度
114,工作環境,同事互動,0.3314822017398874,組織文化與制度
115,工學院,同事互動,-0.02484903477352129,科系專業
116,管理學院/商學院,同事互動,-0.02484903477352133,科系專業
117,面試,同事互動,0.14283277102543263,招募資訊
118,學經歷,同事互動,-0.02484903477352131,招募資訊
119,徵才,同事互動,-0.04357446703305947,招募資訊
120,工作,同事互動,-0.06281259162732142,招募資訊
121,離職,同事互動,-0.02484903477352129,招募資訊
122,畢業,同事互動,-0.03535810151892132,招募資訊
123,招募人員,同事互動,-0.04771435512411643,招募資訊
124,正向,同事互動,0.1735481776505911,情緒
125,負向,同事互動,0.025916582025498923,情緒
126,學習成長,主管風格,-0.02484903477352132,成長價值
127,薪資,主管風格,-0.02484903477352133,經濟報酬
128,福利,主管風格,-0.024849034773521295,經濟報酬
129,管理制度,主管風格,-0.024849034773521312,經濟報酬
130,工作氛圍,主管風格,0.15030021864096657,人際價值
131,同事互動,主管風格,0.21202531645569628,人際價值
132,主管風格,主管風格,1.0,人際價值
133,工作地點,主管風格,-0.03535810151892133,組織文化與制度
134,公司規模,主管風格,0.490768436777046,組織文化與制度
135,工作環境,主管風格,-0.03535810151892133,組織文化與制度
136,工學院,主管風格,-0.02484903477352129,科系專業
