,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,福利,學習成長,-0.049999999999999996,經濟報酬
2,工作氛圍,學習成長,0.36244121780453786,人際價值
3,主管風格,學習成長,0.8696263565463046,人際價值
4,產業前景,學習成長,-0.07254762501100119,組織文化與制度
5,面試,學習成長,0.4700000000000001,招募資訊
6,學經歷,學習成長,-0.13228756555322954,招募資訊
7,徵才,學習成長,-0.04999999999999999,招募資訊
8,實習,學習成長,-0.04999999999999999,招募資訊
9,工作,學習成長,0.32391053207156634,招募資訊
10,招募人員,學習成長,-0.04999999999999999,招募資訊
11,正向,學習成長,0.4412209491013837,情緒
12,負向,學習成長,0.2925121882617717,情緒
13,學習成長,福利,-0.049999999999999996,成長價值
14,福利,福利,1.0,經濟報酬
15,工作氛圍,福利,-0.08528028654224418,人際價值
16,主管風格,福利,-0.07905694150420947,人際價值
17,產業前景,福利,-0.07254762501100119,組織文化與制度
18,面試,福利,-0.15999999999999998,招募資訊
19,學經歷,福利,-0.1322875655532295,招募資訊
20,徵才,福利,-0.05,招募資訊
21,實習,福利,-0.049999999999999975,招募資訊
22,工作,福利,0.32391053207156617,招募資訊
23,招募人員,福利,-0.049999999999999996,招募資訊
24,正向,福利,-0.09128709291752764,情緒
25,負向,福利,-0.1625067712565397,情緒
26,學習成長,工作氛圍,0.3624412178045378,成長價值
27,福利,工作氛圍,-0.08528028654224419,經濟報酬
28,工作氛圍,工作氛圍,0.9999999999999998,人際價值
29,主管風格,工作氛圍,0.2696799449852969,人際價值
30,產業前景,工作氛圍,-0.12373764497794923,組織文化與制度
31,面試,工作氛圍,0.5330017908890261,招募資訊
32,學經歷,工作氛圍,0.4512608598542129,招募資訊
33,徵才,工作氛圍,-0.08528028654224418,招募資訊
34,實習,工作氛圍,0.8101627221513195,招募資訊
35,工作,工作氛圍,0.1899093830501584,招募資訊
36,招募人員,工作氛圍,-0.08528028654224416,招募資訊
37,正向,工作氛圍,0.5708992257184502,情緒
38,負向,工作氛圍,0.5959208327659438,情緒
39,學習成長,主管風格,0.8696263565463046,成長價值
40,福利,主管風格,-0.07905694150420946,經濟報酬
41,工作氛圍,主管風格,0.2696799449852969,人際價值
42,主管風格,主管風格,1.0,人際價值
43,產業前景,主管風格,0.22941573387056166,組織文化與制度
44,面試,主管風格,0.41109609582188944,招募資訊
45,學經歷,主管風格,-0.029880715233359847,招募資訊
46,徵才,主管風格,-0.07905694150420946,招募資訊
47,實習,主管風格,-0.07905694150420949,招募資訊
48,工作,主管風格,0.22406453988256794,招募資訊
49,招募人員,主管風格,-0.07905694150420949,招募資訊
50,正向,主管風格,0.5773502691896258,情緒
51,負向,主管風格,0.25694576618532444,情緒
52,學習成長,產業前景,-0.07254762501100119,成長價值
53,福利,產業前景,-0.0725476250110012,經濟報酬
54,工作氛圍,產業前景,-0.1237376449779492,人際價值
55,主管風格,產業前景,0.22941573387056166,人際價值
56,產業前景,產業前景,1.0,組織文化與制度
57,面試,產業前景,0.0725476250110012,招募資訊
58,學經歷,產業前景,0.3838859479749571,招募資訊
59,徵才,產業前景,-0.07254762501100118,招募資訊
60,實習,產業前景,-0.07254762501100116,招募資訊
61,工作,產業前景,-0.14686837386151166,招募資訊
62,招募人員,產業前景,-0.07254762501100119,招募資訊
63,正向,產業前景,0.25386870177080006,情緒
64,負向,產業前景,-0.07073688181720796,情緒
65,學習成長,面試,0.47000000000000014,成長價值
66,福利,面試,-0.16,經濟報酬
67,工作氛圍,面試,0.5330017908890261,人際價值
68,主管風格,面試,0.41109609582188944,人際價值
69,產業前景,面試,0.0725476250110012,組織文化與制度
70,面試,面試,1.0,招募資訊
71,學經歷,面試,0.2116601048851673,招募資訊
72,徵才,面試,-0.16,招募資訊
73,實習,面試,0.47000000000000014,招募資訊
74,工作,面試,0.10122204127236452,招募資訊
75,招募人員,面試,-0.16,招募資訊
76,正向,面試,0.5811944915749263,情緒
77,負向,面試,0.39001625101569565,情緒
78,學習成長,學經歷,-0.13228756555322954,成長價值
79,福利,學經歷,-0.13228756555322949,經濟報酬
80,工作氛圍,學經歷,0.45126085985421294,人際價值
81,主管風格,學經歷,-0.029880715233359847,人際價值
82,產業前景,學經歷,0.3838859479749571,組織文化與制度
83,面試,學經歷,0.2116601048851673,招募資訊
84,學經歷,學經歷,1.0,招募資訊
85,徵才,學經歷,-0.13228756555322949,招募資訊
86,實習,學經歷,0.6614378277661475,招募資訊
87,工作,學經歷,-0.26780834840499246,招募資訊
88,招募人員,學經歷,-0.1322875655532295,招募資訊
89,正向,學經歷,0.60380736442456,情緒
90,負向,學經歷,0.4299525031088638,情緒
91,學習成長,徵才,-0.04999999999999999,成長價值
92,福利,徵才,-0.05,經濟報酬
93,工作氛圍,徵才,-0.08528028654224416,人際價值
94,主管風格,徵才,-0.07905694150420947,人際價值
95,產業前景,徵才,-0.07254762501100116,組織文化與制度
