,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,管理制度,學習成長,-0.08585457105482139,經濟報酬
2,工作氛圍,學習成長,0.6915640748081243,人際價值
3,同事互動,學習成長,-0.06286946134619312,人際價值
4,主管風格,學習成長,0.2696799449852969,人際價值
5,工作地點,學習成長,-0.06286946134619309,組織文化與制度
6,公司規模,學習成長,-0.09751573787215113,組織文化與制度
7,變化性,學習成長,-0.0909090909090909,組織文化與制度
8,面試,學習成長,-0.2136450392752634,招募資訊
9,學經歷,學習成長,-0.0941763218696022,招募資訊
10,徵才,學習成長,0.6915640748081243,招募資訊
11,工作,學習成長,-0.09090909090909093,招募資訊
12,離職,學習成長,-0.06286946134619312,招募資訊
13,畢業,學習成長,0.6915640748081243,招募資訊
14,招募人員,學習成長,-0.09090909090909093,招募資訊
15,正向,學習成長,0.1775202027477657,情緒
16,負向,學習成長,0.19408635399644755,情緒
17,學習成長,管理制度,-0.0858545710548214,成長價值
18,管理制度,管理制度,1.0,經濟報酬
19,工作氛圍,管理制度,-0.059373936999575834,人際價值
20,同事互動,管理制度,-0.05937393699957586,人際價值
21,主管風格,管理制度,-0.12734290799340275,人際價值
22,工作地點,管理制度,-0.059373936999575806,組織文化與制度
23,公司規模,管理制度,-0.09209389030718737,組織文化與制度
24,變化性,管理制度,-0.08585457105482126,組織文化與制度
25,面試,管理制度,-0.20176643525465007,招募資訊
26,學經歷,管理制度,-0.0889401448939903,招募資訊
27,徵才,管理制度,-0.059373936999575834,招募資訊
28,工作,管理制度,-0.08585457105482137,招募資訊
29,離職,管理制度,-0.05937393699957586,招募資訊
30,畢業,管理制度,-0.059373936999575834,招募資訊
31,招募人員,管理制度,-0.08585457105482133,招募資訊
32,正向,管理制度,-0.055883376488405925,情緒
33,負向,管理制度,-0.06109840245651713,情緒
34,學習成長,工作氛圍,0.6915640748081243,成長價值
35,管理制度,工作氛圍,-0.059373936999575834,經濟報酬
36,工作氛圍,工作氛圍,1.0,人際價值
37,同事互動,工作氛圍,-0.04347826086956519,人際價值
38,主管風格,工作氛圍,-0.09325048082403133,人際價值
39,工作地點,工作氛圍,-0.04347826086956519,組織文化與制度
40,公司規模,工作氛圍,-0.06743838104078571,組織文化與制度
41,變化性,工作氛圍,-0.06286946134619316,組織文化與制度
42,面試,工作氛圍,-0.1477492339237428,招募資訊
43,學經歷,工作氛圍,-0.06512896090258356,招募資訊
44,徵才,工作氛圍,1.0,招募資訊
45,工作,工作氛圍,-0.06286946134619312,招募資訊
46,離職,工作氛圍,-0.04347826086956516,招募資訊
47,畢業,工作氛圍,1.0,招募資訊
48,招募人員,工作氛圍,-0.06286946134619315,招募資訊
49,正向,工作氛圍,0.1773295257832356,情緒
50,負向,工作氛圍,-0.18791240976820947,情緒
51,學習成長,同事互動,-0.06286946134619312,成長價值
52,管理制度,同事互動,-0.059373936999575855,經濟報酬
53,工作氛圍,同事互動,-0.04347826086956519,人際價值
54,同事互動,同事互動,1.0,人際價值
55,主管風格,同事互動,-0.09325048082403134,人際價值
56,工作地點,同事互動,-0.04347826086956515,組織文化與制度
57,公司規模,同事互動,-0.06743838104078574,組織文化與制度
58,變化性,同事互動,-0.0628694613461931,組織文化與制度
59,面試,同事互動,0.038881377348353376,招募資訊
60,學經歷,同事互動,-0.06512896090258356,招募資訊
61,徵才,同事互動,-0.04347826086956519,招募資訊
62,工作,同事互動,-0.06286946134619312,招募資訊
63,離職,同事互動,-0.04347826086956519,招募資訊
64,畢業,同事互動,-0.04347826086956519,招募資訊
65,招募人員,同事互動,0.6915640748081243,招募資訊
66,正向,同事互動,-0.15004806027812234,情緒
67,負向,同事互動,-0.18791240976820947,情緒
68,學習成長,主管風格,0.2696799449852969,成長價值
69,管理制度,主管風格,-0.12734290799340273,經濟報酬
70,工作氛圍,主管風格,-0.09325048082403131,人際價值
71,同事互動,主管風格,-0.09325048082403134,人際價值
72,主管風格,主管風格,1.0,人際價值
73,工作地點,主管風格,0.4662524041201564,組織文化與制度
74,公司規模,主管風格,-0.1446392135350929,組織文化與制度
75,變化性,主管風格,0.2696799449852965,組織文化與制度
76,面試,主管風格,0.08339126405519474,招募資訊
77,學經歷,主管風格,0.17460757394239465,招募資訊
78,徵才,主管風格,-0.09325048082403131,招募資訊
79,工作,主管風格,0.6741998624632419,招募資訊
80,離職,主管風格,-0.09325048082403134,招募資訊
81,畢業,主管風格,-0.09325048082403131,招募資訊
82,招募人員,主管風格,0.26967994498529657,招募資訊
83,正向,主管風格,0.2047927869628504,情緒
84,負向,主管風格,0.633328486944722,情緒
85,學習成長,工作地點,-0.06286946134619309,成長價值
86,管理制度,工作地點,-0.059373936999575806,經濟報酬
87,工作氛圍,工作地點,-0.04347826086956519,人際價值
88,同事互動,工作地點,-0.043478260869565154,人際價值
89,主管風格,工作地點,0.4662524041201564,人際價值
90,工作地點,工作地點,0.9999999999999999,組織文化與制度
91,公司規模,工作地點,-0.06743838104078569,組織文化與制度
92,變化性,工作地點,0.6915640748081242,組織文化與制度
93,面試,工作地點,0.41214259989254626,招募資訊
94,學經歷,工作地點,0.13025792180516696,招募資訊
95,徵才,工作地點,-0.04347826086956519,招募資訊
96,工作,工作地點,0.6915640748081242,招募資訊
97,離職,工作地點,-0.043478260869565154,招募資訊
98,畢業,工作地點,-0.04347826086956519,招募資訊
99,招募人員,工作地點,-0.06286946134619309,招募資訊
100,正向,工作地點,-0.04092219825766972,情緒
101,負向,工作地點,0.026844629966887083,情緒
102,學習成長,公司規模,-0.09751573787215112,成長價值
103,管理制度,公司規模,-0.09209389030718736,經濟報酬
104,工作氛圍,公司規模,-0.06743838104078571,人際價值
105,同事互動,公司規模,-0.06743838104078574,人際價值
106,主管風格,公司規模,-0.1446392135350929,人際價值
107,工作地點,公司規模,-0.06743838104078569,組織文化與制度
108,公司規模,公司規模,1.0,組織文化與制度
109,變化性,公司規模,0.6045975748073371,組織文化與制度
110,面試,公司規模,-0.1712753852506971,招募資訊
111,學經歷,公司規模,0.8081632695135529,招募資訊
112,徵才,公司規模,-0.06743838104078571,招募資訊
113,工作,公司規模,-0.09751573787215112,招募資訊
114,離職,公司規模,-0.06743838104078574,招募資訊
115,畢業,公司規模,-0.06743838104078571,招募資訊
116,招募人員,公司規模,-0.0975157378721511,招募資訊
117,正向,公司規模,-0.0973263651158899,情緒
118,負向,公司規模,-0.02498294570756043,情緒
119,學習成長,變化性,-0.0909090909090909,成長價值
120,管理制度,變化性,-0.08585457105482126,經濟報酬
121,工作氛圍,變化性,-0.06286946134619316,人際價值
122,同事互動,變化性,-0.0628694613461931,人際價值
123,主管風格,變化性,0.2696799449852965,人際價值
124,工作地點,變化性,0.6915640748081241,組織文化與制度
125,公司規模,變化性,0.6045975748073371,組織文化與制度
126,變化性,變化性,1.0,組織文化與制度
127,面試,變化性,0.19115608777260423,招募資訊
128,學經歷,變化性,0.7534105749568176,招募資訊
129,徵才,變化性,-0.06286946134619316,招募資訊
130,工作,變化性,0.4545454545454544,招募資訊
131,離職,變化性,-0.0628694613461931,招募資訊
132,畢業,變化性,-0.06286946134619316,招募資訊
133,招募人員,變化性,-0.0909090909090909,招募資訊
134,正向,變化性,-0.05917340091592188,情緒
135,負向,變化性,0.038817270799289545,情緒
136,學習成長,面試,-0.21364503927526343,成長價值
137,管理制度,面試,-0.20176643525465007,經濟報酬
138,工作氛圍,面試,-0.1477492339237428,人際價值
139,同事互動,面試,0.038881377348353376,人際價值
140,主管風格,面試,0.08339126405519474,人際價值
141,工作地點,面試,0.41214259989254626,組織文化與制度
142,公司規模,面試,-0.1712753852506971,組織文化與制度
143,變化性,面試,0.19115608777260423,組織文化與制度
144,面試,面試,1.0,招募資訊
145,學經歷,面試,-0.04659438817493498,招募資訊
146,徵才,面試,-0.1477492339237428,招募資訊
147,工作,面試,0.32608979678856004,招募資訊
148,離職,面試,-0.1477492339237428,招募資訊
149,畢業,面試,-0.1477492339237428,招募資訊
150,招募人員,面試,-0.07871133025930761,招募資訊
151,正向,面試,0.38791296721438734,情緒
152,負向,面試,-0.024006392312947395,情緒
153,學習成長,學經歷,-0.0941763218696022,成長價值
154,管理制度,學經歷,-0.0889401448939903,經濟報酬
155,工作氛圍,學經歷,-0.06512896090258356,人際價值
156,同事互動,學經歷,-0.06512896090258356,人際價值
157,主管風格,學經歷,0.17460757394239462,人際價值
158,工作地點,學經歷,0.130257921805167,組織文化與制度
159,公司規模,學經歷,0.8081632695135529,組織文化與制度
160,變化性,學經歷,0.7534105749568176,組織文化與制度
161,面試,學經歷,-0.04659438817493498,招募資訊
162,學經歷,學經歷,0.9999999999999998,招募資訊
163,徵才,學經歷,-0.06512896090258356,招募資訊
164,工作,學經歷,0.3296171265436078,招募資訊
165,離職,學經歷,-0.06512896090258356,招募資訊
166,畢業,學經歷,-0.06512896090258356,招募資訊
167,招募人員,學經歷,-0.0941763218696022,招募資訊
168,正向,學經歷,0.02043335525284853,情緒
169,負向,學經歷,0.12063703703348219,情緒
170,學習成長,徵才,0.6915640748081243,成長價值
171,管理制度,徵才,-0.059373936999575834,經濟報酬
172,工作氛圍,徵才,1.0,人際價值
173,同事互動,徵才,-0.04347826086956519,人際價值
174,主管風格,徵才,-0.09325048082403133,人際價值
175,工作地點,徵才,-0.04347826086956519,組織文化與制度
176,公司規模,徵才,-0.06743838104078571,組織文化與制度
177,變化性,徵才,-0.06286946134619316,組織文化與制度
178,面試,徵才,-0.1477492339237428,招募資訊
179,學經歷,徵才,-0.06512896090258356,招募資訊
180,徵才,徵才,1.0,招募資訊
181,工作,徵才,-0.06286946134619312,招募資訊
182,離職,徵才,-0.04347826086956516,招募資訊
183,畢業,徵才,1.0,招募資訊
184,招募人員,徵才,-0.06286946134619315,招募資訊
185,正向,徵才,0.1773295257832356,情緒
186,負向,徵才,-0.18791240976820947,情緒
187,學習成長,工作,-0.09090909090909093,成長價值
188,管理制度,工作,-0.08585457105482137,經濟報酬
189,工作氛圍,工作,-0.06286946134619312,人際價值
190,同事互動,工作,-0.06286946134619312,人際價值
191,主管風格,工作,0.6741998624632419,人際價值
192,工作地點,工作,0.6915640748081241,組織文化與制度
193,公司規模,工作,-0.09751573787215113,組織文化與制度
194,變化性,工作,0.4545454545454544,組織文化與制度
195,面試,工作,0.32608979678856004,招募資訊
196,學經歷,工作,0.32961712654360775,招募資訊
197,徵才,工作,-0.06286946134619312,招募資訊
198,工作,工作,1.0,招募資訊
199,離職,工作,-0.06286946134619312,招募資訊
200,畢業,工作,-0.06286946134619312,招募資訊
201,招募人員,工作,-0.0909090909090909,招募資訊
202,正向,工作,0.09862233485986982,情緒
203,負向,工作,0.19408635399644758,情緒
204,學習成長,離職,-0.06286946134619312,成長價值
205,管理制度,離職,-0.059373936999575855,經濟報酬
206,工作氛圍,離職,-0.04347826086956516,人際價值
207,同事互動,離職,-0.04347826086956519,人際價值
208,主管風格,離職,-0.09325048082403134,人際價值
209,工作地點,離職,-0.04347826086956515,組織文化與制度
210,公司規模,離職,-0.06743838104078574,組織文化與制度
211,變化性,離職,-0.0628694613461931,組織文化與制度
212,面試,離職,-0.1477492339237428,招募資訊
213,學經歷,離職,-0.06512896090258356,招募資訊
214,徵才,離職,-0.04347826086956516,招募資訊
215,工作,離職,-0.06286946134619312,招募資訊
216,離職,離職,1.0,招募資訊
217,畢業,離職,-0.04347826086956516,招募資訊
218,招募人員,離職,-0.0628694613461931,招募資訊
219,正向,離職,-0.15004806027812234,情緒
220,負向,離職,0.02684462996688709,情緒
221,學習成長,畢業,0.6915640748081243,成長價值
222,管理制度,畢業,-0.059373936999575834,經濟報酬
223,工作氛圍,畢業,1.0,人際價值
224,同事互動,畢業,-0.04347826086956519,人際價值
225,主管風格,畢業,-0.09325048082403133,人際價值
226,工作地點,畢業,-0.04347826086956519,組織文化與制度
227,公司規模,畢業,-0.06743838104078571,組織文化與制度
228,變化性,畢業,-0.06286946134619316,組織文化與制度
229,面試,畢業,-0.1477492339237428,招募資訊
230,學經歷,畢業,-0.06512896090258356,招募資訊
231,徵才,畢業,1.0,招募資訊
232,工作,畢業,-0.06286946134619312,招募資訊
233,離職,畢業,-0.04347826086956516,招募資訊
234,畢業,畢業,1.0,招募資訊
235,招募人員,畢業,-0.06286946134619315,招募資訊
236,正向,畢業,0.1773295257832356,情緒
237,負向,畢業,-0.18791240976820947,情緒
238,學習成長,招募人員,-0.09090909090909093,成長價值
239,管理制度,招募人員,-0.08585457105482135,經濟報酬
240,工作氛圍,招募人員,-0.06286946134619315,人際價值
241,同事互動,招募人員,0.6915640748081243,人際價值
242,主管風格,招募人員,0.26967994498529657,人際價值
243,工作地點,招募人員,-0.06286946134619309,組織文化與制度
244,公司規模,招募人員,-0.0975157378721511,組織文化與制度
245,變化性,招募人員,-0.0909090909090909,組織文化與制度
246,面試,招募人員,-0.07871133025930761,招募資訊
247,學經歷,招募人員,-0.0941763218696022,招募資訊
248,徵才,招募人員,-0.06286946134619315,招募資訊
249,工作,招募人員,-0.0909090909090909,招募資訊
250,離職,招募人員,-0.0628694613461931,招募資訊
251,畢業,招募人員,-0.06286946134619315,招募資訊
252,招募人員,招募人員,1.0,招募資訊
253,正向,招募人員,0.019724466971973966,情緒
254,負向,招募人員,0.19408635399644758,情緒
255,學習成長,正向,0.1775202027477657,成長價值
256,管理制度,正向,-0.05588337648840592,經濟報酬
257,工作氛圍,正向,0.1773295257832356,人際價值
258,同事互動,正向,-0.15004806027812234,人際價值
259,主管風格,正向,0.2047927869628504,人際價值
260,工作地點,正向,-0.04092219825766972,組織文化與制度
261,公司規模,正向,-0.0973263651158899,組織文化與制度
262,變化性,正向,-0.05917340091592189,組織文化與制度
263,面試,正向,0.38791296721438734,招募資訊
264,學經歷,正向,0.02043335525284853,招募資訊
265,徵才,正向,0.1773295257832356,招募資訊
266,工作,正向,0.09862233485986982,招募資訊
267,離職,正向,-0.15004806027812234,招募資訊
268,畢業,正向,0.1773295257832356,招募資訊
269,招募人員,正向,0.01972446697197397,招募資訊
270,正向,正向,0.9999999999999999,情緒
271,負向,正向,0.49690683430896826,情緒
272,學習成長,負向,0.19408635399644758,成長價值
273,管理制度,負向,-0.06109840245651714,經濟報酬
274,工作氛圍,負向,-0.1879124097682095,人際價值
275,同事互動,負向,-0.1879124097682095,人際價值
276,主管風格,負向,0.633328486944722,人際價值
277,工作地點,負向,0.026844629966887083,組織文化與制度
278,公司規模,負向,-0.02498294570756043,組織文化與制度
279,變化性,負向,0.03881727079928954,組織文化與制度
280,面試,負向,-0.0240063923129474,招募資訊
281,學經歷,負向,0.1206370370334822,招募資訊
282,徵才,負向,-0.1879124097682095,招募資訊
283,工作,負向,0.1940863539964476,招募資訊
284,離職,負向,0.02684462996688709,招募資訊
285,畢業,負向,-0.1879124097682095,招募資訊
286,招募人員,負向,0.1940863539964476,招募資訊
287,正向,負向,0.4969068343089682,情緒
288,負向,負向,1.0,情緒
