,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,-0.05728992441407333,經濟報酬
2,福利,學習成長,-0.047147000728447616,經濟報酬
3,管理制度,學習成長,-0.0582222509739582,經濟報酬
4,工作氛圍,學習成長,-0.05822225097395821,人際價值
5,同事互動,學習成長,0.12022998995553551,人際價值
6,主管風格,學習成長,0.11735069850954429,人際價值
7,工作地點,學習成長,-0.0330680164571622,組織文化與制度
8,工作環境,學習成長,-0.03306801645716223,組織文化與制度
9,變化性,學習成長,-0.033068016457162196,組織文化與制度
10,面試,學習成長,0.2936196796831949,招募資訊
11,學經歷,學習成長,-0.050371601967640026,招募資訊
12,徵才,學習成長,0.4964837244634564,招募資訊
13,工作,學習成長,-0.09930420492387194,招募資訊
14,離職,學習成長,-0.04714700072844767,招募資訊
15,畢業,學習成長,-0.03306801645716223,招募資訊
16,證照,學習成長,0.4877532427431426,招募資訊
17,招募人員,學習成長,-0.07918463689932426,招募資訊
18,正向,學習成長,0.3396654708734592,情緒
19,負向,學習成長,0.13680164204254533,情緒
20,學習成長,薪資,-0.05728992441407334,成長價值
21,薪資,薪資,1.0,經濟報酬
22,福利,薪資,0.11703135005803496,經濟報酬
23,管理制度,薪資,-0.049199338273350365,經濟報酬
24,工作氛圍,薪資,-0.049199338273350365,人際價值
25,同事互動,薪資,-0.04725465757844061,人際價值
26,主管風格,薪資,0.25935314174973695,人際價值
27,工作地點,薪資,-0.02794334640947387,組織文化與制度
28,工作環境,薪資,-0.027943346409473862,組織文化與制度
29,變化性,薪資,-0.02794334640947387,組織文化與制度
30,面試,薪資,-0.09169518262663735,招募資訊
31,學經歷,薪資,-0.04256533272279285,招募資訊
32,徵才,薪資,-0.06102426864699686,招募資訊
33,工作,薪資,-0.08391467331280222,招募資訊
34,離職,薪資,-0.03984045959422469,招募資訊
35,畢業,薪資,-0.027943346409473862,招募資訊
36,證照,薪資,-0.027943346409473862,招募資訊
37,招募人員,薪資,-0.06691310747509244,招募資訊
38,正向,薪資,0.081116124021192,情緒
39,負向,薪資,0.023992659765508108,情緒
40,學習成長,福利,-0.04714700072844762,成長價值
41,薪資,福利,0.11703135005803494,經濟報酬
42,福利,福利,1.0,經濟報酬
43,管理制度,福利,0.3846437568349846,經濟報酬
44,工作氛圍,福利,-0.040488816508945896,人際價值
45,同事互動,福利,-0.03888843279266038,人際價值
46,主管風格,福利,-0.050220196095182607,人際價值
47,工作地點,福利,-0.02299610249091375,組織文化與制度
48,工作環境,福利,-0.022996102490913713,組織文化與制度
49,變化性,福利,-0.022996102490913745,組織文化與制度
50,面試,福利,0.06436376219570172,招募資訊
51,學經歷,福利,-0.0350293318312557,招募資訊
52,徵才,福利,-0.05022019609518265,招募資訊
53,工作,福利,-0.06905795747278498,招募資訊
54,離職,福利,-0.03278688524590165,招募資訊
