,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,0.9281909617845141,經濟報酬
2,管理制度,薪資,0.46212479054244465,經濟報酬
3,主管風格,薪資,0.3415650255319866,人際價值
4,公司規模,薪資,0.3415650255319866,組織文化與制度
5,工作環境,薪資,0.3415650255319866,組織文化與制度
6,面試,薪資,-0.3281650616569468,招募資訊
7,徵才,薪資,0.3415650255319866,招募資訊
8,工作,薪資,0.34156502553198664,招募資訊
9,離職,薪資,0.0,招募資訊
10,正向,薪資,0.8855841344893546,情緒
11,負向,薪資,0.81216709156145,情緒
12,薪資,福利,0.928190961784514,經濟報酬
13,福利,福利,0.9999999999999998,經濟報酬
14,管理制度,福利,0.6510697245149106,經濟報酬
15,主管風格,福利,0.11322770341445958,人際價值
16,公司規模,福利,0.11322770341445958,組織文化與制度
17,工作環境,福利,0.11322770341445958,組織文化與制度
18,面試,福利,-0.35355339059327373,招募資訊
19,徵才,福利,0.11322770341445958,招募資訊
20,工作,福利,0.11322770341445958,招募資訊
21,離職,福利,-0.13155870289605434,招募資訊
22,正向,福利,0.8940488587450696,情緒
23,負向,福利,0.7307692307692308,情緒
24,薪資,管理制度,0.46212479054244465,經濟報酬
25,福利,管理制度,0.6510697245149106,經濟報酬
26,管理制度,管理制度,1.0,經濟報酬
27,主管風格,管理制度,-0.03758230140014143,人際價值
28,公司規模,管理制度,-0.03758230140014143,組織文化與制度
29,工作環境,管理制度,-0.03758230140014143,組織文化與制度
30,面試,管理制度,-0.07221581446741193,招募資訊
31,徵才,管理制度,-0.03758230140014143,招募資訊
32,工作,管理制度,-0.30065841120113157,招募資訊
33,離職,管理制度,0.34933350584374917,招募資訊
34,正向,管理制度,0.6643675043159174,情緒
35,負向,管理制度,0.382982190891124,情緒
36,薪資,主管風格,0.34156502553198653,經濟報酬
37,福利,主管風格,0.11322770341445956,經濟報酬
38,管理制度,主管風格,-0.03758230140014143,經濟報酬
39,主管風格,主管風格,1.0,人際價值
40,公司規模,主管風格,1.0,組織文化與制度
41,工作環境,主管風格,1.0,組織文化與制度
42,面試,主管風格,0.24019223070763068,招募資訊
43,徵才,主管風格,1.0,招募資訊
44,工作,主管風格,-0.16666666666666666,招募資訊
45,離職,主管風格,0.6454972243679028,招募資訊
46,正向,主管風格,0.19641855032959651,情緒
47,負向,主管風格,0.509524665365068,情緒
48,薪資,公司規模,0.34156502553198653,經濟報酬
49,福利,公司規模,0.11322770341445956,經濟報酬
50,管理制度,公司規模,-0.03758230140014143,經濟報酬
51,主管風格,公司規模,1.0,人際價值
52,公司規模,公司規模,1.0,組織文化與制度
53,工作環境,公司規模,1.0,組織文化與制度
54,面試,公司規模,0.24019223070763068,招募資訊
55,徵才,公司規模,1.0,招募資訊
56,工作,公司規模,-0.16666666666666666,招募資訊
57,離職,公司規模,0.6454972243679028,招募資訊
58,正向,公司規模,0.19641855032959651,情緒
59,負向,公司規模,0.509524665365068,情緒
60,薪資,工作環境,0.34156502553198653,經濟報酬
61,福利,工作環境,0.11322770341445956,經濟報酬
62,管理制度,工作環境,-0.03758230140014143,經濟報酬
63,主管風格,工作環境,1.0,人際價值
64,公司規模,工作環境,1.0,組織文化與制度
65,工作環境,工作環境,1.0,組織文化與制度
66,面試,工作環境,0.24019223070763068,招募資訊
67,徵才,工作環境,1.0,招募資訊
68,工作,工作環境,-0.16666666666666666,招募資訊
69,離職,工作環境,0.6454972243679028,招募資訊
70,正向,工作環境,0.19641855032959651,情緒
71,負向,工作環境,0.509524665365068,情緒
