,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.06368121608702887,經濟報酬
2,福利,學習成長,0.010543797533003317,經濟報酬
3,管理制度,學習成長,-0.054651467797453605,經濟報酬
4,工作氛圍,學習成長,-0.02661412754922268,人際價值
5,同事互動,學習成長,0.11969941457984197,人際價值
6,主管風格,學習成長,-0.026246839627155676,人際價值
7,工作地點,學習成長,-0.014968272821025605,組織文化與制度
8,公司規模,學習成長,-0.03231783561903018,組織文化與制度
9,工作環境,學習成長,0.06453864751253284,組織文化與制度
10,產業前景,學習成長,0.10358464174091149,組織文化與制度
11,多元性,學習成長,-0.018357206510061178,組織文化與制度
12,變化性,學習成長,-0.018357206510061348,組織文化與制度
13,工學院,學習成長,-0.030182941119905597,科系專業
14,面試,學習成長,-0.021714350773532454,招募資訊
15,學經歷,學習成長,0.008083144212533613,招募資訊
16,徵才,學習成長,-0.013239531116112884,招募資訊
17,實習,學習成長,-0.021683658940416545,招募資訊
18,工作,學習成長,-0.0026534149200187207,招募資訊
19,離職,學習成長,-0.028194747118731402,招募資訊
20,新鮮人,學習成長,-0.014968272821025592,招募資訊
21,畢業,學習成長,-0.010569854608506696,招募資訊
22,證照,學習成長,-0.023763714988683383,招募資訊
23,招募人員,學習成長,-0.06441556924933324,招募資訊
24,正向,學習成長,0.12649290023690046,情緒
25,負向,學習成長,0.06241066965257414,情緒
26,學習成長,薪資,0.06368121608702887,成長價值
27,薪資,薪資,1.0,經濟報酬
28,福利,薪資,0.5151044537860352,經濟報酬
29,管理制度,薪資,-0.043299002205647454,經濟報酬
30,工作氛圍,薪資,-0.02108571304481709,人際價值
31,同事互動,薪資,-0.02524614467906492,人際價值
32,主管風格,薪資,-0.039061904851058676,人際價值
33,工作地點,薪資,-0.011858991240533792,組織文化與制度
34,公司規模,薪資,0.1440259844486963,組織文化與制度
35,工作環境,薪資,0.1085479537352907,組織文化與制度
36,產業前景,薪資,-0.02292231346734495,組織文化與制度
37,多元性,薪資,-0.014543959333617395,組織文化與制度
38,變化性,薪資,0.07110380118657386,組織文化與制度
39,工學院,薪資,-0.023913195505878115,科系專業
40,面試,薪資,-0.04455769036436148,招募資訊
41,學經歷,薪資,-0.04414723795980009,招募資訊
42,徵才,薪資,-0.036261203852766995,招募資訊
43,實習,薪資,0.010411772772976467,招募資訊
44,工作,薪資,0.09538890487985081,招募資訊
45,離職,薪資,-0.022337998719560437,招募資訊
46,新鮮人,薪資,-0.011858991240533806,招募資訊
47,畢業,薪資,-0.008374233601616566,招募資訊
48,證照,薪資,-0.01882740188283313,招募資訊
49,招募人員,薪資,-0.017011619189819558,招募資訊
50,正向,薪資,0.10021718696842516,情緒
51,負向,薪資,-0.060144833748983904,情緒
52,學習成長,福利,0.010543797533003317,成長價值
53,薪資,福利,0.5151044537860352,經濟報酬
54,福利,福利,1.0,經濟報酬
55,管理制度,福利,0.11185496699600352,經濟報酬
56,工作氛圍,福利,-0.023555044879721418,人際價值
57,同事互動,福利,-0.028202701501786984,人際價值
58,主管風格,福利,0.0005775407847935568,人際價值
59,工作地點,福利,-0.013247788694898264,組織文化與制度
60,公司規模,福利,0.42737138860856155,組織文化與制度
61,工作環境,福利,0.21987437227252546,組織文化與制度
62,產業前景,福利,-0.025606728182382497,組織文化與制度
63,多元性,福利,-0.01624719136147054,組織文化與制度
64,變化性,福利,0.10933005853656211,組織文化與制度
65,工學院,福利,-0.026713651663630437,科系專業
66,面試,福利,-0.06378125929478363,招募資訊
67,學經歷,福利,-0.049317287456609425,招募資訊
68,徵才,福利,-0.008119005404011314,招募資訊
69,實習,福利,-0.019191294494002628,招募資訊
70,工作,福利,0.12698012449649637,招募資訊
71,離職,福利,-0.024953984778415508,招募資訊
72,新鮮人,福利,-0.01324778869489828,招募資訊
73,畢業,福利,-0.009354933736416101,招募資訊
74,證照,福利,-0.021032264613299028,招募資訊
75,招募人員,福利,-0.05701151096591785,招募資訊
76,正向,福利,0.18194670698115326,情緒
77,負向,福利,-0.07866573155287061,情緒
78,學習成長,管理制度,-0.054651467797453605,成長價值
79,薪資,管理制度,-0.043299002205647454,經濟報酬
80,福利,管理制度,0.11185496699600352,經濟報酬
81,管理制度,管理制度,1.0,經濟報酬
82,工作氛圍,管理制度,-0.0351863576971782,人際價值
83,同事互動,管理制度,0.060925006625491655,人際價值
84,主管風格,管理制度,0.04049062085998293,人際價值
85,工作地點,管理制度,-0.01978945207260578,組織文化與制度
86,公司規模,管理制度,0.013886337233699184,組織文化與制度
87,工作環境,管理制度,0.08915855242585961,組織文化與制度
88,產業前景,管理制度,0.006800204009180361,組織文化與制度
89,多元性,管理制度,-0.02426993833967878,組織文化與制度
90,變化性,管理制度,-0.024269938339678818,組織文化與制度
91,工學院,管理制度,-0.03990466193692248,科系專業
92,面試,管理制度,-0.02566530604421897,招募資訊
93,學經歷,管理制度,-0.008594811346320948,招募資訊
94,徵才,管理制度,0.050077366698426766,招募資訊
95,實習,管理制度,0.0818335911565291,招募資訊
96,工作,管理制度,0.1452337620963302,招募資訊
97,離職,管理制度,-0.03727608411984712,招募資訊
98,新鮮人,管理制度,-0.019789452072605792,招募資訊
99,畢業,管理制度,-0.013974333157238745,招募資訊
100,證照,管理制度,0.035187988152917384,招募資訊
101,招募人員,管理制度,0.01703267752574188,招募資訊
102,正向,管理制度,0.15317755295088512,情緒
103,負向,管理制度,-0.04550201640814589,情緒
104,學習成長,工作氛圍,-0.02661412754922268,成長價值
105,薪資,工作氛圍,-0.021085713044817087,經濟報酬
106,福利,工作氛圍,-0.02355504487972142,經濟報酬
107,管理制度,工作氛圍,-0.0351863576971782,經濟報酬
108,工作氛圍,工作氛圍,1.0,人際價值
109,同事互動,工作氛圍,-0.02051594336823842,人際價值
110,主管風格,工作氛圍,0.0939410129118626,人際價值
