,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,-0.05241424183609591,經濟報酬
2,福利,學習成長,-0.05547001962252293,經濟報酬
3,工作地點,學習成長,-0.03846153846153848,組織文化與制度
4,公司規模,學習成長,-0.03846153846153848,組織文化與制度
5,工作環境,學習成長,-0.03846153846153848,組織文化與制度
6,產業前景,學習成長,-0.03846153846153849,組織文化與制度
7,面試,學習成長,0.09619721404877639,招募資訊
8,學經歷,學習成長,-0.038461538461538484,招募資訊
9,工作,學習成長,-0.08178608201095308,招募資訊
10,招募人員,學習成長,0.3069703067574602,招募資訊
11,正向,學習成長,-0.040369867549911426,情緒
12,負向,學習成長,0.0,情緒
13,學習成長,薪資,-0.052414241836095915,成長價值
14,薪資,薪資,1.0,經濟報酬
15,福利,薪資,0.6047431568147634,經濟報酬
16,工作地點,薪資,-0.052414241836095915,組織文化與制度
17,公司規模,薪資,-0.052414241836095915,組織文化與制度
18,工作環境,薪資,-0.052414241836095915,組織文化與制度
19,產業前景,薪資,-0.05241424183609592,組織文化與制度
20,面試,薪資,-0.1638683813361155,招募資訊
21,學經歷,薪資,-0.05241424183609592,招募資訊
22,工作,薪資,0.3900947488027469,招募資訊
23,招募人員,薪資,0.41833001326703784,招募資訊
24,正向,薪資,-0.05501485601695771,情緒
25,負向,薪資,3.708994804513593e-18,情緒
26,學習成長,福利,-0.055470019622522924,成長價值
27,薪資,福利,0.6047431568147634,經濟報酬
28,福利,福利,1.0,經濟報酬
29,工作地點,福利,-0.05547001962252294,組織文化與制度
30,公司規模,福利,-0.055470019622522924,組織文化與制度
31,工作環境,福利,-0.05547001962252294,組織文化與制度
32,產業前景,福利,-0.05547001962252295,組織文化與制度
33,面試,福利,-0.17342199390482402,招募資訊
34,學經歷,福利,-0.055470019622522945,招募資訊
35,工作,福利,0.6782329983125268,招募資訊
36,招募人員,福利,0.15811388300841908,招募資訊
37,正向,福利,-0.05822225097395818,情緒
38,負向,福利,-0.10606601717798211,情緒
39,學習成長,工作地點,-0.03846153846153848,成長價值
40,薪資,工作地點,-0.05241424183609591,經濟報酬
41,福利,工作地點,-0.05547001962252294,經濟報酬
42,工作地點,工作地點,0.9999999999999999,組織文化與制度
43,公司規模,工作地點,-0.03846153846153847,組織文化與制度
44,工作環境,工作地點,0.9999999999999999,組織文化與制度
45,產業前景,工作地點,-0.03846153846153849,組織文化與制度
46,面試,工作地點,-0.012024651756097045,招募資訊
47,學經歷,工作地點,-0.038461538461538484,招募資訊
48,工作,工作地點,-0.08178608201095308,招募資訊
49,招募人員,工作地點,-0.08770580193070295,招募資訊
50,正向,工作地點,0.032295894039929184,情緒
51,負向,工作地點,0.29417420270727607,情緒
52,學習成長,公司規模,-0.03846153846153848,成長價值
53,薪資,公司規模,-0.05241424183609591,經濟報酬
54,福利,公司規模,-0.05547001962252293,經濟報酬
55,工作地點,公司規模,-0.03846153846153847,組織文化與制度
56,公司規模,公司規模,1.0,組織文化與制度
57,工作環境,公司規模,-0.03846153846153847,組織文化與制度
58,產業前景,公司規模,-0.038461538461538484,組織文化與制度
59,面試,公司規模,-0.12024651756097045,招募資訊
60,學經歷,公司規模,-0.03846153846153848,招募資訊
61,工作,公司規模,0.4702699715629801,招募資訊
62,招募人員,公司規模,-0.08770580193070293,招募資訊
63,正向,公司規模,0.03229589403992918,情緒
64,負向,公司規模,0.0,情緒
65,學習成長,工作環境,-0.03846153846153848,成長價值
66,薪資,工作環境,-0.05241424183609591,經濟報酬
67,福利,工作環境,-0.05547001962252294,經濟報酬
68,工作地點,工作環境,0.9999999999999999,組織文化與制度
69,公司規模,工作環境,-0.03846153846153847,組織文化與制度
70,工作環境,工作環境,0.9999999999999999,組織文化與制度
71,產業前景,工作環境,-0.03846153846153849,組織文化與制度
72,面試,工作環境,-0.012024651756097045,招募資訊
73,學經歷,工作環境,-0.038461538461538484,招募資訊
74,工作,工作環境,-0.08178608201095308,招募資訊
75,招募人員,工作環境,-0.08770580193070295,招募資訊
76,正向,工作環境,0.032295894039929184,情緒
77,負向,工作環境,0.29417420270727607,情緒
78,學習成長,產業前景,-0.03846153846153849,成長價值
