,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.07141390704839096,成長價值
2,薪資,成就感,-0.012779100249210047,經濟報酬
3,福利,成就感,-0.012579364125388837,經濟報酬
4,管理制度,成就感,-0.012210561677071434,經濟報酬
5,工作氛圍,成就感,0.10028794250682933,人際價值
6,同事互動,成就感,-0.010386489966883478,人際價值
7,主管風格,成就感,-0.025589057569772616,人際價值
8,工作地點,成就感,-0.005817750434529899,組織文化與制度
9,公司規模,成就感,-0.003984063745019913,組織文化與制度
10,工作環境,成就感,-0.00962810571814454,組織文化與制度
11,產業前景,成就感,-0.008171414692264737,組織文化與制度
12,多元性,成就感,-0.004603458312068986,組織文化與制度
13,變化性,成就感,-0.00786551576892799,組織文化與制度
14,工學院,成就感,-0.003984063745019922,科系專業
15,管理學院/商學院,成就感,-0.0022971516324663834,科系專業
16,面試,成就感,-0.03124385791323221,招募資訊
17,學經歷,成就感,-0.01675826559892029,招募資訊
18,徵才,成就感,-0.013840083064654108,招募資訊
19,實習,成就感,-0.004603458312069002,招募資訊
20,工作,成就感,0.07376176152669425,招募資訊
21,離職,成就感,-0.008469323498619808,招募資訊
22,新鮮人,成就感,-0.0069282586565664874,招募資訊
23,畢業,成就感,-0.004348620255346893,招募資訊
24,證照,成就感,-0.005150248365127939,招募資訊
25,招募人員,成就感,-0.025030613967969052,招募資訊
26,正向,成就感,0.023887760968071846,情緒
27,負向,成就感,-0.0003877446144643554,情緒
28,成就感,學習成長,0.07141390704839094,成長價值
29,學習成長,學習成長,1.0,成長價值
30,薪資,學習成長,0.17289108900975278,經濟報酬
31,福利,學習成長,0.0889254495092502,經濟報酬
32,管理制度,學習成長,0.11170113475844298,經濟報酬
33,工作氛圍,學習成長,-0.0012960709479946544,人際價值
34,同事互動,學習成長,0.08536224064921143,人際價值
35,主管風格,學習成長,0.0008678594173628785,人際價值
36,工作地點,學習成長,-0.01571380746948745,組織文化與制度
37,公司規模,學習成長,0.07141390704839097,組織文化與制度
38,工作環境,學習成長,0.13077466633634108,組織文化與制度
39,產業前景,學習成長,0.20265264674083558,組織文化與制度
40,多元性,學習成長,-0.012433991183313599,組織文化與制度
41,變化性,學習成長,-0.02124484400492143,組織文化與制度
42,工學院,學習成長,0.071413907048391,科系專業
43,管理學院/商學院,學習成長,-0.006204631650500206,科系專業
44,面試,學習成長,0.020680553725417106,招募資訊
45,學經歷,學習成長,0.03881382356687906,招募資訊
46,徵才,學習成長,0.029785829485969455,招募資訊
47,實習,學習成長,0.05877886741202781,招募資訊
48,工作,學習成長,0.005524861878453087,招募資訊
49,離職,學習成長,0.08745316979506618,招募資訊
50,新鮮人,學習成長,-0.018713302307009686,招募資訊
51,畢業,學習成長,-0.011745670808575318,招募資訊
52,證照,學習成長,-0.01391087708907577,招募資訊
53,招募人員,學習成長,0.10312996882451937,招募資訊
54,正向,學習成長,0.27056204803106904,情緒
55,負向,學習成長,0.003751246917532511,情緒
56,成就感,薪資,-0.012779100249210047,成長價值
57,學習成長,薪資,0.17289108900975278,成長價值
58,薪資,薪資,1.0,經濟報酬
59,福利,薪資,0.39391617065946877,經濟報酬
60,管理制度,薪資,0.012472477374989034,經濟報酬
61,工作氛圍,薪資,-0.03386094815173978,人際價值
62,同事互動,薪資,-0.0333152291275786,人際價值
63,主管風格,薪資,0.07528365400133172,人際價值
64,工作地點,薪資,0.002363880354622749,組織文化與制度
65,公司規模,薪資,-0.012779100249210038,組織文化與制度
66,工作環境,薪資,0.0698390677944149,組織文化與制度
