,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,0.8918284040088791,經濟報酬
2,管理制度,薪資,-0.039932615104875155,經濟報酬
3,工作氛圍,薪資,-0.05732251526015124,人際價值
4,同事互動,薪資,-0.03993261510487514,人際價值
5,主管風格,薪資,-0.07849208665229748,人際價值
6,公司規模,薪資,-0.03993261510487514,組織文化與制度
7,工作環境,薪資,-0.0712939781840038,組織文化與制度
8,產業前景,薪資,-0.03993261510487514,組織文化與制度
9,面試,薪資,0.009553752543358515,招募資訊
10,學經歷,薪資,-0.03993261510487513,招募資訊
11,徵才,薪資,-0.03993261510487514,招募資訊
12,招募人員,薪資,0.40426217380440493,招募資訊
13,正向,薪資,0.011684324149638091,情緒
14,負向,薪資,-0.06059801322904759,情緒
15,薪資,福利,0.891828404008879,經濟報酬
16,福利,福利,1.0,經濟報酬
17,管理制度,福利,-0.02941176470588236,經濟報酬
18,工作氛圍,福利,-0.042220033092074886,人際價值
19,同事互動,福利,-0.02941176470588227,人際價值
20,主管風格,福利,-0.05781216125786011,人際價值
21,公司規模,福利,-0.02941176470588228,組織文化與制度
22,工作環境,福利,-0.0525105031510503,組織文化與制度
23,產業前景,福利,-0.029411764705882325,組織文化與制度
24,面試,福利,-0.11610509100320605,招募資訊
25,學經歷,福利,-0.02941176470588227,招募資訊
26,徵才,福利,-0.029411764705882314,招募資訊
27,招募人員,福利,0.4774318553161162,招募資訊
28,正向,福利,0.08390764715521941,情緒
29,負向,福利,-0.11563888385606062,情緒
30,薪資,管理制度,-0.03993261510487515,經濟報酬
31,福利,管理制度,-0.02941176470588236,經濟報酬
32,管理制度,管理制度,1.0,經濟報酬
33,工作氛圍,管理制度,-0.04222003309207491,人際價值
34,同事互動,管理制度,-0.02941176470588236,人際價值
35,主管風格,管理制度,-0.05781216125786006,人際價值
36,公司規模,管理制度,-0.02941176470588236,組織文化與制度
37,工作環境,管理制度,0.5601120336112038,組織文化與制度
38,產業前景,管理制度,-0.029411764705882356,組織文化與制度
39,面試,管理制度,0.2533201985524494,招募資訊
40,學經歷,管理制度,-0.02941176470588236,招募資訊
41,徵才,管理制度,-0.029411764705882356,招募資訊
42,招募人員,管理制度,-0.06160411036336976,招募資訊
43,正向,管理制度,0.08390764715521949,情緒
44,負向,管理制度,-0.11563888385606073,情緒
45,薪資,工作氛圍,-0.05732251526015124,經濟報酬
46,福利,工作氛圍,-0.042220033092074886,經濟報酬
47,管理制度,工作氛圍,-0.04222003309207491,經濟報酬
48,工作氛圍,工作氛圍,1.0,人際價值
49,同事互動,工作氛圍,-0.042220033092074886,人際價值
50,主管風格,工作氛圍,0.4979295977319696,人際價值
51,公司規模,工作氛圍,-0.042220033092074886,組織文化與制度
52,工作環境,工作氛圍,-0.07537783614444084,組織文化與制度
53,產業前景,工作氛圍,-0.04222003309207488,組織文化與制度
54,面試,工作氛圍,0.36363636363636354,招募資訊
55,學經歷,工作氛圍,-0.042220033092074886,招募資訊
56,徵才,工作氛圍,-0.04222003309207488,招募資訊
57,招募人員,工作氛圍,-0.0884315376570764,招募資訊
58,正向,工作氛圍,0.12044784374543134,情緒
59,負向,工作氛圍,0.598464437094626,情緒
60,薪資,同事互動,-0.03993261510487515,經濟報酬
61,福利,同事互動,-0.02941176470588227,經濟報酬
62,管理制度,同事互動,-0.02941176470588236,經濟報酬
63,工作氛圍,同事互動,-0.042220033092074886,人際價值
64,同事互動,同事互動,1.0,人際價值
65,主管風格,同事互動,-0.05781216125786011,人際價值
66,公司規模,同事互動,-0.02941176470588228,組織文化與制度
67,工作環境,同事互動,-0.05251050315105031,組織文化與制度
68,產業前景,同事互動,-0.029411764705882325,組織文化與制度
69,面試,同事互動,-0.11610509100320604,招募資訊
70,學經歷,同事互動,-0.02941176470588227,招募資訊
71,徵才,同事互動,-0.029411764705882307,招募資訊
72,招募人員,同事互動,-0.061604110363369706,招募資訊
73,正向,同事互動,-0.14199755672421766,情緒
74,負向,同事互動,0.09738011272089303,情緒
75,薪資,主管風格,-0.0784920866522975,經濟報酬
76,福利,主管風格,-0.05781216125786011,經濟報酬
77,管理制度,主管風格,-0.05781216125786006,經濟報酬
78,工作氛圍,主管風格,0.49792959773196965,人際價值
79,同事互動,主管風格,-0.05781216125786011,人際價值
80,主管風格,主管風格,1.0,人際價值
81,公司規模,主管風格,-0.05781216125786011,組織文化與制度
82,工作環境,主管風格,0.13762047064079527,組織文化與制度
83,產業前景,主管風格,-0.05781216125786008,組織文化與制度
84,面試,主管風格,0.3527001317268118,招募資訊
85,學經歷,主管風格,-0.05781216125786011,招募資訊
86,徵才,主管風格,-0.05781216125786009,招募資訊
87,招募人員,主管風格,-0.1210898699241209,招募資訊
88,正向,主管風格,-0.012686923273505868,情緒
89,負向,主管風格,0.35889686722046493,情緒
90,薪資,公司規模,-0.03993261510487515,經濟報酬
91,福利,公司規模,-0.02941176470588228,經濟報酬
92,管理制度,公司規模,-0.02941176470588236,經濟報酬
93,工作氛圍,公司規模,-0.042220033092074886,人際價值
94,同事互動,公司規模,-0.02941176470588228,人際價值
95,主管風格,公司規模,-0.05781216125786011,人際價值
96,公司規模,公司規模,1.0,組織文化與制度
97,工作環境,公司規模,-0.05251050315105031,組織文化與制度
98,產業前景,公司規模,-0.029411764705882325,組織文化與制度
99,面試,公司規模,-0.11610509100320604,招募資訊
100,學經歷,公司規模,-0.02941176470588228,招募資訊
101,徵才,公司規模,-0.029411764705882307,招募資訊
102,招募人員,公司規模,-0.06160411036336973,招募資訊
103,正向,公司規模,-0.14199755672421766,情緒
104,負向,公司規模,-0.11563888385606062,情緒
105,薪資,工作環境,-0.0712939781840038,經濟報酬
106,福利,工作環境,-0.0525105031510503,經濟報酬
107,管理制度,工作環境,0.5601120336112038,經濟報酬
108,工作氛圍,工作環境,-0.07537783614444084,人際價值
109,同事互動,工作環境,-0.05251050315105031,人際價值
110,主管風格,工作環境,0.13762047064079527,人際價值
111,公司規模,工作環境,-0.05251050315105031,組織文化與制度
112,工作環境,工作環境,0.9999999999999998,組織文化與制度
113,產業前景,工作環境,-0.05251050315105032,組織文化與制度
114,面試,工作環境,0.23241499477869262,招募資訊
115,學經歷,工作環境,-0.0525105031510503,招募資訊
116,徵才,工作環境,-0.05251050315105032,招募資訊
117,招募人員,工作環境,-0.1099853362660149,招募資訊
118,正向,工作環境,-0.11907585999845659,情緒
119,負向,工作環境,0.04708661650872909,情緒
120,薪資,產業前景,-0.03993261510487514,經濟報酬
121,福利,產業前景,-0.029411764705882325,經濟報酬
122,管理制度,產業前景,-0.029411764705882356,經濟報酬
123,工作氛圍,產業前景,-0.04222003309207488,人際價值
124,同事互動,產業前景,-0.029411764705882325,人際價值
125,主管風格,產業前景,-0.05781216125786008,人際價值
126,公司規模,產業前景,-0.029411764705882325,組織文化與制度
127,工作環境,產業前景,-0.05251050315105032,組織文化與制度
128,產業前景,產業前景,0.9999999999999999,組織文化與制度
129,面試,產業前景,0.25332019855244936,招募資訊
130,學經歷,產業前景,-0.029411764705882325,招募資訊
131,徵才,產業前景,-0.029411764705882325,招募資訊
132,招募人員,產業前景,-0.06160411036336976,招募資訊
133,正向,產業前景,0.5357180549140936,情緒
134,負向,產業前景,-0.11563888385606069,情緒
135,薪資,面試,0.009553752543358515,經濟報酬
136,福利,面試,-0.11610509100320607,經濟報酬
137,管理制度,面試,0.2533201985524494,經濟報酬
138,工作氛圍,面試,0.36363636363636354,人際價值
