,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.02879428777990049,經濟報酬
2,福利,學習成長,-0.021376827963953335,經濟報酬
3,管理制度,學習成長,-0.021376827963953324,經濟報酬
4,同事互動,學習成長,-0.03739787960033825,人際價值
5,主管風格,學習成長,-0.07004086909727217,人際價值
6,工作環境,學習成長,-0.03519984981429459,組織文化與制度
7,產業前景,學習成長,-0.030382181012510057,組織文化與制度
8,工學院,學習成長,-0.043403115732157146,科系專業
9,理學院,學習成長,-0.03739787960033832,科系專業
10,管理學院/商學院,學習成長,-0.03739787960033831,科系專業
11,文學院,學習成長,-0.021376827963953314,科系專業
12,面試,學習成長,-0.12758866665579413,招募資訊
13,徵才,學習成長,-0.03739787960033831,招募資訊
14,實習,學習成長,0.4348727398349532,招募資訊
15,工作,學習成長,-0.03739787960033832,招募資訊
16,離職,學習成長,-0.021376827963953317,招募資訊
17,新鮮人,學習成長,-0.030382181012510057,招募資訊
18,出路,學習成長,-0.040922705892225436,招募資訊
19,能力,學習成長,-0.09100105764066052,招募資訊
20,招募人員,學習成長,0.015232273316261407,招募資訊
21,正向,學習成長,0.08352139950829485,情緒
22,負向,學習成長,0.4699743625372644,情緒
23,學習成長,薪資,-0.02879428777990049,成長價值
24,薪資,薪資,0.9999999999999999,經濟報酬
25,福利,薪資,0.4401043333940796,經濟報酬
26,管理制度,薪資,-0.013336494951335745,經濟報酬
27,同事互動,薪資,-0.023331648330687856,人際價值
28,主管風格,薪資,-0.04369683372472574,人際價值
29,工作環境,薪資,-0.021960349782844956,組織文化與制度
30,產業前景,薪資,-0.01895472070819692,組織文化與制度
31,工學院,薪資,-0.02707817244028127,科系專業
32,理學院,薪資,-0.023331648330687904,科系專業
33,管理學院/商學院,薪資,-0.023331648330687897,科系專業
34,文學院,薪資,-0.013336494951335737,科系專業
35,面試,薪資,-0.0795995370113825,招募資訊
36,徵才,薪資,-0.023331648330687897,招募資訊
37,實習,薪資,-0.03279532357210843,招募資訊
38,工作,薪資,-0.0233316483306879,招募資訊
39,離職,薪資,-0.01333649495133574,招募資訊
40,新鮮人,薪資,-0.018954720708196923,招募資訊
41,出路,薪資,-0.025530703687514224,招募資訊
42,能力,薪資,-0.05677339724291054,招募資訊
43,招募人員,薪資,-0.05511770931725655,招募資訊
44,正向,薪資,0.013593134683428158,情緒
45,負向,薪資,-0.05923350221311525,情緒
46,學習成長,福利,-0.021376827963953335,成長價值
47,薪資,福利,0.4401043333940796,經濟報酬
48,福利,福利,1.0,經濟報酬
49,管理制度,福利,-0.009900990099009903,經濟報酬
50,同事互動,福利,-0.01732137416604986,人際價值
51,主管風格,福利,-0.032440451531326846,人際價值
52,工作環境,福利,-0.016303324566472023,組織文化與制度
53,產業前景,福利,-0.014071950894605868,組織文化與制度
54,工學院,福利,-0.02010278699229407,科系專業
55,理學院,福利,-0.017321374166049893,科系專業
56,管理學院/商學院,福利,-0.017321374166049883,科系專業
57,文學院,福利,-0.009900990099009896,科系專業
58,面試,福利,-0.059094554507107155,招募資訊
59,徵才,福利,-0.017321374166049883,招募資訊
60,實習,福利,-0.024347189810074547,招募資訊
61,工作,福利,-0.01732137416604989,招募資訊
62,離職,福利,-0.009900990099009889,招募資訊
63,新鮮人,福利,-0.014071950894605865,招募資訊
64,出路,福利,-0.018953948946347197,招募資訊
