,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,-0.009964332363619462,成長價值
2,薪資,成就感,0.197601155656357,經濟報酬
3,福利,成就感,-0.009740323651484296,經濟報酬
4,管理制度,成就感,-0.02049241743491685,經濟報酬
5,工作氛圍,成就感,0.21796977045417693,人際價值
6,同事互動,成就感,-0.008455274372947203,人際價值
7,主管風格,成就感,-0.023011974565790447,人際價值
8,工作地點,成就感,-0.007857774310807586,組織文化與制度
9,公司規模,成就感,-0.0038798762494406773,組織文化與制度
10,工作環境,成就感,-0.007500195320129736,組織文化與制度
11,產業前景,成就感,-0.003879876249440674,組織文化與制度
12,多元性,成就感,-0.004758399296274678,組織文化與制度
13,工學院,成就感,-0.008555465694591358,科系專業
14,理學院,成就感,-0.013459992435353627,科系專業
15,社會學院,成就感,-0.006757373783994867,科系專業
16,文學院,成就感,-0.003879876249440672,科系專業
17,面試,成就感,-0.02865001530627467,招募資訊
18,徵才,成就感,-0.014319451249368344,招募資訊
19,實習,成就感,-0.01151364266497954,招募資訊
20,工作,成就感,0.43005960808959676,招募資訊
21,離職,成就感,-0.007308956270209512,招募資訊
22,新鮮人,成就感,-0.00273972602739723,招募資訊
23,畢業,成就感,-0.003879876249440673,招募資訊
24,出路,成就感,-0.0027397260273972325,招募資訊
25,能力,成就感,-0.021058501973270916,招募資訊
26,招募人員,成就感,-0.027904461582471778,招募資訊
27,正向,成就感,0.409068624596398,情緒
28,負向,成就感,0.06762900994173625,情緒
29,成就感,學習成長,-0.00996433236361946,成長價值
30,學習成長,學習成長,1.0,成長價值
31,薪資,學習成長,0.09194150548478688,經濟報酬
32,福利,學習成長,0.08033968995961811,經濟報酬
33,管理制度,學習成長,0.018126313217562227,經濟報酬
34,工作氛圍,學習成長,-0.03624009060022648,人際價值
35,同事互動,學習成長,0.033197830845365435,人際價值
36,主管風格,學習成長,0.07259184004582082,人際價值
37,工作地點,學習成長,-0.02857857832798738,組織文化與制度
38,公司規模,學習成長,-0.014111037414886313,組織文化與制度
39,工作環境,學習成長,-0.02727807022107032,組織文化與制度
40,產業前景,學習成長,-0.014111037414886313,組織文化與制度
41,多元性,學習成長,-0.01730620931901638,組織文化與制度
42,工學院,學習成長,-0.031116068852855304,科系專業
43,理學院,學習成長,-0.048953740956748835,科系專業
44,社會學院,學習成長,-0.024576442175460924,科系專業
45,文學院,學習成長,-0.014111037414886313,科系專業
46,面試,學習成長,0.0017366595046348382,招募資訊
47,徵才,學習成長,-0.05207957660237376,招募資訊
48,實習,學習成長,0.11138724254891838,招募資訊
49,工作,學習成長,-0.0379357161449896,招募資訊
50,離職,學習成長,-0.026582537370247874,招募資訊
51,新鮮人,學習成長,-0.00996433236361943,招募資訊
52,畢業,學習成長,-0.014111037414886316,招募資訊
53,出路,學習成長,-0.009964332363619441,招募資訊
54,能力,學習成長,-0.058147462095982344,招募資訊
55,招募人員,學習成長,0.0758517123072326,招募資訊
56,正向,學習成長,0.10912932526645804,情緒
57,負向,學習成長,-0.0004488420535692726,情緒
58,成就感,薪資,0.197601155656357,成長價值
59,學習成長,薪資,0.09194150548478688,成長價值
60,薪資,薪資,0.9999999999999999,經濟報酬
61,福利,薪資,0.29857632267239903,經濟報酬
62,管理制度,薪資,0.07269411578014039,經濟報酬
63,工作氛圍,薪資,0.14015152125474678,人際價值
64,同事互動,薪資,-0.04470907444518838,人際價值
65,主管風格,薪資,-0.003526258321450015,人際價值
66,工作地點,薪資,-0.04154966487656765,組織文化與制度
67,公司規模,薪資,0.05457170021993841,組織文化與制度
68,工作環境,薪資,-0.0074029926817691894,組織文化與制度
69,產業前景,薪資,-0.02051567677441297,組織文化與制度
70,多元性,薪資,0.03623192002416428,組織文化與制度
71,工學院,薪資,0.17000762656125973,科系專業
72,理學院,薪資,-0.057814044984319676,科系專業
73,社會學院,薪資,-0.035731061375041305,科系專業
74,文學院,薪資,-0.02051567677441298,科系專業
75,面試,薪資,-0.08988590186509528,招募資訊
76,徵才,薪資,0.038955176356492795,招募資訊
77,實習,薪資,-0.025229025035721258,招募資訊
78,工作,薪資,0.20364468362977342,招募資訊
79,離職,薪資,0.04218117335812989,招募資訊
80,新鮮人,薪資,-0.014486888244600923,招募資訊
81,畢業,薪資,-0.020515676774413003,招募資訊
82,出路,薪資,0.09155713370587766,招募資訊
83,能力,薪資,-0.08561159875420148,招募資訊
84,招募人員,薪資,-0.012541819531013599,招募資訊
85,正向,薪資,0.22967257428192334,情緒
86,負向,薪資,-0.014982777467117403,情緒
87,成就感,福利,-0.009740323651484296,成長價值
88,學習成長,福利,0.08033968995961811,成長價值
89,薪資,福利,0.29857632267239903,經濟報酬
90,福利,福利,0.9999999999999999,經濟報酬
91,管理制度,福利,0.09276570111874338,經濟報酬
92,工作氛圍,福利,-0.035425375100304024,人際價值
93,同事互動,福利,-0.030060344768431533,人際價值
94,主管風格,福利,-0.059987948092658276,人際價值
95,工作地點,福利,-0.027936101713168675,組織文化與制度
96,公司規模,福利,-0.01379380639499971,組織文化與制度
97,工作環境,福利,0.05079015314591464,組織文化與制度
98,產業前景,福利,-0.013793806394999665,組織文化與制度
99,多元性,福利,-0.0169171474611793,組織文化與制度
100,工學院,福利,0.00934222507993731,科系專業
101,理學院,福利,-0.04785320917340954,科系專業
102,社會學院,福利,-0.024023937806910246,科系專業
103,文學院,福利,-0.013793806394999658,科系專業
104,面試,福利,-0.057476480427205504,招募資訊
105,徵才,福利,0.04087748746572105,招募資訊
106,實習,福利,-0.04093351117702031,招募資訊
107,工作,福利,-0.0051229098036783055,招募資訊
108,離職,福利,0.16810661295451065,招募資訊
109,新鮮人,福利,-0.009740323651484278,招募資訊
110,畢業,福利,-0.013793806394999629,招募資訊
111,出路,福利,-0.009740323651484287,招募資訊
112,能力,福利,-0.07486756806480432,招募資訊
113,招募人員,福利,-0.04517436462494248,招募資訊
114,正向,福利,0.2441915143341576,情緒
115,負向,福利,-0.0348494136185804,情緒
116,成就感,管理制度,-0.02049241743491685,成長價值
117,學習成長,管理制度,0.018126313217562223,成長價值
118,薪資,管理制度,0.07269411578014039,經濟報酬
119,福利,管理制度,0.09276570111874338,經濟報酬
120,管理制度,管理制度,1.0,經濟報酬
121,工作氛圍,管理制度,0.036657683713729426,人際價值
122,同事互動,管理制度,-0.04037065250405263,人際價值
123,主管風格,管理制度,0.04448175991883851,人際價值
124,工作地點,管理制度,0.004994632607194816,組織文化與制度
125,公司規模,管理制度,-0.029020435950265763,組織文化與制度
126,工作環境,管理制度,0.06788846929676468,組織文化與制度
127,產業前景,管理制度,0.14415586118773285,組織文化與制度
128,多元性,管理制度,0.05880343574811665,組織文化與制度
129,工學院,管理制度,0.06329702197271204,科系專業
130,理學院,管理制度,-0.04932843197842895,科系專業
131,社會學院,管理制度,-0.05054334738606586,科系專業
132,文學院,管理制度,-0.029020435950265714,科系專業
133,面試,管理制度,0.027252663331359058,招募資訊
134,徵才,管理制度,-0.0483340397979463,招募資訊
135,實習,管理制度,-0.017598223418671132,招募資訊
136,工作,管理制度,0.07887506149919313,招募資訊
137,離職,管理制度,-0.02359936679989997,招募資訊
138,新鮮人,管理制度,-0.020492417434916862,招募資訊
139,畢業,管理制度,-0.029020435950265728,招募資訊
140,出路,管理制度,0.061031764969208604,招募資訊
141,能力,管理制度,-0.07835949617938741,招募資訊
142,招募人員,管理制度,0.07959260665645838,招募資訊
143,正向,管理制度,0.0025405315620658465,情緒
144,負向,管理制度,0.0504883682276762,情緒
145,成就感,工作氛圍,0.21796977045417693,成長價值
146,學習成長,工作氛圍,-0.03624009060022648,成長價值
147,薪資,工作氛圍,0.1401515212547468,經濟報酬
148,福利,工作氛圍,-0.035425375100304024,經濟報酬
149,管理制度,工作氛圍,0.03665768371372942,經濟報酬
150,工作氛圍,工作氛圍,1.0,人際價值
151,同事互動,工作氛圍,-0.0307516748883388,人際價值
152,主管風格,工作氛圍,-0.005551140709386422,人際價值
153,工作地點,工作氛圍,-0.028578578327987447,組織文化與制度
154,公司規模,工作氛圍,0.14728395301787625,組織文化與制度
155,工作環境,工作氛圍,-0.027278070221070313,組織文化與制度
156,產業前景,工作氛圍,0.14728395301787586,組織文化與制度
157,多元性,工作氛圍,-0.01730620931901635,組織文化與制度
158,工學院,工作氛圍,0.14682894989941114,科系專業
159,理學院,工作氛圍,-0.04895374095674885,科系專業
160,社會學院,工作氛圍,0.16281892941242854,科系專業
161,文學院,工作氛圍,-0.01411103741488631,科系專業
162,面試,工作氛圍,0.014978688227476158,招募資訊
163,徵才,工作氛圍,0.03008044510654369,招募資訊
164,實習,工作氛圍,-0.0418749032138793,招募資訊
165,工作,工作氛圍,0.2672175170213003,招募資訊
166,離職,工作氛圍,-0.0265825373702479,招募資訊
167,新鮮人,工作氛圍,-0.00996433236361943,招募資訊
