,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,0.0,經濟報酬
2,福利,學習成長,0.0,經濟報酬
3,管理制度,學習成長,0.0,經濟報酬
4,工作氛圍,學習成長,0.0,人際價值
5,面試,學習成長,-0.6454972243679028,招募資訊
6,實習,學習成長,0.0,招募資訊
7,招募人員,學習成長,-0.7905694150420947,招募資訊
8,正向,學習成長,0.0,情緒
9,負向,學習成長,0.0,情緒
10,學習成長,薪資,0.0,成長價值
11,薪資,薪資,1.0,經濟報酬
12,福利,薪資,1.0,經濟報酬
13,管理制度,薪資,-0.24999999999999997,經濟報酬
14,工作氛圍,薪資,1.0,人際價值
15,面試,薪資,0.6123724356957946,招募資訊
16,實習,薪資,0.408248290463863,招募資訊
17,招募人員,薪資,-0.25,招募資訊
18,正向,薪資,0.875,情緒
19,負向,薪資,0.6123724356957946,情緒
20,學習成長,福利,0.0,成長價值
21,薪資,福利,1.0,經濟報酬
22,福利,福利,1.0,經濟報酬
23,管理制度,福利,-0.24999999999999997,經濟報酬
24,工作氛圍,福利,1.0,人際價值
25,面試,福利,0.6123724356957946,招募資訊
26,實習,福利,0.408248290463863,招募資訊
27,招募人員,福利,-0.25,招募資訊
28,正向,福利,0.875,情緒
29,負向,福利,0.6123724356957946,情緒
30,學習成長,管理制度,0.0,成長價值
31,薪資,管理制度,-0.24999999999999997,經濟報酬
32,福利,管理制度,-0.24999999999999997,經濟報酬
33,管理制度,管理制度,1.0,經濟報酬
34,工作氛圍,管理制度,-0.24999999999999997,人際價值
35,面試,管理制度,-0.408248290463863,招募資訊
36,實習,管理制度,-0.6123724356957946,招募資訊
37,招募人員,管理制度,-0.24999999999999997,招募資訊
38,正向,管理制度,-0.37499999999999994,情緒
39,負向,管理制度,0.6123724356957946,情緒
40,學習成長,工作氛圍,0.0,成長價值
41,薪資,工作氛圍,1.0,經濟報酬
42,福利,工作氛圍,1.0,經濟報酬
43,管理制度,工作氛圍,-0.24999999999999997,經濟報酬
44,工作氛圍,工作氛圍,1.0,人際價值
45,面試,工作氛圍,0.6123724356957946,招募資訊
46,實習,工作氛圍,0.408248290463863,招募資訊
47,招募人員,工作氛圍,-0.25,招募資訊
48,正向,工作氛圍,0.875,情緒
49,負向,工作氛圍,0.6123724356957946,情緒
50,學習成長,面試,-0.6454972243679028,成長價值
51,薪資,面試,0.6123724356957945,經濟報酬
52,福利,面試,0.6123724356957945,經濟報酬
53,管理制度,面試,-0.408248290463863,經濟報酬
54,工作氛圍,面試,0.6123724356957945,人際價值
55,面試,面試,1.0,招募資訊
56,實習,面試,0.6666666666666666,招募資訊
57,招募人員,面試,0.6123724356957944,招募資訊
58,正向,面試,0.408248290463863,情緒
59,負向,面試,0.16666666666666674,情緒
60,學習成長,實習,0.0,成長價值
61,薪資,實習,0.408248290463863,經濟報酬
62,福利,實習,0.408248290463863,經濟報酬
63,管理制度,實習,-0.6123724356957946,經濟報酬
64,工作氛圍,實習,0.408248290463863,人際價值
65,面試,實習,0.6666666666666666,招募資訊
66,實習,實習,1.0,招募資訊
67,招募人員,實習,0.40824829046386296,招募資訊
68,正向,實習,0.10206207261596575,情緒
69,負向,實習,-0.16666666666666674,情緒
70,學習成長,招募人員,-0.7905694150420945,成長價值
71,薪資,招募人員,-0.25,經濟報酬
72,福利,招募人員,-0.25,經濟報酬
73,管理制度,招募人員,-0.24999999999999997,經濟報酬
74,工作氛圍,招募人員,-0.25,人際價值
75,面試,招募人員,0.6123724356957945,招募資訊
76,實習,招募人員,0.40824829046386296,招募資訊
77,招募人員,招募人員,0.9999999999999999,招募資訊
78,正向,招募人員,-0.37499999999999994,情緒
79,負向,招募人員,-0.40824829046386296,情緒
80,學習成長,正向,0.0,成長價值
81,薪資,正向,0.875,經濟報酬
82,福利,正向,0.875,經濟報酬
83,管理制度,正向,-0.37499999999999994,經濟報酬
84,工作氛圍,正向,0.875,人際價值
85,面試,正向,0.408248290463863,招募資訊
86,實習,正向,0.10206207261596575,招募資訊
87,招募人員,正向,-0.3749999999999999,招募資訊
88,正向,正向,1.0,情緒
89,負向,正向,0.408248290463863,情緒
90,學習成長,負向,0.0,成長價值
91,薪資,負向,0.6123724356957945,經濟報酬
92,福利,負向,0.6123724356957945,經濟報酬
93,管理制度,負向,0.6123724356957946,經濟報酬
94,工作氛圍,負向,0.6123724356957945,人際價值
95,面試,負向,0.16666666666666674,招募資訊
96,實習,負向,-0.16666666666666674,招募資訊
97,招募人員,負向,-0.40824829046386296,招募資訊
98,正向,負向,0.408248290463863,情緒
99,負向,負向,1.0,情緒
