,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.02906316070981144,成長價值
2,薪資,成就感,-0.02390599520494593,經濟報酬
3,福利,成就感,-0.023121430202315215,經濟報酬
4,管理制度,成就感,0.3134156071583978,經濟報酬
5,工作氛圍,成就感,-0.02504289287402856,人際價值
6,同事互動,成就感,0.14443958007195856,人際價值
7,主管風格,成就感,0.059822732501942366,人際價值
8,工作地點,成就感,-0.009312235702373401,組織文化與制度
9,公司規模,成就感,0.3225225225225213,組織文化與制度
10,工作環境,成就感,-0.01821461702362031,組織文化與制度
11,產業前景,成就感,-0.01527504016465709,組織文化與制度
12,面試,成就感,0.0015386447300293068,招募資訊
13,學經歷,成就感,-0.045586345760843174,招募資訊
14,徵才,成就感,-0.02906316070981145,招募資訊
15,實習,成就感,-0.01772073154296465,招募資訊
16,工作,成就感,0.059822732501942436,招募資訊
17,離職,成就感,-0.009312235702373401,招募資訊
18,新鮮人,成就感,0.40054694757550097,招募資訊
19,招募人員,成就感,0.03772191909354744,招募資訊
20,正向,成就感,0.24865096609704146,情緒
21,負向,成就感,0.18486830726892697,情緒
22,成就感,學習成長,-0.02906316070981144,成長價值
23,學習成長,學習成長,1.0,成長價值
24,薪資,學習成長,0.2775187487160424,經濟報酬
25,福利,學習成長,-0.0414388802449854,經濟報酬
26,管理制度,學習成長,-0.006345324565331314,經濟報酬
27,工作氛圍,學習成長,0.06470086195478879,人際價值
28,同事互動,學習成長,-0.04915228384623196,人際價值
29,主管風格,學習成長,-0.0760258843922482,人際價值
30,工作地點,學習成長,-0.01668965183845279,組織文化與制度
31,公司規模,學習成長,-0.02906316070981142,組織文化與制度
32,工作環境,學習成長,0.20646745163089283,組織文化與制度
33,產業前景,學習成長,0.20656706798647173,組織文化與制度
34,面試,學習成長,0.23840727433792433,招募資訊
35,學經歷,學習成長,0.14351607244971373,招募資訊
36,徵才,學習成長,0.02884201463624624,招募資訊
37,實習,學習成長,-0.031759595571597306,招募資訊
38,工作,學習成長,0.07389928622742993,招募資訊
39,離職,學習成長,-0.016689651838452804,招募資訊
40,新鮮人,學習成長,0.1785714451028347,招募資訊
41,招募人員,學習成長,0.08204945050877312,招募資訊
42,正向,學習成長,0.22733538474284246,情緒
43,負向,學習成長,0.2207272565073626,情緒
44,成就感,薪資,-0.02390599520494593,成長價值
45,學習成長,薪資,0.2775187487160423,成長價值
46,薪資,薪資,1.0,經濟報酬
47,福利,薪資,0.16616770286412944,經濟報酬
48,管理制度,薪資,-0.05194512758702521,經濟報酬
49,工作氛圍,薪資,-0.03691830874614434,人際價值
50,同事互動,薪資,-0.04043036728429481,人際價值
51,主管風格,薪資,-0.06253533281806138,人際價值
52,工作地點,薪資,-0.013728126159642993,組織文化與制度
53,公司規模,薪資,-0.02390599520494589,組織文化與制度
54,工作環境,薪資,0.10836717654490433,組織文化與制度
55,產業前景,薪資,0.10977773922757716,組織文化與制度
56,面試,薪資,0.1408598610345386,招募資訊
57,學經歷,薪資,0.2894087475578952,招募資訊
58,徵才,薪資,0.14021999935126364,招募資訊
59,實習,薪資,-0.02612395626981175,招募資訊
60,工作,薪資,-0.0625353328180614,招募資訊
61,離職,薪資,-0.013728126159643009,招募資訊
62,新鮮人,薪資,-0.019466621763710938,招募資訊
63,招募人員,薪資,-0.026067078615588275,招募資訊
64,正向,薪資,0.009922856945928966,情緒
65,負向,薪資,0.15995369678074592,情緒
66,成就感,福利,-0.023121430202315215,成長價值
67,學習成長,福利,-0.0414388802449854,成長價值
68,薪資,福利,0.1661677028641294,經濟報酬
69,福利,福利,0.9999999999999999,經濟報酬
70,管理制度,福利,0.032612159071921915,經濟報酬
71,工作氛圍,福利,-0.035706695811806015,人際價值
72,同事互動,福利,-0.039103492960811365,人際價值
73,主管風格,福利,0.012406769444860964,人際價值
74,工作地點,福利,0.40275344651651007,組織文化與制度
75,公司規模,福利,-0.02312143020231519,組織文化與制度
76,工作環境,福利,-0.025970793097368244,組織文化與制度
77,產業前景,福利,-0.021779481125288627,組織文化與制度
78,面試,福利,-0.039050223515650684,招募資訊
79,學經歷,福利,-0.06499799322075642,招募資訊
80,徵才,福利,-0.04143888024498542,招募資訊
81,實習,福利,-0.025266600546118304,招募資訊
82,工作,福利,0.012406769444860844,招募資訊
83,離職,福利,-0.013277586148896018,招募資訊
84,新鮮人,福利,-0.018827751470952822,招募資訊
85,招募人員,福利,0.053784724364161506,招募資訊
86,正向,福利,0.05381959851440913,情緒
87,負向,福利,-0.05903300072963192,情緒
88,成就感,管理制度,0.3134156071583978,成長價值
89,學習成長,管理制度,-0.006345324565331314,成長價值
90,薪資,管理制度,-0.0519451275870252,經濟報酬
91,福利,管理制度,0.032612159071921915,經濟報酬
92,管理制度,管理制度,1.0,經濟報酬
93,工作氛圍,管理制度,0.022502643169712545,人際價值
94,同事互動,管理制度,0.11730225889002144,人際價值
95,主管風格,管理制度,0.048139204589713214,人際價值
96,工作地點,管理制度,0.17998033374412295,組織文化與制度
97,公司規模,管理制度,0.08098115293441804,組織文化與制度
98,工作環境,管理制度,-0.039578381787887584,組織文化與制度
99,產業前景,管理制度,-0.03319100097894636,組織文化與制度
100,面試,管理制度,-0.003272922232461353,招募資訊
101,學經歷,管理制度,-0.06743755982288056,招募資訊
102,徵才,管理制度,-0.06315108734067808,招募資訊
103,實習,管理制度,-0.038505222352938226,招募資訊
104,工作,管理制度,0.15337374485559874,招募資訊
105,離職,管理制度,-0.02023447539135116,招募資訊
106,新鮮人,管理制度,0.1132606215411424,招募資訊
107,招募人員,管理制度,-0.01941291179767955,招募資訊
108,正向,管理制度,0.24234329044946923,情緒
109,負向,管理制度,0.060122671100409746,情緒
110,成就感,工作氛圍,-0.02504289287402856,成長價值
111,學習成長,工作氛圍,0.06470086195478879,成長價值
112,薪資,工作氛圍,-0.03691830874614434,經濟報酬
113,福利,工作氛圍,-0.035706695811806015,經濟報酬
114,管理制度,工作氛圍,0.022502643169712545,經濟報酬
115,工作氛圍,工作氛圍,1.0,人際價值
116,同事互動,工作氛圍,-0.04235311469270068,人際價值
117,主管風格,工作氛圍,0.0021596481200523675,人際價值
118,工作地點,工作氛圍,-0.014380994801921588,組織文化與制度
119,公司規模,工作氛圍,-0.02504289287402853,組織文化與制度
120,工作環境,工作氛圍,0.07979464261324687,組織文化與制度
121,產業前景,工作氛圍,-0.02358942366021632,組織文化與制度
122,面試,工作氛圍,0.02790275595308791,招募資訊
123,學經歷,工作氛圍,-0.07039952836011217,招募資訊
124,徵才,工作氛圍,-0.04488257991458312,招募資訊
125,實習,工作氛圍,-0.027366333536926066,招募資訊
126,工作,工作氛圍,0.06982862254836245,招募資訊
127,離職,工作氛圍,-0.014380994801921614,招募資訊
128,新鮮人,工作氛圍,-0.020392396102672555,招募資訊
129,招募人員,工作氛圍,-0.019972937838806996,招募資訊
130,正向,工作氛圍,0.07197715032194794,情緒
131,負向,工作氛圍,-0.014019809124990103,情緒
132,成就感,同事互動,0.1444395800719586,成長價值
133,學習成長,同事互動,-0.04915228384623196,成長價值
134,薪資,同事互動,-0.04043036728429481,經濟報酬
135,福利,同事互動,-0.039103492960811365,經濟報酬
136,管理制度,同事互動,0.11730225889002144,經濟報酬
137,工作氛圍,同事互動,-0.04235311469270068,人際價值
138,同事互動,同事互動,1.0,人際價值
139,主管風格,同事互動,0.08388209294389493,人際價值
140,工作地點,同事互動,-0.015749066560800835,組織文化與制度
141,公司規模,同事互動,-0.0274252367225238,組織文化與制度
142,工作環境,同事互動,-0.030804977993778744,組織文化與制度
143,產業前景,同事互動,0.09558394334669632,組織文化與制度
144,面試,同事互動,0.051523386758518516,招募資訊
145,學經歷,同事互動,0.016414130444806843,招募資訊
146,徵才,同事互動,-0.04915228384623197,招募資訊
147,實習,同事互動,-0.029969707543495972,招募資訊
148,工作,同事互動,-0.07174126370201554,招募資訊
149,離職,同事互動,-0.015749066560800842,招募資訊
150,新鮮人,同事互動,-0.022332335695740037,招募資訊
151,招募人員,同事互動,-0.04114853260456427,招募資訊
152,正向,同事互動,0.26945691785241904,情緒
153,負向,同事互動,0.12896957721015176,情緒
154,成就感,主管風格,0.059822732501942366,成長價值
155,學習成長,主管風格,-0.0760258843922482,成長價值
156,薪資,主管風格,-0.06253533281806138,經濟報酬
157,福利,主管風格,0.012406769444860966,經濟報酬
158,管理制度,主管風格,0.048139204589713214,經濟報酬
159,工作氛圍,主管風格,0.0021596481200523675,人際價值
160,同事互動,主管風格,0.08388209294389493,人際價值
161,主管風格,主管風格,1.0,人際價值
162,工作地點,主管風格,-0.024359737126010687,組織文化與制度
163,公司規模,主管風格,0.2643077090540371,組織文化與制度
164,工作環境,主管風格,-0.0476473423490842,組織文化與制度
165,產業前景,主管風格,-0.03995774751550421,組織文化與制度
166,面試,主管風格,0.201927018716348,招募資訊
167,學經歷,主管風格,-0.007989362663999418,招募資訊
168,徵才,主管風格,0.023924229354204015,招募資訊
169,實習,主管風格,-0.04635539475844705,招募資訊
170,工作,主管風格,-0.04924491135915948,招募資訊
171,離職,主管風格,-0.024359737126010722,招募資訊
172,新鮮人,主管風格,0.09034154034153685,招募資訊
173,招募人員,主管風格,0.3216464597529207,招募資訊
174,正向,主管風格,0.05879794588772545,情緒
175,負向,主管風格,0.046499444303628346,情緒
176,成就感,工作地點,-0.009312235702373403,成長價值
177,學習成長,工作地點,-0.01668965183845279,成長價值
178,薪資,工作地點,-0.013728126159642993,經濟報酬
179,福利,工作地點,0.40275344651651007,經濟報酬
180,管理制度,工作地點,0.17998033374412292,經濟報酬
181,工作氛圍,工作地點,-0.014380994801921588,人際價值
182,同事互動,工作地點,-0.015749066560800835,人際價值
183,主管風格,工作地點,-0.024359737126010684,人際價值
184,工作地點,工作地點,1.0,組織文化與制度
185,公司規模,工作地點,-0.009312235702373392,組織文化與制度
186,工作環境,工作地點,-0.010459826428732309,組織文化與制度
187,產業前景,工作地點,-0.008771761086551304,組織文化與制度
188,面試,工作地點,0.06732831700238363,招募資訊
189,學經歷,工作地點,-0.026178165786316505,招募資訊
190,徵才,工作地點,-0.016689651838452887,招募資訊
191,實習,工作地點,-0.010176210451705093,招募資訊
192,工作,工作地點,-0.02435973712601074,招募資訊
193,離職,工作地點,-0.005347593582887679,招募資訊
194,新鮮人,工作地點,-0.007582941795082568,招募資訊
195,招募人員,工作地點,-0.029243677195268995,招募資訊
196,正向,工作地點,0.1000432098083682,情緒
197,負向,工作地點,0.02819913882803757,情緒
198,成就感,公司規模,0.3225225225225212,成長價值
199,學習成長,公司規模,-0.02906316070981142,成長價值
200,薪資,公司規模,-0.02390599520494589,經濟報酬
201,福利,公司規模,-0.02312143020231519,經濟報酬
202,管理制度,公司規模,0.08098115293441803,經濟報酬
203,工作氛圍,公司規模,-0.02504289287402853,人際價值
204,同事互動,公司規模,-0.0274252367225238,人際價值
205,主管風格,公司規模,0.2643077090540371,人際價值
206,工作地點,公司規模,-0.00931223570237339,組織文化與制度
207,公司規模,公司規模,1.0,組織文化與制度
208,工作環境,公司規模,-0.018214617023620278,組織文化與制度
209,產業前景,公司規模,-0.015275040164657054,組織文化與制度
210,面試,公司規模,0.0015386447300293083,招募資訊
211,學經歷,公司規模,0.04656669728258187,招募資訊
212,徵才,公司規模,-0.029063160709811436,招募資訊
213,實習,公司規模,0.204379103795524,招募資訊
214,工作,公司規模,-0.0424197557741047,招募資訊
215,離職,公司規模,-0.00931223570237339,招募資訊
216,新鮮人,公司規模,-0.013204844425565918,招募資訊
217,招募人員,公司規模,-0.05092459077628921,招募資訊
218,正向,公司規模,-0.02428438310077248,情緒
219,負向,公司規模,0.049105644118308756,情緒
220,成就感,工作環境,-0.01821461702362031,成長價值
221,學習成長,工作環境,0.2064674516308928,成長價值
222,薪資,工作環境,0.10836717654490433,經濟報酬
223,福利,工作環境,-0.02597079309736824,經濟報酬
224,管理制度,工作環境,-0.039578381787887584,經濟報酬
225,工作氛圍,工作環境,0.07979464261324687,人際價值
226,同事互動,工作環境,-0.030804977993778748,人際價值
227,主管風格,工作環境,-0.0476473423490842,人際價值
228,工作地點,工作環境,-0.010459826428732309,組織文化與制度
229,公司規模,工作環境,-0.018214617023620278,組織文化與制度
230,工作環境,工作環境,1.0,組織文化與制度
231,產業前景,工作環境,0.6740428910368835,組織文化與制度
232,面試,工作環境,0.438039633134797,招募資訊
233,學經歷,工作環境,-0.05120416615497263,招募資訊
234,徵才,工作環境,-0.032644751079217174,招募資訊
235,實習,工作環境,-0.019904540870065133,招募資訊
236,工作,工作環境,-0.04764734234908431,招募資訊
237,離職,工作環境,-0.010459826428732326,招募資訊
238,新鮮人,工作環境,-0.014832139684203952,招募資訊
239,招募人員,工作環境,-0.057200268281272885,招募資訊
240,正向,工作環境,0.12401745034715679,情緒
241,負向,工作環境,-0.01019712280208593,情緒
242,成就感,產業前景,-0.01527504016465709,成長價值
243,學習成長,產業前景,0.20656706798647173,成長價值
244,薪資,產業前景,0.10977773922757716,經濟報酬
245,福利,產業前景,-0.021779481125288627,經濟報酬
246,管理制度,產業前景,-0.03319100097894636,經濟報酬
247,工作氛圍,產業前景,-0.023589423660216317,人際價值
248,同事互動,產業前景,0.09558394334669633,人際價值
249,主管風格,產業前景,-0.03995774751550421,人際價值
250,工作地點,產業前景,-0.008771761086551306,組織文化與制度
251,公司規模,產業前景,-0.015275040164657054,組織文化與制度
252,工作環境,產業前景,0.6740428910368835,組織文化與制度
253,產業前景,產業前景,0.9999999999999999,組織文化與制度
254,面試,產業前景,0.4374117283968502,招募資訊
255,學經歷,產業前景,-0.042940551184837625,招募資訊
256,徵才,產業前景,-0.02737635840784554,招募資訊
257,實習,產業前景,-0.01669223464072985,招募資訊
258,工作,產業前景,-0.03995774751550431,招募資訊
259,離職,產業前景,-0.008771761086551314,招募資訊
260,新鮮人,產業前景,-0.012438445953061745,招募資訊
261,招募人員,產業前景,-0.04796896878438673,招募資訊
262,正向,產業前景,0.1641028102021261,情緒
263,負向,產業前景,0.014284815274308698,情緒
264,成就感,面試,0.0015386447300293066,成長價值
265,學習成長,面試,0.23840727433792433,成長價值
266,薪資,面試,0.14085986103453862,經濟報酬
267,福利,面試,-0.03905022351565068,經濟報酬
268,管理制度,面試,-0.0032729222324613533,經濟報酬
269,工作氛圍,面試,0.02790275595308791,人際價值
270,同事互動,面試,0.05152338675851852,人際價值
271,主管風格,面試,0.20192701871634797,人際價值
272,工作地點,面試,0.06732831700238363,組織文化與制度
273,公司規模,面試,0.001538644730029308,組織文化與制度
274,工作環境,面試,0.43803963313479705,組織文化與制度
275,產業前景,面試,0.4374117283968502,組織文化與制度
276,面試,面試,1.0,招募資訊
277,學經歷,面試,0.09351178287239888,招募資訊
278,徵才,面試,-0.0443723318168377,招募資訊
279,實習,面試,-0.06153915932331843,招募資訊
280,工作,面試,-0.07746418289302419,招募資訊
281,離職,面試,-0.03233879793027887,招募資訊
282,新鮮人,面試,-0.04585674259408082,招募資訊
283,招募人員,面試,0.2470702644138513,招募資訊
284,正向,面試,0.24903148053584886,情緒
285,負向,面試,0.17825915792185984,情緒
286,成就感,學經歷,-0.045586345760843174,成長價值
287,學習成長,學經歷,0.14351607244971373,成長價值
288,薪資,學經歷,0.28940874755789525,經濟報酬
289,福利,學經歷,-0.06499799322075642,經濟報酬
290,管理制度,學經歷,-0.06743755982288055,經濟報酬
291,工作氛圍,學經歷,-0.07039952836011217,人際價值
292,同事互動,學經歷,0.016414130444806843,人際價值
293,主管風格,學經歷,-0.007989362663999418,人際價值
294,工作地點,學經歷,-0.026178165786316508,組織文化與制度
295,公司規模,學經歷,0.04656669728258187,組織文化與制度
296,工作環境,學經歷,-0.05120416615497263,組織文化與制度
297,產業前景,學經歷,-0.042940551184837625,組織文化與制度
298,面試,學經歷,0.09351178287239886,招募資訊
299,學經歷,學經歷,1.0,招募資訊
300,徵才,學經歷,0.05342918890865801,招募資訊
301,實習,學經歷,0.010605939415091236,招募資訊
302,工作,學經歷,-0.09143381715465984,招募資訊
303,離職,學經歷,-0.026178165786316543,招募資訊
304,新鮮人,學經歷,0.07543925630265302,招募資訊
305,招募人員,學經歷,0.07388752009094404,招募資訊
306,正向,學經歷,0.21298803637242916,情緒
307,負向,學經歷,0.23653412247490296,情緒
308,成就感,徵才,-0.02906316070981145,成長價值
309,學習成長,徵才,0.02884201463624624,成長價值
310,薪資,徵才,0.1402199993512636,經濟報酬
311,福利,徵才,-0.04143888024498542,經濟報酬
312,管理制度,徵才,-0.06315108734067808,經濟報酬
313,工作氛圍,徵才,-0.04488257991458312,人際價值
314,同事互動,徵才,-0.04915228384623197,人際價值
315,主管風格,徵才,0.023924229354204015,人際價值
316,工作地點,徵才,-0.016689651838452883,組織文化與制度
317,公司規模,徵才,-0.029063160709811436,組織文化與制度
318,工作環境,徵才,-0.03264475107921718,組織文化與制度
319,產業前景,徵才,-0.02737635840784554,組織文化與制度
320,面試,徵才,-0.0443723318168377,招募資訊
321,學經歷,徵才,0.053429188908658005,招募資訊
322,徵才,徵才,1.0,招募資訊
323,實習,徵才,-0.03175959557159724,招募資訊
324,工作,徵才,0.023924229354204036,招募資訊
325,離職,徵才,0.26855167049146694,招募資訊
326,新鮮人,徵才,-0.023666095134110558,招募資訊
327,招募人員,徵才,0.1687084207090504,招募資訊
328,正向,徵才,0.033287474042936076,情緒
329,負向,徵才,0.04376894425412525,情緒
330,成就感,實習,-0.017720731542964645,成長價值
331,學習成長,實習,-0.031759595571597306,成長價值
332,薪資,實習,-0.026123956269811753,經濟報酬
333,福利,實習,-0.025266600546118304,經濟報酬
334,管理制度,實習,-0.038505222352938226,經濟報酬
335,工作氛圍,實習,-0.02736633353692607,人際價值
336,同事互動,實習,-0.029969707543495972,人際價值
337,主管風格,實習,-0.04635539475844704,人際價值
338,工作地點,實習,-0.010176210451705093,組織文化與制度
339,公司規模,實習,0.20437910379552396,組織文化與制度
340,工作環境,實習,-0.019904540870065133,組織文化與制度
341,產業前景,實習,-0.01669223464072985,組織文化與制度
342,面試,實習,-0.06153915932331844,招募資訊
343,學經歷,實習,0.010605939415091236,招募資訊
344,徵才,實習,-0.03175959557159724,招募資訊
345,實習,實習,1.0,招募資訊
346,工作,實習,0.02068163766146093,招募資訊
347,離職,實習,-0.010176210451705095,招募資訊
348,新鮮人,實習,-0.014429969359810743,招募資訊
349,招募人員,實習,0.06059589913979881,招募資訊
350,正向,實習,-0.11872624551329874,情緒
351,負向,實習,0.02398988703825209,情緒
352,成就感,工作,0.059822732501942436,成長價值
353,學習成長,工作,0.07389928622742994,成長價值
354,薪資,工作,-0.0625353328180614,經濟報酬
355,福利,工作,0.012406769444860844,經濟報酬
356,管理制度,工作,0.15337374485559874,經濟報酬
357,工作氛圍,工作,0.06982862254836246,人際價值
358,同事互動,工作,-0.07174126370201554,人際價值
359,主管風格,工作,-0.04924491135915948,人際價值
360,工作地點,工作,-0.02435973712601074,組織文化與制度
361,公司規模,工作,-0.0424197557741047,組織文化與制度
362,工作環境,工作,-0.04764734234908431,組織文化與制度
363,產業前景,工作,-0.03995774751550431,組織文化與制度
364,面試,工作,-0.0774641828930242,招募資訊
365,學經歷,工作,-0.09143381715465984,招募資訊
366,徵才,工作,0.023924229354204036,招募資訊
367,實習,工作,0.02068163766146093,招募資訊
368,工作,工作,0.9999999999999999,招募資訊
369,離職,工作,-0.024359737126010764,招募資訊
370,新鮮人,工作,0.21522543434307312,招募資訊
371,招募人員,工作,-0.052943576561100304,招募資訊
372,正向,工作,0.04381960736890112,情緒
373,負向,工作,0.0055218090110559035,情緒
374,成就感,離職,-0.009312235702373401,成長價值
375,學習成長,離職,-0.016689651838452804,成長價值
376,薪資,離職,-0.013728126159643007,經濟報酬
377,福利,離職,-0.013277586148896016,經濟報酬
378,管理制度,離職,-0.02023447539135116,經濟報酬
379,工作氛圍,離職,-0.014380994801921614,人際價值
380,同事互動,離職,-0.015749066560800842,人際價值
381,主管風格,離職,-0.024359737126010722,人際價值
382,工作地點,離職,-0.00534759358288768,組織文化與制度
383,公司規模,離職,-0.00931223570237339,組織文化與制度
384,工作環境,離職,-0.010459826428732326,組織文化與制度
385,產業前景,離職,-0.008771761086551316,組織文化與制度
386,面試,離職,-0.03233879793027887,招募資訊
387,學經歷,離職,-0.02617816578631654,招募資訊
388,徵才,離職,0.26855167049146694,招募資訊
389,實習,離職,-0.010176210451705097,招募資訊
390,工作,離職,-0.024359737126010767,招募資訊
391,離職,離職,1.0,招募資訊
392,新鮮人,離職,-0.007582941795082579,招募資訊
393,招募人員,離職,-0.029243677195269022,招募資訊
394,正向,離職,-0.02819399549144934,情緒
395,負向,離職,0.028199138828037585,情緒
396,成就感,新鮮人,0.4005469475755009,成長價值
397,學習成長,新鮮人,0.17857144510283468,成長價值
398,薪資,新鮮人,-0.01946662176371094,經濟報酬
399,福利,新鮮人,-0.018827751470952822,經濟報酬
