,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.31213486545947305,經濟報酬
2,福利,學習成長,-0.04475717962746465,經濟報酬
3,管理制度,學習成長,-0.027461751819054553,經濟報酬
4,同事互動,學習成長,-0.027461751819054563,人際價值
5,主管風格,學習成長,-0.04475717962746466,人際價值
6,工作地點,學習成長,-0.031919409470851895,組織文化與制度
7,工作環境,學習成長,-0.027461751819054556,組織文化與制度
8,變化性,學習成長,-0.027461751819054508,組織文化與制度
9,工學院,學習成長,-0.019230769230769277,科系專業
10,面試,學習成長,-0.07015424909222881,招募資訊
11,學經歷,學習成長,-0.03727608411984715,招募資訊
12,徵才,學習成長,-0.027461751819054553,招募資訊
13,工作,學習成長,0.2890798918795157,招募資訊
14,離職,學習成長,-0.019230769230769294,招募資訊
15,招募人員,學習成長,-0.04260626539245251,招募資訊
16,正向,學習成長,0.08763340752964976,情緒
17,負向,學習成長,0.28549458074552425,情緒
18,學習成長,薪資,0.31213486545947305,成長價值
19,薪資,薪資,1.0,經濟報酬
20,福利,薪資,0.28390170568657186,經濟報酬
21,管理制度,薪資,0.1741941348285209,經濟報酬
22,同事互動,薪資,-0.09734378122770261,人際價值
23,主管風格,薪資,-0.15865095317778996,人際價值
24,工作地點,薪資,-0.11314485808921135,組織文化與制度
25,工作環境,薪資,0.1741941348285208,組織文化與制度
26,變化性,薪資,-0.09734378122770276,組織文化與制度
27,工學院,薪資,-0.06816738441068941,科系專業
28,面試,薪資,-0.21013853062966045,招募資訊
29,學經歷,薪資,-0.13213268408718612,招募資訊
30,徵才,薪資,-0.09734378122770261,招募資訊
31,工作,薪資,-0.05513020083677464,招募資訊
32,離職,薪資,0.31213486545947305,招募資訊
33,招募人員,薪資,-0.15102659890818004,招募資訊
34,正向,薪資,-0.063538872805472,情緒
35,負向,薪資,0.14071908302270378,情緒
36,學習成長,福利,-0.04475717962746465,成長價值
37,薪資,福利,0.28390170568657186,經濟報酬
38,福利,福利,1.0,經濟報酬
39,管理制度,福利,-0.06391374907061428,經濟報酬
40,同事互動,福利,-0.06391374907061428,人際價值
41,主管風格,福利,0.006250000000000008,人際價值
42,工作地點,福利,-0.07428838265105453,組織文化與制度
43,工作環境,福利,0.27482912100364154,組織文化與制度
44,變化性,福利,-0.06391374907061423,組織文化與制度
45,工學院,福利,-0.044757179627464616,科系專業
46,面試,福利,-0.16327512906904051,招募資訊
47,學經歷,福利,-0.08675536442354469,招募資訊
48,徵才,福利,-0.06391374907061426,招募資訊
49,工作,福利,0.03887270594549628,招募資訊
50,離職,福利,-0.04475717962746465,招募資訊
51,招募人員,福利,-0.09916068621812188,招募資訊
52,正向,福利,0.10568611287887139,情緒
53,負向,福利,-0.11812488464372366,情緒
54,學習成長,管理制度,-0.027461751819054553,成長價值
55,薪資,管理制度,0.17419413482852086,經濟報酬
56,福利,管理制度,-0.06391374907061428,經濟報酬
57,管理制度,管理制度,1.0,經濟報酬
58,同事互動,管理制度,-0.039215686274509914,人際價值
59,主管風格,管理制度,-0.06391374907061431,人際價值
60,工作地點,管理制度,-0.04558127085716417,組織文化與制度
61,工作環境,管理制度,-0.03921568627450989,組織文化與制度
62,變化性,管理制度,-0.03921568627450979,組織文化與制度
63,工學院,管理制度,-0.02746175181905452,科系專業
64,面試,管理制度,-0.10018104603639151,招募資訊
65,學經歷,管理制度,-0.05323066168604288,招募資訊
66,徵才,管理制度,-0.03921568627450985,招募資訊
67,工作,管理制度,-0.07338831872481187,招募資訊
68,離職,管理制度,-0.027461751819054546,招募資訊
69,招募人員,管理制度,-0.060842219679503665,招募資訊
70,正向,管理制度,-0.10096641991873785,情緒
71,負向,管理制度,0.007549804236114216,情緒
72,學習成長,同事互動,-0.027461751819054563,成長價值
73,薪資,同事互動,-0.09734378122770262,經濟報酬
74,福利,同事互動,-0.06391374907061428,經濟報酬
75,管理制度,同事互動,-0.039215686274509914,經濟報酬
76,同事互動,同事互動,1.0,人際價值
77,主管風格,同事互動,-0.06391374907061434,人際價值
78,工作地點,同事互動,-0.04558127085716419,組織文化與制度
79,工作環境,同事互動,-0.03921568627450987,組織文化與制度
80,變化性,同事互動,-0.03921568627450981,組織文化與制度
81,工學院,同事互動,-0.02746175181905453,科系專業
82,面試,同事互動,-0.10018104603639155,招募資訊
83,學經歷,同事互動,0.22889184524998427,招募資訊
84,徵才,同事互動,-0.03921568627450986,招募資訊
85,工作,同事互動,-0.07338831872481184,招募資訊
86,離職,同事互動,-0.027461751819054553,招募資訊
87,招募人員,同事互動,0.1406976330088519,招募資訊
88,正向,同事互動,0.35124937633701736,情緒
89,負向,同事互動,0.007549804236114226,情緒
90,學習成長,主管風格,-0.04475717962746466,成長價值
91,薪資,主管風格,-0.15865095317779,經濟報酬
92,福利,主管風格,0.006250000000000008,經濟報酬
93,管理制度,主管風格,-0.06391374907061431,經濟報酬
94,同事互動,主管風格,-0.06391374907061434,人際價值
95,主管風格,主管風格,1.0,人際價值
96,工作地點,主管風格,0.02414372436159267,組織文化與制度
97,工作環境,主管風格,0.10545768596651332,組織文化與制度
98,變化性,主管風格,-0.06391374907061424,組織文化與制度
99,工學院,主管風格,-0.04475717962746463,科系專業
100,面試,主管風格,0.5578566909858889,招募資訊
101,學經歷,主管風格,-0.0867553644235447,招募資訊
102,徵才,主管風格,0.10545768596651338,招募資訊
103,工作,主管風格,-0.040367810020323275,招募資訊
104,離職,主管風格,-0.04475717962746465,招募資訊
105,招募人員,主管風格,0.6234728145964418,招募資訊
106,正向,主管風格,0.228523042321419,情緒
107,負向,主管風格,0.18621075565364759,情緒
108,學習成長,工作地點,-0.031919409470851895,成長價值
109,薪資,工作地點,-0.11314485808921136,經濟報酬
110,福利,工作地點,-0.07428838265105453,經濟報酬
111,管理制度,工作地點,-0.04558127085716417,經濟報酬
112,同事互動,工作地點,-0.04558127085716419,人際價值
113,主管風格,工作地點,0.024143724361592667,人際價值
114,工作地點,工作地點,1.0,組織文化與制度
115,工作環境,工作地點,-0.045581270857164194,組織文化與制度
116,變化性,工作地點,-0.04558127085716415,組織文化與制度
117,工學院,工作地點,-0.03191940947085189,科系專業
118,面試,工作地點,0.3121310581701954,招募資訊
119,學經歷,工作地點,-0.0618711908095485,招募資訊
120,徵才,工作地點,-0.045581270857164194,招募資訊
121,工作,工作地點,-0.08530088725546225,招募資訊
122,離職,工作地點,-0.031919409470851895,招募資訊
123,招募人員,工作地點,0.04640886811079173,招募資訊
124,正向,工作地點,-0.20495895766559347,情緒
125,負向,工作地點,0.008775306631024606,情緒
126,學習成長,工作環境,-0.027461751819054556,成長價值
127,薪資,工作環境,0.1741941348285208,經濟報酬
128,福利,工作環境,0.2748291210036415,經濟報酬
129,管理制度,工作環境,-0.03921568627450989,經濟報酬
130,同事互動,工作環境,-0.03921568627450987,人際價值
131,主管風格,工作環境,0.10545768596651332,人際價值
132,工作地點,工作環境,-0.04558127085716419,組織文化與制度
133,工作環境,工作環境,1.0,組織文化與制度
134,變化性,工作環境,-0.0392156862745098,組織文化與制度
135,工學院,工作環境,-0.027461751819054532,科系專業
136,面試,工作環境,-0.10018104603639157,招募資訊
137,學經歷,工作環境,-0.05323066168604284,招募資訊
138,徵才,工作環境,-0.039215686274509866,招募資訊
139,工作,工作環境,0.1697104870511275,招募資訊
140,離職,工作環境,0.7002746713858901,招募資訊
141,招募人員,工作環境,-0.060842219679503595,招募資訊
142,正向,工作環境,0.049772178833180546,情緒
143,負向,工作環境,0.1409296790741318,情緒
144,學習成長,變化性,-0.027461751819054508,成長價值
145,薪資,變化性,-0.09734378122770276,經濟報酬
146,福利,變化性,-0.06391374907061423,經濟報酬
147,管理制度,變化性,-0.03921568627450979,經濟報酬
148,同事互動,變化性,-0.0392156862745098,人際價值
149,主管風格,變化性,-0.06391374907061424,人際價值
150,工作地點,變化性,-0.045581270857164145,組織文化與制度
151,工作環境,變化性,-0.0392156862745098,組織文化與制度
152,變化性,變化性,1.0,組織文化與制度
153,工學院,變化性,-0.0274617518190545,科系專業
154,面試,變化性,-0.10018104603639164,招募資訊
155,學經歷,變化性,-0.05323066168604282,招募資訊
156,徵才,變化性,-0.0392156862745098,招募資訊
157,工作,變化性,0.16971048705112737,招募資訊
158,離職,變化性,-0.027461751819054508,招募資訊
159,招募人員,變化性,-0.06084221967950349,招募資訊
160,正向,變化性,-0.10096641991873782,情緒
161,負向,變化性,0.00754980423611423,情緒
162,學習成長,工學院,-0.019230769230769277,成長價值
163,薪資,工學院,-0.0681673844106894,經濟報酬
164,福利,工學院,-0.044757179627464616,經濟報酬
165,管理制度,工學院,-0.02746175181905452,經濟報酬
166,同事互動,工學院,-0.027461751819054532,人際價值
167,主管風格,工學院,-0.04475717962746462,人際價值
168,工作地點,工學院,-0.03191940947085189,組織文化與制度
169,工作環境,工學院,-0.027461751819054532,組織文化與制度
170,變化性,工學院,-0.027461751819054504,組織文化與制度
171,工學院,工學院,1.0,科系專業
172,面試,工學院,0.1364110399015559,招募資訊
173,學經歷,工學院,-0.03727608411984712,招募資訊
174,徵才,工學院,-0.027461751819054532,招募資訊
175,工作,工學院,-0.05139198077858053,招募資訊
176,離職,工學院,-0.019230769230769277,招募資訊
177,招募人員,工學院,-0.04260626539245247,招募資訊
178,正向,工學院,0.29875025294198815,情緒
179,負向,工學院,0.4722996767888917,情緒
180,學習成長,面試,-0.07015424909222882,成長價值
181,薪資,面試,-0.21013853062966045,經濟報酬
182,福利,面試,-0.16327512906904051,經濟報酬
183,管理制度,面試,-0.10018104603639151,經濟報酬
184,同事互動,面試,-0.10018104603639155,人際價值
185,主管風格,面試,0.5578566909858887,人際價值
186,工作地點,面試,0.31213105817019543,組織文化與制度
187,工作環境,面試,-0.10018104603639155,組織文化與制度
188,變化性,面試,-0.10018104603639164,組織文化與制度
189,工學院,面試,0.1364110399015559,科系專業
190,面試,面試,1.0,招募資訊
191,學經歷,面試,-0.13598393590738464,招募資訊
192,徵才,面試,0.19479647840409461,招募資訊
193,工作,面試,-0.18747902268594566,招募資訊
194,離職,面試,-0.07015424909222882,招募資訊
195,招募人員,面試,0.35942851926661246,招募資訊
196,正向,面試,0.020182355229360103,情緒
197,負向,面試,0.17072439010985957,情緒
198,學習成長,學經歷,-0.03727608411984715,成長價值
199,薪資,學經歷,-0.13213268408718612,經濟報酬
200,福利,學經歷,-0.08675536442354467,經濟報酬
201,管理制度,學經歷,-0.05323066168604288,經濟報酬
202,同事互動,學經歷,0.22889184524998424,人際價值
203,主管風格,學經歷,-0.0867553644235447,人際價值
204,工作地點,學經歷,-0.0618711908095485,組織文化與制度
205,工作環境,學經歷,-0.05323066168604284,組織文化與制度
206,變化性,學經歷,-0.053230661686042825,組織文化與制度
207,工學院,學經歷,-0.03727608411984712,科系專業
208,面試,學經歷,-0.13598393590738467,招募資訊
209,學經歷,學經歷,0.9999999999999999,招募資訊
210,徵才,學經歷,-0.05323066168604283,招募資訊
211,工作,學經歷,-0.09961597352657241,招募資訊
212,離職,學經歷,-0.03727608411984714,招募資訊
213,招募人員,學經歷,0.026840490984346807,招募資訊
214,正向,學經歷,0.08802083747821776,情緒
215,負向,學經歷,-0.09838048718165202,情緒
216,學習成長,徵才,-0.027461751819054553,成長價值
217,薪資,徵才,-0.09734378122770262,經濟報酬
218,福利,徵才,-0.06391374907061426,經濟報酬
219,管理制度,徵才,-0.03921568627450985,經濟報酬
220,同事互動,徵才,-0.03921568627450986,人際價值
221,主管風格,徵才,0.10545768596651338,人際價值
222,工作地點,徵才,-0.045581270857164194,組織文化與制度
223,工作環境,徵才,-0.039215686274509866,組織文化與制度
224,變化性,徵才,-0.03921568627450981,組織文化與制度
225,工學院,徵才,-0.02746175181905453,科系專業
226,面試,徵才,0.19479647840409464,招募資訊
227,學經歷,徵才,-0.05323066168604283,招募資訊
228,徵才,徵才,1.0,招募資訊
229,工作,徵才,-0.07338831872481182,招募資訊
230,離職,徵才,-0.027461751819054553,招募資訊
231,招募人員,徵才,-0.06084221967950356,招募資訊
232,正向,徵才,0.12514147820913962,情緒
233,負向,徵才,0.1409296790741318,情緒
234,學習成長,工作,0.2890798918795157,成長價值
235,薪資,工作,-0.05513020083677463,經濟報酬
236,福利,工作,0.03887270594549628,經濟報酬
237,管理制度,工作,-0.07338831872481189,經濟報酬
238,同事互動,工作,-0.07338831872481184,人際價值
239,主管風格,工作,-0.040367810020323275,人際價值
240,工作地點,工作,-0.08530088725546225,組織文化與制度
241,工作環境,工作,0.1697104870511275,組織文化與制度
242,變化性,工作,0.16971048705112737,組織文化與制度
243,工學院,工作,-0.05139198077858053,科系專業
244,面試,工作,-0.18747902268594563,招募資訊
245,學經歷,工作,-0.09961597352657241,招募資訊
246,徵才,工作,-0.07338831872481182,招募資訊
247,工作,工作,0.9999999999999999,招募資訊
248,離職,工作,-0.05139198077858058,招募資訊
249,招募人員,工作,-0.1138602593489927,招募資訊
250,正向,工作,0.1284053281576262,情緒
251,負向,工作,-0.04827312567426858,情緒
252,學習成長,離職,-0.019230769230769294,成長價值
253,薪資,離職,0.31213486545947305,經濟報酬
254,福利,離職,-0.04475717962746465,經濟報酬
255,管理制度,離職,-0.027461751819054546,經濟報酬
256,同事互動,離職,-0.027461751819054553,人際價值
257,主管風格,離職,-0.04475717962746465,人際價值
258,工作地點,離職,-0.031919409470851895,組織文化與制度
259,工作環境,離職,0.7002746713858901,組織文化與制度
260,變化性,離職,-0.027461751819054508,組織文化與制度
261,工學院,離職,-0.019230769230769277,科系專業
262,面試,離職,-0.07015424909222881,招募資訊
263,學經歷,離職,-0.03727608411984714,招募資訊
264,徵才,離職,-0.027461751819054553,招募資訊
265,工作,離職,-0.05139198077858058,招募資訊
266,離職,離職,1.0,招募資訊
267,招募人員,離職,-0.042606265392452505,招募資訊
268,正向,離職,-0.01792501517651927,情緒
269,負向,離職,0.28549458074552425,情緒
270,學習成長,招募人員,-0.04260626539245252,成長價值
271,薪資,招募人員,-0.15102659890818004,經濟報酬
272,福利,招募人員,-0.0991606862181219,經濟報酬
273,管理制度,招募人員,-0.06084221967950366,經濟報酬
274,同事互動,招募人員,0.1406976330088519,人際價值
275,主管風格,招募人員,0.6234728145964419,人際價值
276,工作地點,招募人員,0.04640886811079173,組織文化與制度
277,工作環境,招募人員,-0.060842219679503595,組織文化與制度
278,變化性,招募人員,-0.0608422196795035,組織文化與制度
279,工學院,招募人員,-0.04260626539245247,科系專業
280,面試,招募人員,0.3594285192666124,招募資訊
281,學經歷,招募人員,0.026840490984346807,招募資訊
282,徵才,招募人員,-0.06084221967950356,招募資訊
283,工作,招募人員,-0.1138602593489927,招募資訊
284,離職,招募人員,-0.042606265392452505,招募資訊
285,招募人員,招募人員,1.0,招募資訊
286,正向,招募人員,0.3403212059569666,情緒
287,負向,招募人員,0.32211697706947306,情緒
288,學習成長,正向,0.08763340752964978,成長價值
289,薪資,正向,-0.063538872805472,經濟報酬
290,福利,正向,0.10568611287887139,經濟報酬
291,管理制度,正向,-0.10096641991873785,經濟報酬
292,同事互動,正向,0.35124937633701736,人際價值
293,主管風格,正向,0.22852304232141904,人際價值
294,工作地點,正向,-0.20495895766559344,組織文化與制度
295,工作環境,正向,0.04977217883318055,組織文化與制度
296,變化性,正向,-0.10096641991873781,組織文化與制度
297,工學院,正向,0.29875025294198815,科系專業
298,面試,正向,0.020182355229360103,招募資訊
299,學經歷,正向,0.08802083747821776,招募資訊
300,徵才,正向,0.12514147820913962,招募資訊
301,工作,正向,0.1284053281576262,招募資訊
302,離職,正向,-0.01792501517651927,招募資訊
303,招募人員,正向,0.3403212059569666,招募資訊
304,正向,正向,0.9999999999999998,情緒
305,負向,正向,0.324150116500792,情緒
306,學習成長,負向,0.2854945807455243,成長價值
307,薪資,負向,0.14071908302270375,經濟報酬
308,福利,負向,-0.11812488464372364,經濟報酬
309,管理制度,負向,0.007549804236114215,經濟報酬
310,同事互動,負向,0.007549804236114226,人際價值
311,主管風格,負向,0.18621075565364759,人際價值
312,工作地點,負向,0.008775306631024606,組織文化與制度
313,工作環境,負向,0.1409296790741318,組織文化與制度
314,變化性,負向,0.00754980423611423,組織文化與制度
315,工學院,負向,0.47229967678889173,科系專業
316,面試,負向,0.17072439010985957,招募資訊
317,學經歷,負向,-0.098380487181652,招募資訊
318,徵才,負向,0.1409296790741318,招募資訊
319,工作,負向,-0.048273125674268585,招募資訊
320,離職,負向,0.2854945807455243,招募資訊
321,招募人員,負向,0.3221169770694731,招募資訊
322,正向,負向,0.324150116500792,情緒
323,負向,負向,1.0,情緒
