,item1,item2,value,class
0,福利,福利,1.0,經濟報酬
1,工作氛圍,福利,0.674199862463242,人際價值
2,工作環境,福利,-0.13483997249264842,組織文化與制度
3,變化性,福利,-0.19999999999999998,組織文化與制度
4,面試,福利,0.07559289460184539,招募資訊
5,徵才,福利,-0.13483997249264842,招募資訊
6,工作,福利,-0.13483997249264842,招募資訊
7,能力,福利,-0.13483997249264842,招募資訊
8,招募人員,福利,0.11952286093343936,招募資訊
9,正向,福利,0.7688052110346069,情緒
10,負向,福利,0.2581988897471611,情緒
11,福利,工作氛圍,0.6741998624632421,經濟報酬
12,工作氛圍,工作氛圍,1.0,人際價值
13,工作環境,工作氛圍,-0.09090909090909091,組織文化與制度
14,變化性,工作氛圍,-0.13483997249264842,組織文化與制度
15,面試,工作氛圍,0.35675303400633784,招募資訊
16,徵才,工作氛圍,-0.09090909090909091,招募資訊
17,工作,工作氛圍,-0.09090909090909091,招募資訊
18,能力,工作氛圍,-0.09090909090909091,招募資訊
19,招募人員,工作氛圍,0.3223291856101522,招募資訊
20,正向,工作氛圍,0.9239766551809908,情緒
21,負向,工作氛圍,0.5222329678670935,情緒
22,福利,工作環境,-0.13483997249264845,經濟報酬
23,工作氛圍,工作環境,-0.09090909090909091,人際價值
24,工作環境,工作環境,1.0,組織文化與制度
25,變化性,工作環境,-0.13483997249264842,組織文化與制度
26,面試,工作環境,-0.2548235957188128,招募資訊
27,徵才,工作環境,-0.09090909090909091,招募資訊
28,工作,工作環境,-0.09090909090909091,招募資訊
29,能力,工作環境,-0.09090909090909091,招募資訊
30,招募人員,工作環境,-0.16116459280507608,招募資訊
31,正向,工作環境,0.11268007990012086,情緒
32,負向,工作環境,-0.17407765595569782,情緒
33,福利,變化性,-0.19999999999999998,經濟報酬
34,工作氛圍,變化性,-0.13483997249264842,人際價值
35,工作環境,變化性,-0.13483997249264842,組織文化與制度
36,變化性,變化性,1.0,組織文化與制度
37,面試,變化性,-0.3779644730092272,招募資訊
38,徵才,變化性,0.6741998624632419,招募資訊
39,工作,變化性,0.6741998624632419,招募資訊
40,能力,變化性,0.6741998624632419,招募資訊
41,招募人員,變化性,0.4780914437337576,招募資訊
42,正向,變化性,-0.23398419466270648,情緒
43,負向,變化性,-0.25819888974716115,情緒
44,福利,面試,0.07559289460184539,經濟報酬
45,工作氛圍,面試,0.35675303400633784,人際價值
46,工作環境,面試,-0.25482359571881275,組織文化與制度
47,變化性,面試,-0.3779644730092272,組織文化與制度
48,面試,面試,0.9999999999999998,招募資訊
49,徵才,面試,-0.25482359571881275,招募資訊
50,工作,面試,-0.25482359571881275,招募資訊
51,能力,面試,-0.25482359571881275,招募資訊
52,招募人員,面試,0.09035079029052512,招募資訊
53,正向,面試,0.3158489743863509,情緒
54,負向,面試,0.6831300510639732,情緒
55,福利,徵才,-0.13483997249264842,經濟報酬
56,工作氛圍,徵才,-0.09090909090909091,人際價值
57,工作環境,徵才,-0.09090909090909091,組織文化與制度
58,變化性,徵才,0.6741998624632418,組織文化與制度
59,面試,徵才,-0.2548235957188128,招募資訊
60,徵才,徵才,0.9999999999999998,招募資訊
61,工作,徵才,0.9999999999999998,招募資訊
62,能力,徵才,0.9999999999999998,招募資訊
63,招募人員,徵才,0.80582296402538,招募資訊
64,正向,徵才,-0.15775211186016916,情緒
65,負向,徵才,-0.17407765595569785,情緒
66,福利,工作,-0.13483997249264842,經濟報酬
67,工作氛圍,工作,-0.09090909090909091,人際價值
68,工作環境,工作,-0.09090909090909091,組織文化與制度
69,變化性,工作,0.6741998624632418,組織文化與制度
70,面試,工作,-0.2548235957188128,招募資訊
71,徵才,工作,0.9999999999999998,招募資訊
72,工作,工作,0.9999999999999998,招募資訊
73,能力,工作,0.9999999999999998,招募資訊
74,招募人員,工作,0.80582296402538,招募資訊
75,正向,工作,-0.15775211186016916,情緒
76,負向,工作,-0.17407765595569785,情緒
77,福利,能力,-0.13483997249264842,經濟報酬
78,工作氛圍,能力,-0.09090909090909091,人際價值
79,工作環境,能力,-0.09090909090909091,組織文化與制度
80,變化性,能力,0.6741998624632418,組織文化與制度
81,面試,能力,-0.2548235957188128,招募資訊
82,徵才,能力,0.9999999999999998,招募資訊
83,工作,能力,0.9999999999999998,招募資訊
84,能力,能力,0.9999999999999998,招募資訊
85,招募人員,能力,0.80582296402538,招募資訊
86,正向,能力,-0.15775211186016916,情緒
87,負向,能力,-0.17407765595569785,情緒
88,福利,招募人員,0.11952286093343936,經濟報酬
89,工作氛圍,招募人員,0.32232918561015217,人際價值
90,工作環境,招募人員,-0.16116459280507606,組織文化與制度
91,變化性,招募人員,0.47809144373375756,組織文化與制度
92,面試,招募人員,0.09035079029052512,招募資訊
93,徵才,招募人員,0.8058229640253801,招募資訊
94,工作,招募人員,0.8058229640253801,招募資訊
95,能力,招募人員,0.8058229640253801,招募資訊
96,招募人員,招募人員,0.9999999999999998,招募資訊
97,正向,招募人員,0.1997604311378105,情緒
98,負向,招募人員,0.3086066999241838,情緒
99,福利,正向,0.768805211034607,經濟報酬
100,工作氛圍,正向,0.9239766551809908,人際價值
101,工作環境,正向,0.11268007990012084,組織文化與制度
102,變化性,正向,-0.23398419466270645,組織文化與制度
103,面試,正向,0.3158489743863509,招募資訊
104,徵才,正向,-0.15775211186016916,招募資訊
105,工作,正向,-0.15775211186016916,招募資訊
106,能力,正向,-0.15775211186016916,招募資訊
107,招募人員,正向,0.19976043113781047,招募資訊
108,正向,正向,1.0,情緒
109,負向,正向,0.560991407602734,情緒
110,福利,負向,0.2581988897471611,經濟報酬
111,工作氛圍,負向,0.5222329678670935,人際價值
112,工作環境,負向,-0.17407765595569782,組織文化與制度
113,變化性,負向,-0.25819888974716115,組織文化與制度
114,面試,負向,0.6831300510639732,招募資訊
115,徵才,負向,-0.17407765595569785,招募資訊
116,工作,負向,-0.17407765595569785,招募資訊
117,能力,負向,-0.17407765595569785,招募資訊
118,招募人員,負向,0.30860669992418377,招募資訊
119,正向,負向,0.560991407602734,情緒
120,負向,負向,1.0,情緒
