,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.025474090105633382,成長價值
2,薪資,成就感,-0.04012861769525649,經濟報酬
3,福利,成就感,-0.04127702164562775,經濟報酬
4,管理制度,成就感,-0.051043499621468987,經濟報酬
5,工作氛圍,成就感,-0.025474090105633368,人際價值
6,同事互動,成就感,-0.03338902816470892,人際價值
7,主管風格,成就感,0.13644790877131865,人際價值
8,公司規模,成就感,-0.03338902816470891,組織文化與制度
9,工作環境,成就感,-0.04058206279647284,組織文化與制度
10,產業前景,成就感,-0.014492753623188432,組織文化與制度
11,面試,成就感,0.06716184142234471,招募資訊
12,學經歷,成就感,-0.038188876675080245,招募資訊
13,徵才,成就感,-0.049147318718299124,招募資訊
14,工作,成就感,-0.05640333466372095,招募資訊
15,離職,成就感,-0.025474090105633354,招募資訊
16,招募人員,成就感,0.1991851720619836,招募資訊
17,正向,成就感,0.07980775872255097,情緒
18,負向,成就感,0.12268781836795917,情緒
19,成就感,學習成長,-0.025474090105633385,成長價值
20,學習成長,學習成長,1.0,成長價值
21,薪資,學習成長,-0.07053456158585997,經濟報酬
22,福利,學習成長,-0.07255312523980999,經濟報酬
23,管理制度,學習成長,0.04112156716150422,經濟報酬
24,工作氛圍,學習成長,-0.04477611940298513,人際價值
25,同事互動,學習成長,0.21519044333785375,人際價值
26,主管風格,學習成長,0.12562846280853585,人際價值
27,公司規模,學習成長,0.2151904433378534,組織文化與制度
28,工作環境,學習成長,0.09510878344018328,組織文化與制度
29,產業前景,學習成長,-0.025474090105633385,組織文化與制度
30,面試,學習成長,-0.11149278980345857,招募資訊
31,學經歷,學習成長,0.12865635560128008,招募資訊
32,徵才,學習成長,-0.08638684255813597,招募資訊
33,工作,學習成長,0.34148508260684685,招募資訊
34,離職,學習成長,-0.04477611940298515,招募資訊
35,招募人員,學習成長,0.20157860600866406,招募資訊
36,正向,學習成長,0.14027907254105706,情緒
37,負向,學習成長,0.15195582068380786,情緒
38,成就感,薪資,-0.04012861769525648,成長價值
39,學習成長,薪資,-0.07053456158585998,成長價值
40,薪資,薪資,0.9999999999999998,經濟報酬
41,福利,薪資,0.2666787612158113,經濟報酬
42,管理制度,薪資,0.07949984100047726,經濟報酬
43,工作氛圍,薪資,-0.07053456158585995,人際價值
44,同事互動,薪資,-1.2056094270131433e-16,人際價值
45,主管風格,薪資,-0.08481385037752462,人際價值
46,公司規模,薪資,0.462250163521024,組織文化與制度
47,工作環境,薪資,-6.700409527228677e-17,組織文化與制度
48,產業前景,薪資,-0.040128617695256476,組織文化與制度
49,面試,薪資,0.16013456290488357,招募資訊
50,學經歷,薪資,-0.10574021142908574,招募資訊
51,徵才,薪資,0.2721655269759088,招募資訊
52,工作,薪資,0.1041158412590709,招募資訊
53,離職,薪資,-0.07053456158585988,招募資訊
54,招募人員,薪資,-0.050138069799682244,招募資訊
55,正向,薪資,0.15277469074420585,情緒
56,負向,薪資,0.06020127357141382,情緒
57,成就感,福利,-0.04127702164562775,成長價值
58,學習成長,福利,-0.07255312523980999,成長價值
59,薪資,福利,0.2666787612158113,經濟報酬
60,福利,福利,0.9999999999999999,經濟報酬
61,管理制度,福利,0.4199801119896303,經濟報酬
62,工作氛圍,福利,-0.07255312523980999,人際價值
63,同事互動,福利,0.2007577473096224,人際價值
64,主管風格,福利,-0.10486551638033548,人際價值
65,公司規模,福利,0.20075774730962231,組織文化與制度
66,工作環境,福利,0.24400720703841278,組織文化與制度
67,產業前景,福利,-0.04127702164562774,組織文化與制度
68,面試,福利,0.14995769119742883,招募資訊
69,學經歷,福利,-0.0030212859208507657,招募資訊
70,徵才,福利,-0.13997719076062567,招募資訊
71,工作,福利,0.017849239437799824,招募資訊
72,離職,福利,-0.07255312523980986,招募資訊
73,招募人員,福利,-0.07449422505904475,招募資訊
74,正向,福利,0.4237351454519866,情緒
75,負向,福利,0.07421064979608531,情緒
76,成就感,管理制度,-0.05104349962146898,成長價值
77,學習成長,管理制度,0.041121567161504224,成長價值
78,薪資,管理制度,0.07949984100047726,經濟報酬
79,福利,管理制度,0.41998011198963037,經濟報酬
80,管理制度,管理制度,1.0,經濟報酬
81,工作氛圍,管理制度,0.17196291722083534,人際價值
82,同事互動,管理制度,-0.014699525800946396,人際價值
83,主管風格,管理制度,-0.03432640970004371,人際價值
84,公司規模,管理制度,0.088197154805678,組織文化與制度
85,工作環境,管理制度,0.2322613880962749,組織文化與制度
86,產業前景,管理制度,-0.05104349962146898,組織文化與制度
87,面試,管理制度,0.17905074575077215,招募資訊
88,學經歷,管理制度,-0.06094589247077632,招募資訊
89,徵才,管理制度,-0.09736702254178102,招募資訊
90,工作,管理制度,-0.03310877130290815,招募資訊
91,離職,管理制度,-0.08971978289782714,招募資訊
92,招募人員,管理制度,0.08769130869720206,招募資訊
93,正向,管理制度,0.3569928164921262,情緒
94,負向,管理制度,0.2167370516563277,情緒
95,成就感,工作氛圍,-0.025474090105633368,成長價值
96,學習成長,工作氛圍,-0.044776119402985134,成長價值
97,薪資,工作氛圍,-0.07053456158585995,經濟報酬
98,福利,工作氛圍,-0.07255312523980999,經濟報酬
99,管理制度,工作氛圍,0.17196291722083534,經濟報酬
100,工作氛圍,工作氛圍,1.0,人際價值
101,同事互動,工作氛圍,-0.0586883027285054,人際價值
102,主管風格,工作氛圍,0.23983615627084093,人際價值
103,公司規模,工作氛圍,-0.05868830272850537,組織文化與制度
104,工作環境,工作氛圍,0.09510878344018334,組織文化與制度
105,產業前景,工作氛圍,-0.025474090105633368,組織文化與制度
106,面試,工作氛圍,0.5006244875488632,招募資訊
107,學經歷,工作氛圍,-0.06712505509632025,招募資訊
108,徵才,工作氛圍,-0.086386842558136,招募資訊
109,工作,工作氛圍,0.011015647826027297,招募資訊
110,離職,工作氛圍,-0.0447761194029851,招募資訊
111,招募人員,工作氛圍,0.20157860600866404,招募資訊
112,正向,工作氛圍,0.180688681915024,情緒
113,負向,工作氛圍,0.2793439338319102,情緒
114,成就感,同事互動,-0.03338902816470893,成長價值
115,學習成長,同事互動,0.21519044333785375,成長價值
116,薪資,同事互動,-1.2056094270131433e-16,經濟報酬
117,福利,同事互動,0.2007577473096224,經濟報酬
118,管理制度,同事互動,-0.014699525800946394,經濟報酬
119,工作氛圍,同事互動,-0.0586883027285054,人際價值
120,同事互動,同事互動,1.0,人際價值
121,主管風格,同事互動,0.044907793108528736,人際價值
122,公司規模,同事互動,-0.07692307692307679,組織文化與制度
123,工作環境,同事互動,0.03739787960033833,組織文化與制度
124,產業前景,同事互動,-0.03338902816470892,組織文化與制度
125,面試,同事互動,0.09455742659260477,招募資訊
126,學經歷,同事互動,0.06598588053218747,招募資訊
127,徵才,同事互動,0.04529108136578393,招募資訊
128,工作,同事互動,0.563092506371473,招募資訊
129,離職,同事互動,-0.058688302728505275,招募資訊
130,招募人員,同事互動,-0.00834347914687152,招募資訊
131,正向,同事互動,0.2792017115595359,情緒
132,負向,同事互動,0.23256297718925092,情緒
133,成就感,主管風格,0.13644790877131865,成長價值
134,學習成長,主管風格,0.12562846280853585,成長價值
135,薪資,主管風格,-0.08481385037752462,經濟報酬
136,福利,主管風格,-0.10486551638033546,經濟報酬
137,管理制度,主管風格,-0.03432640970004371,經濟報酬
138,工作氛圍,主管風格,0.23983615627084093,人際價值
139,同事互動,主管風格,0.044907793108528736,人際價值
140,主管風格,主管風格,1.0,人際價值
141,公司規模,主管風格,-0.13472337932558645,組織文化與制度
142,工作環境,主管風格,-0.10916465558632774,組織文化與制度
143,產業前景,主管風格,0.3313734927303442,組織文化與制度
144,面試,主管風格,0.29608747487970194,招募資訊
145,學經歷,主管風格,0.35954467288419406,招募資訊
146,徵才,主管風格,0.06610248162817534,招募資訊
147,工作,主管風格,0.06141187288722592,招募資訊
148,離職,主管風格,-0.1027869241160744,招募資訊
149,招募人員,主管風格,0.4627387356362848,招募資訊
150,正向,主管風格,0.13649453238190107,情緒
151,負向,主管風格,0.13994812686186614,情緒
152,成就感,公司規模,-0.03338902816470891,成長價值
153,學習成長,公司規模,0.21519044333785337,成長價值
154,薪資,公司規模,0.46225016352102405,經濟報酬
155,福利,公司規模,0.20075774730962231,經濟報酬
156,管理制度,公司規模,0.088197154805678,經濟報酬
157,工作氛圍,公司規模,-0.05868830272850537,人際價值
158,同事互動,公司規模,-0.07692307692307679,人際價值
159,主管風格,公司規模,-0.13472337932558645,人際價值
160,公司規模,公司規模,1.0,組織文化與制度
161,工作環境,公司規模,0.037397879600338316,組織文化與制度
162,產業前景,公司規模,-0.03338902816470891,組織文化與制度
163,面試,公司規模,0.09455742659260521,招募資訊
164,學經歷,公司規模,-0.08798117404291675,招募資訊
165,徵才,公司規模,0.0452910813657839,招募資訊
166,工作,公司規模,-0.043314808182420964,招募資訊
167,離職,公司規模,-0.05868830272850525,招募資訊
168,招募人員,公司規模,-0.12515218720307078,招募資訊
169,正向,公司規模,0.27920171155953577,情緒
170,負向,公司規模,0.08229151500542714,情緒
171,成就感,工作環境,-0.04058206279647285,成長價值
172,學習成長,工作環境,0.0951087834401833,成長價值
173,薪資,工作環境,-6.700409527228679e-17,經濟報酬
174,福利,工作環境,0.24400720703841278,經濟報酬
175,管理制度,工作環境,0.2322613880962749,經濟報酬
176,工作氛圍,工作環境,0.09510878344018332,人際價值
177,同事互動,工作環境,0.03739787960033833,人際價值
178,主管風格,工作環境,-0.10916465558632775,人際價值
179,公司規模,工作環境,0.037397879600338316,組織文化與制度
180,工作環境,工作環境,1.0,組織文化與制度
181,產業前景,工作環境,-0.04058206279647285,組織文化與制度
182,面試,工作環境,0.1514960471756339,招募資訊
183,學經歷,工作環境,-0.013366881750435738,招募資訊
184,徵才,工作環境,-0.1376204706407949,招募資訊
185,工作,工作環境,0.05264616439283258,招募資訊
186,離職,工作環境,-0.0713315875801375,招募資訊
187,招募人員,工作環境,0.060845543573612625,招募資訊
188,正向,工作環境,0.2814125598143572,情緒
189,負向,工作環境,0.008697362220419795,情緒
190,成就感,產業前景,-0.014492753623188432,成長價值
191,學習成長,產業前景,-0.025474090105633382,成長價值
192,薪資,產業前景,-0.04012861769525647,經濟報酬
193,福利,產業前景,-0.041277021645627736,經濟報酬
194,管理制度,產業前景,-0.051043499621468987,經濟報酬
195,工作氛圍,產業前景,-0.025474090105633368,人際價值
196,同事互動,產業前景,-0.033389028164708914,人際價值
197,主管風格,產業前景,0.3313734927303442,人際價值
198,公司規模,產業前景,-0.03338902816470891,組織文化與制度
199,工作環境,產業前景,-0.04058206279647284,組織文化與制度
200,產業前景,產業前景,1.0,組織文化與制度
201,面試,產業前景,-0.06343062800999238,招募資訊
202,學經歷,產業前景,0.6301164651388255,招募資訊
203,徵才,產業前景,0.2948839123097946,招募資訊
204,工作,產業前景,-0.05640333466372095,招募資訊
205,離職,產業前景,-0.025474090105633354,招募資訊
206,招募人員,產業前景,-0.05432322874417719,招募資訊
207,正向,產業前景,0.010838090690716801,情緒
208,負向,產業前景,0.2313985435041247,情緒
209,成就感,面試,0.06716184142234473,成長價值
210,學習成長,面試,-0.11149278980345857,成長價值
211,薪資,面試,0.16013456290488357,經濟報酬
212,福利,面試,0.14995769119742886,經濟報酬
213,管理制度,面試,0.17905074575077215,經濟報酬
214,工作氛圍,面試,0.5006244875488632,人際價值
215,同事互動,面試,0.09455742659260477,人際價值
216,主管風格,面試,0.29608747487970194,人際價值
217,公司規模,面試,0.09455742659260521,組織文化與制度
218,工作環境,面試,0.1514960471756339,組織文化與制度
219,產業前景,面試,-0.0634306280099924,組織文化與制度
220,面試,面試,1.0,招募資訊
221,學經歷,面試,0.004915934285419352,招募資訊
222,徵才,面試,0.006326580150009327,招募資訊
223,工作,面試,0.04356374591132717,招募資訊
224,離職,面試,0.041536529534621856,招募資訊
225,招募人員,面試,0.3170095993591741,招募資訊
226,正向,面試,0.34929568165305336,情緒
227,負向,面試,0.3830355139035191,情緒
228,成就感,學經歷,-0.038188876675080245,成長價值
229,學習成長,學經歷,0.12865635560128008,成長價值
230,薪資,學經歷,-0.10574021142908575,經濟報酬
231,福利,學經歷,-0.0030212859208507657,經濟報酬
232,管理制度,學經歷,-0.06094589247077631,經濟報酬
