,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.04252798781570875,經濟報酬
2,福利,學習成長,-0.025210084033613394,經濟報酬
3,管理制度,學習成長,0.07948282059839022,經濟報酬
4,工作氛圍,學習成長,-0.025210084033613456,人際價值
5,同事互動,學習成長,0.5073369786456869,人際價值
6,主管風格,學習成長,0.04098753546014163,人際價值
7,工作地點,學習成長,-0.020498001542269686,組織文化與制度
8,產業前景,學習成長,-0.014434257927953477,組織文化與制度
9,變化性,學習成長,-0.014434257927953472,組織文化與制度
10,工學院,學習成長,-0.021875816085705053,科系專業
11,面試,學習成長,0.01740094395576015,招募資訊
12,學經歷,學習成長,0.20731225044777687,招募資訊
13,徵才,學習成長,-0.03282307143657466,招募資訊
14,工作,學習成長,0.2836306843951801,招募資訊
15,離職,學習成長,-0.03917303733717801,招募資訊
16,招募人員,學習成長,0.006558311247659712,招募資訊
17,正向,學習成長,0.16888711656412214,情緒
18,負向,學習成長,0.04486182624462016,情緒
19,學習成長,薪資,-0.04252798781570874,成長價值
20,薪資,薪資,0.9999999999999999,經濟報酬
21,福利,薪資,0.575140406650538,經濟報酬
22,管理制度,薪資,-0.0396036745582833,經濟報酬
23,工作氛圍,薪資,-0.042527987815708754,人際價值
24,同事互動,薪資,0.062432741172278906,人際價值
25,主管風格,薪資,-0.1225728468715256,人際價值
26,工作地點,薪資,0.11608654485149825,組織文化與制度
27,產業前景,薪資,0.40003206434653976,組織文化與制度
28,變化性,薪資,-0.024349777829789365,組織文化與制度
29,工學院,薪資,-0.03690326611807836,科系專業
30,面試,薪資,-0.012287892386700763,招募資訊
31,學經歷,薪資,-0.07908332943239171,招募資訊
32,徵才,薪資,-0.05537066755777548,招募資訊
33,工作,薪資,-0.02921812575456357,招募資訊
34,離職,薪資,0.01618351870163248,招募資訊
35,招募人員,薪資,0.05926875342681993,招募資訊
36,正向,薪資,0.34345789361371665,情緒
37,負向,薪資,0.029668323248393913,情緒
38,學習成長,福利,-0.025210084033613394,成長價值
39,薪資,福利,0.575140406650538,經濟報酬
40,福利,福利,1.0,經濟報酬
41,管理制度,福利,-0.051556424171928475,經濟報酬
42,工作氛圍,福利,-0.025210084033613415,人際價值
43,同事互動,福利,-0.019429926841749573,人際價值
44,主管風格,福利,-0.07265972195206932,人際價值
45,工作地點,福利,-0.020498001542269658,組織文化與制度
46,產業前景,福利,-0.01443425792795346,組織文化與制度
47,變化性,福利,-0.01443425792795345,組織文化與制度
48,工學院,福利,-0.02187581608570502,科系專業
49,面試,福利,0.01740094395576011,招募資訊
50,學經歷,福利,-0.04687965462386886,招募資訊
51,徵才,福利,-0.03282307143657459,招募資訊
52,工作,福利,-0.07494904095416642,招募資訊
53,離職,福利,-0.03917303733717806,招募資訊
54,招募人員,福利,0.006558311247659658,招募資訊
55,正向,福利,0.20128370181698818,情緒
56,負向,福利,0.0024343626644366787,情緒
57,學習成長,管理制度,0.07948282059839022,成長價值
58,薪資,管理制度,-0.0396036745582833,經濟報酬
59,福利,管理制度,-0.051556424171928475,經濟報酬
60,管理制度,管理制度,0.9999999999999999,經濟報酬
61,工作氛圍,管理制度,0.07948282059839004,人際價值
62,同事互動,管理制度,0.061259033779637664,人際價值
63,主管風格,管理制度,0.02571824872937637,人際價值
64,工作地點,管理制度,-0.041919878600207676,組織文化與制度
65,產業前景,管理制度,-0.029519089398843738,組織文化與制度
66,變化性,管理制度,-0.029519089398843734,組織文化與制度
67,工學院,管理制度,-0.0447376078444611,科系專業
68,面試,管理制度,-0.07168958974823417,招募資訊
69,學經歷,管理制度,0.0015978707538877304,招募資訊
70,徵才,管理制度,0.13760733174368436,招募資訊
71,工作,管理制度,0.12171929322143596,招募資訊
72,離職,管理制度,-0.08011166191931458,招募資訊
73,招募人員,管理制度,-0.15277351569043382,招募資訊
74,正向,管理制度,0.08451372901123363,情緒
75,負向,管理制度,0.05920794334422635,情緒
76,學習成長,工作氛圍,-0.025210084033613456,成長價值
77,薪資,工作氛圍,-0.042527987815708754,經濟報酬
78,福利,工作氛圍,-0.025210084033613418,經濟報酬
79,管理制度,工作氛圍,0.07948282059839006,經濟報酬
80,工作氛圍,工作氛圍,0.9999999999999998,人際價值
81,同事互動,工作氛圍,-0.01942992684174961,人際價值
82,主管風格,工作氛圍,0.15463479287235257,人際價值
83,工作地點,工作氛圍,-0.020498001542269696,組織文化與制度
