,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.3333333333333333,經濟報酬
2,福利,學習成長,-0.3333333333333333,經濟報酬
3,管理制度,學習成長,-0.5222329678670935,經濟報酬
4,主管風格,學習成長,-0.3333333333333333,人際價值
5,工作地點,學習成長,-0.3333333333333333,組織文化與制度
6,工作環境,學習成長,-0.3333333333333333,組織文化與制度
7,工學院,學習成長,-0.3333333333333333,科系專業
8,文學院,學習成長,-0.3333333333333333,科系專業
9,面試,學習成長,-0.3086066999241838,招募資訊
10,徵才,學習成長,-0.3333333333333333,招募資訊
11,招募人員,學習成長,-0.3333333333333333,招募資訊
12,正向,學習成長,-0.44022545316281186,情緒
13,負向,學習成長,-0.3333333333333333,情緒
14,學習成長,薪資,-0.3333333333333333,成長價值
15,薪資,薪資,1.0,經濟報酬
16,福利,薪資,1.0,經濟報酬
17,管理制度,薪資,0.17407765595569782,經濟報酬
18,主管風格,薪資,1.0,人際價值
19,工作地點,薪資,1.0,組織文化與制度
20,工作環境,薪資,1.0,組織文化與制度
21,工學院,薪資,-0.3333333333333333,科系專業
22,文學院,薪資,-0.3333333333333333,科系專業
23,面試,薪資,0.0,招募資訊
24,徵才,薪資,1.0,招募資訊
25,招募人員,薪資,1.0,招募資訊
26,正向,薪資,0.9684959969581861,情緒
27,負向,薪資,-0.3333333333333333,情緒
28,學習成長,福利,-0.3333333333333333,成長價值
29,薪資,福利,1.0,經濟報酬
30,福利,福利,1.0,經濟報酬
31,管理制度,福利,0.17407765595569782,經濟報酬
32,主管風格,福利,1.0,人際價值
33,工作地點,福利,1.0,組織文化與制度
34,工作環境,福利,1.0,組織文化與制度
35,工學院,福利,-0.3333333333333333,科系專業
36,文學院,福利,-0.3333333333333333,科系專業
37,面試,福利,0.0,招募資訊
38,徵才,福利,1.0,招募資訊
39,招募人員,福利,1.0,招募資訊
40,正向,福利,0.9684959969581862,情緒
41,負向,福利,-0.3333333333333333,情緒
42,學習成長,管理制度,-0.5222329678670935,成長價值
43,薪資,管理制度,0.17407765595569782,經濟報酬
44,福利,管理制度,0.17407765595569782,經濟報酬
45,管理制度,管理制度,1.0,經濟報酬
46,主管風格,管理制度,0.17407765595569782,人際價值
47,工作地點,管理制度,0.17407765595569782,組織文化與制度
48,工作環境,管理制度,0.17407765595569782,組織文化與制度
49,工學院,管理制度,-0.5222329678670935,科系專業
50,文學院,管理制度,-0.5222329678670935,科系專業
51,面試,管理制度,-0.6446583712203042,招募資訊
52,徵才,管理制度,0.17407765595569782,招募資訊
53,招募人員,管理制度,0.17407765595569782,招募資訊
54,正向,管理制度,0.04598004898717028,情緒
55,負向,管理制度,-0.5222329678670935,情緒
56,學習成長,主管風格,-0.3333333333333333,成長價值
57,薪資,主管風格,1.0,經濟報酬
58,福利,主管風格,1.0,經濟報酬
59,管理制度,主管風格,0.17407765595569782,經濟報酬
60,主管風格,主管風格,1.0,人際價值
61,工作地點,主管風格,1.0,組織文化與制度
62,工作環境,主管風格,1.0,組織文化與制度
63,工學院,主管風格,-0.3333333333333333,科系專業
64,文學院,主管風格,-0.3333333333333333,科系專業
65,面試,主管風格,0.0,招募資訊
66,徵才,主管風格,1.0,招募資訊
67,招募人員,主管風格,1.0,招募資訊
68,正向,主管風格,0.9684959969581861,情緒
69,負向,主管風格,-0.3333333333333333,情緒
70,學習成長,工作地點,-0.3333333333333333,成長價值
71,薪資,工作地點,1.0,經濟報酬
72,福利,工作地點,1.0,經濟報酬
73,管理制度,工作地點,0.17407765595569782,經濟報酬
74,主管風格,工作地點,1.0,人際價值
75,工作地點,工作地點,1.0,組織文化與制度
76,工作環境,工作地點,1.0,組織文化與制度
77,工學院,工作地點,-0.3333333333333333,科系專業
78,文學院,工作地點,-0.3333333333333333,科系專業
79,面試,工作地點,0.0,招募資訊
80,徵才,工作地點,1.0,招募資訊
81,招募人員,工作地點,1.0,招募資訊
82,正向,工作地點,0.9684959969581861,情緒
83,負向,工作地點,-0.3333333333333333,情緒
84,學習成長,工作環境,-0.3333333333333333,成長價值
85,薪資,工作環境,1.0,經濟報酬
86,福利,工作環境,1.0,經濟報酬
87,管理制度,工作環境,0.17407765595569782,經濟報酬
88,主管風格,工作環境,1.0,人際價值
89,工作地點,工作環境,1.0,組織文化與制度
90,工作環境,工作環境,1.0,組織文化與制度
91,工學院,工作環境,-0.3333333333333333,科系專業
92,文學院,工作環境,-0.3333333333333333,科系專業
93,面試,工作環境,0.0,招募資訊
94,徵才,工作環境,1.0,招募資訊
95,招募人員,工作環境,1.0,招募資訊
96,正向,工作環境,0.9684959969581861,情緒
97,負向,工作環境,-0.3333333333333333,情緒
98,學習成長,工學院,-0.3333333333333333,成長價值
99,薪資,工學院,-0.3333333333333333,經濟報酬
100,福利,工學院,-0.3333333333333333,經濟報酬
101,管理制度,工學院,-0.5222329678670935,經濟報酬
102,主管風格,工學院,-0.3333333333333333,人際價值
103,工作地點,工學院,-0.3333333333333333,組織文化與制度
104,工作環境,工學院,-0.3333333333333333,組織文化與制度
105,工學院,工學院,1.0,科系專業
106,文學院,工學院,1.0,科系專業
107,面試,工學院,0.9258200997725515,招募資訊
108,徵才,工學院,-0.3333333333333333,招募資訊
109,招募人員,工學院,-0.3333333333333333,招募資訊
110,正向,工學院,-0.08804509063256237,情緒
111,負向,工學院,1.0,情緒
112,學習成長,文學院,-0.3333333333333333,成長價值
113,薪資,文學院,-0.3333333333333333,經濟報酬
114,福利,文學院,-0.3333333333333333,經濟報酬
115,管理制度,文學院,-0.5222329678670935,經濟報酬
116,主管風格,文學院,-0.3333333333333333,人際價值
117,工作地點,文學院,-0.3333333333333333,組織文化與制度
118,工作環境,文學院,-0.3333333333333333,組織文化與制度
119,工學院,文學院,1.0,科系專業
120,文學院,文學院,1.0,科系專業
121,面試,文學院,0.9258200997725515,招募資訊
122,徵才,文學院,-0.3333333333333333,招募資訊
123,招募人員,文學院,-0.3333333333333333,招募資訊
124,正向,文學院,-0.08804509063256237,情緒
125,負向,文學院,1.0,情緒
126,學習成長,面試,-0.3086066999241838,成長價值
127,薪資,面試,0.0,經濟報酬
128,福利,面試,0.0,經濟報酬
129,管理制度,面試,-0.6446583712203042,經濟報酬
130,主管風格,面試,0.0,人際價值
131,工作地點,面試,0.0,組織文化與制度
132,工作環境,面試,0.0,組織文化與制度
133,工學院,面試,0.9258200997725515,科系專業
134,文學院,面試,0.9258200997725515,科系專業
135,面試,面試,1.0,招募資訊
136,徵才,面試,0.0,招募資訊
137,招募人員,面試,0.0,招募資訊
138,正向,面試,0.24454174378176677,情緒
139,負向,面試,0.9258200997725515,情緒
140,學習成長,徵才,-0.3333333333333333,成長價值
141,薪資,徵才,1.0,經濟報酬
142,福利,徵才,1.0,經濟報酬
143,管理制度,徵才,0.17407765595569782,經濟報酬
144,主管風格,徵才,1.0,人際價值
145,工作地點,徵才,1.0,組織文化與制度
146,工作環境,徵才,1.0,組織文化與制度
147,工學院,徵才,-0.3333333333333333,科系專業
148,文學院,徵才,-0.3333333333333333,科系專業
149,面試,徵才,0.0,招募資訊
150,徵才,徵才,1.0,招募資訊
151,招募人員,徵才,1.0,招募資訊
152,正向,徵才,0.9684959969581861,情緒
153,負向,徵才,-0.3333333333333333,情緒
154,學習成長,招募人員,-0.3333333333333333,成長價值
155,薪資,招募人員,1.0,經濟報酬
156,福利,招募人員,1.0,經濟報酬
157,管理制度,招募人員,0.17407765595569782,經濟報酬
158,主管風格,招募人員,1.0,人際價值
159,工作地點,招募人員,1.0,組織文化與制度
160,工作環境,招募人員,1.0,組織文化與制度
161,工學院,招募人員,-0.3333333333333333,科系專業
162,文學院,招募人員,-0.3333333333333333,科系專業
163,面試,招募人員,0.0,招募資訊
164,徵才,招募人員,1.0,招募資訊
165,招募人員,招募人員,1.0,招募資訊
166,正向,招募人員,0.9684959969581861,情緒
167,負向,招募人員,-0.3333333333333333,情緒
168,學習成長,正向,-0.44022545316281186,成長價值
169,薪資,正向,0.9684959969581861,經濟報酬
170,福利,正向,0.9684959969581861,經濟報酬
171,管理制度,正向,0.045980048987170286,經濟報酬
172,主管風格,正向,0.9684959969581861,人際價值
173,工作地點,正向,0.9684959969581861,組織文化與制度
174,工作環境,正向,0.9684959969581861,組織文化與制度
175,工學院,正向,-0.08804509063256237,科系專業
176,文學院,正向,-0.08804509063256237,科系專業
177,面試,正向,0.24454174378176674,招募資訊
178,徵才,正向,0.9684959969581861,招募資訊
179,招募人員,正向,0.9684959969581861,招募資訊
180,正向,正向,0.9999999999999999,情緒
181,負向,正向,-0.08804509063256237,情緒
182,學習成長,負向,-0.3333333333333333,成長價值
183,薪資,負向,-0.3333333333333333,經濟報酬
184,福利,負向,-0.3333333333333333,經濟報酬
185,管理制度,負向,-0.5222329678670935,經濟報酬
186,主管風格,負向,-0.3333333333333333,人際價值
187,工作地點,負向,-0.3333333333333333,組織文化與制度
