,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,-0.18144368465060579,經濟報酬
2,福利,學習成長,-0.1338698881504165,經濟報酬
3,管理制度,學習成長,-0.07647191129018728,經濟報酬
4,主管風格,學習成長,-0.2242305278255807,人際價值
5,工作地點,學習成長,0.5886650060803955,組織文化與制度
6,工作環境,學習成長,-0.07647191129018727,組織文化與制度
7,產業前景,學習成長,-0.07647191129018728,組織文化與制度
8,變化性,學習成長,-0.1111111111111111,組織文化與制度
9,面試,學習成長,-0.2397316507426921,招募資訊
10,學經歷,學習成長,-0.07647191129018727,招募資訊
11,徵才,學習成長,-0.14002800840280094,招募資訊
12,工作,學習成長,-0.20672455764868078,招募資訊
13,離職,學習成長,-0.07647191129018725,招募資訊
14,招募人員,學習成長,-0.1111111111111111,招募資訊
15,正向,學習成長,-0.23870495801314426,情緒
16,負向,學習成長,-0.25455815916841124,情緒
17,學習成長,薪資,-0.18144368465060576,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.5465215298199604,經濟報酬
20,管理制度,薪資,-0.12487810821089255,經濟報酬
21,主管風格,薪資,-0.2644538856688531,人際價值
22,工作地點,薪資,-0.0351689974226665,組織文化與制度
23,工作環境,薪資,0.1873171623163389,組織文化與制度
24,產業前景,薪資,0.4995124328435702,組織文化與制度
25,變化性,薪資,0.2721655269759087,組織文化與制度
26,面試,薪資,0.13049338211437858,招募資訊
27,學經歷,薪資,-0.12487810821089254,招募資訊
28,徵才,薪資,0.3429971702850177,招募資訊
29,工作,薪資,0.08439494725697223,招募資訊
30,離職,薪資,-0.12487810821089253,招募資訊
31,招募人員,薪資,0.2721655269759087,招募資訊
32,正向,薪資,0.6821562372388005,情緒
33,負向,薪資,0.2953599157064798,情緒
34,學習成長,福利,-0.1338698881504165,成長價值
35,薪資,福利,0.5465215298199604,經濟報酬
36,福利,福利,1.0,經濟報酬
37,管理制度,福利,-0.09213557589959344,經濟報酬
38,主管風格,福利,-0.15008857839959666,人際價值
39,工作地點,福利,-0.08649276423151474,組織文化與制度
40,工作環境,福利,0.6449490312971542,組織文化與制度
41,產業前景,福利,-0.09213557589959344,組織文化與制度
42,變化性,福利,-0.13386988815041642,組織文化與制度
43,面試,福利,0.17330138606361006,招募資訊
44,學經歷,福利,-0.09213557589959344,招募資訊
45,徵才,福利,0.7310758190895335,招募資訊
46,工作,福利,-0.049813548138671795,招募資訊
47,離職,福利,-0.09213557589959345,招募資訊
48,招募人員,福利,-0.13386988815041642,招募資訊
49,正向,福利,0.6039571739702032,情緒
50,負向,福利,0.20984671887321998,情緒
51,學習成長,管理制度,-0.0764719112901873,成長價值
52,薪資,管理制度,-0.12487810821089257,經濟報酬
53,福利,管理制度,-0.09213557589959344,經濟報酬
54,管理制度,管理制度,1.0,經濟報酬
55,主管風格,管理制度,0.5315674480053199,人際價值
56,工作地點,管理制度,-0.08893471678278106,組織文化與制度
57,工作環境,管理制度,-0.052631578947368425,組織文化與制度
58,產業前景,管理制度,-0.052631578947368446,組織文化與制度
59,變化性,管理制度,0.6882472016116856,組織文化與制度
60,面試,管理制度,0.4949839132842236,招募資訊
61,學經歷,管理制度,-0.052631578947368446,招募資訊
62,徵才,管理制度,-0.09637388493048535,招募資訊
63,工作,管理制度,-0.14227759830611805,招募資訊
64,離職,管理制度,-0.052631578947368446,招募資訊
65,招募人員,管理制度,-0.07647191129018728,招募資訊
66,正向,管理制度,0.24643202904507205,情緒
67,負向,管理制度,0.009220996878688483,情緒
68,學習成長,主管風格,-0.2242305278255807,成長價值
69,薪資,主管風格,-0.26445388566885314,經濟報酬
70,福利,主管風格,-0.15008857839959666,經濟報酬
71,管理制度,主管風格,0.53156744800532,經濟報酬
72,主管風格,主管風格,0.9999999999999999,人際價值
73,工作地點,主管風格,-0.19638528211163914,組織文化與制度
74,工作環境,主管風格,-0.15432603329186712,組織文化與制度
75,產業前景,主管風格,-0.15432603329186712,組織文化與制度
76,變化性,主管風格,0.2740595340090429,組織文化與制度
77,面試,主管風格,0.6629802398512236,招募資訊
78,學經歷,主管風格,0.5315674480053199,招募資訊
79,徵才,主管風格,-0.28258698811072447,招募資訊
80,工作,主管風格,0.13906187002822018,招募資訊
81,離職,主管風格,-0.1543260332918671,招募資訊
82,招募人員,主管風格,-0.2242305278255807,招募資訊
83,正向,主管風格,0.08028740809480567,情緒
84,負向,主管風格,0.20728947458380168,情緒
85,學習成長,工作地點,0.5886650060803955,成長價值
86,薪資,工作地點,-0.0351689974226665,經濟報酬
87,福利,工作地點,-0.08649276423151474,經濟報酬
88,管理制度,工作地點,-0.08893471678278106,經濟報酬
89,主管風格,工作地點,-0.1963852821116391,人際價值
90,工作地點,工作地點,1.0,組織文化與制度
91,工作環境,工作地點,-0.08893471678278106,組織文化與制度
92,產業前景,工作地點,-0.08893471678278106,組織文化與制度
93,變化性,工作地點,0.014357683075131607,組織文化與制度
94,面試,工作地點,-0.23749738344647806,招募資訊
95,學經歷,工作地點,-0.08893471678278106,招募資訊
96,徵才,工作地點,-0.16284869906943175,招募資訊
97,工作,工作地點,-0.13356385571549387,招募資訊
98,離職,工作地點,-0.08893471678278105,招募資訊
99,招募人員,工作地點,-0.1292191476761844,招募資訊
100,正向,工作地點,-0.1079583792718826,情緒
101,負向,工作地點,-0.22679401449424402,情緒
102,學習成長,工作環境,-0.07647191129018727,成長價值
103,薪資,工作環境,0.18731716231633888,經濟報酬
104,福利,工作環境,0.6449490312971541,經濟報酬
105,管理制度,工作環境,-0.052631578947368425,經濟報酬
106,主管風格,工作環境,-0.15432603329186714,人際價值
107,工作地點,工作環境,-0.08893471678278106,組織文化與制度
108,工作環境,工作環境,0.9999999999999999,組織文化與制度
109,產業前景,工作環境,-0.05263157894736843,組織文化與制度
110,變化性,工作環境,-0.07647191129018725,組織文化與制度
111,面試,工作環境,0.27499106293567976,招募資訊
112,學經歷,工作環境,-0.05263157894736843,招募資訊
113,徵才,工作環境,0.5461186812727501,招募資訊
114,工作,工作環境,0.14227759830611814,招募資訊
115,離職,工作環境,-0.05263157894736843,招募資訊
116,招募人員,工作環境,-0.07647191129018727,招募資訊
117,正向,工作環境,0.08214400968169072,情緒
118,負向,工作環境,0.00922099687868848,情緒
119,學習成長,產業前景,-0.07647191129018728,成長價值
120,薪資,產業前景,0.4995124328435703,經濟報酬
121,福利,產業前景,-0.09213557589959345,經濟報酬
122,管理制度,產業前景,-0.05263157894736844,經濟報酬
123,主管風格,產業前景,-0.15432603329186714,人際價值
124,工作地點,產業前景,-0.08893471678278106,組織文化與制度
125,工作環境,產業前景,-0.05263157894736843,組織文化與制度
126,產業前景,產業前景,1.0,組織文化與制度
127,變化性,產業前景,-0.07647191129018725,組織文化與制度
128,面試,產業前景,0.05499821258713592,招募資訊
129,學經歷,產業前景,-0.05263157894736843,招募資訊
