,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.23622779563076698,經濟報酬
2,福利,學習成長,-0.12500000000000006,經濟報酬
3,管理制度,學習成長,1.0,經濟報酬
4,工作氛圍,學習成長,-0.18898223650461363,人際價值
5,同事互動,學習成長,-0.12500000000000003,人際價值
6,主管風格,學習成長,0.3952847075210474,人際價值
7,工作環境,學習成長,-0.12500000000000003,組織文化與制度
8,管理學院/商學院,學習成長,-0.12500000000000003,科系專業
9,面試,學習成長,0.125,招募資訊
10,徵才,學習成長,1.0,招募資訊
11,工作,學習成長,-0.25000000000000006,招募資訊
12,能力,學習成長,-0.18898223650461363,招募資訊
13,招募人員,學習成長,0.3952847075210474,招募資訊
14,正向,學習成長,-0.3592106040535499,情緒
15,負向,學習成長,-0.12500000000000006,情緒
16,學習成長,薪資,-0.23622779563076696,成長價值
17,薪資,薪資,1.0,經濟報酬
18,福利,薪資,0.6141922686399944,經濟報酬
19,管理制度,薪資,-0.23622779563076696,經濟報酬
20,工作氛圍,薪資,0.28571428571428575,人際價值
21,同事互動,薪資,-0.236227795630767,人際價值
22,主管風格,薪資,0.47809144373375745,人際價值
23,工作環境,薪資,0.6141922686399944,組織文化與制度
24,管理學院/商學院,薪資,0.6141922686399944,科系專業
25,面試,薪資,0.3779644730092273,招募資訊
26,徵才,薪資,-0.23622779563076696,招募資訊
27,工作,薪資,-0.18898223650461365,招募資訊
28,能力,薪資,-0.3571428571428572,招募資訊
29,招募人員,薪資,0.47809144373375745,招募資訊
30,正向,薪資,0.23759548165574573,情緒
31,負向,薪資,-0.23622779563076696,情緒
32,學習成長,福利,-0.12500000000000006,成長價值
33,薪資,福利,0.6141922686399944,經濟報酬
34,福利,福利,1.0,經濟報酬
35,管理制度,福利,-0.12500000000000006,經濟報酬
36,工作氛圍,福利,-0.18898223650461363,人際價值
37,同事互動,福利,-0.12500000000000003,人際價值
38,主管風格,福利,0.39528470752104744,人際價值
39,工作環境,福利,-0.12500000000000003,組織文化與制度
40,管理學院/商學院,福利,-0.12500000000000003,科系專業
41,面試,福利,-0.25000000000000006,招募資訊
42,徵才,福利,-0.12500000000000006,招募資訊
43,工作,福利,-0.25000000000000006,招募資訊
44,能力,福利,-0.18898223650461363,招募資訊
45,招募人員,福利,0.39528470752104744,招募資訊
46,正向,福利,0.044901325506693755,情緒
47,負向,福利,-0.12500000000000006,情緒
48,學習成長,管理制度,1.0,成長價值
49,薪資,管理制度,-0.23622779563076698,經濟報酬
50,福利,管理制度,-0.12500000000000006,經濟報酬
51,管理制度,管理制度,1.0,經濟報酬
52,工作氛圍,管理制度,-0.18898223650461363,人際價值
53,同事互動,管理制度,-0.12500000000000003,人際價值
54,主管風格,管理制度,0.3952847075210474,人際價值
55,工作環境,管理制度,-0.12500000000000003,組織文化與制度
56,管理學院/商學院,管理制度,-0.12500000000000003,科系專業
57,面試,管理制度,0.125,招募資訊
58,徵才,管理制度,1.0,招募資訊
59,工作,管理制度,-0.25000000000000006,招募資訊
60,能力,管理制度,-0.18898223650461363,招募資訊
61,招募人員,管理制度,0.3952847075210474,招募資訊
62,正向,管理制度,-0.3592106040535499,情緒
63,負向,管理制度,-0.12500000000000006,情緒
64,學習成長,工作氛圍,-0.18898223650461363,成長價值
65,薪資,工作氛圍,0.2857142857142858,經濟報酬
66,福利,工作氛圍,-0.18898223650461363,經濟報酬
67,管理制度,工作氛圍,-0.18898223650461363,經濟報酬
68,工作氛圍,工作氛圍,1.0,人際價值
69,同事互動,工作氛圍,-0.1889822365046136,人際價值
70,主管風格,工作氛圍,0.5976143046671969,人際價值
71,工作環境,工作氛圍,0.6614378277661476,組織文化與制度
72,管理學院/商學院,工作氛圍,0.6614378277661476,科系專業
73,面試,工作氛圍,0.47245559126153397,招募資訊
74,徵才,工作氛圍,-0.18898223650461363,招募資訊
75,工作,工作氛圍,0.18898223650461363,招募資訊
76,能力,工作氛圍,0.35714285714285715,招募資訊
77,招募人員,工作氛圍,0.5976143046671969,招募資訊
78,正向,工作氛圍,0.3733643283161719,情緒
79,負向,工作氛圍,-0.18898223650461363,情緒
80,學習成長,同事互動,-0.12500000000000003,成長價值
81,薪資,同事互動,-0.236227795630767,經濟報酬
82,福利,同事互動,-0.12500000000000003,經濟報酬
83,管理制度,同事互動,-0.12500000000000003,經濟報酬
84,工作氛圍,同事互動,-0.1889822365046136,人際價值
85,同事互動,同事互動,1.0,人際價值
86,主管風格,同事互動,-0.3162277660168379,人際價值
87,工作環境,同事互動,-0.125,組織文化與制度
88,管理學院/商學院,同事互動,-0.125,科系專業
89,面試,同事互動,-0.25,招募資訊
90,徵才,同事互動,-0.12500000000000003,招募資訊
91,工作,同事互動,0.5,招募資訊
92,能力,同事互動,-0.1889822365046136,招募資訊
93,招募人員,同事互動,-0.3162277660168379,招募資訊
94,正向,同事互動,-0.3592106040535498,情緒
95,負向,同事互動,-0.12500000000000003,情緒
96,學習成長,主管風格,0.3952847075210474,成長價值
97,薪資,主管風格,0.47809144373375745,經濟報酬
98,福利,主管風格,0.3952847075210474,經濟報酬
99,管理制度,主管風格,0.3952847075210474,經濟報酬
100,工作氛圍,主管風格,0.5976143046671968,人際價值
101,同事互動,主管風格,-0.3162277660168379,人際價值
102,主管風格,主管風格,1.0,人際價值
103,工作環境,主管風格,0.3952847075210474,組織文化與制度
104,管理學院/商學院,主管風格,0.3952847075210474,科系專業
105,面試,主管風格,0.3162277660168379,招募資訊
106,徵才,主管風格,0.3952847075210474,招募資訊
107,工作,主管風格,-0.158113883008419,招募資訊
108,能力,主管風格,0.05976143046671971,招募資訊
109,招募人員,主管風格,1.0,招募資訊
110,正向,主管風格,0.11359236684941298,情緒
111,負向,主管風格,-0.31622776601683794,情緒
112,學習成長,工作環境,-0.12500000000000003,成長價值
113,薪資,工作環境,0.6141922686399944,經濟報酬
114,福利,工作環境,-0.12500000000000003,經濟報酬
115,管理制度,工作環境,-0.12500000000000003,經濟報酬
116,工作氛圍,工作環境,0.6614378277661476,人際價值
117,同事互動,工作環境,-0.125,人際價值
118,主管風格,工作環境,0.3952847075210474,人際價值
119,工作環境,工作環境,1.0,組織文化與制度
120,管理學院/商學院,工作環境,1.0,科系專業
121,面試,工作環境,0.8749999999999999,招募資訊
122,徵才,工作環境,-0.12500000000000003,招募資訊
123,工作,工作環境,-0.25,招募資訊
124,能力,工作環境,-0.1889822365046136,招募資訊
125,招募人員,工作環境,0.3952847075210474,招募資訊
126,正向,工作環境,0.044901325506693734,情緒
127,負向,工作環境,-0.12500000000000003,情緒
128,學習成長,管理學院/商學院,-0.12500000000000003,成長價值
129,薪資,管理學院/商學院,0.6141922686399944,經濟報酬
130,福利,管理學院/商學院,-0.12500000000000003,經濟報酬
131,管理制度,管理學院/商學院,-0.12500000000000003,經濟報酬
132,工作氛圍,管理學院/商學院,0.6614378277661476,人際價值
133,同事互動,管理學院/商學院,-0.125,人際價值
134,主管風格,管理學院/商學院,0.3952847075210474,人際價值
135,工作環境,管理學院/商學院,1.0,組織文化與制度
136,管理學院/商學院,管理學院/商學院,1.0,科系專業
137,面試,管理學院/商學院,0.8749999999999999,招募資訊
138,徵才,管理學院/商學院,-0.12500000000000003,招募資訊
139,工作,管理學院/商學院,-0.25,招募資訊
140,能力,管理學院/商學院,-0.1889822365046136,招募資訊
141,招募人員,管理學院/商學院,0.3952847075210474,招募資訊
142,正向,管理學院/商學院,0.044901325506693734,情緒
143,負向,管理學院/商學院,-0.12500000000000003,情緒
144,學習成長,面試,0.125,成長價值
145,薪資,面試,0.3779644730092273,經濟報酬
146,福利,面試,-0.25000000000000006,經濟報酬
147,管理制度,面試,0.125,經濟報酬
148,工作氛圍,面試,0.47245559126153397,人際價值
149,同事互動,面試,-0.25,人際價值
150,主管風格,面試,0.3162277660168379,人際價值
151,工作環境,面試,0.8749999999999999,組織文化與制度
152,管理學院/商學院,面試,0.8749999999999999,科系專業
153,面試,面試,1.0,招募資訊
154,徵才,面試,0.125,招募資訊
155,工作,面試,-0.5,招募資訊
156,能力,面試,-0.09449111825230683,招募資訊
157,招募人員,面試,0.3162277660168379,招募資訊
158,正向,面試,-0.3143092785468561,情緒
159,負向,面試,0.125,情緒
160,學習成長,徵才,1.0,成長價值
161,薪資,徵才,-0.23622779563076698,經濟報酬
162,福利,徵才,-0.12500000000000006,經濟報酬
163,管理制度,徵才,1.0,經濟報酬
164,工作氛圍,徵才,-0.18898223650461363,人際價值
165,同事互動,徵才,-0.12500000000000003,人際價值
166,主管風格,徵才,0.3952847075210474,人際價值
167,工作環境,徵才,-0.12500000000000003,組織文化與制度
168,管理學院/商學院,徵才,-0.12500000000000003,科系專業
169,面試,徵才,0.125,招募資訊
170,徵才,徵才,1.0,招募資訊
171,工作,徵才,-0.25000000000000006,招募資訊
172,能力,徵才,-0.18898223650461363,招募資訊
173,招募人員,徵才,0.3952847075210474,招募資訊
174,正向,徵才,-0.3592106040535499,情緒
175,負向,徵才,-0.12500000000000006,情緒
176,學習成長,工作,-0.25000000000000006,成長價值
177,薪資,工作,-0.18898223650461365,經濟報酬
178,福利,工作,-0.25000000000000006,經濟報酬
179,管理制度,工作,-0.25000000000000006,經濟報酬
180,工作氛圍,工作,0.18898223650461363,人際價值
181,同事互動,工作,0.5,人際價值
182,主管風格,工作,-0.158113883008419,人際價值
183,工作環境,工作,-0.25,組織文化與制度
184,管理學院/商學院,工作,-0.25,科系專業
185,面試,工作,-0.5,招募資訊
186,徵才,工作,-0.25000000000000006,招募資訊
187,工作,工作,1.0,招募資訊
188,能力,工作,0.18898223650461363,招募資訊
189,招募人員,工作,-0.158113883008419,招募資訊
190,正向,工作,0.3592106040535498,情緒
191,負向,工作,-0.25000000000000006,情緒
192,學習成長,能力,-0.18898223650461363,成長價值
193,薪資,能力,-0.3571428571428572,經濟報酬
194,福利,能力,-0.18898223650461363,經濟報酬
195,管理制度,能力,-0.18898223650461363,經濟報酬
196,工作氛圍,能力,0.35714285714285715,人際價值
197,同事互動,能力,-0.1889822365046136,人際價值
198,主管風格,能力,0.0597614304667197,人際價值
199,工作環境,能力,-0.1889822365046136,組織文化與制度
200,管理學院/商學院,能力,-0.1889822365046136,科系專業
201,面試,能力,-0.09449111825230683,招募資訊
202,徵才,能力,-0.18898223650461363,招募資訊
203,工作,能力,0.18898223650461363,招募資訊
204,能力,能力,1.0,招募資訊
205,招募人員,能力,0.0597614304667197,招募資訊
206,正向,能力,0.06788442333021309,情緒
207,負向,能力,0.6614378277661477,情緒
208,學習成長,招募人員,0.3952847075210474,成長價值
209,薪資,招募人員,0.47809144373375745,經濟報酬
210,福利,招募人員,0.3952847075210474,經濟報酬
211,管理制度,招募人員,0.3952847075210474,經濟報酬
212,工作氛圍,招募人員,0.5976143046671968,人際價值
213,同事互動,招募人員,-0.3162277660168379,人際價值
214,主管風格,招募人員,1.0,人際價值
215,工作環境,招募人員,0.3952847075210474,組織文化與制度
216,管理學院/商學院,招募人員,0.3952847075210474,科系專業
217,面試,招募人員,0.3162277660168379,招募資訊
218,徵才,招募人員,0.3952847075210474,招募資訊
219,工作,招募人員,-0.158113883008419,招募資訊
220,能力,招募人員,0.05976143046671971,招募資訊
221,招募人員,招募人員,1.0,招募資訊
222,正向,招募人員,0.11359236684941298,情緒
223,負向,招募人員,-0.31622776601683794,情緒
224,學習成長,正向,-0.3592106040535499,成長價值
225,薪資,正向,0.23759548165574573,經濟報酬
226,福利,正向,0.044901325506693755,經濟報酬
227,管理制度,正向,-0.3592106040535499,經濟報酬
228,工作氛圍,正向,0.3733643283161719,人際價值
229,同事互動,正向,-0.35921060405354976,人際價值
230,主管風格,正向,0.11359236684941298,人際價值
231,工作環境,正向,0.044901325506693734,組織文化與制度
232,管理學院/商學院,正向,0.044901325506693734,科系專業
233,面試,正向,-0.3143092785468561,招募資訊
234,徵才,正向,-0.3592106040535499,招募資訊
235,工作,正向,0.3592106040535498,招募資訊
236,能力,正向,0.0678844233302131,招募資訊
237,招募人員,正向,0.11359236684941298,招募資訊
238,正向,正向,1.0,情緒
239,負向,正向,-0.3592106040535499,情緒
240,學習成長,負向,-0.12500000000000006,成長價值
241,薪資,負向,-0.23622779563076698,經濟報酬
242,福利,負向,-0.12500000000000006,經濟報酬
243,管理制度,負向,-0.12500000000000006,經濟報酬
244,工作氛圍,負向,-0.18898223650461363,人際價值
