,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.3921739847763393,經濟報酬
2,福利,學習成長,-0.04110808039004081,經濟報酬
3,管理制度,學習成長,-0.026938622922018297,經濟報酬
4,工作氛圍,學習成長,-0.026938622922018287,人際價值
5,同事互動,學習成長,-0.03846153846153851,人際價值
6,主管風格,學習成長,0.15894098830143774,人際價值
7,工作地點,學習成長,-0.0364178520364615,組織文化與制度
8,工作環境,學習成長,0.48076923076923084,組織文化與制度
9,產業前景,學習成長,-0.038461538461538505,組織文化與制度
10,變化性,學習成長,-0.03846153846153851,組織文化與制度
11,面試,學習成長,0.09780887258538086,招募資訊
12,學經歷,學習成長,0.11891287353862336,招募資訊
13,徵才,學習成長,-0.0521910431989431,招募資訊
14,工作,學習成長,0.04116792450133541,招募資訊
15,畢業,學習成長,0.38052119532359535,招募資訊
16,證照,學習成長,-0.05219104319894312,招募資訊
17,招募人員,學習成長,0.060208198675129866,招募資訊
18,正向,學習成長,0.13772228045650423,情緒
19,負向,學習成長,-0.030024028838453846,情緒
20,學習成長,薪資,0.39217398477633936,成長價值
21,薪資,薪資,0.9999999999999998,經濟報酬
22,福利,薪資,0.59477289377979,經濟報酬
23,管理制度,薪資,-0.04499073952830408,經濟報酬
24,工作氛圍,薪資,-0.04499073952830411,人際價值
25,同事互動,薪資,-0.06423539405819347,人際價值
26,主管風格,薪資,0.0657462693260881,人際價值
27,工作地點,薪資,0.5153880478660512,組織文化與制度
28,工作環境,薪資,0.39217398477633936,組織文化與制度
29,產業前景,薪資,-0.06423539405819348,組織文化與制度
30,變化性,薪資,0.3921739847763389,組織文化與制度
31,面試,薪資,0.4507548589060395,招募資訊
32,學經歷,薪資,0.10452568292051909,招募資訊
33,徵才,薪資,-0.03761871613811587,招募資訊
34,工作,薪資,0.4456176027009211,招募資訊
35,畢業,薪資,0.29685293949427377,招募資訊
36,證照,薪資,-0.08716531788100015,招募資訊
37,招募人員,薪資,0.11484431656339751,招募資訊
38,正向,薪資,0.23617994338578432,情緒
39,負向,薪資,0.03694801777945074,情緒
40,學習成長,福利,-0.04110808039004081,成長價值
41,薪資,福利,0.5947728937797901,經濟報酬
42,福利,福利,1.0,經濟報酬
43,管理制度,福利,-0.0287922719935584,經濟報酬
44,工作氛圍,福利,-0.028792271993558403,人際價值
45,同事互動,福利,-0.04110808039004082,人際價值
46,主管風格,福利,-0.09992807766680542,人際價值
47,工作地點,福利,0.8018296149873859,組織文化與制度
48,工作環境,福利,-0.04110808039004081,組織文化與制度
49,產業前景,福利,-0.04110808039004082,組織文化與制度
50,變化性,福利,0.6248428219286216,組織文化與制度
51,面試,福利,0.4271169348346991,招募資訊
52,學經歷,福利,0.35586678144009637,招募資訊
53,徵才,福利,-0.05578231358601855,招募資訊
54,工作,福利,0.2816044358220334,招募資訊
55,畢業,福利,-0.05083811163429952,招募資訊
56,證照,福利,-0.055782313586018525,招募資訊
57,招募人員,福利,0.09910074058992266,招募資訊
58,正向,福利,0.31217289509396856,情緒
59,負向,福利,0.06417996993845132,情緒
60,學習成長,管理制度,-0.026938622922018297,成長價值
61,薪資,管理制度,-0.04499073952830408,經濟報酬
62,福利,管理制度,-0.0287922719935584,經濟報酬
63,管理制度,管理制度,1.0,經濟報酬
64,工作氛圍,管理制度,-0.018867924528301903,人際價值
65,同事互動,管理制度,-0.026938622922018304,人際價值
66,主管風格,管理制度,-0.06548407948137587,人際價值
67,工作地點,管理制度,-0.02550721637464242,組織文化與制度
68,工作環境,管理制度,-0.026938622922018297,組織文化與制度
69,產業前景,管理制度,-0.026938622922018297,組織文化與制度
70,變化性,管理制度,-0.026938622922018304,組織文化與制度
71,面試,管理制度,-0.10765188462621687,招募資訊
72,學經歷,管理制度,-0.06662966046527702,招募資訊
73,徵才,管理制度,-0.036554825648720445,招募資訊
74,工作,管理制度,-0.08238339160060955,招募資訊
75,畢業,管理制度,-0.033314830232638454,招募資訊
76,證照,管理制度,-0.03655482564872045,招募資訊
77,招募人員,管理制度,-0.07168912747280916,招募資訊
78,正向,管理制度,-0.05096066730373096,情緒
79,負向,管理制度,-0.08411582311380676,情緒
80,學習成長,工作氛圍,-0.026938622922018287,成長價值
81,薪資,工作氛圍,-0.044990739528304104,經濟報酬
82,福利,工作氛圍,-0.0287922719935584,經濟報酬
83,管理制度,工作氛圍,-0.018867924528301907,經濟報酬
84,工作氛圍,工作氛圍,1.0,人際價值
85,同事互動,工作氛圍,-0.02693862292201829,人際價值
86,主管風格,工作氛圍,-0.06548407948137587,人際價值
87,工作地點,工作氛圍,-0.025507216374642386,組織文化與制度
88,工作環境,工作氛圍,-0.02693862292201829,組織文化與制度
89,產業前景,工作氛圍,-0.02693862292201829,組織文化與制度
90,變化性,工作氛圍,-0.02693862292201829,組織文化與制度
91,面試,工作氛圍,-0.10765188462621679,招募資訊
92,學經歷,工作氛圍,-0.06662966046527694,招募資訊
93,徵才,工作氛圍,-0.036554825648720445,招募資訊
94,工作,工作氛圍,-0.08238339160060952,招募資訊
95,畢業,工作氛圍,-0.03331483023263846,招募資訊
96,證照,工作氛圍,-0.03655482564872046,招募資訊
97,招募人員,工作氛圍,-0.07168912747280909,招募資訊
98,正向,工作氛圍,0.14560190658208835,情緒
99,負向,工作氛圍,0.1682316462276133,情緒
100,學習成長,同事互動,-0.038461538461538505,成長價值
101,薪資,同事互動,-0.06423539405819345,經濟報酬
102,福利,同事互動,-0.04110808039004082,經濟報酬
103,管理制度,同事互動,-0.0269386229220183,經濟報酬
104,工作氛圍,同事互動,-0.02693862292201829,人際價值
105,同事互動,同事互動,0.9999999999999999,人際價值
106,主管風格,同事互動,-0.09349469900084566,人際價值
107,工作地點,同事互動,0.2913428162916926,組織文化與制度
108,工作環境,同事互動,-0.038461538461538505,組織文化與制度
109,產業前景,同事互動,0.4807692307692304,組織文化與制度
110,變化性,同事互動,0.4807692307692304,組織文化與制度
111,面試,同事互動,0.09780887258538083,招募資訊
112,學經歷,同事互動,-0.09513029883089892,招募資訊
113,徵才,同事互動,-0.0521910431989431,招募資訊
114,工作,同事互動,-0.11762264143238675,招募資訊
115,畢業,同事互動,-0.04756514941544936,招募資訊
116,證照,同事互動,-0.052191043198943105,招募資訊
117,招募人員,同事互動,-0.10235393774772086,招募資訊
