,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.09192771195538434,經濟報酬
2,管理制度,學習成長,-0.12103193564896715,經濟報酬
3,工作氛圍,學習成長,-0.09759000729485333,人際價值
4,同事互動,學習成長,-0.06666666666666667,人際價值
5,主管風格,學習成長,-0.14907119849998599,人際價值
6,工作地點,學習成長,-0.06666666666666667,組織文化與制度
7,公司規模,學習成長,-0.06666666666666667,組織文化與制度
8,工作環境,學習成長,-0.06666666666666667,組織文化與制度
9,面試,學習成長,0.03696948196568264,招募資訊
10,實習,學習成長,0.0887213950734269,招募資訊
11,工作,學習成長,-0.14907119849998599,招募資訊
12,離職,學習成長,-0.06666666666666667,招募資訊
13,能力,學習成長,0.3983534184733321,招募資訊
14,招募人員,學習成長,-0.1384091330895666,招募資訊
15,正向,學習成長,-0.22084711628963774,情緒
16,負向,學習成長,-0.25974038935113547,情緒
17,學習成長,薪資,-0.09192771195538434,成長價值
18,薪資,薪資,1.0,經濟報酬
19,管理制度,薪資,0.214576500556431,經濟報酬
20,工作氛圍,薪資,-0.13456839120487699,人際價值
21,同事互動,薪資,-0.09192771195538434,人際價值
22,主管風格,薪資,0.34259435491376583,人際價值
23,工作地點,薪資,-0.09192771195538434,組織文化與制度
24,公司規模,薪資,-0.09192771195538434,組織文化與制度
25,工作環境,薪資,-0.09192771195538434,組織文化與制度
26,面試,薪資,0.005664199815468417,招募資訊
27,實習,薪資,-0.15729341497566127,招募資訊
28,工作,薪資,-0.2055566129482595,招募資訊
29,離職,薪資,-0.09192771195538434,招募資訊
30,能力,薪資,-0.1267605633802817,招募資訊
31,招募人員,薪資,-0.19085452377978201,招募資訊
32,正向,薪資,-0.05465915024890676,情緒
33,負向,薪資,-0.21122262038283182,情緒
34,學習成長,管理制度,-0.12103193564896715,成長價值
35,薪資,管理制度,0.214576500556431,經濟報酬
36,管理制度,管理制度,1.0,經濟報酬
37,工作氛圍,管理制度,-0.17717261224339384,人際價值
38,同事互動,管理制度,-0.12103193564896715,人際價值
39,主管風格,管理制度,0.038662233651352955,人際價值
