,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.13884202690012468,經濟報酬
2,福利,學習成長,-0.09999999999999985,經濟報酬
3,同事互動,學習成長,-0.055901699437494706,人際價值
4,主管風格,學習成長,-0.1101631623098079,人際價值
5,工作地點,學習成長,-0.08032193289024987,組織文化與制度
6,公司規模,學習成長,-0.09376144618769908,組織文化與制度
7,工作環境,學習成長,-0.08032193289024987,組織文化與制度
8,多元性,學習成長,-0.055901699437494706,組織文化與制度
9,面試,學習成長,-0.07341131763485945,招募資訊
10,徵才,學習成長,-0.08032193289024987,招募資訊
11,工作,學習成長,-0.09376144618769909,招募資訊
12,離職,學習成長,-0.055901699437494706,招募資訊
13,新鮮人,學習成長,-0.08032193289024989,招募資訊
14,招募人員,學習成長,0.1321957947717696,招募資訊
15,正向,學習成長,-0.15511334686589628,情緒
16,負向,學習成長,0.14149211999266964,情緒
17,學習成長,薪資,-0.13884202690012465,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.8156969080382329,經濟報酬
20,同事互動,薪資,-0.07761505257063339,人際價值
21,主管風格,薪資,-0.15295276744821162,人際價值
22,工作地點,薪資,0.11849063714956706,組織文化與制度
23,公司規模,薪資,0.40681341355584766,組織文化與制度
24,工作環境,薪資,-0.11152059967018091,組織文化與制度
25,多元性,薪資,-0.07761505257063339,組織文化與制度
26,面試,薪資,-0.2887896572385947,招募資訊
27,徵才,薪資,-0.11152059967018078,招募資訊
28,工作,薪資,-0.13018029233787123,招募資訊
29,離職,薪資,-0.07761505257063336,招募資訊
30,新鮮人,薪資,0.3485018739693156,招募資訊
31,招募人員,薪資,0.09941929884133749,招募資訊
32,正向,薪資,0.12703023332799201,情緒
33,負向,薪資,-0.03315102648217521,情緒
34,學習成長,福利,-0.09999999999999985,成長價值
35,薪資,福利,0.8156969080382328,經濟報酬
36,福利,福利,1.0,經濟報酬
37,同事互動,福利,-0.055901699437494685,人際價值
38,主管風格,福利,-0.11016316230980779,人際價值
39,工作地點,福利,0.3614486980061247,組織文化與制度
40,公司規模,福利,0.42192650784464614,組織文化與制度
41,工作環境,福利,-0.08032193289024984,組織文化與制度
42,多元性,福利,-0.055901699437494685,組織文化與制度
43,面試,福利,-0.20799873329876847,招募資訊
44,徵才,福利,-0.08032193289024984,招募資訊
45,工作,福利,-0.09376144618769902,招募資訊
46,離職,福利,-0.055901699437494685,招募資訊
47,新鮮人,福利,0.3614486980061249,招募資訊
48,招募人員,福利,0.1321957947717696,招募資訊
49,正向,福利,0.2181281440301666,情緒
50,負向,福利,-0.09196987799523519,情緒
51,學習成長,同事互動,-0.0559016994374947,成長價值
52,薪資,同事互動,-0.07761505257063339,經濟報酬
53,福利,同事互動,-0.05590169943749468,經濟報酬
54,同事互動,同事互動,1.0,人際價值
55,主管風格,同事互動,-0.06158307988526828,人際價值
56,工作地點,同事互動,-0.04490132550669369,組織文化與制度
57,公司規模,同事互動,-0.052414241836095936,組織文化與制度
58,工作環境,同事互動,-0.04490132550669373,組織文化與制度
59,多元性,同事互動,1.0,組織文化與制度
60,面試,同事互動,0.10943513103291654,招募資訊
61,徵才,同事互動,0.6959705453537521,招募資訊
62,工作,同事互動,0.812420748459486,招募資訊
63,離職,同事互動,-0.03125,招募資訊
64,新鮮人,同事互動,-0.04490132550669378,招募資訊
65,招募人員,同事互動,-0.06158307988526826,招募資訊
66,正向,同事互動,0.7776892539169441,情緒
67,負向,同事互動,0.8186487713365309,情緒
68,學習成長,主管風格,-0.11016316230980791,成長價值
69,薪資,主管風格,-0.15295276744821162,經濟報酬
70,福利,主管風格,-0.11016316230980779,經濟報酬
71,同事互動,主管風格,-0.061583079885268274,人際價值
72,主管風格,主管風格,1.0,人際價值
73,工作地點,主管風格,0.4955170152814617,組織文化與制度
74,公司規模,主管風格,-0.10329057414777822,組織文化與制度
75,工作環境,主管風格,-0.08848518130026099,組織文化與制度
76,多元性,主管風格,-0.061583079885268274,組織文化與制度
77,面試,主管風格,0.21565927733295703,招募資訊
78,徵才,主管風格,-0.088485181300261,招募資訊
79,工作,主管風格,0.0671388731960559,招募資訊
80,離職,主管風格,-0.06158307988526831,招募資訊
81,新鮮人,主管風格,-0.088485181300261,招募資訊
82,招募人員,主管風格,0.5194174757281558,招募資訊
83,正向,主管風格,-0.0181557628576556,情緒
84,負向,主管風格,-0.08417098465368095,情緒
85,學習成長,工作地點,-0.08032193289024987,成長價值
86,薪資,工作地點,0.11849063714956708,經濟報酬
87,福利,工作地點,0.3614486980061248,經濟報酬
88,同事互動,工作地點,-0.044901325506693686,人際價值
89,主管風格,工作地點,0.49551701528146164,人際價值
90,工作地點,工作地點,1.0,組織文化與制度
91,公司規模,工作地點,-0.07531100588381143,組織文化與制度
92,工作環境,工作地點,-0.0645161290322581,組織文化與制度
93,多元性,工作地點,-0.044901325506693686,組織文化與制度
94,面試,工作地點,-0.004913782440376659,招募資訊
95,徵才,工作地點,-0.06451612903225809,招募資訊
96,工作,工作地點,-0.07531100588381143,招募資訊
97,離職,工作地點,-0.044901325506693714,招募資訊
98,新鮮人,工作地點,-0.06451612903225808,招募資訊
99,招募人員,工作地點,0.20351591699060043,招募資訊
100,正向,工作地點,-0.038934386991701805,情緒
101,負向,工作地點,-0.04261845212456397,情緒
102,學習成長,公司規模,-0.09376144618769908,成長價值
103,薪資,公司規模,0.40681341355584766,經濟報酬
104,福利,公司規模,0.42192650784464614,經濟報酬
105,同事互動,公司規模,-0.05241424183609594,人際價值
106,主管風格,公司規模,-0.10329057414777822,人際價值
107,工作地點,公司規模,-0.07531100588381144,組織文化與制度
108,公司規模,公司規模,0.9999999999999999,組織文化與制度
