,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.18007422284400387,經濟報酬
2,福利,學習成長,0.10423557935956919,經濟報酬
3,管理制度,學習成長,-0.042576471321033024,經濟報酬
4,工作氛圍,學習成長,-0.03813619235547321,人際價值
5,同事互動,學習成長,-0.020597830893702374,人際價值
6,主管風格,學習成長,0.009023694782099408,人際價值
7,公司規模,學習成長,-0.015312526262350912,組織文化與制度
8,工作環境,學習成長,-0.04058382770503726,組織文化與制度
9,產業前景,學習成長,-0.021726299689148146,組織文化與制度
10,工學院,學習成長,-0.020597830893702394,科系專業
11,面試,學習成長,0.07614079841730767,招募資訊
12,學經歷,學習成長,-0.058401750467441345,招募資訊
13,徵才,學習成長,-0.03411843134099605,招募資訊
14,工作,學習成長,0.21179765021771083,招募資訊
15,離職,學習成長,0.2667694121943356,招募資訊
16,畢業,學習成長,-0.015312526262350912,招募資訊
17,證照,學習成長,-0.034696401115948204,招募資訊
18,招募人員,學習成長,0.22891111155023783,招募資訊
19,正向,學習成長,0.15269829817847652,情緒
20,負向,學習成長,0.10178548586000494,情緒
21,學習成長,薪資,0.18007422284400387,成長價值
22,薪資,薪資,1.0,經濟報酬
23,福利,薪資,0.33344041907398636,經濟報酬
24,管理制度,薪資,0.02777094508890213,經濟報酬
25,工作氛圍,薪資,-0.05840153312579264,人際價值
26,同事互動,薪資,-0.03154339300696839,人際價值
27,主管風格,薪資,0.08700745652306414,人際價值
28,公司規模,薪資,-0.02344950962630412,組織文化與制度
29,工作環境,薪資,-0.034881811746166023,組織文化與制度
30,產業前景,薪資,-0.03327152325983524,組織文化與制度
31,工學院,薪資,-0.03154339300696843,科系專業
32,面試,薪資,0.11871958359027784,招募資訊
33,學經歷,薪資,-0.08943608561485167,招募資訊
34,徵才,薪資,0.27285462685549805,招募資訊
35,工作,薪資,0.1597776265296432,招募資訊
36,離職,薪資,0.2903341224754528,招募資訊
37,畢業,薪資,-0.02344950962630411,招募資訊
38,證照,薪資,-0.05313385773365035,招募資訊
39,招募人員,薪資,0.18858638938312233,招募資訊
40,正向,薪資,0.2540497482058215,情緒
41,負向,薪資,0.16829067498709677,情緒
42,學習成長,福利,0.10423557935956917,成長價值
43,薪資,福利,0.33344041907398636,經濟報酬
44,福利,福利,1.0,經濟報酬
45,管理制度,福利,0.05443186339894461,經濟報酬
46,工作氛圍,福利,-0.04432290136785904,人際價值
47,同事互動,福利,-0.023939349229823822,人際價值
48,主管風格,福利,0.020975158194745894,人際價值
49,公司規模,福利,0.2313561512278198,組織文化與制度
50,工作環境,福利,0.15601593596354374,組織文化與制度
51,產業前景,福利,-0.02525088580513349,組織文化與制度
52,工學院,福利,-0.023939349229823832,科系專業
53,面試,福利,0.029309740259816468,招募資訊
54,學經歷,福利,-0.01786212481468212,招募資訊
55,徵才,福利,0.061282453404640516,招募資訊
56,工作,福利,-0.01812197934982363,招募資訊
57,離職,福利,-0.03594742448993556,招募資訊
58,畢業,福利,-0.017796627017524602,招募資訊
59,證照,福利,-0.040325084112943325,招募資訊
60,招募人員,福利,0.005945175598374237,招募資訊
61,正向,福利,0.3824270237157048,情緒
62,負向,福利,0.2894661504469943,情緒
63,學習成長,管理制度,-0.04257647132103302,成長價值
64,薪資,管理制度,0.02777094508890213,經濟報酬
65,福利,管理制度,0.054431863398944604,經濟報酬
66,管理制度,管理制度,1.0,經濟報酬
67,工作氛圍,管理制度,-0.045260762940739184,人際價值
68,同事互動,管理制度,-0.02444589990745366,人際價值
