,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.012835984230407093,成長價值
2,薪資,學習成長,0.07105190469180006,經濟報酬
3,福利,學習成長,-0.028907885990621027,經濟報酬
4,管理制度,學習成長,-0.04691546676573095,經濟報酬
5,工作氛圍,學習成長,-0.036764814209651955,人際價值
6,同事互動,學習成長,0.1363280593135957,人際價值
7,主管風格,學習成長,0.008979930761157972,人際價值
8,工作地點,學習成長,-0.030502080296984795,組織文化與制度
9,公司規模,學習成長,0.22530581133300923,組織文化與制度
10,工作環境,學習成長,0.09609895610060921,組織文化與制度
11,產業前景,學習成長,-0.022311837627152387,組織文化與制度
12,變化性,學習成長,0.15396469807766086,組織文化與制度
13,工學院,學習成長,-0.012835984230407145,科系專業
14,面試,學習成長,-0.02430432828030378,招募資訊
15,學經歷,學習成長,0.13515330459280664,招募資訊
16,徵才,學習成長,0.02532321267836189,招募資訊
17,實習,學習成長,0.28454324641712825,招募資訊
18,工作,學習成長,0.10943550097322395,招募資訊
19,離職,學習成長,-0.022311837627152394,招募資訊
20,新鮮人,學習成長,-0.01283598423040709,招募資訊
21,證照,學習成長,-0.01724575942212364,招募資訊
22,招募人員,學習成長,-0.033451314219219645,招募資訊
23,正向,學習成長,0.15499898539109488,情緒
24,負向,學習成長,0.0017324522553328514,情緒
25,學習成長,創新,-0.012835984230407093,成長價值
26,創新,創新,1.0,成長價值
27,薪資,創新,0.23004554321014792,經濟報酬
28,福利,創新,-0.00798616079368955,經濟報酬
29,管理制度,創新,0.4455336032333625,經濟報酬
30,工作氛圍,創新,-0.010156734322380583,人際價值
31,同事互動,創新,-0.0139523816829857,人際價值
32,主管風格,創新,0.06848750820763706,人際價值
33,工作地點,創新,-0.008426576674364344,組織文化與制度
34,公司規模,創新,-0.006163920909019256,組織文化與制度
35,工作環境,創新,-0.01139709379249918,組織文化與制度
36,產業前景,創新,-0.006163920909019262,組織文化與制度
37,變化性,創新,-0.005807944283217405,組織文化與制度
38,工學院,創新,-0.0035460992907801817,科系專業
39,面試,創新,-0.034521693251162236,招募資訊
40,學經歷,創新,-0.01792681674752919,招募資訊
41,徵才,創新,-0.01563072880057199,招募資訊
42,實習,創新,-0.005023857169510847,招募資訊
43,工作,創新,0.23146083930035755,招募資訊
44,離職,創新,-0.006163920909019253,招募資訊
45,新鮮人,創新,-0.003546099290780145,招募資訊
46,證照,創新,-0.0047643541903774015,招募資訊
47,招募人員,創新,-0.016446019261199606,招募資訊
48,正向,創新,0.17880981398688509,情緒
49,負向,創新,0.12601486586388735,情緒
50,學習成長,薪資,0.07105190469180006,成長價值
51,創新,薪資,0.23004554321014792,成長價值
52,薪資,薪資,1.0,經濟報酬
53,福利,薪資,0.4106724712678785,經濟報酬
54,管理制度,薪資,0.18710454007449376,經濟報酬
55,工作氛圍,薪資,-0.02413539314908974,人際價值
56,同事互動,薪資,-0.03315496955975243,人際價值
57,主管風格,薪資,-0.00693814015400762,人際價值
58,工作地點,薪資,0.43331998398077703,組織文化與制度
59,公司規模,薪資,-0.014647292107588247,組織文化與制度
60,工作環境,薪資,0.12620609352371023,組織文化與制度
61,產業前景,薪資,-0.014647292107588286,組織文化與制度
62,變化性,薪資,0.5720674814538839,組織文化與制度
63,工學院,薪資,-0.008426576674364345,科系專業
64,面試,薪資,-0.007144871866342188,招募資訊
65,學經歷,薪資,0.046701562503774635,招募資訊
66,徵才,薪資,-0.037143216789408635,招募資訊
67,實習,薪資,-0.011938164774462436,招募資訊
68,工作,薪資,0.09840768115998542,招募資訊
69,離職,薪資,-0.014647292107588254,招募資訊
70,新鮮人,薪資,-0.008426576674364356,招募資訊
71,證照,薪資,-0.011321509240710459,招募資訊
72,招募人員,薪資,0.019128918961920854,招募資訊
73,正向,薪資,0.11970668205556118,情緒
74,負向,薪資,-0.007498000510627087,情緒
75,學習成長,福利,-0.028907885990621027,成長價值
76,創新,福利,-0.007986160793689549,成長價值
77,薪資,福利,0.4106724712678785,經濟報酬
78,福利,福利,1.0,經濟報酬
79,管理制度,福利,0.07406805964297981,經濟報酬
80,工作氛圍,福利,-0.0228739543893231,人際價值
81,同事互動,福利,-0.031422121728221133,人際價值
82,主管風格,福利,0.1082930916399723,人際價值
83,工作地點,福利,0.6254974423747354,組織文化與制度
84,公司規模,福利,-0.013881749906721558,組織文化與制度
85,工作環境,福利,0.11960991930329791,組織文化與制度
86,產業前景,福利,-0.013881749906721648,組織文化與制度
87,變化性,福利,-0.013080055893290986,組織文化與制度
88,工學院,福利,-0.007986160793689552,科系專業
89,面試,福利,0.13517809409965617,招募資訊
90,學經歷,福利,-0.04037293638026643,招募資訊
91,徵才,福利,-0.035201922813746116,招募資訊
92,實習,福利,0.3088780800702511,招募資訊
93,工作,福利,0.007662804244757356,招募資訊
94,離職,福利,-0.01388174990672162,招募資訊
95,新鮮人,福利,-0.00798616079368955,招募資訊
96,證照,福利,-0.010729789417168798,招募資訊
97,招募人員,福利,-0.0370380362945678,招募資訊
98,正向,福利,0.1279125455766021,情緒
99,負向,福利,0.10672582902821308,情緒
100,學習成長,管理制度,-0.04691546676573095,成長價值
101,創新,管理制度,0.4455336032333625,成長價值
102,薪資,管理制度,0.18710454007449376,經濟報酬
103,福利,管理制度,0.07406805964297981,經濟報酬
104,管理制度,管理制度,1.0,經濟報酬
105,工作氛圍,管理制度,0.04495341479108601,人際價值
106,同事互動,管理制度,-0.0008853453926990389,人際價值
107,主管風格,管理制度,0.06389786828517716,人際價值
108,工作地點,管理制度,0.18710454007449376,組織文化與制度
109,公司規模,管理制度,0.11029873943351828,組織文化與制度
110,工作環境,管理制度,0.032023302493964685,組織文化與制度
111,產業前景,管理制度,-0.022529104224718703,組織文化與制度
112,變化性,管理制度,0.07263960082244002,組織文化與制度
113,工學院,管理制度,-0.012960977548607035,科系專業
114,面試,管理制度,-0.07218270444365302,招募資訊
115,學經歷,管理制度,-0.022599174067877228,招募資訊
116,徵才,管理制度,-0.0571302460648262,招募資訊
117,實習,管理制度,-0.01836217619476547,招募資訊
118,工作,管理制度,0.0934759871515913,招募資訊
119,離職,管理制度,-0.022529104224718686,招募資訊
120,新鮮人,管理制度,-0.01296097754860687,招募資訊
121,證照,管理制度,-0.017413693930016082,招募資訊
122,招募人員,管理制度,-0.0321312368081029,招募資訊
123,正向,管理制度,0.08143445663525897,情緒
124,負向,管理制度,0.050047687300535174,情緒
125,學習成長,工作氛圍,-0.036764814209651955,成長價值
126,創新,工作氛圍,-0.010156734322380585,成長價值
127,薪資,工作氛圍,-0.02413539314908974,經濟報酬
128,福利,工作氛圍,-0.022873954389323096,經濟報酬
129,管理制度,工作氛圍,0.044953414791086006,經濟報酬
130,工作氛圍,工作氛圍,0.9999999999999998,人際價值
131,同事互動,工作氛圍,-0.03996239876502652,人際價值
132,主管風格,工作氛圍,-0.059493826647064166,人際價值
133,工作地點,工作氛圍,-0.024135393149089746,組織文化與制度
134,公司規模,工作氛圍,-0.017654696590095026,組織文化與制度
135,工作環境,工作氛圍,-0.03264354554274172,組織文化與制度
136,產業前景,工作氛圍,-0.017654696590095043,組織文化與制度
137,變化性,工作氛圍,-0.0166351086663593,組織文化與制度
138,工學院,工作氛圍,-0.010156734322380649,科系專業
139,面試,工作氛圍,0.07037012441610951,招募資訊
140,學經歷,工作氛圍,-0.05134597201608477,招募資訊
141,徵才,工作氛圍,0.16180288128886613,招募資訊
142,實習,工作氛圍,-0.014389327077494934,招募資訊
143,工作,工作氛圍,0.07325147840588724,招募資訊
144,離職,工作氛圍,-0.017654696590095026,招募資訊
145,新鮮人,工作氛圍,-0.010156734322380501,招募資訊
146,證照,工作氛圍,-0.013646058883686146,招募資訊
147,招募人員,工作氛圍,-0.003253941242149279,招募資訊
148,正向,工作氛圍,0.25924187378303065,情緒
149,負向,工作氛圍,0.11964742520634344,情緒
150,學習成長,同事互動,0.1363280593135957,成長價值
151,創新,同事互動,-0.013952381682985699,成長價值
152,薪資,同事互動,-0.033154969559752424,經濟報酬
153,福利,同事互動,-0.03142212172822113,經濟報酬
154,管理制度,同事互動,-0.0008853453926990389,經濟報酬
155,工作氛圍,同事互動,-0.03996239876502652,人際價值
156,同事互動,同事互動,1.0,人際價值
157,主管風格,同事互動,0.001891010576269121,人際價值
158,工作地點,同事互動,0.07109899027813571,組織文化與制度
159,公司規模,同事互動,0.3570490509520861,組織文化與制度
160,工作環境,同事互動,-0.044842681952865227,組織文化與制度
161,產業前景,同事互動,-0.024252388366556996,組織文化與制度
162,變化性,同事互動,-0.022851772832095694,組織文化與制度
163,工學院,同事互動,-0.013952381682985727,科系專業
164,面試,同事互動,0.019169284784499377,招募資訊
165,學經歷,同事互動,0.01161059171580859,招募資訊
166,徵才,同事互動,-0.01946021522671983,招募資訊
167,實習,同事互動,0.2910101315329989,招募資訊
168,工作,同事互動,-0.00322942997458272,招募資訊
169,離職,同事互動,-0.024252388366556896,招募資訊
170,新鮮人,同事互動,-0.013952381682985697,招募資訊
171,證照,同事互動,-0.01874569285465582,招募資訊
172,招募人員,同事互動,-0.011163083077037384,招募資訊
173,正向,同事互動,0.2052239735930577,情緒
174,負向,同事互動,0.09070412550815074,情緒
175,學習成長,主管風格,0.00897993076115797,成長價值
176,創新,主管風格,0.06848750820763706,成長價值
177,薪資,主管風格,-0.006938140154007619,經濟報酬
178,福利,主管風格,0.1082930916399723,經濟報酬
179,管理制度,主管風格,0.06389786828517714,經濟報酬
180,工作氛圍,主管風格,-0.05949382664706416,人際價值
181,同事互動,主管風格,0.0018910105762691212,人際價值
182,主管風格,主管風格,1.0,人際價值
183,工作地點,主管風格,0.01730252235937672,組織文化與制度
184,公司規模,主管風格,0.0008354157659301719,組織文化與制度
185,工作環境,主管風格,-0.009383957108144847,組織文化與制度
186,產業前景,主管風格,0.0008354157659302756,組織文化與制度
187,變化性,主管風格,0.02863327688246474,組織文化與制度
188,工學院,主管風格,-0.03352283296479076,科系專業
189,面試,主管風格,0.37041088852607656,招募資訊
190,學經歷,主管風格,0.11702950844250058,招募資訊
191,徵才,主管風格,-0.030464696386728874,招募資訊
192,實習,主管風格,0.09702815147490468,招募資訊
193,工作,主管風格,-0.0013197505487326144,招募資訊
194,離職,主管風格,0.0008354157659302064,招募資訊
195,新鮮人,主管風格,-0.033522832964790666,招募資訊
196,證照,主管風格,-0.045039531217972065,招募資訊
197,招募人員,主管風格,0.05617912465825363,招募資訊
198,正向,主管風格,0.19879419240493715,情緒
199,負向,主管風格,0.1408630122072697,情緒
200,學習成長,工作地點,-0.030502080296984795,成長價值
201,創新,工作地點,-0.008426576674364344,成長價值
202,薪資,工作地點,0.43331998398077703,經濟報酬
203,福利,工作地點,0.6254974423747355,經濟報酬
204,管理制度,工作地點,0.18710454007449376,經濟報酬
205,工作氛圍,工作地點,-0.024135393149089746,人際價值
206,同事互動,工作地點,0.07109899027813571,人際價值
207,主管風格,工作地點,0.01730252235937672,人際價值
208,工作地點,工作地點,1.0,組織文化與制度
209,公司規模,工作地點,0.2616982856555759,組織文化與制度
210,工作環境,工作地點,-0.027082852687491436,組織文化與制度
211,產業前景,工作地點,-0.014647292107588286,組織文化與制度
212,變化性,工作地點,-0.013801386766076717,組織文化與制度
